usedate	level	code	text
2003/01/01	kood	AAF45	Intrakraniaalse tsüsti fenestratsioon
2003/01/01	kood	AAF99	Muu šunteeriv operatsioon ajuvatsakestel või intrakraniaalsel tsüstil
2003/01/01	kood	AAG00	Stereotaktiline intrakraniaalne biopsia
2003/01/01	kood	AAG10	Stereotaktiline tuumori või närvitrakti intrakraniaalne destruktsioon
2003/01/01	kood	AAG20	Stereotaktiline elektroodide intrakraniaalne implanteerimine
2003/01/01	kood	AAG30	Stereotaktiline radioaktiivse aine intrakraniaalne implanteerimine
2003/01/01	kood	AAG40	Stereotaktiline lootekoe intrakraniaalne implanteerimine
2003/01/01	kood	AAG50	Stereotaktiline intrakraniaalne radioteraapia
2003/01/01	kood	AAG99	Muu stereotaktiline intrakraniaalne operatsioon
2003/01/01	kood	AAH10	Kraniaalnärvi risotoomia
2003/01/01	kood	AAH20	Kraniaalnärvi dekompressioon
2003/01/01	kood	AAH30	Kraniaalnärvi termiline destruktsioon
2003/01/01	kood	AAH40	Süstimine kraniaalnärvi
2003/01/01	kood	AAH50	Kraniaalnärvi anastomoos
2003/01/01	kood	AAH60	Kraniaalnärvi mikrovaskulaarne dekompressioon
2003/01/01	kood	AAH99	Muu operatsioon kraniaalnärvil
2003/01/01	kood	AAJ00	Hemisferektoomia
2003/01/01	kood	AAJ10	Lobektoomia epilepsia korral
2003/01/01	kood	AAJ15	Hipokampektoomia
2003/01/01	kood	AAJ20	Epileptilise kolde ekstsisioon
2003/01/01	kood	AAJ25	Närvitraktide läbilõige epilepsia korral
2003/01/01	kood	AAJ30	Kallosotoomia epilepsia korral
2003/01/01	kood	AAJ35	Hemidekortikatsioon epilepsia korral
2003/01/01	kood	AAJ99	Muu operatsioon epilepsia korral
2003/01/01	kood	AAK00	Kranioplastika
2003/01/01	kood	AAK10	Dura korrektsioon
2003/01/01	kood	AAK20	Operatsioonid kraniosünostoosi korral
2003/01/01	kood	AAK30	Näokolju rekonstruktsioon kaasasündinud väärarengute korral
2003/01/01	kood	AAK40	Liikvori fistuli sulgemine
2003/01/01	kood	AAK70	Koljubiopsia
2003/01/01	kood	AAK75	Kolju kahjustuskolde ekstsisioon
2003/01/01	kood	AAK99	Muu operatsioon koljul või dural
2003/01/01	kood	AAL00	Intrakraniaalse aneurüsmi endovaskulaarne okluseerimine
2003/01/01	kood	AAL10	Intrakraniaalne endovaskulaarne trombolüüs
2003/01/01	kood	AAL20	Intrakraniaalse arterio-venoosse malformatsiooni endovaskulaarne okluseerimine
2003/01/01	kood	AAL30	Intrakraniaalse fistuli endovaskulaarne okluseerimine
2003/01/01	kood	AAL40	Intrakraniaalsete tuumorit toitvate arterite endovaskulaarne okluseerimine
2003/01/01	kood	AAL99	Muu intrakraniaalne endovaskulaarne protseduur
2003/01/01	kood	AAM00	Intrakraniaalse abstsessi punktsioon ja evakuatsioon
2003/01/01	kood	AAM10	Intrakraniaalse abstsessi ekstsisioon
2003/01/01	kood	AAM30	Epiduraalse või subduraalse empüeemi evakuatsioon
2003/01/01	kood	AAM99	Muu operatsioon intrakraniaalse infektsiooni korral
2003/01/01	kood	AAN00	Meningo-entsefalotseele ekstsisioon ja korrektsioon
2003/01/01	kood	AAN99	Muu operatsioon kaasasündinud intrakraniaalse väärarengu korral
2003/01/01	kood	AAU00	Implantaadi ja välise fiksatsiooniseadme eemaldamine koljust
2003/01/01	kood	AAW01	Intrakraniaalse stimulaatori paigaldamine
2003/01/01	kood	AAW02	Intrakraniaalse süstesüsteemi paigaldamine
2003/01/01	kood	AAW99	Muu operatsioon koljul või intrakraniaalsel struktuuril
2003/01/01	kood	ABA00	Eksploratiivne laminektoomia
2003/01/01	kood	ABA10	Spinaalkanali kahjustuskolde biopsia 
2003/01/01	kood	ABA99	Muu diagnostiline operatsioon seljaajul või närvijuurtel
2003/01/01	kood	ABB00	Spinaalkanali kahjustuskolde ekstsisioon 
2003/01/01	kood	ABB10	Spinaalkanali kahjustuskolde resektsioon 
2003/01/01	kood	ABB20	Spinaalkanali intra- või ekstramedullaarse tsüsti dreenimine
2003/01/01	kood	ABB30	Spinaalkanali kahjustuskolde destruktsioon 
2003/01/01	kood	ABB40	Spinaalkanali spontaanse kahjustuskolde hematoomi evakuatsioon 
2003/01/01	kood	ABB99	Muu operatsioon seljaaju kahjustuse korral
2003/01/01	kood	ABC01	Perkutaanne endoskoopiline diskektoomia tservikaalse intervertebraalse diski väljasopistuse korral
2003/01/01	kood	ABC04	Perkutaanne endoskoopiline diskektoomia torakaalse intervertebraalse diski väljasopistuse korral
2003/01/01	kood	ABC07	Perkutaanne endoskoopiline diskektoomia lumbaalosa intervertebraalse diski väljasopistuse korral
2003/01/01	kood	ABC10	Mikrokirurgiline ekstsisioon tservikaalse intervertebraalse diski väljasopistuse korral
2003/01/01	kood	ABC13	Mikrokirurgiline ekstsisioon torakaalse intervertebraalse diski väljasopistuse korral
2003/01/01	kood	ABC16	Mikrokirurgiline ekstsisioon lumbaalosa intervertebraalse diski väljasopistuse korral
2003/01/01	kood	ABC20	Avatud diskektoomia lülisamba tservikaalosas
2003/01/01	kood	ABC23	Avatud diskektoomia lülisamba torakaalosas
2003/01/01	kood	ABC26	Avatud diskektoomia lülisamba lumbaalosas
2003/01/01	kood	ABC30	Tservikaalosa närvijuurte dekompressioon 
2003/01/01	kood	ABC33	Torakaalosa närvijuurte dekompressioon 
2003/01/01	kood	ABC36	Lumbaalosa närvijuurte dekompressioon 
2003/01/01	kood	ABC40	Cauda equina dekompressioon 
2003/01/01	kood	ABC50	Tservikaalosa spinaalkanali ja närvijuurte dekompressioon 
2003/01/01	kood	ABC53	Torakaalosa spinaalkanali ja närvijuurte dekompressioon 
2003/01/01	kood	ABC56	Lumbaalosa spinaalkanali ja närvijuurte dekompressioon 
2003/01/01	kood	ABC60	Seljaaju tservikaalosa dekompressioon 
2003/01/01	kood	ABC63	Seljaaju torakaalosa dekompressioon 
2003/01/01	kood	ABC66	Seljaaju lumbaalosa dekompressioon 
2003/01/01	kood	ABC99	Muu dekomprimeeriv operatsioon seljaajul ja närvijuurtel 
2003/01/01	kood	ABD10	Kordotoomia
2003/01/01	kood	ABD20	Müelotoomia
2003/01/01	kood	ABD30	Spinaalse stimulaatori implantatsioon
2003/01/01	kood	ABD40	Spinaalse süstesüsteemi implantatsioon
2003/01/01	kood	ABD50	Spinaalse närvijuure transsektsioon valu või häiritud funktsiooni tõttu
2003/01/01	kood	ABD99	Muu operatsioon seljaajul või närvil valu või häiritud funktsiooni tõttu
2003/01/01	kood	ABE10	Müelotseele või meningotseele ekstsisioon ja korrektsioon
2003/01/01	kood	ABE20	Tethered cord’i või diastematomüeelia mobilisatsioon
2003/01/01	kood	ABE30	Dermaalsiinuse ekstsisioon
2003/01/01	kood	ABE40	Operatsioon hüdromüeelia korral
2003/01/01	kood	ABE50	Oktsipitotservikaalne dekompressioon
2003/01/01	kood	ABE99	Muu operatsioon lülisamba malformatsiooni korral
2003/01/01	kood	ABW99	Muu operatsioon seljaajul või närvijuurtel
2003/01/01	kood	ACA11	"Perifeerse närvi eksploratsioon; n. medianus"
2003/01/01	kood	ACA12	"Perifeerse närvi eksploratsioon; n. radialis"
2003/01/01	kood	ACA13	"Perifeerse närvi eksploratsioon; n. ulnaris"
2003/01/01	kood	ACA14	"Perifeerse närvi eksploratsioon; n. peroneus"
2003/01/01	kood	ACA15	"Perifeerse närvi eksploratsioon; n. tibialis"
2003/01/01	kood	ACA16	"Perifeerse närvi eksploratsioon; n. ischiadicus"
2003/01/01	kood	ACA17	"Perifeerse närvi eksploratsioon; plexus lumbalis"
2003/01/01	kood	ACA18	"Perifeerse närvi eksploratsioon; mlexus brachialis"
2003/01/01	kood	ACA19	"Perifeerse närvi eksploratsioon; muu või määratlemata"
2003/01/01	kood	ACA21	"Perifeerse närvi biopsia; n. medianus"
2003/01/01	kood	ACA22	"Perifeerse närvi biopsia; n. radialis"
2003/01/01	kood	ACA23	"Perifeerse närvi biopsia; n. ulnaris"
2003/01/01	kood	ACA24	"Perifeerse närvi biopsia; n. peroneus"
2003/01/01	kood	ACA25	"Perifeerse närvi biopsia; n. tibialis"
2003/01/01	kood	ACA26	"Perifeerse närvi biopsia; n. ischiadicus"
2003/01/01	kood	ACA27	"Perifeerse närvi biopsia; plexus lumbalis"
2003/01/01	kood	ACA28	"Perifeerse närvi biopsia; mlexus brachialis"
2003/01/01	kood	ACA29	"Perifeerse närvi biopsia; muu või määratlemata"
2003/01/01	kood	ACA91	"Muu diagnostiline operatsioon perifeersel närvil; n. medianus"
2003/01/01	kood	ACA92	"Muu diagnostiline operatsioon perifeersel närvil; n. radialis"
2003/01/01	kood	ACA93	"Muu diagnostiline operatsioon perifeersel närvil; n. ulnaris"
2003/01/01	kood	ACA94	"Muu diagnostiline operatsioon perifeersel närvil; n. peroneus"
2003/01/01	kood	ACA95	"Muu diagnostiline operatsioon perifeersel närvil; n. tibialis"
2003/01/01	kood	ACA96	"Muu diagnostiline operatsioon perifeersel närvil; n. ischiadicus"
2003/01/01	kood	ACA97	"Muu diagnostiline operatsioon perifeersel närvil; plexus lumbalis"
2003/01/01	kood	ACA98	"Muu diagnostiline operatsioon perifeersel närvil; mlexus brachialis"
2003/01/01	kood	ACA99	"Muu diagnostiline operatsioon perifeersel närvil; muu või määratlemata"
2003/01/01	kood	ACB11	"Perifeerse närvi kahjustuse ekstsisioon; n. medianus"
2003/01/01	kood	ACB12	"Perifeerse närvi kahjustuse ekstsisioon; n. radialis"
2003/01/01	kood	ACB13	"Perifeerse närvi kahjustuse ekstsisioon; n. ulnaris"
2003/01/01	kood	ACB14	"Perifeerse närvi kahjustuse ekstsisioon; n. peroneus"
2003/01/01	kood	ACB15	"Perifeerse närvi kahjustuse ekstsisioon; n. tibialis"
2003/01/01	kood	ACB16	"Perifeerse närvi kahjustuse ekstsisioon; n. ischiadicus"
2003/01/01	kood	ACB17	"Perifeerse närvi kahjustuse ekstsisioon; plexus lumbalis"
2003/01/01	kood	ACB18	"Perifeerse närvi kahjustuse ekstsisioon; mlexus brachialis"
2003/01/01	kood	ACB19	"Perifeerse närvi kahjustuse ekstsisioon; muu või määratlemata"
2003/01/01	kood	ACB21	"Perifeerse närvi õmblus; n. medianus"
2003/01/01	kood	ACB22	"Perifeerse närvi õmblus; n. radialis"
2003/01/01	kood	ACB23	"Perifeerse närvi õmblus; n. ulnaris"
2003/01/01	kood	ACB24	"Perifeerse närvi õmblus; n. peroneus"
2003/01/01	kood	ACB25	"Perifeerse närvi õmblus; n. tibialis"
2003/01/01	kood	ACB26	"Perifeerse närvi õmblus; n. ischiadicus"
2003/01/01	kood	ACB27	"Perifeerse närvi õmblus; plexus lumbalis"
2003/01/01	kood	ACB28	"Perifeerse närvi õmblus; mlexus brachialis"
2003/01/01	kood	ACB29	"Perifeerse närvi õmblus; muu või määratlemata"
2003/01/01	kood	ACB91	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. medianus"
2003/01/01	kood	ACB92	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. radialis"
2003/01/01	kood	ACB93	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. ulnaris"
2003/01/01	kood	ACB94	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. peroneus"
2003/01/01	kood	ACB95	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. tibialis"
2003/01/01	kood	ACB96	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. ischiadicus"
2003/01/01	kood	ACB97	"Muu operatsioon perifeerse närvi kahjustuse puhul; plexus lumbalis"
2003/01/01	kood	ACB98	"Muu operatsioon perifeerse närvi kahjustuse puhul; mlexus brachialis"
2003/01/01	kood	ACB99	"Muu operatsioon perifeerse närvi kahjustuse puhul; muu või määratlemata"
2003/01/01	kood	ACC11	"Perifeerse närvi transtsisioon; n. medianus"
2003/01/01	kood	ACC12	"Perifeerse närvi transtsisioon; n. radialis"
2003/01/01	kood	ACC13	"Perifeerse närvi transtsisioon; n. ulnaris"
2003/01/01	kood	ACC14	"Perifeerse närvi transtsisioon; n. peroneus"
2003/01/01	kood	ACC15	"Perifeerse närvi transtsisioon; n. tibialis"
2003/01/01	kood	ACC16	"Perifeerse närvi transtsisioon; n. ischiadicus"
2003/01/01	kood	ACC17	"Perifeerse närvi transtsisioon; plexus lumbalis"
2003/01/01	kood	ACC18	"Perifeerse närvi transtsisioon; mlexus brachialis"
2003/01/01	kood	ACC19	"Perifeerse närvi transtsisioon; muu või määratlemata"
2003/01/01	kood	ACC21	"Perifeerse närvi rekonstruktsioon; n. medianus"
2003/01/01	kood	ACC22	"Perifeerse närvi rekonstruktsioon; n. radialis"
2003/01/01	kood	ACC23	"Perifeerse närvi rekonstruktsioon; n. ulnaris"
2003/01/01	kood	ACC24	"Perifeerse närvi rekonstruktsioon; n. peroneus"
2003/01/01	kood	ACC25	"Perifeerse närvi rekonstruktsioon; n. tibialis"
2003/01/01	kood	ACC26	"Perifeerse närvi rekonstruktsioon; n. ischiadicus"
2003/01/01	kood	ACC27	"Perifeerse närvi rekonstruktsioon; plexus lumbalis"
2003/01/01	kood	ACC28	"Perifeerse närvi rekonstruktsioon; mlexus brachialis"
2003/01/01	kood	ACC29	"Perifeerse närvi rekonstruktsioon; muu või määratlemata"
2003/01/01	kood	ACC41	"Perifeerse närvi transpositsioon; n. medianus"
2003/01/01	kood	ACC42	"Perifeerse närvi transpositsioon; n. radialis"
2003/01/01	kood	ACC43	"Perifeerse närvi transpositsioon; n. ulnaris"
2003/01/01	kood	ACC44	"Perifeerse närvi transpositsioon; n. peroneus"
2003/01/01	kood	ACC45	"Perifeerse närvi transpositsioon; n. tibialis"
2003/01/01	kood	ACC46	"Perifeerse närvi transpositsioon; n. ischiadicus"
2003/01/01	kood	ACC47	"Perifeerse närvi transpositsioon; plexus lumbalis"
2003/01/01	kood	ACC48	"Perifeerse närvi transpositsioon; mlexus brachialis"
2003/01/01	kood	ACC49	"Perifeerse närvi transpositsioon; muu või määratlemata"
2003/01/01	kood	ACC51	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. medianus"
2003/01/01	kood	ACC52	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. radialis"
2003/01/01	kood	ACC53	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. ulnaris"
2003/01/01	kood	ACC54	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. peroneus"
2003/01/01	kood	ACC55	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. tibialis"
2003/01/01	kood	ACC56	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. ischiadicus"
2003/01/01	kood	ACC57	"Perifeerse närvi liidetest vabastamine ja dekompressioon; plexus lumbalis"
2003/01/01	kood	ACC58	"Perifeerse närvi liidetest vabastamine ja dekompressioon; mlexus brachialis"
2003/01/01	kood	ACC59	"Perifeerse närvi liidetest vabastamine ja dekompressioon; muu või määratlemata"
2003/01/01	kood	ACC91	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. medianus"
2003/01/01	kood	ACC92	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. radialis"
2003/01/01	kood	ACC93	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. ulnaris"
2003/01/01	kood	ACC94	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. peroneus"
2003/01/01	kood	ACC95	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. tibialis"
2003/01/01	kood	ACC96	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. ischiadicus"
2003/01/01	kood	ACC97	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; plexus lumbalis"
2003/01/01	kood	ACC98	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; mlexus brachialis"
2003/01/01	kood	ACC99	"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; muu või määratlemata"
2003/01/01	kood	ACW99	Muu operatsioon perifeersel närvil
2003/01/01	kood	ADA10	Tservikaalsümpatektoomia
2003/01/01	kood	ADA20	Torakaalsümpatektoomia
2003/01/01	kood	ADA30	Lumbaalsümpatektoomia
2003/01/01	kood	ADA99	Muu operatsioon sümpaatilisel närvil
2003/01/01	kood	ADB00	N. vagus’t stimuleeriva vahendi asetamine
2003/01/01	kood	ADW99	Muu operatsioon autonoomsel närvisüsteemil
2003/01/01	kood	AEA00	Stimulatsioonivahendi impulssgeneraatori asendamine närvisüsteemis
2003/01/01	kood	AEA20	Stimulatsioonivahendi impulssgeneraatori eemaldamine närvisüsteemist
2003/01/01	kood	AEA23	Intrakraniaalse elektroodi eemaldamine
2003/01/01	kood	AEA24	Seljaaju stimulatsiooni elektroodi eemaldamine
2003/01/01	kood	AEA25	Nervus vagus’e stimulatsiooni elektroodi eemaldamine
2003/01/01	kood	AEA30	Asetatud süstevahendi pumba asendamine närvisüsteemis
2003/01/01	kood	AEA40	Asetatud süstevahendi pumba eemaldamine närvisüsteemist
2003/01/01	kood	AEA43	Intrakraniaalse süstevahendi kateetri eemaldamine
2003/01/01	kood	AEA44	Seljaaju süstevahendi kateetri eemaldamine 
2003/01/01	kood	AWA00	Haava dehistsentsi korrektsioon neurokirurgias
2003/01/01	kood	AWB00	Kordusoperatsioon pindmise infektsiooni korral neurokirurgias
2003/01/01	kood	AWC00	Kordusoperatsioon süvainfektsiooni korral neurokirurgias
2003/01/01	kood	AWD00	Kordusoperatsioon pindmise verejooksu korral neurokirurgias
2003/01/01	kood	AWE00	Kordusoperatsioon sisemise verejooksu korral neurokirurgias
2003/01/01	kood	AWW99	Muu kordusoperatsioon neurokirurgias
2003/01/01	kood	BAA00	Kilpnäärme biopsia
2003/01/01	kood	BAA05	Kilpnäärme eksploratsioon
2003/01/01	kood	BAA10	Kilpnäärme intsisioon
2003/01/01	kood	BAA20	Ühepoolne osaline kilpnäärme ekstsisioon
2003/01/01	kood	BAA25	Mõlemapoolne osaline kilpnäärme ekstsisioon
2003/01/01	kood	BAA30	Kilpnäärme istmuse ekstsisioon
2003/01/01	kood	BAA40	Ühepoolne kilpnäärme lobektoomia
2003/01/01	kood	BAA50	Lobektoomia ja vastaspoolse kilpnäärmesagara resektsioon
2003/01/01	kood	BAA60	Totaalne türeoidektoomia
2003/01/01	kood	BAA99	Muu operatsioon kilpnäärmel
2003/01/01	kood	BBA10	Kõrvalkilpnäärme biopsia
2003/01/01	kood	BBA20	Kõrvalkilpnäärme eksploratsioon
2003/01/01	kood	BBA30	Kõrvalkilpnäärme lesiooni ekstsisioon
2003/01/01	kood	BBA40	Subtotaalne paratüreoidektoomia
2003/01/01	kood	BBA50	Totaalne paratüreoidektoomia
2003/01/01	kood	BBA70	Kõrvalkilpnäärme implantatsioon või transplantatsioon
2003/01/01	kood	BBA99	Muud operatsioonid kõrvalkilpnäärmel
2003/01/01	kood	BCA10	Neerupealise biopsia
2003/01/01	kood	BCA11	Laparoskoopiline neerupealise biopsia
2003/01/01	kood	BCA15	Neerupealise intsisioon
2003/01/01	kood	BCA20	Neerupealise lesiooni ekstsisioon
2003/01/01	kood	BCA30	Ühepoolne adrenalektoomia
2003/01/01	kood	BCA31	Laparoskoopiline ühepoolne adrenalektoomia
2003/01/01	kood	BCA40	Bilateraalne adrenalektoomia
2003/01/01	kood	BCA41	Laparoskoopiline bilateraalne adrenalektoomia
2003/01/01	kood	BCA99	Muud operatsioonid neerupealisel
2003/01/01	kood	BDA10	Operatsioon karotiidkehal
2003/01/01	kood	BWA00	Haava dehistsentsi korrektsioon endokriinkirurgias
2003/01/01	kood	BWB00	Kordusoperatsioon pindmise infektsiooni korral endokriinkirurgias
2003/01/01	kood	BWC00	Kordusoperatsioon süvainfektsiooni korral endokriinkirurgias
2003/01/01	kood	BWD00	Kordusoperatsioon pindmise verejooksu korral endokriinkirurgias
2003/01/01	kood	BWE00	Kordusoperatsioon sisemise verejooksu korral endokriinkirurgias
2003/01/01	kood	BWW99	Muu kordusoperatsioon endokriinkirurgias
2003/01/01	kood	CAA00	Orbita abstsessi punktsioon
2003/01/01	kood	CAA10	Diagnostiline eesmine orbitotoomia
2003/01/01	kood	CAA20	Diagnostiline lateraalne orbitotoomia
2003/01/01	kood	CAA30	Orbita biopsia
2003/01/01	kood	CAB00	Eesmine orbitotoomia koos kahjustuse ekstsisiooniga
2003/01/01	kood	CAB10	Lateraalne orbitotoomia koos kahjustuse ekstsisiooniga
2003/01/01	kood	CAB40	Transkraniaalne orbitotoomia koos kahjustuse ekstsisiooniga
2003/01/01	kood	CAB50	Orbitotoomia koos võõrkeha eemaldamisega
2003/01/01	kood	CAC00	Orbita seina rekonstruktsioon
2003/01/01	kood	CAC10	Orbita seina rekonstruktsioon luulise transplantaadi või plaadiga
2003/01/01	kood	CAC20	Orbita lateraalne dekompressioon
2003/01/01	kood	CAC30	Orbita dekompressioon siinusteni
2003/01/01	kood	CAC40	Orbita ülaseina või optilise kanali transkraniaalne dekompressioon
2003/01/01	kood	CAC42	Orbita dekompressioon kasutades koronaaljuurdepääsu
2003/01/01	kood	CAC44	Orbita kombineeritud dekompressioon
2003/01/01	kood	CAC50	Orbita seina kaasasündinud anomaaliaid likvideeriv operatsioon
2003/01/01	kood	CAD00	Orbita eksenteratsioon koos transplantaadi või koelapi kasutamisega
2003/01/01	kood	CAE00	Implantaadi eemaldamine orbitast
2003/01/01	kood	CAE10	Revisioon ja sekundaarse implantaadi paigaldamine orbitasse
2003/01/01	kood	CAE20	Konjuktiivkoti revisioon koos konjuktiivi siirdamisega
2003/01/01	kood	CAW99	Muu operatsioon orbital
2003/01/01	kood	CBA00	Silmalau intsisioon 
2003/01/01	kood	CBA10	Silmalau biopsia
2003/01/01	kood	CBB00	Halasiooni (“rahetera”) ekstsisioon
2003/01/01	kood	CBB10	Silmalau üleliigse naha ekstsisioon
2003/01/01	kood	CBB15	Silmalaust väljavõlvunud rasvkoe resektsioon
2003/01/01	kood	CBB20	Silmalau lodeva naha korrektsioon ja väljavõlvunud rasvkoe resektsioon
2003/01/01	kood	CBB30	Silmalau kahjustuse ekstsisioon
2003/01/01	kood	CBB35	Krüoteraapia silmalau kahjustuse korral
2003/01/01	kood	CBB40	Elektrokoagulatsioon silmalau kahjustuse korral
2003/01/01	kood	CBB50	Silmalau kahjustuse ekstsisioon ja rekonstruktsioon transplantaadiga
2003/01/01	kood	CBB99	Silmalau kahjustuse muu ekstsisioon või korrektsioon
2003/01/01	kood	CBC00	Silmalau õmblus
2003/01/01	kood	CBC10	Võõrkeha eemaldamine silmalault
2003/01/01	kood	CBC99	Muu operatsioon silmalau vigastuse korral
2003/01/01	kood	CBD00	Silmalau plastiline rekonstruktsioon õmblusega
2003/01/01	kood	CBD10	Silmalau plastiline rekonstruktsioon transplantaadi või koelapiga
2003/01/01	kood	CBD99	Silmalau muu plastiline rekonstruktsioon
2003/01/01	kood	CBE00	Silmalau õmblus entroopiumi korral
2003/01/01	kood	CBE10	Orbikulaarlihase transpositsioon ja lühendamine entroopiumi korral
2003/01/01	kood	CBE20	Silmalau tõsturlihaste lühendamine entroopiumi korral
2003/01/01	kood	CBE30	Horisontaalne lühendamine entroopiumi korral
2003/01/01	kood	CBE40	Kombineeritud entroopiumi korrektsioon
2003/01/01	kood	CBE99	Muu operatsioon entroopiumi korral
2003/01/01	kood	CBF00	Silmalau elektrokauterisatsioon ektroopiumi korral
2003/01/01	kood	CBF10	Lauligamendi lühendamine ektroopiumi korral
2003/01/01	kood	CBF20	Laukõhre ekstsisioon ektroopiumi korral
2003/01/01	kood	CBF30	Laukõhre ja naha ekstsisioon ektroopiumi korral
2003/01/01	kood	CBF40	Silmalau plastiline korrektsioon armilise ektroopiumi korral
2003/01/01	kood	CBF99	Muu operatsioon ektroopiumi korral
2003/01/01	kood	CBG00	Ripsmete epilatsioon elektrolüüsiga
2003/01/01	kood	CBG10	Krüoteraapia trihhiaasi korral
2003/01/01	kood	CBG20	Silmalau serva plastiline korrektsioon trihhiaasi korral
