Kood;Nimetus eesti keeles;Kehtiv alates
AAF45;Intrakraniaalse tsüsti fenestratsioon;1.1.2003
AAF99;Muu sunteeriv operatsioon ajuvatsakestel või intrakraniaalsel tsüstil;1.1.2003
AAG00;Stereotaktiline intrakraniaalne biopsia;1.1.2003
AAG10;Stereotaktiline tuumori või närvitrakti intrakraniaalne destruktsioon;1.1.2003
AAG20;Stereotaktiline elektroodide intrakraniaalne implanteerimine;1.1.2003
AAG30;Stereotaktiline radioaktiivse aine intrakraniaalne implanteerimine;1.1.2003
AAG40;Stereotaktiline lootekoe intrakraniaalne implanteerimine;1.1.2003
AAG50;Stereotaktiline intrakraniaalne radioteraapia;1.1.2003
AAG99;Muu stereotaktiline intrakraniaalne operatsioon;1.1.2003
AAH10;Kraniaalnärvi risotoomia;1.1.2003
AAH20;Kraniaalnärvi dekompressioon;1.1.2003
AAH30;Kraniaalnärvi termiline destruktsioon;1.1.2003
AAH40;Süstimine kraniaalnärvi;1.1.2003
AAH50;Kraniaalnärvi anastomoos;1.1.2003
AAH60;Kraniaalnärvi mikrovaskulaarne dekompressioon;1.1.2003
AAH99;Muu operatsioon kraniaalnärvil;1.1.2003
AAJ00;Hemisferektoomia;1.1.2003
AAJ10;Lobektoomia epilepsia korral;1.1.2003
AAJ15;Hipokampektoomia;1.1.2003
AAJ20;Epileptilise kolde ekstsisioon;1.1.2003
AAJ25;Närvitraktide läbilõige epilepsia korral;1.1.2003
AAJ30;Kallosotoomia epilepsia korral;1.1.2003
AAJ35;Hemidekortikatsioon epilepsia korral;1.1.2003
AAJ99;Muu operatsioon epilepsia korral;1.1.2003
AAK00;Kranioplastika;1.1.2003
AAK10;Dura korrektsioon;1.1.2003
AAK20;Operatsioonid kraniosünostoosi korral;1.1.2003
AAK30;Näokolju rekonstruktsioon kaasasündinud väärarengute korral;1.1.2003
AAK40;Liikvori fistuli sulgemine;1.1.2003
AAK70;Koljubiopsia;1.1.2003
AAK75;Kolju kahjustuskolde ekstsisioon;1.1.2003
AAK80;Pealae osaline ekstsisioon;1.1.2010
AAK85;Eelnevalt eemaldatud pealae  osa replantatsioon;1.1.2010
AAK99;Muu operatsioon koljul või dural;1.1.2003
AAL00;Intrakraniaalse aneurüsmi endovaskulaarne okluseerimine;1.1.2003
AAL10;Intrakraniaalne endovaskulaarne trombolüüs;1.1.2003
AAL18;Intravenous fibrinolytic therapy for acute ischemic stroke ;1.1.2014
AAL20;Intrakraniaalse arterio-venoosse malformatsiooni endovaskulaarne okluseerimine;1.1.2003
AAL30;Intrakraniaalse fistuli endovaskulaarne okluseerimine;1.1.2003
AAL40;Intrakraniaalsete tuumorit toitvate arterite endovaskulaarne okluseerimine;1.1.2003
AAL99;Muu intrakraniaalne endovaskulaarne protseduur;1.1.2003
AAM00;Intrakraniaalse abstsessi punktsioon ja evakuatsioon;1.1.2003
AAM10;Intrakraniaalse abstsessi ekstsisioon;1.1.2003
AAM30;Epiduraalse või subduraalse empüeemi evakuatsioon;1.1.2003
AAM99;Muu operatsioon intrakraniaalse infektsiooni korral;1.1.2003
AAN00;Meningo-entsefalotseele ekstsisioon ja korrektsioon;1.1.2003
AAN99;Muu operatsioon kaasasündinud intrakraniaalse väärarengu korral;1.1.2003
AAP00;Lihase lokaalne transpositsioon näo halvatuse korral;1.1.2010
AAP10;Kogu näo närvide transplantatsioon näo halvatuse korral;1.1.2010
AAP20;Mikrovaskulaarne transpositsioon näo halvatuse korral;1.1.2010
AAP99;Muu rekonstruktiivne operatsioon näo halvatuse korral;1.1.2010
AAU00;Implantaadi ja välise fiksatsiooniseadme eemaldamine koljust;1.1.2003
AAW01;Intrakraniaalse stimulaatori paigaldamine;1.1.2003
AAW02;Intrakraniaalse süstesüsteemi paigaldamine;1.1.2003
AAW99;Muu operatsioon koljul või intrakraniaalsel struktuuril;1.1.2003
ABA00;Eksploratiivne laminektoomia;1.1.2003
ABA10;Spinaalkanali kahjustuskolde biopsia;1.1.2003
ABA20;Intratekaalne endoskoopia;1.1.2010
ABA30;Epiduroskoopia;1.1.2010
ABA99;Muu diagnostiline operatsioon seljaajul või närvijuurtel;1.1.2003
ABB00;Spinaalkanali kahjustuskolde ekstsisioon;1.1.2003
ABB02;Närvijuure kahjustuskolde ekstsisioon;1.1.2010
ABB04;Närvijuure kahjustuskolde destruktsioon;1.1.2010
ABB06;Närvijuure kahjustuskolde perkutaanne destruktsioon;1.1.2010
ABB10;Spinaalkanali kahjustuskolde resektsioon;1.1.2003
ABB20;Spinaalkanali intra- või ekstramedullaarse tsüsti dreenimine;1.1.2003
ABB30;Spinaalkanali kahjustuskolde destruktsioon;1.1.2003
ABB40;Spinaalkanali spontaanse kahjustuskolde hematoomi evakuatsioon;1.1.2003
ABB99;Muu operatsioon seljaaju kahjustuse korral;1.1.2003
ABC01;Perkutaanne endoskoopiline diskektoomia tservikaalse intervertebraalse diski väljasopistuse korral;1.1.2003
ABC04;Perkutaanne endoskoopiline diskektoomia torakaalse intervertebraalse diski väljasopistuse korral;1.1.2003
ABC07;Perkutaanne endoskoopiline diskektoomia lumbaalosa intervertebraalse diski väljasopistuse korral;1.1.2003
ABC10;Mikrokirurgiline ekstsisioon tservikaalse intervertebraalse diski väljasopistuse korral;1.1.2003
ABC13;Mikrokirurgiline ekstsisioon torakaalse intervertebraalse diski väljasopistuse korral;1.1.2003
ABC16;Mikrokirurgiline ekstsisioon lumbaalosa intervertebraalse diski väljasopistuse korral;1.1.2003
ABC20;Avatud diskektoomia lülisamba tservikaalosas;1.1.2003
ABC21;Lülisamba kaelaosa eesmine dekompressioon koos lülikehadevahelise implantaadi paigaldamisega;1.1.2010
ABC23;Avatud diskektoomia lülisamba torakaalosas;1.1.2003
ABC26;Avatud diskektoomia lülisamba lumbaalosas;1.1.2003
ABC28;Ogajätkete vahelise suureneva implantaadi paigaldamine;1.1.2010
ABC30;Tservikaalosa närvijuurte dekompressioon;1.1.2003
ABC33;Torakaalosa närvijuurte dekompressioon;1.1.2003
ABC36;Lumbaalosa närvijuurte dekompressioon;1.1.2003
ABC40;Cauda equina dekompressioon;1.1.2003
ABC50;Tservikaalosa spinaalkanali ja närvijuurte dekompressioon;1.1.2003
ABC53;Torakaalosa spinaalkanali ja närvijuurte dekompressioon;1.1.2003
ABC56;Lumbaalosa spinaalkanali ja närvijuurte dekompressioon;1.1.2003
ABC60;Seljaaju tservikaalosa dekompressioon;1.1.2003
ABC63;Seljaaju torakaalosa dekompressioon;1.1.2003
ABC66;Seljaaju lumbaalosa dekompressioon;1.1.2003
ABC99;Muu dekomprimeeriv operatsioon seljaajul ja närvijuurtel;1.1.2003
ABD10;Avatud kordotoomia;1.1.2003
ABD15;Perkutaanne kordotoomia;1.1.2010
ABD20;Müelotoomia;1.1.2003
ABD30;Spinaalse stimulaatori implantatsioon;1.1.2003
ABD40;Spinaalse süstesüsteemi implantatsioon;1.1.2003
ABD50;Spinaalse närvijuure transsektsioon valu või häiritud funktsiooni tõttu;1.1.2003
ABD99;Muu operatsioon seljaajul või närvil valu või häiritud funktsiooni tõttu;1.1.2003
ABE10;Müelotseele või meningotseele ekstsisioon ja korrektsioon;1.1.2003
ABE20;Tethered cord’i või diastematomüeelia mobilisatsioon;1.1.2003
ABE30;Dermaalsiinuse ekstsisioon;1.1.2003
ABE40;Operatsioon hüdromüeelia korral;1.1.2003
ABE50;Oktsipitotservikaalne dekompressioon;1.1.2003
ABE99;Muu operatsioon lülisamba malformatsiooni korral;1.1.2003
ABW99;Muu operatsioon seljaajul või närvijuurtel;1.1.2003
ACA11;"Perifeerse närvi eksploratsioon; n. medianus";1.1.2003
ACA12;"Perifeerse närvi eksploratsioon; n. radialis";1.1.2003
ACA13;"Perifeerse närvi eksploratsioon; n. ulnaris";1.1.2003
ACA14;"Perifeerse närvi eksploratsioon; n. peroneus";1.1.2003
ACA15;"Perifeerse närvi eksploratsioon; n. tibialis";1.1.2003
ACA16;"Perifeerse närvi eksploratsioon; n. ischiadicus";1.1.2003
ACA17;"Perifeerse närvi eksploratsioon; plexus lumbalis";1.1.2003
ACA18;"Perifeerse närvi eksploratsioon; mlexus brachialis";1.1.2003
ACA19;"Perifeerse närvi eksploratsioon; muu või määratlemata";1.1.2003
ACA21;"Perifeerse närvi biopsia; n. medianus";1.1.2003
ACA22;"Perifeerse närvi biopsia; n. radialis";1.1.2003
ACA23;"Perifeerse närvi biopsia; n. ulnaris";1.1.2003
ACA24;"Perifeerse närvi biopsia; n. peroneus";1.1.2003
ACA25;"Perifeerse närvi biopsia; n. tibialis";1.1.2003
ACA26;"Perifeerse närvi biopsia; n. ischiadicus";1.1.2003
ACA27;"Perifeerse närvi biopsia; plexus lumbalis";1.1.2003
ACA28;"Perifeerse närvi biopsia; mlexus brachialis";1.1.2003
ACA29;"Perifeerse närvi biopsia; muu või määratlemata";1.1.2003
ACA91;"Muu diagnostiline operatsioon perifeersel närvil; n. medianus";1.1.2003
ACA92;"Muu diagnostiline operatsioon perifeersel närvil; n. radialis";1.1.2003
ACA93;"Muu diagnostiline operatsioon perifeersel närvil; n. ulnaris";1.1.2003
ACA94;"Muu diagnostiline operatsioon perifeersel närvil; n. peroneus";1.1.2003
ACA95;"Muu diagnostiline operatsioon perifeersel närvil; n. tibialis";1.1.2003
ACA96;"Muu diagnostiline operatsioon perifeersel närvil; n. ischiadicus";1.1.2003
ACA97;"Muu diagnostiline operatsioon perifeersel närvil; plexus lumbalis";1.1.2003
ACA98;"Muu diagnostiline operatsioon perifeersel närvil; mlexus brachialis";1.1.2003
ACA99;"Muu diagnostiline operatsioon perifeersel närvil; muu või määratlemata";1.1.2003
ACB11;"Perifeerse närvi kahjustuse ekstsisioon; n. medianus";1.1.2003
ACB12;"Perifeerse närvi kahjustuse ekstsisioon; n. radialis";1.1.2003
ACB13;"Perifeerse närvi kahjustuse ekstsisioon; n. ulnaris";1.1.2003
ACB14;"Perifeerse närvi kahjustuse ekstsisioon; n. peroneus";1.1.2003
ACB15;"Perifeerse närvi kahjustuse ekstsisioon; n. tibialis";1.1.2003
ACB16;"Perifeerse närvi kahjustuse ekstsisioon; n. ischiadicus";1.1.2003
ACB17;"Perifeerse närvi kahjustuse ekstsisioon; plexus lumbalis";1.1.2003
ACB18;"Perifeerse närvi kahjustuse ekstsisioon; mlexus brachialis";1.1.2003
ACB19;"Perifeerse närvi kahjustuse ekstsisioon; muu või määratlemata";1.1.2003
ACB21;"Perifeerse närvi õmblus; n. medianus";1.1.2003
ACB22;"Perifeerse närvi õmblus; n. radialis";1.1.2003
ACB23;"Perifeerse närvi õmblus; n. ulnaris";1.1.2003
ACB24;"Perifeerse närvi õmblus; n. peroneus";1.1.2003
ACB25;"Perifeerse närvi õmblus; n. tibialis";1.1.2003
ACB26;"Perifeerse närvi õmblus; n. ischiadicus";1.1.2003
ACB27;"Perifeerse närvi õmblus; plexus lumbalis";1.1.2003
ACB28;"Perifeerse närvi õmblus; mlexus brachialis";1.1.2003
ACB29;"Perifeerse närvi õmblus; muu või määratlemata";1.1.2003
ACB91;"Muu operatsioon perifeerse närvi kahjustuse puhul; n. medianus";1.1.2003
ACB92;"Muu operatsioon perifeerse närvi kahjustuse puhul; n. radialis";1.1.2003
ACB93;"Muu operatsioon perifeerse närvi kahjustuse puhul; n. ulnaris";1.1.2003
ACB94;"Muu operatsioon perifeerse närvi kahjustuse puhul; n. peroneus";1.1.2003
ACB95;"Muu operatsioon perifeerse närvi kahjustuse puhul; n. tibialis";1.1.2003
ACB96;"Muu operatsioon perifeerse närvi kahjustuse puhul; n. ischiadicus";1.1.2003
ACB97;"Muu operatsioon perifeerse närvi kahjustuse puhul; plexus lumbalis";1.1.2003
ACB98;"Muu operatsioon perifeerse närvi kahjustuse puhul; mlexus brachialis";1.1.2003
ACB99;"Muu operatsioon perifeerse närvi kahjustuse puhul; muu või määratlemata";1.1.2003
ACC11;"Perifeerse närvi transtsisioon; n. medianus";1.1.2003
ACC12;"Perifeerse närvi transtsisioon; n. radialis";1.1.2003
ACC13;"Perifeerse närvi transtsisioon; n. ulnaris";1.1.2003
ACC14;"Perifeerse närvi transtsisioon; n. peroneus";1.1.2003
ACC15;"Perifeerse närvi transtsisioon; n. tibialis";1.1.2003
ACC16;"Perifeerse närvi transtsisioon; n. ischiadicus";1.1.2003
ACC17;"Perifeerse närvi transtsisioon; plexus lumbalis";1.1.2003
ACC18;"Perifeerse närvi transtsisioon; mlexus brachialis";1.1.2003
ACC19;"Perifeerse närvi transtsisioon; muu või määratlemata";1.1.2003
ACC21;"Perifeerse närvi rekonstruktsioon; n. medianus";1.1.2003
ACC22;"Perifeerse närvi rekonstruktsioon; n. radialis";1.1.2003
ACC23;"Perifeerse närvi rekonstruktsioon; n. ulnaris";1.1.2003
ACC24;"Perifeerse närvi rekonstruktsioon; n. peroneus";1.1.2003
ACC25;"Perifeerse närvi rekonstruktsioon; n. tibialis";1.1.2003
ACC26;"Perifeerse närvi rekonstruktsioon; n. ischiadicus";1.1.2003
ACC27;"Perifeerse närvi rekonstruktsioon; plexus lumbalis";1.1.2003
ACC28;"Perifeerse närvi rekonstruktsioon; mlexus brachialis";1.1.2003
ACC29;"Perifeerse närvi rekonstruktsioon; muu või määratlemata";1.1.2003
ACC41;"Perifeerse närvi transpositsioon; n. medianus";1.1.2003
ACC42;"Perifeerse närvi transpositsioon; n. radialis";1.1.2003
ACC43;"Perifeerse närvi transpositsioon; n. ulnaris";1.1.2003
ACC44;"Perifeerse närvi transpositsioon; n. peroneus";1.1.2003
ACC45;"Perifeerse närvi transpositsioon; n. tibialis";1.1.2003
ACC46;"Perifeerse närvi transpositsioon; n. ischiadicus";1.1.2003
ACC47;"Perifeerse närvi transpositsioon; plexus lumbalis";1.1.2003
ACC48;"Perifeerse närvi transpositsioon; mlexus brachialis";1.1.2003
ACC49;"Perifeerse närvi transpositsioon; muu või määratlemata";1.1.2003
ACC51;"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. medianus";1.1.2003
ACC52;"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. radialis";1.1.2003
ACC53;"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. ulnaris";1.1.2003
ACC54;"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. peroneus";1.1.2003
ACC55;"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. tibialis";1.1.2003
ACC56;"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. ischiadicus";1.1.2003
ACC57;"Perifeerse närvi liidetest vabastamine ja dekompressioon; plexus lumbalis";1.1.2003
ACC58;"Perifeerse närvi liidetest vabastamine ja dekompressioon; mlexus brachialis";1.1.2003
ACC59;"Perifeerse närvi liidetest vabastamine ja dekompressioon; muu või määratlemata";1.1.2003
ACC91;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. medianus";1.1.2003
ACC92;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. radialis";1.1.2003
ACC93;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. ulnaris";1.1.2003
ACC94;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. peroneus";1.1.2003
ACC95;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. tibialis";1.1.2003
ACC96;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; n. ischiadicus";1.1.2003
ACC97;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; plexus lumbalis";1.1.2003
ACC98;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; mlexus brachialis";1.1.2003
ACC99;"Muu operatsioon perifeerse närvi häiritud funktsiooni korral; muu või määratlemata";1.1.2003
ACW99;Muu operatsioon perifeersel närvil;1.1.2003
ADA10;Tservikaalsümpatektoomia;1.1.2003
ADA20;Torakaalsümpatektoomia;1.1.2003
ADA30;Lumbaalsümpatektoomia;1.1.2003
ADA99;Muu operatsioon sümpaatilisel närvil;1.1.2003
ADB00;N. vagus’t stimuleeriva vahendi asetamine;1.1.2003
ADW99;Muu operatsioon autonoomsel närvisüsteemil;1.1.2003
AEA00;Stimulatsioonivahendi impulssgeneraatori asendamine närvisüsteemis;1.1.2003
AEA20;Stimulatsioonivahendi impulssgeneraatori eemaldamine närvisüsteemist;1.1.2003
AEA23;Intrakraniaalse elektroodi eemaldamine;1.1.2003
AEA24;Seljaaju stimulatsiooni elektroodi eemaldamine;1.1.2003
AEA25;Nervus vagus’e stimulatsiooni elektroodi eemaldamine;1.1.2003
AEA27;Spinaalse stimulatsiooni elektroodi asendamine;1.1.2010
AEA30;Asetatud süstevahendi pumba asendamine närvisüsteemis;1.1.2003
AEA40;Asetatud süstevahendi pumba eemaldamine närvisüsteemist;1.1.2003
AEA43;Intrakraniaalse süstevahendi kateetri eemaldamine;1.1.2003
AEA44;Seljaaju süstevahendi kateetri eemaldamine;1.1.2003
AWA00;Haava dehistsentsi korrektsioon neurokirurgias;1.1.2003
AWB00;Kordusoperatsioon pindmise infektsiooni korral neurokirurgias;1.1.2003
AWC00;Kordusoperatsioon süvainfektsiooni korral neurokirurgias;1.1.2003
AWD00;Kordusoperatsioon pindmise verejooksu korral neurokirurgias;1.1.2003
AWE00;Kordusoperatsioon sisemise verejooksu korral neurokirurgias;1.1.2003
AWW99;Muu kordusoperatsioon neurokirurgias;1.1.2003
BAA00;Kilpnäärme biopsia;1.1.2003
BAA05;Kilpnäärme eksploratsioon;1.1.2003
BAA10;Kilpnäärme intsisioon;1.1.2003
BAA20;Ühepoolne osaline kilpnäärme ekstsisioon;1.1.2003
BAA25;Mõlemapoolne osaline kilpnäärme ekstsisioon;1.1.2003
BAA30;Kilpnäärme istmuse ekstsisioon;1.1.2003
BAA40;Ühepoolne kilpnäärme lobektoomia;1.1.2003
BAA50;Lobektoomia ja vastaspoolse kilpnäärmesagara resektsioon;1.1.2003
BAA60;Totaalne türeoidektoomia;1.1.2003
BAA99;Muu operatsioon kilpnäärmel;1.1.2003
BBA10;Kõrvalkilpnäärme biopsia;1.1.2003
BBA20;Kõrvalkilpnäärme eksploratsioon;1.1.2003
BBA30;Kõrvalkilpnäärme lesiooni ekstsisioon;1.1.2003
BBA40;Subtotaalne paratüreoidektoomia;1.1.2003
BBA50;Totaalne paratüreoidektoomia;1.1.2003
BBA70;Kõrvalkilpnäärme implantatsioon või transplantatsioon;1.1.2003
BBA99;Muud operatsioonid kõrvalkilpnäärmel;1.1.2003
BCA10;Neerupealise biopsia;1.1.2003
BCA11;Laparoskoopiline neerupealise biopsia;1.1.2003
BCA15;Neerupealise intsisioon;1.1.2003
BCA20;Neerupealise lesiooni ekstsisioon;1.1.2003
BCA30;Ühepoolne adrenalektoomia;1.1.2003
BCA31;Laparoskoopiline ühepoolne adrenalektoomia;1.1.2003
BCA40;Bilateraalne adrenalektoomia;1.1.2003
BCA41;Laparoskoopiline bilateraalne adrenalektoomia;1.1.2003
BCA99;Muud operatsioonid neerupealisel;1.1.2003
BDA10;Operatsioon karotiidkehal;1.1.2003
BWA00;Haava dehistsentsi korrektsioon endokriinkirurgias;1.1.2003
BWB00;Kordusoperatsioon pindmise infektsiooni korral endokriinkirurgias;1.1.2003
BWC00;Kordusoperatsioon süvainfektsiooni korral endokriinkirurgias;1.1.2003
BWD00;Kordusoperatsioon pindmise verejooksu korral endokriinkirurgias;1.1.2003
BWE00;Kordusoperatsioon sisemise verejooksu korral endokriinkirurgias;1.1.2003
BWW99;Muu kordusoperatsioon endokriinkirurgias;1.1.2003
CAA00;Orbita abstsessi punktsioon;1.1.2003
CAA10;Diagnostiline eesmine orbitotoomia;1.1.2003
CAA20;Diagnostiline lateraalne orbitotoomia;1.1.2003
CAA30;Orbita biopsia;1.1.2003
CAB00;Eesmine orbitotoomia koos kahjustuse ekstsisiooniga;1.1.2003
CAB10;Lateraalne orbitotoomia koos kahjustuse ekstsisiooniga;1.1.2003
CAB40;Transkraniaalne orbitotoomia koos kahjustuse ekstsisiooniga;1.1.2003
CAB50;Orbitotoomia koos võõrkeha eemaldamisega;1.1.2003
CAC00;Orbita seina rekonstruktsioon;1.1.2003
CAC10;Orbita seina rekonstruktsioon luulise transplantaadi või plaadiga;1.1.2003
CAC20;Orbita lateraalne dekompressioon;1.1.2003
CAC30;Orbita dekompressioon siinusteni;1.1.2003
CAC40;Orbita ülaseina või optilise kanali transkraniaalne dekompressioon;1.1.2003
CAC42;Orbita dekompressioon kasutades koronaaljuurdepääsu;1.1.2003
CAC44;Orbita kombineeritud dekompressioon;1.1.2003
CAC50;Orbita seina kaasasündinud anomaaliaid likvideeriv operatsioon;1.1.2003
CAD00;Orbita eksenteratsioon koos transplantaadi või koelapi kasutamisega;1.1.2003
CAE00;Implantaadi eemaldamine orbitast;1.1.2003
CAE10;Revisioon ja sekundaarse implantaadi paigaldamine orbitasse;1.1.2003
CAE20;Konjuktiivkoti revisioon koos konjuktiivi siirdamisega;1.1.2003
CAW99;Muu operatsioon orbital;1.1.2003
CBA00;Silmalau intsisioon;1.1.2003
CBA10;Silmalau biopsia;1.1.2003
CBB00;Halasiooni (“rahetera”) ekstsisioon;1.1.2003
CBB10;Silmalau üleliigse naha ekstsisioon;1.1.2003
CBB15;Silmalaust väljavõlvunud rasvkoe resektsioon;1.1.2003
CBB20;Silmalau lodeva naha korrektsioon ja väljavõlvunud rasvkoe resektsioon;1.1.2003
CBB30;Silmalau kahjustuse ekstsisioon;1.1.2003
CBB32;Silmalau lesiooni destruktsioon;1.1.2012
CBB35;Krüoteraapia silmalau kahjustuse korral;1.1.2003
CBB40;Elektrokoagulatsioon silmalau kahjustuse korral;1.1.2003
CBB50;Silmalau kahjustuse ekstsisioon ja rekonstruktsioon transplantaadiga;1.1.2003
CBB99;Silmalau kahjustuse muu ekstsisioon või korrektsioon;1.1.2003
CBC00;Silmalau õmblus;1.1.2003
CBC10;Võõrkeha eemaldamine silmalault;1.1.2003
CBC99;Muu operatsioon silmalau vigastuse korral;1.1.2003
CBD00;Silmalau plastiline rekonstruktsioon õmblusega;1.1.2003
CBD10;Silmalau plastiline rekonstruktsioon transplantaadi või koelapiga;1.1.2003
CBD11;Silmalau transplantaadi avamine;1.1.2012
CBD99;Silmalau muu plastiline rekonstruktsioon;1.1.2003
CBE00;Silmalau õmblus entroopiumi korral;1.1.2003
CBE10;Orbikulaarlihase transpositsioon ja lühendamine entroopiumi korral;1.1.2003
CBE20;Silmalau tõsturlihaste lühendamine entroopiumi korral;1.1.2003
CBE30;Horisontaalne lühendamine entroopiumi korral;1.1.2003
CBE40;Kombineeritud entroopiumi korrektsioon;1.1.2003
CBE99;Muu operatsioon entroopiumi korral;1.1.2003
CBF00;Silmalau elektrokauterisatsioon ektroopiumi korral;1.1.2003
CBF10;Lauligamendi lühendamine ektroopiumi korral;1.1.2003
CBF20;Laukõhre ekstsisioon ektroopiumi korral;1.1.2003
CBF30;Laukõhre ja naha ekstsisioon ektroopiumi korral;1.1.2003
CBF40;Silmalau plastiline korrektsioon armilise ektroopiumi korral;1.1.2003
CBF99;Muu operatsioon ektroopiumi korral;1.1.2003
CBG00;Ripsmete epilatsioon elektrolüüsiga;1.1.2003
CBG10;Krüoteraapia trihhiaasi korral;1.1.2003
CBG20;Silmalau serva plastiline korrektsioon trihhiaasi korral;1.1.2003
CBG99;Muu operatsioon trihhiaasi korral;1.1.2003
CBH00;Kantotoomia;1.1.2003
CBH05;Kantopeksia;1.1.2003
CBH10;Silmanurga plastiline korrektsioon;1.1.2003
CBH20;Tsentraalne tarsorraafia;1.1.2003
CBH30;Lateraalne või mediaalne tarsorraafia;1.1.2003
CBH40;Tarsorraafia lahtilõikamine;1.1.2003
CBH50;Rekonstruktiivne operatsioon epikantuse korral;1.1.2003
CBH99;Muu operatsioon silmanurgal;1.1.2003
CBJ00;Frontaalsuspensioon;1.1.2003
CBJ10;Fascia lata ling silmalau ptoosi korral;1.1.2003
CBJ20;Tarsomüektoomia ptoosi korral;1.1.2003
CBJ30;Silmalau tõsturlihase plastiline korrektsioon;1.1.2003
CBJ40;Silmalau tõsturlihase resektsioon;1.1.2003
CBJ45;Ülemise tarsaallihase lühendamine. Sünonüüm: musculus orbiatlis Mülleri;1.1.2012
