Code	Text in Estonian	Text in English	Valid from	
AAK75	Kolju kahjustuskolde ekstsisioon	Excision of lesion of skull	1.1.2003	
AAK80	Pealae osaline ekstsisioon	Partial excision of skull cap	1.1.2010	
AAK85	Eelnevalt eemaldatud pealae  osa replantatsioon	Replantation of previously excised part of skull cap	1.1.2010	
AAK99	Muu operatsioon koljul või dural	Other operation on skull or dura	1.1.2003	
AAL00	Intrakraniaalse aneurüsmi endovaskulaarne okluseerimine	Endovascular occlusion of intracranial aneurysm	1.1.2003	
AAL10	Intrakraniaalne endovaskulaarne trombolüüs	Intracranial endovascular thrombolysis	1.1.2003	
AAL20	Intrakraniaalse arterio-venoosse malformatsiooni endovaskulaarne okluseerimine	Endovascular occlusion of intracranial arterio-venous malformation	1.1.2003	
AAL30	Intrakraniaalse fistuli endovaskulaarne okluseerimine	Endovascular occlusion of intracranial fistula	1.1.2003	
AAL40	Intrakraniaalsete tuumorit toitvate arterite endovaskulaarne okluseerimine	Endovascular occlusion of feeding arteries of intracranial tumour	1.1.2003	
AAL99	Muu intrakraniaalne endovaskulaarne protseduur	Other intracranial endovascular procedure	1.1.2003	
AAM00	Intrakraniaalse abstsessi punktsioon ja evakuatsioon	Puncture and evacuation of intracerebral abscess	1.1.2003	
AAM10	Intrakraniaalse abstsessi ekstsisioon	Excision of intracerebral abscess	1.1.2003	
AAM30	Epiduraalse või subduraalse empüeemi evakuatsioon	Evacuation of epidural or subdural empyema	1.1.2003	
AAM99	Muu operatsioon intrakraniaalse infektsiooni korral	Other operation for intracranial infection	1.1.2003	
AAN00	Meningo-entsefalotseele ekstsisioon ja korrektsioon	Excision and repair of encephalocele	1.1.2003	
AAN99	Muu operatsioon kaasasündinud intrakraniaalse väärarengu korral	Other operation for intracranial congenital malformation	1.1.2003	
AAP00	Lihase lokaalne transpositsioon näo halvatuse korral	Local transposition of muscle for facial palsy	1.1.2010	
AAP10	Kogu näo närvide transplantatsioon näo halvatuse korral	Cross-facial transplantation of nerve for facial palsy	1.1.2010	
AAP20	Mikrovaskulaarne transpositsioon näo halvatuse korral	Microvascular transposition of muscle for facial palsy	1.1.2010	
AAP99	Muu rekonstruktiivne operatsioon näo halvatuse korral	Other reconstructive operation for facial palsy	1.1.2010	
AAU00	Implantaadi ja välise fiksatsiooniseadme eemaldamine koljust	Removal of implant or external fixation device from skull	1.1.2003	
AAW01	Intrakraniaalse stimulaatori paigaldamine	Implantation of intracranial stimulation device	1.1.2003	
AAW02	Intrakraniaalse süstesüsteemi paigaldamine	Implantation of intracranial injection device	1.1.2003	
AAW99	Muu operatsioon koljul või intrakraniaalsel struktuuril	Other operation on skull or intracranial structure	1.1.2003	
ABA00	Eksploratiivne laminektoomia	Exploratory laminectomy	1.1.2003	
ABA10	Spinaalkanali kahjustuskolde biopsia	Biopsy of lesion of spinal canal	1.1.2003	
ABA20	Intratekaalne endoskoopia	Intrathecal endoscopy	1.1.2010	
ABA30	Epiduroskoopia	Epiduroscopy	1.1.2010	
ABA99	Muu diagnostiline operatsioon seljaajul või närvijuurtel	Other diagnostic operation on spinal cord or nerve root	1.1.2003	
ABB00	Spinaalkanali kahjustuskolde ekstsisioon	Excision of lesion of spinal canal	1.1.2003	
ABB02	Närvijuure kahjustuskolde ekstsisioon	Excision of lesion of nerve root	1.1.2010	
ABB04	Närvijuure kahjustuskolde destruktsioon	Desctruction of lesion of nerve root	1.1.2010	
ABB06	Närvijuure kahjustuskolde perkutaanne destruktsioon	Percutaneous destruction of lesion of nerve root	1.1.2010	
ABB10	Spinaalkanali kahjustuskolde resektsioon	Resection of lesion of spinal canal	1.1.2003	
ABB20	Spinaalkanali intra- või ekstramedullaarse tsüsti dreenimine	Drainage of intra- or extramedullary cyst of spinal canal	1.1.2003	
ABB30	Spinaalkanali kahjustuskolde destruktsioon	Destruction of lesion of spinal canal	1.1.2003	
ABB40	Spinaalkanali spontaanse kahjustuskolde hematoomi evakuatsioon	Evacuation of spontaneous haematoma of spinal canal	1.1.2003	
ABB99	Muu operatsioon seljaaju kahjustuse korral	Other operation for lesion of spinal canal	1.1.2003	
ABC01	Perkutaanne endoskoopiline diskektoomia tservikaalse intervertebraalse diski väljasopistuse korral	Percutaneous endoscopic discectomy for cervical intervertebral disc displacement	1.1.2003	
ABC04	Perkutaanne endoskoopiline diskektoomia torakaalse intervertebraalse diski väljasopistuse korral	Percutaneous endoscopic discectomy for thoracic intervertebral disc displacement	1.1.2003	
ABC07	Perkutaanne endoskoopiline diskektoomia lumbaalosa intervertebraalse diski väljasopistuse korral	Percutaneous endoscopic discectomy for lumbar intervertebral disc displacement	1.1.2003	
ABC10	Mikrokirurgiline ekstsisioon tservikaalse intervertebraalse diski väljasopistuse korral	Microsurgical excision of cervical intervertebral disc displacement	1.1.2003	
ABC13	Mikrokirurgiline ekstsisioon torakaalse intervertebraalse diski väljasopistuse korral	Microsurgical excision of thoracic intervertebral disc displacement	1.1.2003	
ABC16	Mikrokirurgiline ekstsisioon lumbaalosa intervertebraalse diski väljasopistuse korral	Microsurgical excision of lumbar intervertebral disc displacement	1.1.2003	
ABC20	Avatud diskektoomia lülisamba tservikaalosas	Open discectomy of cervical spine	1.1.2003	
ABC21	Lülisamba kaelaosa eesmine dekompressioon koos lülikehadevahelise implantaadi paigaldamisega	Anterior decompression of cervical spine with insertion of interbody fixating implant	1.1.2010	
ABC23	Avatud diskektoomia lülisamba torakaalosas	Open discectomy of thoracic spine	1.1.2003	
ABC26	Avatud diskektoomia lülisamba lumbaalosas	Open discectomy of lumbar spine	1.1.2003	
ABC28	Ogajätkete vahelise suureneva implantaadi paigaldamine	Insertion of expanding implant between spinous processes	1.1.2010	
ABC30	Tservikaalosa närvijuurte dekompressioon	Decompression of cervical nerve roots	1.1.2003	
ABC33	Torakaalosa närvijuurte dekompressioon	Decompression of thoracic nerve roots	1.1.2003	
ABC36	Lumbaalosa närvijuurte dekompressioon	Decompression of lumbar nerve roots	1.1.2003	
ABC40	Cauda equina dekompressioon	Decompression of cauda equina	1.1.2003	
ABC50	Tservikaalosa spinaalkanali ja närvijuurte dekompressioon	Decompression of cervical spinal canal and nerve roots	1.1.2003	
ABC53	Torakaalosa spinaalkanali ja närvijuurte dekompressioon	Decompression of thoracic spinal canal and nerve roots	1.1.2003	
ABC56	Lumbaalosa spinaalkanali ja närvijuurte dekompressioon	Decompression of lumbar spinal canal and nerve roots	1.1.2003	
ABC60	Seljaaju tservikaalosa dekompressioon	Decompression of cervical spinal cord	1.1.2003	
ABC63	Seljaaju torakaalosa dekompressioon	Decompression of thoracic spinal cord	1.1.2003	
ABC66	Seljaaju lumbaalosa dekompressioon	Decompression of lumbar spinal cord	1.1.2003	
ABC99	Muu dekomprimeeriv operatsioon seljaajul ja närvijuurtel	Other decompressive operation on spinal cord or nerve root	1.1.2003	
ABD10	Avatud kordotoomia	Open cordotomy	1.1.2003	
ABD15	Perkutaanne kordotoomia	Percutaneous cordotomy	1.1.2010	
ABD20	Müelotoomia	Myelotomy	1.1.2003	
ABD30	Spinaalse stimulaatori implantatsioon	Implantation of spinal stimulation device	1.1.2003	
ABD40	Spinaalse süstesüsteemi implantatsioon	Implantation of spinal injection device	1.1.2003	
ABD50	Spinaalse närvijuure transsektsioon valu või häiritud funktsiooni tõttu	Transection of spinal nerve root for pain or impaired function	1.1.2003	
ABD99	Muu operatsioon seljaajul või närvil valu või häiritud funktsiooni tõttu	Other operation on spinal cord or nerve for pain or impaired function	1.1.2003	
ABE10	Müelotseele või meningotseele ekstsisioon ja korrektsioon	Excision and repair of myelocele or meningocele	1.1.2003	
ABE20	Tethered cord’i või diastematomüeelia mobilisatsioon	Mobilisation of tethered cord or diastematomyelia	1.1.2003	
ABE30	Dermaalsiinuse ekstsisioon	Excision of dermal sinus	1.1.2003	
ABE40	Operatsioon hüdromüeelia korral	Operation for hydromyelia	1.1.2003	
ABE50	Oktsipitotservikaalne dekompressioon	Occipitocervical decompression	1.1.2003	
ABE99	Muu operatsioon lülisamba malformatsiooni korral	Other operation for spinal malformation	1.1.2003	
ABW99	Muu operatsioon seljaajul või närvijuurtel	Other operation on spinal cord or nerve root	1.1.2003	
ACA11	"Perifeerse närvi eksploratsioon; n. medianus"	"Exploration of peripheral nerve; median"	1.1.2003	
ACA12	"Perifeerse närvi eksploratsioon; n. radialis"	"Exploration of peripheral nerve; radial"	1.1.2003	
ACA13	"Perifeerse närvi eksploratsioon; n. ulnaris"	"Exploration of peripheral nerve; ulnar"	1.1.2003	
ACA14	"Perifeerse närvi eksploratsioon; n. peroneus"	"Exploration of peripheral nerve; peroneal"	1.1.2003	
ACA15	"Perifeerse närvi eksploratsioon; n. tibialis"	"Exploration of peripheral nerve; tibial"	1.1.2003	
ACA16	"Perifeerse närvi eksploratsioon; n. ischiadicus"	"Exploration of peripheral nerve; sciatic"	1.1.2003	
ACA17	"Perifeerse närvi eksploratsioon; plexus lumbalis"	"Exploration of peripheral nerve; lumbar plexus"	1.1.2003	
ACA18	"Perifeerse närvi eksploratsioon; mlexus brachialis"	"Exploration of peripheral nerve; brachial plexus"	1.1.2003	
ACA19	"Perifeerse närvi eksploratsioon; muu või määratlemata"	"Exploration of peripheral nerve; other or unspecified"	1.1.2003	
ACA21	"Perifeerse närvi biopsia; n. medianus"	"Biopsy of peripheral nerve; median"	1.1.2003	
ACA22	"Perifeerse närvi biopsia; n. radialis"	"Biopsy of peripheral nerve; radial"	1.1.2003	
ACA23	"Perifeerse närvi biopsia; n. ulnaris"	"Biopsy of peripheral nerve; ulnar"	1.1.2003	
ACA24	"Perifeerse närvi biopsia; n. peroneus"	"Biopsy of peripheral nerve; peroneal"	1.1.2003	
ACA25	"Perifeerse närvi biopsia; n. tibialis"	"Biopsy of peripheral nerve; tibial"	1.1.2003	
ACA26	"Perifeerse närvi biopsia; n. ischiadicus"	"Biopsy of peripheral nerve; sciatic"	1.1.2003	
ACA27	"Perifeerse närvi biopsia; plexus lumbalis"	"Biopsy of peripheral nerve; lumbar plexus"	1.1.2003	
ACA28	"Perifeerse närvi biopsia; mlexus brachialis"	"Biopsy of peripheral nerve; brachial plexus"	1.1.2003	
ACA29	"Perifeerse närvi biopsia; muu või määratlemata"	"Biopsy of peripheral nerve; other or unspecified"	1.1.2003	
ACA91	"Muu diagnostiline operatsioon perifeersel närvil; n. medianus"	"Other diagnostic operation on peripheral nerve; median"	1.1.2003	
ACA92	"Muu diagnostiline operatsioon perifeersel närvil; n. radialis"	"Other diagnostic operation on peripheral nerve; radial"	1.1.2003	
ACA93	"Muu diagnostiline operatsioon perifeersel närvil; n. ulnaris"	"Other diagnostic operation on peripheral nerve; ulnar"	1.1.2003	
ACA94	"Muu diagnostiline operatsioon perifeersel närvil; n. peroneus"	"Other diagnostic operation on peripheral nerve; peroneal"	1.1.2003	
ACA95	"Muu diagnostiline operatsioon perifeersel närvil; n. tibialis"	"Other diagnostic operation on peripheral nerve; tibial"	1.1.2003	
ACA96	"Muu diagnostiline operatsioon perifeersel närvil; n. ischiadicus"	"Other diagnostic operation on peripheral nerve; sciatic"	1.1.2003	
ACA97	"Muu diagnostiline operatsioon perifeersel närvil; plexus lumbalis"	"Other diagnostic operation on peripheral nerve; lumbar plexus"	1.1.2003	
ACA98	"Muu diagnostiline operatsioon perifeersel närvil; mlexus brachialis"	"Other diagnostic operation on peripheral nerve; brachial plexus"	1.1.2003	
ACA99	"Muu diagnostiline operatsioon perifeersel närvil; muu või määratlemata"	"Other diagnostic operation on peripheral nerve; other or unspecified"	1.1.2003	
ACB11	"Perifeerse närvi kahjustuse ekstsisioon; n. medianus"	"Excision of lesion of peripheral nerve; median"	1.1.2003	
ACB12	"Perifeerse närvi kahjustuse ekstsisioon; n. radialis"	"Excision of lesion of peripheral nerve; radial"	1.1.2003	
ACB13	"Perifeerse närvi kahjustuse ekstsisioon; n. ulnaris"	"Excision of lesion of peripheral nerve; ulnar"	1.1.2003	
ACB14	"Perifeerse närvi kahjustuse ekstsisioon; n. peroneus"	"Excision of lesion of peripheral nerve; peroneal"	1.1.2003	
ACB15	"Perifeerse närvi kahjustuse ekstsisioon; n. tibialis"	"Excision of lesion of peripheral nerve; tibial"	1.1.2003	
ACB16	"Perifeerse närvi kahjustuse ekstsisioon; n. ischiadicus"	"Excision of lesion of peripheral nerve; sciatic"	1.1.2003	
ACB17	"Perifeerse närvi kahjustuse ekstsisioon; plexus lumbalis"	"Excision of lesion of peripheral nerve; lumbar plexus"	1.1.2003	
ACB18	"Perifeerse närvi kahjustuse ekstsisioon; mlexus brachialis"	"Excision of lesion of peripheral nerve; brachial plexus"	1.1.2003	
ACB19	"Perifeerse närvi kahjustuse ekstsisioon; muu või määratlemata"	"Excision of lesion of peripheral nerve; other or unspecified"	1.1.2003	
ACB21	"Perifeerse närvi õmblus; n. medianus"	"Suture of peripheral nerve; median"	1.1.2003	
ACB22	"Perifeerse närvi õmblus; n. radialis"	"Suture of peripheral nerve; radial"	1.1.2003	
ACB23	"Perifeerse närvi õmblus; n. ulnaris"	"Suture of peripheral nerve; ulnar"	1.1.2003	
ACB24	"Perifeerse närvi õmblus; n. peroneus"	"Suture of peripheral nerve; peroneal"	1.1.2003	
ACB25	"Perifeerse närvi õmblus; n. tibialis"	"Suture of peripheral nerve; tibial"	1.1.2003	
ACB26	"Perifeerse närvi õmblus; n. ischiadicus"	"Suture of peripheral nerve; sciatic"	1.1.2003	
ACB27	"Perifeerse närvi õmblus; plexus lumbalis"	"Suture of peripheral nerve; lumbar plexus"	1.1.2003	
ACB28	"Perifeerse närvi õmblus; mlexus brachialis"	"Suture of peripheral nerve; brachial plexus"	1.1.2003	
ACB29	"Perifeerse närvi õmblus; muu või määratlemata"	"Suture of peripheral nerve; other or unspecified"	1.1.2003	
ACB91	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. medianus"	"Other operation for lesion of peripheral nerve; median"	1.1.2003	
ACB92	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. radialis"	"Other operation for lesion of peripheral nerve; radial"	1.1.2003	
ACB93	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. ulnaris"	"Other operation for lesion of peripheral nerve; ulnar"	1.1.2003	
ACB94	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. peroneus"	"Other operation for lesion of peripheral nerve; peroneal"	1.1.2003	
ACB95	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. tibialis"	"Other operation for lesion of peripheral nerve; tibial"	1.1.2003	
ACB96	"Muu operatsioon perifeerse närvi kahjustuse puhul; n. ischiadicus"	"Other operation for lesion of peripheral nerve; sciatic"	1.1.2003	
ACB97	"Muu operatsioon perifeerse närvi kahjustuse puhul; plexus lumbalis"	"Other operation for lesion of peripheral nerve; lumbar plexus"	1.1.2003	
ACB98	"Muu operatsioon perifeerse närvi kahjustuse puhul; mlexus brachialis"	"Other operation for lesion of peripheral nerve; brachial plexus"	1.1.2003	
ACB99	"Muu operatsioon perifeerse närvi kahjustuse puhul; muu või määratlemata"	"Other operation for lesion of peripheral nerve; other or unspecified"	1.1.2003	
ACC11	"Perifeerse närvi transtsisioon; n. medianus"	"Transcision of peripheral nerve; median"	1.1.2003	
ACC12	"Perifeerse närvi transtsisioon; n. radialis"	"Transcision of peripheral nerve; radial"	1.1.2003	
ACC13	"Perifeerse närvi transtsisioon; n. ulnaris"	"Transcision of peripheral nerve; ulnar"	1.1.2003	
ACC14	"Perifeerse närvi transtsisioon; n. peroneus"	"Transcision of peripheral nerve; peroneal"	1.1.2003	
ACC15	"Perifeerse närvi transtsisioon; n. tibialis"	"Transcision of peripheral nerve; tibial"	1.1.2003	
ACC16	"Perifeerse närvi transtsisioon; n. ischiadicus"	"Transcision of peripheral nerve; sciatic"	1.1.2003	
ACC17	"Perifeerse närvi transtsisioon; plexus lumbalis"	"Transcision of peripheral nerve; lumbar plexus"	1.1.2003	
ACC18	"Perifeerse närvi transtsisioon; mlexus brachialis"	"Transcision of peripheral nerve; brachial plexus"	1.1.2003	
ACC19	"Perifeerse närvi transtsisioon; muu või määratlemata"	"Transcision of peripheral nerve; other or unspecified"	1.1.2003	
ACC21	"Perifeerse närvi rekonstruktsioon; n. medianus"	"Reconstruction of peripheral nerve; median"	1.1.2003	
ACC22	"Perifeerse närvi rekonstruktsioon; n. radialis"	"Reconstruction of peripheral nerve; radial"	1.1.2003	
ACC23	"Perifeerse närvi rekonstruktsioon; n. ulnaris"	"Reconstruction of peripheral nerve; ulnar"	1.1.2003	
ACC24	"Perifeerse närvi rekonstruktsioon; n. peroneus"	"Reconstruction of peripheral nerve; peroneal"	1.1.2003	
ACC25	"Perifeerse närvi rekonstruktsioon; n. tibialis"	"Reconstruction of peripheral nerve; tibial"	1.1.2003	
ACC26	"Perifeerse närvi rekonstruktsioon; n. ischiadicus"	"Reconstruction of peripheral nerve; sciatic"	1.1.2003	
ACC27	"Perifeerse närvi rekonstruktsioon; plexus lumbalis"	"Reconstruction of peripheral nerve; lumbar plexus"	1.1.2003	
ACC28	"Perifeerse närvi rekonstruktsioon; mlexus brachialis"	"Reconstruction of peripheral nerve; brachial plexus"	1.1.2003	
ACC29	"Perifeerse närvi rekonstruktsioon; muu või määratlemata"	"Reconstruction of peripheral nerve; other or unspecified"	1.1.2003	
ACC41	"Perifeerse närvi transpositsioon; n. medianus"	"Transposition of peripheral nerve; median"	1.1.2003	
ACC42	"Perifeerse närvi transpositsioon; n. radialis"	"Transposition of peripheral nerve; radial"	1.1.2003	
ACC43	"Perifeerse närvi transpositsioon; n. ulnaris"	"Transposition of peripheral nerve; ulnar"	1.1.2003	
ACC44	"Perifeerse närvi transpositsioon; n. peroneus"	"Transposition of peripheral nerve; peroneal"	1.1.2003	
ACC45	"Perifeerse närvi transpositsioon; n. tibialis"	"Transposition of peripheral nerve; tibial"	1.1.2003	
ACC46	"Perifeerse närvi transpositsioon; n. ischiadicus"	"Transposition of peripheral nerve; sciatic"	1.1.2003	
ACC47	"Perifeerse närvi transpositsioon; plexus lumbalis"	"Transposition of peripheral nerve; lumbar plexus"	1.1.2003	
ACC48	"Perifeerse närvi transpositsioon; mlexus brachialis"	"Transposition of peripheral nerve; brachial plexus"	1.1.2003	
ACC49	"Perifeerse närvi transpositsioon; muu või määratlemata"	"Transposition of peripheral nerve; other or unspecified"	1.1.2003	
ACC51	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. medianus"	"Decompression and freeing of adhesions of peripheral nerve; median"	1.1.2003	
ACC52	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. radialis"	"Decompression and freeing of adhesions of peripheral nerve; radial"	1.1.2003	
ACC53	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. ulnaris"	"Decompression and freeing of adhesions of peripheral nerve; ulnar"	1.1.2003	
ACC54	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. peroneus"	"Decompression and freeing of adhesions of peripheral nerve; peroneal"	1.1.2003	
ACC55	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. tibialis"	"Decompression and freeing of adhesions of peripheral nerve; tibial"	1.1.2003	
ACC56	"Perifeerse närvi liidetest vabastamine ja dekompressioon; n. ischiadicus"	"Decompression and freeing of adhesions of peripheral nerve; sciatic"	1.1.2003	
ACC57	"Perifeerse närvi liidetest vabastamine ja dekompressioon; plexus lumbalis"	"Decompression and freeing of adhesions of peripheral nerve; lumbar plexus"	1.1.2003	
ACC58	"Perifeerse närvi liidetest vabastamine ja dekompressioon; mlexus brachialis"	"Decompression and freeing of adhesions of peripheral nerve; brachial plexus"	1.1.2003	
ACC59	"Perifeerse närvi liidetest vabastamine ja dekompressioon; muu või määratlemata"	"Decompression and freeing of adhesions of peripheral nerve; other or unspecified"	1.1.2003	
