SKSKODE	TEKST
BBGJ	Intern strålebeh (radioaktiv isotop) af det endokrine system
BBGJ0	Intern strålebeh. (radioaktiv isotop) af skjoldbruskkirtlen
BBGJ1	Intern strålebehandling (radioaktiv isotop) af binyrer
BBH	Med.beh.med virkning på det endokr.system o.a.metab.lidelser
BBHA	Peroral diabetesbehandling
BBHA0	Behandling med peroralt antidiabetikum
BBHA00	Behandling med insulinstimulerende middel
BBHA01	Behandling med glucosehæmmende middel
BBHB	Antithyreoid behandling
BBHC	Behandling med midler mod adipositas
BBHF	Hormonbehandling
BBHF0	Insulinbehandling
BBHF00	Insulinbehandling, 1-2 gg. terapi
BBHF01	Insulinbehandling, basal og bolus
BBHF02	Insulinpumpebehandling
BBHF1	Behandling med thyreoideahormon
BBHF2	Behandling med hypofysehormon
BBHF3	Behandling med binyrebarkhormon
BBHF4	Behandling med biskjoldbruskkirtelhormon
BBHF9	Hormonbehandling ikke klassificeret andetsteds
BBHF90	Hormonsubstitutionsbehandling ikke klassificeret andetsteds
BBHG	Behandling med kønshormoner og gonadotrope hormoner
BBHG0	Behandling med kvindeligt kønshormon
BBHG1	Behandling med mandligt kønshormon
BBHG3	Behandling med gonadotropt hormon
BBHG30	Behandling med ovariestimulerende middel
BBHG31	Behandling med FSH og LH
BBHG32	Behandling med GNRH analog
BBHG33	Behandling med GNRH antagonist
BBHL	Cytostatisk behandling af det endokrine system
BBHL0	Cytostatisk behandling af endokrint organ
BBHL00	Cytostatisk behandling af pancreas
BBHL01	Cytostatisk behandling af skjoldbruskkirtel
BBHL02	Cytostatisk behandling af binyre
BBHY	Med.beh.med virk.på det endokr.system/metab.lidel.ikke klass
BBHY0	Med. beh. af metab. knoglesygdom ikke klass. andetsteds
BBK	Pædagog.intervent.med rel. til det endokr.system o.a. metab.
BBKA	Oplæring i blodsukkermåling
BBKB	Oplæring i injektion af insulin
BBX	Andre interventioner med relation til det endokrine system
BBXA	Procedure med rel.til det endokr.system ikke klass. andetste
BBXA0	Mekanisk stimulation af Glomus Caroticum
BC	Øje og øjenomgivelser
BCD	Øjenbehandling med hjælpemidler og proteser
BCDD	Synskorrektion
BCDD0	Synskorrigerende behandling
BCDD01	Behandling med briller
BCDD02	Behandling med kontaktlinser
BCDD03	Behandling med svagtsynsoptik
BCDD9	Optisk behandling ikke klassificeret andetsteds
BCDE	Behandling med øjenprotese
BCDZ	Delprocedure ved behandling med øjenproteser
BCDZ0	Måltagning til øjenprotese
BCDZ1	Tilpasning af øjenprotese
BCF	Behandling af funktionsfejl i relation til synet
BCFL	Skelebehandling
BCFL0	Ortoptisk behandling
BCG	Strålebehandling med relation til øje og øjenhule
BCGA	Strålebehandling af øjenhule
BCH	Medikamentel øjenbehandling
BCHL	Cytostatisk behandling af øjenhule
BCHS	Behandling med midler mod øjensygdom
BCHS0	Oftalmologisk lokalbehandling med antibiotika
BCHS00	Behandling af bakteriel infektion i øje
BCHS01	Behandling af virusinfektion i øje
BCHS1	Lokalbehandling af øjne med antiinflammatorisk middel
BCHS2	Behandling af øjne med antiallergisk middel
BCHS3	Medikamentel glaukombehandling
BCHS9	Medikamentel beh. af øjensygdom ikke klass. andetsteds
BCHY	Beh.med midler mod øjensygdom ikke klass. andetsteds
BCHY0	Oftalmologisk lokalbehandling med antibiotika
BCHY00	Lokalbehandling af bakteriel infektion i øje
BCHY01	Lokalbehandling af virusinfektion i øje
BCHY1	Lokalbehandling af øje med antiinflammatorisk middel
BCHY2	Lokalbehandling af øje med antiallergisk middel
BCHY3	Medikamentel glaukombehandling
BCK	Pædagogiske intervent. i forb.med beh. Af øjensygdom
BCKA	Instruktion i behandling med øjendråber
BCKA0	Instruktion i drypning af øje
BCKA00	Instruktion af patient i drypning af øje
BCKA01	Instruktion af pårørende i drypning af øje
BCL	Rensning og vask med relation til øje
BCLA	Øjenskylning
BCLB	Rensning af øjenprotese og kontaktlinser
BCLB0	Rensning af kontaktlinser
BCLB1	Rensning af øjenprotese
BCLF	Forbinding af øje
BCLF0	Pålægning af øjenforbinding
BCLF1	Fjernelse af øjenforbinding
BCX	Andre interventioner med relation til øje
BCXA	Kompenserende handling ved beh.med kontaktlinse,protese mm.
BCXA0	Kompenserende handling mhp. anvendelse af kontaktlinser
BCXA1	Kompenserende handling mhp. anvendelse af øjenprotese
BCXB	Drypning af øje
BCXY	Interv. m. relation til øjet og øjenomg. ikke klass. a.steds
BCXY0	Påsætning af øjenklap
BD	Øre, næse, hals og strube
BDD	Behandling med høreapparat
BDDA	Høreapparatbehandling
BDDA0	Behandling med kanalhøreapparat
BDDA1	Behandling med conchahøreapparat
BDDA2	Behandling med ørehænger
BDDA3	Behandling med lommehøreapparat
BDDB	Speciel høreapparatbehandling
BDDB0	Høreapparatbehandling, BC (bone conductor)
BDDB1	Høreapparatbehandling. cross (contra routing of signal)
BDDB2	Høreapparatbehandling, bicross (bilateral routing of signal)
BDDD	Teknisk service til høreapparatbruger
BDDD5	Fremstilling af øreprop
BDDD50	Fremstilling af ekstern øreprop
BDDD51	Fremstilling af intern øreprop
BDDD58	Aftryk til øreprop
BDDD6	Tilpasning af høreapparat
BDDD60	Justering af programmerbart høreapparat
BDDD61	Tilpasning af høreapparat i frit felt
BDDD8	Reparation af høreapparat og tilbehør
BDDD80	Reparation af høreapparat
BDDD81	Reparation af øreprop
BDDD82	Service i forbindelse med øreprop
BDG	Strålebeh m relation til det oto-rhino-laryngologiske område
BDGA	Oto-rhino-laryngologisk strålebehandling
BDGA0	Strålebehandling af næse
BDGA1	Strålebehandling af bihuler
BDGA2	Strålebehandling af larynx
BDGA3	Strålebehandling af øre
BDH	Medikamentel oto-rhino-laryngologisk behandling
BDHL	Cytostatisk oto-rhino-laryngologisk behandling
BDHY	Med.oto-rhino-laryngologisk beh. ikke klass. andetsteds
BDHY0	Behandling med rhinologikum
BDHY00	Behandling med slimhindeadstringerende middel (næse)
BDHY01	Lokalbehandling med glukocorticosteroid (næse)
BDHY1	Medikamentel behandling af lidelse i ydre øre
BDHY2	Medikamentel behandling af lidelse i mellemøre
BDHY20	Med.beh. af transportsyge og vestibulære symptomer
BDK	Pædagog.interv. med rel.til oto-rhino-laryngologisk beh.
BDKA	Instruktion af høreapparatbruger
BDKA0	Instruktion i anvendelse af kanalhøreapparat
BDKA1	Instruktion i anvendelse af conchahøreapparat
BDKA2	Instruktion i anvendelse af ørehænger
BDKA3	Instruktion i anvendelse af lommehøreapparat
BDKC	Vejledning vedr. behandling af allergisk rhinitis
BDKC0	Vejledn. vedr. forebyggende behandling af allergisk rhinitis
BDL	Skiftning, rensning og soignering mm. med relation til øret
BDLA	Skiftning med relation til otologisk behandling
BDLF	Rensning og soignering med relation til øret
BDLF0	Rensning af høreapparat
BDX	Andre interventioner med relation til øre, næse, hals og str
BDXA	Otologisk behandling ikke klassificeret andetsteds
BDXA0	Fjernelse af ørevoks
BDXA01	Instrumentel fjernelse af ørevoks
BDXA02	Fjernelse af ørevoks ved skylning
BDXA1	Oprensning af radikalkavitet
BDXA3	Sugebehandling a.m. Proetz
BDXH	Interventioner vedr.brug af høreapparat ikke klass.andetsted
BDXH0	Kompenserende handling ved anvendelse af høreapparat
BDXH00	Kompenserende handling ved anvendelse af kanalhøreapparat
BDXH01	Kompenserende handling ved anvendelse af conchahøreapparat
BDXH02	Kompenserende handling ved anvendelse af ørehænger
BDXH03	Kompenserende handling ved anvendelse af lommehøreapparat
BDXY	Oto-rhino-laryngologisk intervention ikke klass.andetsteds
BE	Mundhule og svælg
BEC	Tandbehandling med implantater
BECA	Behandling med tandimplantater
BECA0	Udskiftning af distance
BECA1	Behandling med krone på enkelttandsimplantat
BECA10	Behandling med krone på enkelttandsimplantat i overkæben
BECA11	Behandling med krone på enkelttandsimplantat i underkæben
BECA2	Behandling med bro på implantater i delvis betandet kæbe
BECA20	Behandling med bro på implantater i delvis betandet overkæbe
BECA21	Behandling med bro på implantater i delvis betandet underkæb
BECA3	Behandling med fuldbro på implantater
BECA30	Behandling med fuldbro på implantater i overkæbe
BECA31	Behandling med fuldbro på implantater i underkæbe
BECA4	Dækprotesebehandling på implantater
BECA40	Dækprotesebehandling på implantater i overkæbe
BECA41	Dækprotesebehandling på implantater i underkæbe
BECA7	Behandling med foreløbig krone, bro og protese på implantate
BECA8	Reparation af krone, bro og protese på implantater
BED	Protesebehandling ved tandlidelser
BEDA	Behandling med tandproteser
BEDA0	Behandling med tandproteser (helprotese)
BEDA00	Behandling med helprotese i overmund
BEDA01	Behandling med helprotese i undermund
BEDA1	Behandling med tandproteser (partiel)
BEDA10	Behandling med delprotese i overmund
BEDA11	Behandling med delprotese i undermund
BEDA4	Rebasering og duplikering  af tandprotese
BEDA8	Reparation af tandprotese
BEF	Mund-, svælg- og ansigtsstimulation
BEFA	Isstimulation
BEFB	Mimiske øvelser
BEFC	Fasciooral behandling
BEG	Strålebehandling med relation til kæber, mundhule og svælg
BEGA	Ekstern strålebehandling af kæber, mundhule og svælg
BEGA0	Ekstern strålebehandling af læber
BEGA1	Ekstern strålebehandling af mundhule
BEGA2	Ekstern strålebehandling af svælg
BEGA3	Ekstern strålebehandling af spytkirtel
BEGA4	Ekstern strålebehandling af kæber
BEH	Med.beh.med virk.på lidelser i tænder,kæber,mund og svælg
BEHL	Cytostatisk beh. med relation til kæber, mundhule og svælg
BEHL0	Cytostatisk behandling af kæber, mundhule og svælg
BEHL01	Cytostatisk behandling af mundslimhinde
BEHL02	Cytostatisk behandling af spytkirtel
BEHO	Injektionsbehandling af lidelser i kæbeled og tyggemuskler
BEHO0	Injektionsbehandling af kæbeled
BEHO00	Injektionsbehandling af kæbeled med analgeticum
BEHO01	Injektionsbehandling af kæbeled med glucokortikoid
BEHO02	Injektionsbehandling af kæbeled med autologt blod
BEHO03	Injektionsbehandling af kæbeled med hyaluronsyre
BEHO1	Injektionsbehandling af tyggemuskler
BEHO10	Injektionsbehandling af tyggemuskler med analgeticum
BEHO11	Injektionsbehandling af tyggemuskler med glocokortikoid
BEHO12	Injektionsbehandling af tyggemuskler med botulinum
BEHR	Medikamentel behandling af tænder, kæber, mund og svælg
BEHR0	Medikamentel lokalbehandling af mundhule og svælg
BEHR00	Medikamentel lokalbehandling af læber
BEHR01	Medikamentel lokalbehandling af mundslimhinde
BEHR02	Medikamentel lokalbehandling af svælg
BEHR03	Medikamentel lokalbehandling af parodontium
BEHY	Med.beh.af lidelse i mundhule og svælg ikke klass.andetsteds
BEK	Pædagogiske interventioner vedrørende tand- og mundpleje
BEKA	Instruktion i mundhygiejne
BEKA0	Instruktion i tandpleje
BEKA00	Instruktion i tandbørstning
BEKA01	Instruktion i fluorskylning
BEN	Behandling af lidelser i kæbeled og tyggemuskler
BENA	Behandling af kæbeled og tyggemuskler med bidskinne
BENA0	Behandling af kæbeled  med bidskinne
BENA00	Aftryk til bidskinne ved behandling af kæbeled
BENA01	Tilpasning af bidskinne ved behandling af kæbeled
BENA1	Behandling af tyggemuskler med bidskinne
BENA10	Aftryk til bidskinne ved behandling af tyggemuskler
BENA11	Tilpasning af bidskinne ved behandling af tyggemuskler
BEO	Behandling af tænder
BEOA	Behandling med tandfyldning, krone, bro mm.
BEOA0	Behandling med tandfyldning
BEOA00	Behandling med sølvamalgamfyldning
BEOA01	Behandling med plastfyldning
BEOA02	Behandling med glasiomercementfyldning
BEOA1	Behandling med indlæg, krone og bro
BEOA10	Behandling med indlæg
BEOA11	Behandling med krone
BEOA12	Behandling med bro
BEOA5	Behandling med foreløbig tandfyldning
BEOA6	Overdækning af dentinflader ved tandfraktur
BEOB	Rodbehandling
BEOB0	Overkapning
BEOB1	Koronal amputation
BEOB2	Pulpaextirpation
BEOB3	Ortograd rodfyldning
BEOB4	Retrograd rodfyldning
BEOB5	Skift af rodfyldning
BEOE	Beslibning af tænder
BEOE0	Okklusions- og artikulationsslibning af tænder
BEOG	Intermaxillær fiksation
BEOG0	Anlæggelse af elastisk intermaxillær fiksation
BEOG1	Anlæggelse af stiv intermaxillær fiksation
BEOG5	Fjernelse af fiksationsmateriale fra tænder
BEOG6	Fjernelse af  intermaxillær fiksation
BEOG7	Fjernelse af  intermaxillære fiksationsskinner
BEOL	Tandbehandling med skinner
BEOL0	Behandling med beskyttelsesskinne
BEP	Tandregulering
BEPA	Regulering af tænder
BEPA0	Regulering af tænder med fast apparatur
BEPA1	Regulering af tænder med aftageligt apparatur
BEX	Andre interv. med rel.til tænder, kæber, mund og svælg
BEXC	Parodontalbehandling
BEXC0	Tandrensning
BEXY	Interv.med rel.til tænder,kæber,mund og svælg ikke klass.a.s
BEXY0	Aftryk til modeller
BEXY9	Odontologisk behandling ikke klassificeret andetsteds
BF	Hjerte og store kar
BFC	Behandling med kardial pacemaker og cardioverter-defibrillat
BFCA	Procedurer i forbindelse med kardial pacemakerbehandling
BFCA0	Implantation af transvenøs kardial pacemaker
BFCA01	Implant.af transvenøs kardial pacemaker med ventr. elektrode
BFCA02	Implant.af transvenøs kardial pacemaker med atrial elektrode
BFCA03	Implant.af transvenøs kardial pacemaker med atr.og ventr.ele
BFCA04	Implant.af transvenøs multi-site kardial pacemaker m.atri.el
BFCA05	Implant.af transvenøs multi-site kardial pacemaker m.ventr.e
BFCA06	Implant.af transvenøs multi-site kardial pacemaker m.elek.i
BFCA07	Implantation af VDD pacemaker
BFCA1	Udskiftning af kardial pacemaker
BFCA10	Udskiftning af kardial pacemaker - 1-kammer
BFCA11	Udskiftning af kardial pacemaker - 2-kammer
BFCA12	Udskiftning af kardial pacemaker - anden
BFCA2	Opgradering af kardial pacemaker
BFCA20	Opgrad.af kardial pacemaker inkl.suppl.elekt.til 2-kammer fu
BFCA21	Opgrad.af kardial pacemaker inkl.suppl.elekt.til multi-site
BFCA3	Revision af pacemaker
BFCA30	Revision og flytning af kardial pacemaker
BFCA31	Revision og forsænkning af kardial paceelektrode
BFCA4	Fjernelse af kardial pacemaker
BFCA5	Behandling med loop recorder
BFCA50	Implantation af loop recorder
BFCA51	Fjernelse af loop recorder
BFCA6	Implantation af transvenøs kardial paceelektrode
BFCA7	Replacering af disloceret paceelektrode
BFCA70	Replac.af disloceret transvenøst anlagt atr.paceelektrode
BFCA71	Replac.af disloceret transvenøst anlagt ventr.paceelektrode
BFCA8	Ekstraktion af transvenøs paceelektrode
BFCA80	Ekstraktion af transvenøs paceelektrode, simpel (antal)
BFCA81	Ekstraktion af transvenøs paceelektrode, laserteknik (antal)
BFCA82	Ekstraktion af transvenøs paceelektrode, sheath-system (anta
BFCA9	Anlæggelse af temporær transvenøs paceelektrode
BFCA90	Anlæggelse af temporær transvenøs paceelektrode - 1-kammer
BFCA91	Anlæg.af temporære transvenøse paceelektroder - 2-kammer
BFCB	Procedurer i forbindelse med cardioverter-defibrillator beh.
BFCB0	Implantation af cardioverter-defibrillator
BFCB00	Implant.af cardiovert.-defibrill.til ventr.takykardi,1-kamme
BFCB01	Implant.af cardiovert.-defibrill.til ventr.takykardi,2-kamme
BFCB02	Implantation af cardioverter-defibrillator til atrieflimren
BFCB03	Implantation af cardioverter-defibrillator - multisite
BFCB2	Opgradering af cardioverter-defibrillator
BFCB20	Opgrad.af cardiovert.-defibrill.inkl.suppl.elektr.til 2-kamm
BFCB21	Opgrad.af cardiovert.-defibrill.inkl.supp.elekt.til multi-si
BFCB3	Revision af cardioverter-defibrillator
BFCB30	Revision og flytning af cardioverter-defibrillator
BFCB31	Revision og forsænkning af cardioverter-defibrillator elektr
BFCB4	Fjernelse af cardioverter-defibrillator
BFCB5	Udskiftning af cardioverter-defibrillator
BFCB50	Udskiftning af cardioverter-defibrillator - 1-kammer funktio
BFCB51	Udskiftning af cardioverter-defibrillator - 2-kammer funktio
BFCB52	Udskiftning af cardioverter-defibrillator - til atrieflimren
BFCB53	Udskiftning af cardioverter-defibrillator - multi-site
BFCB6	Implantation af cardioverter-defibrillator elektrode
BFCB60	Implant.af suppl.vena cava-elektrode til cardioverter-defibr
BFCB61	Implant.af suppl.subkutan elektrode til cardioverter-defibri
BFCB62	Implant.af epikardial patch-elektrode til cardioverter-defib
BFCB63	Impl.af suppl. sense elektr. til cardioverter-defribrillator
BFCB7	Replacering af disloceret cardioverter-defibrillator elektro
BFCB8	Ekstraktion af cardioverter-defibrillator elektrode
BFCB80	Ekstrakt.af cardioverter-defibrillator elektrode, simpel
BFCB81	Ekstrakt.af cardioverter-defibrillator elektrode, lasertekni
BFCB82	Ekstrakt.af cardioverter-defibrill.elektrode, sheath-system
BFCY	Procedure i forb.m.kardial pacemakerbehandling ikke klass.a.
BFCY0	Zoll pacing
BFF	Andre behandlinger ved kardiale rytmeforstyrrelser
BFFA	Eksternt anvendt procedure ved beh.af kardiale rytmeforstyrr
BFFA0	Defibrillering og konvertering
BFFA00	Ekstern DC-konvertering
BFFA01	Cardioversio DC synchronisata
BFFA03	Defibrillatio ventriculorum asynchronisata
BFFA04	Defibrillatio atriorum DC synchronisata
BFFA05	Transvenøs DC-konvertering
BFFA6	Hjertemassage
BFFA60	Ekstern hjertemassage
BFFA61	Åben (intern) hjertemassage
BFFB	Radiofrekvensablation
BFFB0	Radiofrekvensablation ved atrielle rytmeforstyrrelser
BFFB00	Radiofrekvensablation m.h.p.sinusknude modifikation
BFFB01	Radiofrekvensablation ved fokal atrial takykardi
BFFB02	Radiofrekvensablation ved incessant atrial takykardi
BFFB03	Radiofrekvensablation ved fluctuatio atriorum
BFFB04	Radiofrekvensablation ved fibrillatio atriorum
BFFB1	Radiofrekvensablation ved Wolff-Parkinson-White syndrom
BFFB10	Radiofrekvensabl.via hø.ventr.ved Wolff-Parkinson-White synd
BFFB11	Radiofrekvensabl.retrogradt via ve.ventr.Wolff-Park.-White s
BFFB12	Radiofrekvensabl.transseptalt ved Wolff-Parkinson-White synd
BFFB2	Radiofrekvensablation ved atrioventrikulære rytmeforstyrrels
BFFB20	Radiofrekvensabl.ved atrioventr.nodal re-entrytakykardi via
BFFB21	Radiofrekvensabl.ved atrioventr.nodal re-entrytakykardi via
BFFB22	Radiofrekvensabl.m.h.p. atrioventrikulær knude modifikation
BFFB23	Radiofrekvensabl.ved permanent junctional re-entry takykardi
BFFB3	Radiofrekvensablation af His bundt
BFFB30	Radiofrekvensablation af His bundt via højre ventrikel
BFFB31	Radiofrekvensablation af His bundt via venstre ventrikel
BFFB4	Radiofrekvensablation ved ventrikulære rytmeforstyrrelser
BFFB40	Radiofrekvensabl.ved takykard.og ekstrasyst.ventr.i hø.ventr
BFFB41	Radiofrekvensabl.ved takykard.og ekstrasyst.ventr.i ø.ventr.
BFFB42	Radiofrekvensablation ved Gallavardin´s ventr. takykardi
BFFB43	Radiofrekvensabl.ved takykard.og ekstrasyst.ventr.i ve.ventr
BFFB5	Radiofrekvensablation ved rytmeforstyrrelser ikke klass.a.st
BFFB50	Radiofrekvensabl.via hø.ventr.ved rytmeforstyr.ikke klass.a.
BFFB51	Radiofrekv.abl.retrogr.via ve.ventr.ved ledn.forstyr.ikke kl
BFFB52	Radiofrekv.abl.transsept.via ve ventr.ved rytmeforst.ikke kl
BFH	Medikamentel behandling af kredsløbslidelser
BFHC	Medikamentel hjerteterapi
BFHC0	Behandling med antihypertensivum
BFHC1	Behandling med diureticum
BFHC2	Behandling med ?-receptorblokerende middel
BFHC3	Behandling med calcium antagonist
BFHC4	Behandling med nitrater
BFHC5	Behandling med ACE-hæmmende middel
BFHC6	Behandling med lipidsænkende middel
BFHC9	Medikamentel hjerteterapi ikke klassificeret andetsteds
BFHC90	Behandling med hjerteglykosid
BFHC91	Behandling med antiarytmikum
BFHC92	Behandling med hjertestimulerende middel
BFHC93	Behandling med blodtryksforhøjende middel
BFHC94	Behandling med pladehæmmer
BFK	Pædagogiske intervent. vedr. lidelser i hjerte og store kar
BFKA	Vejl. i fysisk aktivitet efter lidelse i hjerte og store kar
BFX	Andre interventioner med relation til kredsløbssygdomme
BFXA	Specificeret intervention med relation til kredsløbssygdom
BFXA0	Behandling af kredsløbssvigt ved speciel lejring
BFXA00	Trendelenburg-lejring
BFXY	Intervention med rel.til kredsløbssygdom ikke klass.andetste
BFXY0	Behandling med aorta-ballonpumpe
BG	Brysthule, lunger og respiration
BGA	Behandling med sonde og tube i brysthule og luftveje
BGAG	Behandling med tube i luftveje
BGAG0	Behandling med tungeholder
BGAG1	Behandling med oraltube
BGAG2	Behandling med nasaltube
BGAG3	Behandling med trakealtube
BGAG4	Behandling med trakealkanyle
BGAZ	Delprocedurer med relation til behandling med tube i luftvej
BGAZ0	Anlæggelse af tube i luftveje
BGAZ00	Anlæggelse af tungeholder
BGAZ01	Anlæggelse af oraltube
BGAZ02	Anlæggelse af nasaltube,
BGAZ03	Anlæggelse af trakealtube
BGAZ1	Skiftning af tube i luftveje
BGAZ11	Skiftning af oraltube
BGAZ12	Skiftning af nasaltube
BGAZ13	Skiftning af trakealtube
BGAZ14	Skiftning af trakealkanyle
BGAZ2	Fjernelse af tube i luftveje
BGAZ20	Fjernelse af tungeholder
BGAZ21	Fjernelse af oraltube
BGAZ22	Fjernelse af nasaltube
BGAZ23	Fjernelse af trakealtube
BGAZ24	Fjernelse af trakealkanyle
BGD	Behandling med respirator mm.
BGDA	Respiratorbehandling og anden assisteret ventilation
BGDA0	Respiratorbehandling
BGDA00	PEEP-behandling med respirator
BGDA6	Ventilation
BGDA60	Manuel ventilation med maske
BGDA61	Manuel ventilation gennem trakealtube
BGDA62	Mund-til-næse ventilation
BGDA63	Mund-til-mund ventilation
BGDA7	Tilslutning af patient til respirator
BGF	Interventioner ved behandling af respirationslidelser
BGFC	Lungeterapi og anden respirationsbehandling
BGFC0	Lungeterapi med fokus på vitalkapacitet
BGFC00	Diafragmatiske respirationsøvelser
BGFC01	Latero-basale respirationsøvelser
BGFC02	Mobilisering til forbedring af vitalkapacitet
BGFC03	Styrke- og konditionstræning med fokus på vitalkapacitet
BGFC04	Mobiliserende øvelser for thorax til forbedring af vitalkapa
BGFC05	Manuel stimulation af thorax med fokus på vitalkapacitet
BGFC06	Respirationsmuskeltræning (RMT)
BGFC07	Indøvning af hvilestillinger med fokus på vitalkapacitet
BGFC1	Lungeterapi ved sekretproblemer
BGFC10	Indøvning af støde- og hosteteknik
BGFC11	Drænage og stillingsændringer ved sekretproblemer
BGFC12	'Pursed lip-breathing' ved sekretproblemer
BGFC13	Behandling af sekretproblemer med vibrationer
BGFC14	Behandling af sekretproblemer med tapotement
BGFC15	Behandling af sekretproblemer med squeezing
BGFC16	Behandling af sekretproblemer med mobilisering
BGFC3	Maskebehandling
BGFC30	PEP-behandling
BGFC31	CPAP-behandling, konventionel metode
BGFC32	Nasal CPAP-behandling
BGFC33	PEEP-behandling med maske
BGFC34	BiPAP-behandling
BGFC7	Kompenserende støttehandling ved respirationsproblemer
BGFC70	Kompens.støttehandl.mhp. korrekt lejr.ved respirationsprobl.
BGFC71	Elevation af hovedgærde ved vejrtrækningsproblemer
BGG	Strålebehandling med relation til organer i brysthule
BGGA	Strålebehandling af nedre luftveje, lunger og mediastinum
BGGA0	Strålebehandling af lunger
BGGA1	Strålebehandling af mediastinum
BGGA2	Strålebehandling af nedre luftveje
BGH	Medikamentel behandling af luftvejslidelser
BGHF	Behandling med lungemodnende middel
BGHL	Cytostatisk beh. af nedre luftveje, lunger og mediastinum
BGHL0	Cytostatisk behandling af lunger
BGHL1	Cytostatisk behandling af nedre luftveje
BGHR	Medikamentel behandling af respirationslidelser
BGHR0	Medikamentel behandling af astma
BGHR00	Bronkodilaterende medikamentel behandling af astma
BGHR01	Forebyggende medikamentel behandling af astma
BGHR1	Behandling af hoste
BGHR10	Behandling med hostestillende middel
BGHR11	Behandling med slimløsnende middel
BGHR9	Med.beh.af respirationslidelse ikke klass.andetsteds
BGK	Pædagogiske interventioner vedrørende respirationslidelser
BGKA	Instruktion i ekspektoratopsamling
BGKB	Instruktion i hvilestilling ved respirationsbesvær
BGKC	Vejledning vedr. behandling af astma og kol
BGKC0	Vejledning vedr. behandling af astma og kol med tabletter
BGKC1	Vejledning vedr. behandling af astma og kol med inhalation
BGKC2	Vejledning vedr. forebyggende  behandling af astma og kol
BGKC3	Vejledning vedr. bronkieudvid.  behandling af astma og kol
BGKD	Vejledning i peak flow monitorering
BGKF	Vejledning i vurdering af egen respirationsfunktion
BGKG	Vejledning af patient med respirationslidelse pga. allergi
BGKG0	Vejledning af patient om støvsanering
BGKG1	Vejledning af patient om indeklimaproblemer
BGKG2	Vejledning af patient om pollenallergi
BGKH	Vejledning af patient om iltbehandling
BGKI	Vejledning af patient om CPAP-behandling
BGL	Soignering mm. med relation til luftveje
BGLF	Soignering af tube og stomi med relation til luftveje
BGLF1	Soignering af oraltube
BGLF2	Soignering af nasaltube
BGLF3	Soignering af trakealtube
BGLF4	Soignering af trakeostomi
BGM	Interventioner med relation til ekspektoration
BGME	Interventioner ved sekretion fra luftveje
BGME0	Sugning af øvre luftveje
BGME1	Sugning af nedre luftveje
BGME10	Trakealsugning
BGME11	Trakealsugning gennem tube
BGME12	Trakealsugning gennem kanyle
BGME5	Kompenserende støtte ved ekspektoration
BGX	Andre interv.med rel.til brysthule, lunger og respiration
BGXA	Spec.interv.med rel.til brysthule, lunger og respiration
BGXA0	Hyperventilationsbehandling
BGXA1	Fugterbehandling
