OPR	OPRNAVN
KAAK	Rekonstruktive operationer af kranium og dura
KAAK00	Kranioplastik
KAAK10	Duraplastik
KAAK20	Operation, kraniosynostose
KAAK30	Rekonstruktion, kraniofacial ved misdannelser
KAAK50	Okklusion af likvorfistel
KAAK70	Knoglebiopsi af kranium
KAAK75	Ekstirpation el. resektion af knogletumor i kranium
KAAK99	Rekonstruktiv operation på kranium og dura, anden
KAAL	Endovaskulære intrakranielle operationer
KAAL00	Okklusion af intrakranielt aneurisme, endovaskulær
KAAL10	Trombolyse, intrakraniel endovaskulær
KAAL20	Okkl. af intrakraniel arterio-venøs misdannelse, endovask.
KAAL30	Okklusion af intrakraniel fistel, endovaskulær
KAAL40	Okklusion af arterier til intrakraniel tumor, endovaskulær
KAAL99	Operation, endovaskulær, intrakraniel, anden
KAAM	Operationer ved intrakranielle infektioner
KAAM00	Punktur og udtømning af intracerebral absces
KAAM10	Excision af intracerebral absces
KAAM30	Fjernelse af epi- eller subduralt empyem
KAAM99	Operation, intrakraniel infektion, anden
KAAN	Operationer for intrakranielle kongenitte misdannelser
KAAN00	Excision og plastik af encephalocele
KAAN99	Operation, intrakraniel kongenit misdannelse, anden
KAAW	Andre kranielle og intrakranielle operationer
KAAW00	Kraniel operation, anden
KAAW00A	Kraniel operation, knoglebiopsi
KAAW00B	Kraniel operation, excision af tumor
KAAW99	Intrakraniel operation, anden
KAB	Operationer på rygmarv og nerverødder
KABA	Diagnostiske eksplorative op. på rygmarv og nerverødder
KABA00	Laminectomia explorativa
KABA10	Biopsi af væv i rygmarvskanal
KABA99	Operation, rygmarv og nerverødder, anden diagnostisk
KABB	Operationer på patologisk væv i rygmarv og nerverødder
KABB00	Excision af patologisk væv i spinalkanal
KABB10	Resektion af patologisk væv i spinalkanal
KABB20	Drænage af intra- og ekstramedullær cyste i spinalkanal
KABB30	Destruktion af patologisk væv i spinalkanal
KABB40	Fjernelse af spontant hæmatom i spinalkanal
KABB50	Dekompression af spinalkanal pga. tumor eller patologisk væ
KABB99	Operation, patologisk væv i rygmarv og nerverødder, anden
KABC	Dekompressive op. på rygmarv og nerverødder
KABC01	Ablatio prol. disci intervert. cerv. endoscopica percutanea
KABC04	Ablatio prol. disci intervert. thor. endoskopica percutanea
KABC07	Ablatio prol. disci intervert. lumb. endoscopica percutanea
KABC10	Fjernelse af cervical diskusprolaps, mikrokirurgisk
KABC13	Fjernelse af thoracal diskusprolaps, mikrokirurgisk
KABC16	Fjernelse af lumbal diskusprolaps, mikrokirurgisk
KABC20	Discectomia pars cervicalis columnae
KABC23	Discectomia pars thoracalis columnae
KABC26	Discectomia pars lumbalis columnae
KABC30	Dekompression af nerverødder ved deg. tilstande i col. cerv
KABC33	Dekompression af nerverødder ved deg. tilstande i col. thor
KABC36	Dekompression af nerverødder ved deg, tilstande i col. lumb
KABC40	Dekompression af cauda equina ved deg. tilstande i os sacru
KABC50	Dekompr. af spinalkanal/nerverod v deg. tilst. i col. cerv.
KABC53	Dekompr. af spinalkanal/nerverod v deg. tilst. i col. thor.
KABC56	Dekompr. af spinalkanal/nerverod v deg. tilst. i col. lumb.
KABC60	Dekompression af cervicalmarven ved degenerative tilstande
KABC63	Dekompression af thoracalmarven ved degenerative tilstande
KABC66	Dekompression af lumbalmarven ved degenerative tilstande
KABC99	Dekompr.op. på rygmarv/nerverod v degenerat. tilst, anden
KABD	Op.på rygmarv og nerverødder pga. smerte/funktionel forstyr
KABD10	Kordotomia
KABD20	Myelotomia
KABD30	Implantation af spinal stimulationsdevice
KABD40	Implantation af spinal injektionsdevice
KABD50	Overskæring af nerverod pga. smerte/funktionel forstyrrelse
KABD99	Op.på rygmarv og nerverod pga.smerte/funkt forstyr, anden
KABE	Operationer pga. spinale misdannelser
KABE10	Excision og plastik af myelo-meningocele
KABE20	Mobilisation af tethered cord eller diastematomyeli
KABE30	Excision af dermal sinus
KABE40	Operation, hydromyeli
KABE50	Dekompression, occipitocervikal
KABE99	Operation, spinale misdannelser, anden
KABW	Andre operationer på rygmarv og nerverødder
KABW99	Operation, rygmarv og nerverødder, anden
KAC	Operationer på perifere nerver
KACA	Diagnostiske operationer på perifere nerver
KACA11	Exploration, n. medianus
KACA12	Exploration, n. radialis
KACA13	Exploration, n. ulnaris
KACA14	Exploration, n. peronaeus
KACA15	Exploration, n. tibialis
KACA19	Exploration, perifier nerve uden specifikation
KACA21	Biopsi af n. medianus
KACA22	Biopsi af n. radialis
KACA23	Biopsi af n. ulnaris
KACA24	Biopsi af n. peronaeus
KACA25	Biopsi af n. tibialis
KACA29	Biopsi af perifer nerve uden specifikation
KACA91	Operation, n. medianus, diagnostisk, anden
KACA92	Operation, n. radialis, diagnostisk, anden
KACA93	Operation, n. ulnaris, diagnostisk, anden
KACA94	Operation, n. peronaeus, diagnostisk, anden
KACA95	Operation, n. tibialis, diagnostisk, anden
KACA99	Op.på perifer nerve uden specifikation, anden diagnostisk
KACB	Op. pga. patologisk væv og læsioner på perifere nerver
KACB01	Resectio neuromatis n. medianus
KACB02	Resectio neuromatis n. radialis
KACB03	Resectio neuromatis n. ulnaris
KACB04	Resectio neuromatis n. peronaeus
KACB05	Resectio neuromatis n. tibialis
KACB09	Resectio neuromatis, perifer nerve uden specifikation
KACB11	Excision af patologisk væv, n. medianus
KACB12	Excision af patologisk væv, n. radialis
KACB13	Excision af patologisk væv, n. ulnaris
KACB14	Excision af patologisk væv, n. peronaeus
KACB15	Excision af patologisk væv, n. tibialis
KACB19	Excision af patologisk væv, perifer nerve uden specifikatio
KACB21	Sutur, n. medianus
KACB22	Sutur, n. radialis
KACB23	Sutur, n. ulnaris
KACB24	Sutur, n. peronaeus
KACB25	Sutur, n. tibialis
KACB29	Sutur, perifer nerve uden specifikation
KACB91	Operation, n. medianus pga. patologisk væv, anden
KACB92	Operation, n. radialis pga. patologisk væv, anden
KACB93	Op på n. ulnaris pga. funktionelle forstyrrelser, anden
KACB94	Operation, n. peronaeus pga. patologisk væv, anden
KACB95	Operation, n. tibialis pga. patologisk væv, anden
KACB99	Op på perifer nerve uden spec pga. patologisk væv, anden
KACC	Op. pga. funktionelle forstyrrelser på perifere nerver
KACC11	Neurorrhaphia, n. medianus
KACC12	Neurorrhaphia, n. radialis
KACC13	Neurorrhaphia, n. ulnaris
KACC14	Neurorrhaphia, n. peronaeus
KACC15	Neurorrhaphia, n. tibialis
KACC19	Neurorrhaphia, perifer nerve uden specifikation
KACC21	Rekonstruktion, n. medianus
KACC22	Rekonstruktion, n. radialis
KACC23	Rekonstruktion, n. ulnaris
KACC24	Rekonstruktion, n. peronaeus
KACC25	Rekonstruktion, n. tibialis
KACC29	Rekonstruktion, perifer nerve uden specifikation
KACC30	Rekonstruktion af nerveplexus
KACC41	Transposition, n. medianus
KACC42	Transposition, n. radialis
KACC43	Transposition, n. ulnaris
KACC44	Transposition, n. peronaeus
KACC45	Transposition, n. tibialis
KACC49	Transposition, perifer nerve uden specifikation
KACC51	Dekompression og lysis, n. medianus
KACC52	Dekompression og lysis, n. radialis
KACC53	Dekompression og lysis, n. ulnaris
KACC54	Dekompression og lysis, n. peronaeus
KACC55	Dekompression og lysis, n. tibialis
KACC59	Dekompression og lysis, perifer nerve, anden el. uspecif.
KACC59A	Scalenotomia
KACC91	Op på n. medianus pga. funktionelle forstyrrelser, anden
KACC92	Op på n. radialis pga. funktionelle forstyrrelser, anden
KACC93	Operation, n. ulnaris pga. patologisk væv, anden
KACC94	Op på n. peronaeus pga. funktionelle forstyrrelser, anden
KACC95	Op på n. tibialis pga. funktionelle forstyrrelser, anden
KACC99	Op på perifer nerve u spec pga. funktionelle forstyr, anden
KACW	Andre operationer på perifere nerver
KACW99	Operation, perifere nerver, anden
KAD	Operationer på det autonome nervesystem
KADA	Operationer på sympatiske nerver
KADA10	Sympatektomi, cervical
KADA20	Sympatektomi, torakal
KADA30	Sympatektomi, lumbal
KADA99	Operation, det autonome nervesystem, anden
KADW	Andre operationer på det autonome nervesystem
KADW99	Operation, det autonome nervesystem, anden
KAW	Reoperationer efter operationer på nervesystemet
KAWA	Sutur ved sårruptur efter operation på nervesystemet
KAWA00	Sutur ved sårruptur efter operation på nervesystemet
KAWA00A	Sutur ved sårruptur efter operation for diskusprolaps
KAWB	Reop. for overflad. sårinfektion efter op. på nervesystemet
KAWB00	Reop, overfladisk sårinfektion efter op. på nervesystemet
KAWB00A	Reoperation for overfladisk sårinfektion e. op. for diskuspr
KAWC	Reop. for dyb infektion efter operation på nervesystemet
KAWC00	Reoperation, dyb infektion efter operation på nervesystemet
KAWC00A	Reoperation for dyb infektion e. operation for diskusprolaps
KAWD	Reopereration for overflad. blødning efter op. på nervesyst
KAWD00	Reop, overfladisk blødning efter operation på nervesystemet
KAWD00A	Reoperation for overfladisk blødning e. operation for diskup
KAWE	Reoperation for dyb blødning efter operat. på nervesystemet
KAWE00	Reoperation, dyb blødning efter operation på nervesystemet
KAWE00A	Reoperation for dyb blødning efter operation for diskusprola
KAWW	Anden reoperation efter operation på nervesystemet
KAWW99	Reoperation efter operation på nervesystemet, anden
KAWW99A	Anden operation efter operation for diskusprolaps
KB	Operationer på endokrine organer
KBA	Operationer på glandula thyreoideae
KBAA	Operationer på glandula thyreoideae
KBAA00	Excisio probatoria glandulae thyreoideae
KBAA05	Exploration af glandule thyreoideae
KBAA10	Incisio glandulae thyreoideae (drænage)
KBAA20	Resektion af glandula thyreoideae, unilateral
KBAA20A	Unilateral resektion af intratorakal glandula thyreoideae
KBAA21	Laserkoagulation i glandula thyreoideae
KBAA21B	Laserkoagulation i glandula thyreoideae, diodelaser
KBAA25	Resektion af glandula thyreoideae, bilateral
KBAA25A	Bilateral resektion af intratorakal glandula thyreoideae
KBAA30	Isthmusresektion af glandula thyreoideae
KBAA40	Lobektomi af glandula thyreoidea, unilateral
KBAA40A	Unilateral lobektomi af intratorakal glandula thyreoideae
KBAA50	Lobektomi og resektion af kontralaterale lap af gl. thyr.
KBAA50A	Lobektomi og kontralateral resektion af intratorakal gl. thy
KBAA60	Tyreoidektomi, total
KBAA60A	Total tyreoidektomi af intratorakal struma
KBAA99	Operation, glandula thyreoideae, anden
KBB	Operationer på glandula parathyreoideae
KBBA	Operationer på glandula parathyreoideae
KBBA10	Excisio probatoria glandulae parathyreoideae
KBBA20	Exploration af glandula parathyreoideae
KBBA30	Resectio glandulae parathyreoideae
KBBA30A	Extirpatio adenomatis glandulae parathyreoideae
KBBA40	Paratyreoidektomi, subtotal
KBBA42	Perkutan subtotal paratyreoidektomi
KBBA50	Paratyreoidektomi, total
KBBA70	Implantation eller transplantation, glandula parathyreoidea
KBBA99	Operation, glandula parathyreoideae, anden
KBC	Operationer på binyrer
KBCA	Operationer på binyrer
KBCA10	Excisio probatoria glandulae suprarenalis
KBCA11	Biopsi af endoskopisk perkutan af binyre
KBCA15	Incisio glandulae suprarenalis explorativa (inkl. drænage)
KBCA20	Resectio glandulae suprarenalis
KBCA30	Adrenalectomia unilateralis
KBCA31	Adrenalectomia unilateralis laparoscopica
KBCA40	Adrenalectomia bilateralis
KBCA41	Adrenalectomia bilateralis laparoscopica
KBCA99	Operation, binyrer, anden
KBD	Operationer på glomus caroticum
KBDA	Operationer på glomus caroticum
KBDA10	Operation, glomus caroticum
KBW	Reoperationer efter operation på endokrint organer
KBWA	Sutur ved sårruptur efter operation på endokrint organ
KBWA00	Sutur ved sårruptur efter operation på endokrint organ
KBWB	Reop.for overflad. sårinfektion efter op. på endokrint orga
KBWB00	Reop. overfladisk sårinfektion efter op. på endokrint organ
KBWC	Reoper. for dyb infektion efter operation på endokrint orga
KBWC00	Reop. dyb infektion efter operation på endokrint organ
KBWD	Reoper.for overfladisk blødning efter op. på endokrint orga
KBWD00	Reoperation, overfladisk blødning eft op. på endokrint orga
KBWE	Reoper. for dyb blødning efter operation på endokrint organ
KBWE00	Reoperation, dyb blødning efter operation på endokrint orga
KBWW	Anden reoperation efter operation på endokrint organ
KBWW99	Reoperation efter operation på endokrint organ, anden
KC	Operationer på øjet og dets omgivelser
KCA	Operationer på orbita
KCAA	Punktur, incision, biopsi af orbita
KCAA00	Punktur af orbital absces
KCAA10	Orbitotomia anterior explorativa
KCAA20	Orbitotomia lateralis explorativa
KCAA30	Excisio probatoria orbitae
KCAB	Excision af orbita
KCAB00	Orbitotomia anterior cum excisione
KCAB10	Orbitotomia lateralis cum excisione
KCAB40	Orbitotomia transcranialis cum excisione
KCAB50	Orbitotomia cum extractione corporis alieni
KCAC	Operationer på orbitas knogler
KCAC00	Rekonstruktion af orbitas væg
KCAC10	Rekonstruktion af orbitas væg med knogletransplantat/skinne
KCAC20	Resectio decompressiva lateralis orbitae
KCAC30	Resectio decompressiva orbitae (til bihuler)
KCAC40	Dekompression af orbitas loft/canalis opticus, transkraniel
KCAC50	Korrektion af medfødt deformitet af orbitas knogler
KCAD	Udtømning af orbitas indhold
KCAD00	Exenteratio orbitae, dækning med hudtransplantat
KCAE	Op. ved anophthalmus, efter enukleation/evisceration af øje
KCAE00	Fjernelse af implantat i orbita
KCAE10	Revision og sekundær indoperation af implantat i orbita
KCAE20	Revision af conjunctivalhulen med transplantat
KCAW	Andre operationer på orbita
KCAW99	Operation på orbita, anden
KCB	Operationer på øjenlåg
KCBA	Incision og biopsi af øjenlåg
KCBA00	Incisio palpebrae
KCBA10	Excisio probatoria palpebrae
KCBB	Fjernelse af tumor/lokal forandring i øjenlåg
KCBB00	Excisio chalazii
KCBB10	Excisio cutis palpebrae (dermatochalase, cutis laxa)
KCBB15	Resektion af fedthernie i øjenlåg
KCBB20	Korrektion af løs hud og resektion af fedthernie i øjenlåg
KCBB30	Excision af tumor (ar/cyste/svulst) i øjenlåg
KCBB35	Kryoterapi af tumor i øjenlåg
KCBB40	Elektrokoagulation af tumor i øjenlåg
KCBB50	Excision af tumor i øjenlåg, rekonstruktion med transplanta
KCBB99	Fjernelse af tumor i øjenlåg, anden
KCBC	Operation efter læsion af øjenlåg
KCBC00	Sutura palpebrae (inkl. revisio)
KCBC10	Fjernelse af fremmedlegeme fra øjenlåg
KCBC99	Operation efter læsion af øjenlåg, anden
KCBD	Rekonstruktion af øjenlåg
KCBD00	Rekonstruktion af øjenlåg med sutur
KCBD10	Rekonstruktion af øjenlåg m frit eller stilket transplantat
KCBD99	Rekonstruktion af øjenlåg, anden
KCBE	Operationer for entropion
KCBE00	Sutura pro entropio
KCBE10	Transposition og stramning af orbicularis oculi v entropion
KCBE20	Forkortning af øjenlågsretraktorer for entropion
KCBE30	Horisontal forkortning for entropion
KCBE40	Kombineret korrektion af entropion
KCBE99	Operation, entropion, anden
KCBF	Operationer for ectropion
KCBF00	Electrocauterisatio pro ectropio
KCBF10	Sutura pro ectropio
KCBF20	Excisio tarsalis pro ectropio
KCBF30	Excisio tarsalis et cutis pro ectropio
KCBF40	Rekonstruktion for ar ectropion
KCBF99	Operation, ectropion, anden
KCBG	Operationer for trichiasis
KCBG00	Elektrolyseepilation af cilier
KCBG10	Kryobehandling for trichiasis
KCBG20	Rekonstruktiv operation af øjenlågskanten ved trichiasis
KCBG99	Operation, trichiasis, anden
KCBH	Operationer på canthus
KCBH00	Canthotomi
KCBH05	Canthopexi
KCBH10	Rekonstruktiv operation på canthus, evt. med transplantatio
KCBH20	Central tarsorrhafi
KCBH30	Tarsorrhaphia, lateral/medial
KCBH40	Spaltning af tarsorrhafi
KCBH50	Rekonstruktiv operation for epicanthus
KCBH99	Operation på canthus, anden
KCBJ	Operationer for ptose
KCBJ00	Sutura pro ptose
KCBJ10	Suspensio palpebrae, med fascieslynge
KCBJ20	Tarsomyectomia
KCBJ30	Rekonstruktion af levatormusklens aponeurose
KCBJ40	Resektion af levatormuskel
KCBJ50	Operation for øjenbrynsptose
KCBJ99	Operation ved ptose, anden
KCBK	Operationer for øjenlågsretraktion
KCBK00	Myotomi v øjenlågsretraktion (tarsal muskel, levator muskel
KCBK10	Operatio pro lagophtalmus
KCBK99	Operation for øjenlågsretraktion, anden
KCBL	Operationer ved blepharospasme
KCBL00	Myektomi/neurotomi ved blepharospasme
KCBL99	Operation ved blepharospasme, anden
KCBW	Andre operationer på øjenlågene
KCBW99	Operation på øjenlåg, anden
KCC	Operationer på tåreapparat
KCCA	Incision og biopsi fra glandula lacrimalis
KCCA00	Incisio glandula lacrimalis
KCCA10	Excisio probatoria glandula lacrimalis
KCCA20	Incisio canaliculi lacrimalis
KCCA30	Incisio sacci lacrimalis
KCCA40	Biopsi af ductus lacrimalis
KCCB	Resektion eller excision af glandula lacrimalis
KCCB00	Resectio glandula lacrimalis
KCCB10	Excisio glandula lacrimalis, dacryoadenectomia
KCCB99	Operation på glandula lacrimalis, anden
KCCC	Øvrige operationer på tårevejene
KCCC00	Occlusio canaliculi lacrimalis
KCCC40	Intubatio ductus naso-lacrimalis
KCCC50	Dacryocystectomia
KCCC99	Operation på tårevejene, anden
KCCD	Rekonstruktive operationer på tåreapparat
KCCD00	Occlusio fistulae lacrimalis
KCCD10	Sutura canaliculi lacrimalis
KCCD20	Sutura canaliculi lacrimalis cum intubatione
KCCD30	Reconstructio canaliculi lacrimalis
KCCD40	Dacryocystorhinostomia percutanea
KCCD50	Dacryocystorhinostomia (med tube)
KCCD60	Dacryocystorhinostomi transnasalis
KCCD70	Conjunctivocystorhinostomi (med tube)
KCCD99	Rekonstruktiv operation på tåreapparat, anden
KCCW	Andre operationer på tåreapparat
KCCW99	Operation på tåreapparat, anden
KCD	Operationer på bulbus som helhed
KCDB	Fjernelse af intrabulbært fremmedlegeme
KCDB00	Fjernelse af intrabulbært fremmedlegeme
KCDB10	Fjernelse af intrabulbært fremmedlegeme med magnet
KCDB99	Operation ved intrabulbært fremmedlegeme, anden
KCDC	Enukleation/evisceration af øjet
KCDC00	Enukleation af øjet
KCDC10	Enukleation af øjet med implantation af protese
KCDC20	Enukleation af øjet med implantation af væv
KCDC30	Exenteration af øjet
KCDC40	Exenteration af øjet med implantation af protese
KCDC50	Exenteration af øjet med vævsimplantat
KCDW	Andre operationer på øjet som helhed
KCDW99	Operation på øjet som helhed, anden
KCE	Operationer på øjemuskler
KCEA	Biopsi fra øjenmuskel
KCEA00	Excisio probatoria musculi oculi
KCEB	Myectomia, myotomia, tenotomia oculi
KCEB00	Myectomia oculi
KCEB10	Myotomia oculi partialis
KCEB20	Myotomia oculi totalis
KCEB30	Tenotomia oculi
KCEC	Transposition af øjenmuskler
KCEC00	Recessio mm. oculi
KCEC10	Recessio et resectio mm. oculi
KCEC20	Recessio et antepositio mm. oculi
KCEC30	Resectio m. oculi
KCEC40	Resectio et antepositio mm. oculi
KCEC50	Antepositio mm. oculi
KCEC60	Transpositio m. oculi (med justerbar sutur)
KCEC70	Transpositio mm. oculi (nystagmus)
KCEC80	Transpositio partialis mm. oculi
KCEC90	Transpositio totalis mm. oculi
KCED	Plicatur af øjenmuskel
KCED00	Plicatio m. oculi
KCEE	Fiksation af øjenmuskel
KCEE00	Fiksationssutur i øjenmuskel
KCEE10	Fiksation af øjenmuskel med ankersutur
KCEF	Operation ved skade eller tidligere operation på øjenmuskel
KCEF00	Lysis m. oculi
KCEF10	Sutura læsio m. oculi/capsula Tenoni
KCEW	Andre operationer på øjenmuskler
KCEW99	Operation på øjenmuskler, anden
KCF	Operationer på conjunctiva
KCFA	Incision og biopsi af conjunctiva
KCFA00	Incisio conjunctivae
KCFA10	Peritomia conjunctivae
KCFA20	Biopsi af conjunctiva
KCFB	Sutur, fjernelse af fremmedlegeme i conjunctiva
KCFB00	Sutura conjunctivae
KCFB10	Amotio corporis alieni conjunctivae
KCFC	Fjernelse af tumor/lokale forandringer i conjunctiva
KCFC00	Excisio tumoris conjunctivae
KCFC10	Laser therapia conjunctivae tumoris
KCFC20	Kryotherapia tumoris conjunctivae
KCFC30	Excisio folliculi trachomi
KCFD	Rekonstruktive operationer på conjunctiva
KCFD00	Reconstructio conjunctivae
KCFD10	Reconstructio conjunctivae cum transplantatione
KCFW	Andre operationer på conjunctiva
KCFW99	Operation på conjunctiva, anden
KCG	Operationer på cornea og sclera
KCGA	Biopsi fra cornea/sclera
KCGA00	Excisio probatoria corneae
KCGA10	Excisio probatoria sclerae
KCGB	Incision i cornea/sclera
KCGB00	Keratotomia
KCGB10	Sclerotomia
KCGC	Fjernelse af fremmedlegeme i cornea/sclera
KCGC10	Amotio corporis alieni corneae
KCGC20	Amotio corporis alieni corneae cum magneta
KCGC30	Amotio corporis alieni sclerae
KCGC40	Amotio corporis alieni sclerae cum magneta
KCGD	Operationer for refraktionsanomali
KCGD00	Keratotomi for refraktionsanomalier
KCGD10	Laserterapi for refraktionsanomali
KCGD20	Keratomileusis
KCGD99	Operation for refraktionsanomali
KCGE	Behandling af vævsforandringer i cornea/sclera
KCGE10	Keratectomia
KCGE15	Lasertherapia corneae
KCGE20	Cauterisatio thermica corneae
KCGE25	Kryotherapia corneae
KCGE30	Sclerectomia
KCGE35	Lasertherapia sclerae
KCGE40	Cauterisatio thermica sclerae
KCGE50	Excisio pterygium
KCGE55	Excisio pterygium cum transplantatione conjunctivae
KCGE99	Operation for vævsforandringer i cornea/sclera, anden
KCGF	Behandling af perforerende læsioner af cornea/sclera
KCGF00	Agglutinatio vulnus corneae
KCGF10	Sutura corneae
KCGF20	Sutura corneae cum operatione plastica conjunctivae
KCGF25	Sutura corneae cum ablatione prolapsus uveae
KCGF30	Dækning af cornea med conjunctival graft
KCGF40	Agglutinatio vulnus sclerae
KCGF45	Sutura sclerae
KCGF50	Sutura sclerae cum operatione plastica conjunctivae
KCGF55	Sutura sclera cum ablatione prolapsus uveae
KCGF99	Operation ved perforerende sår i cornea/sclera, anden
KCGG	Rekonstruktive operationer på cornea og sclera
KCGG00	Tatovering af cornea
KCGG10	Termokauterisering af cornea
KCGG20	Epikeratofaki, keratofaki
KCGG30	Transplantatio corneae lamellaris
KCGG40	Transplantatio corneae (autograft)
KCGG41	Transplantatio corneae (homograft)
KCGG50	Implantation af keratoprotese
KCGG60	Forstærkning af sclera med transplantat
KCGG99	Rekonstruktiv operation på cornea/sclera, anden
KCGW	Andre operationer på cornea og sclera
KCGW99	Operation på cornea/sclera, anden
KCH	Opr. i camera anterior, kammervinkel, iris og corpus ciliare
KCHA	Biopsi fra camera ant, kammervinkel, iris og corpus ciliare
KCHA00	Aspiration fra forreste øjenkammer
KCHA10	Excisio probatoria iridis
KCHA20	Excisio probatoria corpus ciliare
KCHB	Operationer på kammervinkel og forkammer
KCHB00	Lysis synechiae (laser)
KCHB10	Punctura camera anterioris oculi cum irrigatione
KCHB15	Punctura camera anterioris oculi cum insufflatione
KCHB20	Goniotomia
KCHB30	Goniopunctura
KCHB40	Lysis goniosynechiae
KCHB50	Trabeculotomia
KCHB60	Lysis synechiae anterioris
KCHB65	Lysis synechiae posterioris
KCHB99	Operation på kammervinkel og forkammer, anden
KCHC	Iridotomia et iridectomia
KCHC00	Iridotomia
KCHC05	Iridotomia (laser)
KCHC10	Iridectomi, perifer
KCHC20	Iridectomi, sektor-
KCHC30	Iridectomi, central (sfinkterectomi)
KCHD	Filtrationsoperationer
KCHD00	Lasertrabeculoplastik
KCHD10	Trabeculectomia
KCHD15	Trabeculectomia cum iridectomia
KCHD20	Trepanatio sclerae
KCHD25	Trepanatio sclerae cum iridectomia
KCHD30	Trabeculectomia (laser)
KCHD40	Iridencleisis
KCHD50	Anlæggelse af shunt til forkammer (øje)
KCHD60	Viscocanalostomi
KCHD99	Filtrationsoperation, anden
KCHD99A	Viscocanalostomi
KCHE	Operation for tumor i iris
KCHE00	Pupillotomi
KCHE05	Pupillotomi (med laser)
KCHE10	Excisio tumoris iridis
KCHE20	Therapia tumoris iridis (laser)
KCHE99	Operation ved tumor i iris, anden
KCHF	Operationer på corpus ciliare
KCHF00	Excisio tumoris corpus ciliare
KCHF05	Fotokoagulation (laser) af corpus ciliare transscleralt
KCHF10	Fotokoagulation (laser) af corpus ciliare transpupillært
KCHF15	Kryotherapia corpus ciliare
KCHF20	Electrocoagulatio corpus ciliare
KCHF30	Cyclodialysis
