Kode	Tekst
BAVA	Generel pleje ved lidelse i nervesystemet
BAVB	Speciel pleje ved lidelse i nervesystemet
BAX	Andre interventioner med relation til nervesystemet
BAXY	Interventioner rel.til nervesystemet ikke klass.andetsteds
BB	Det endokrine system og metaboliske lidelser
BBH	Med.beh.med virkning på det endokr.system o.a.metab.lidelser
BBHA	Peroral diabetesbehandling
BBHA0	Behandling med peroralt antidiabetikum
BBHA00	Behandling med insulinstimulerende middel
BBHA01	Behandling med glucosehæmmende middel
BBHB	Antithyreoid behandling
BBHC	Behandling med midler mod adipositas
BBHF	Hormonbehandling
BBHF0	Insulinbehandling
BBHF00	Insulinbehandling, 1-2 gg. terapi
BBHF01	Insulinbehandling, basal og bolus
BBHF02	Insulinpumpebehandling
BBHF1	Behandling med thyreoideahormon
BBHF2	Behandling med hypofysehormon
BBHF3	Behandling med binyrebarkhormon
BBHF32	Behandling med højdosis binyrebarkhormon
BBHF4	Behandling med biskjoldbruskkirtelhormon
BBHF9	Hormonbehandling ikke klassificeret andetsteds
BBHF90	Hormonsubstitutionsbehandling ikke klassificeret andetsteds
BBHG	Behandling med kønshormoner og gonadotrope hormoner
BBHG0	Behandling med kvindeligt kønshormon
BBHG1	Behandling med mandligt kønshormon
BBHG3	Behandling med gonadotropt hormon
BBHG30	Behandling med ovariestimulerende middel
BBHG31	Behandling med FSH og LH
BBHG31A	Behandling med rekombinant samt højt oprenset FSH
BBHG31B	Behandling med HMG (blandingsprodukt af FSH og LH)
BBHG31C	Behandling med FSH til Follikelsupport
BBHG32	Behandling med GNRH analog
BBHG33	Behandling med GNRH antagonist
BBHG35	Behandling med HCG
BBHG35A	HCG beh mhp ovulationsinduktion
BBHG36	Beh mhp Lutealfase support (progesteron og/el østradiol)
BBHG38	Anden medikamentel behandling ved IVF eller insemination
BBHG381	Anden medikamentel behandling ved IVF
BBHM	Medikamentel behandling ved metabolisk lidelse
BBHM0	Medikamentel behandling ved metabolisk knoglelidelse
BBHM00	Behandling med bisfosfonater
BBHY	Med.beh.m.virk.på endokr.system/metab.lidel.ikke klass.a.st.
BBHY0	Med. beh. af metab. knoglesygdom ikke klass. andetsteds
BBK	Pædagog.intervent.m.rel. til endokr.system o.a. metab.lidel.
BBKA	Oplæring i blodsukkermåling
BBKB	Oplæring i injektion af insulin
BBV	Pleje ved lidelse i det endokrine system og metabol.lidelser
BBVA	Generel pleje ved lidelse i det endok system og metab. lid.
BBVB	Speciel pleje ved lidelse i det endok system og metab. lid.
BBX	Andre interventioner med relation til det endokrine system
BBXA	Procedure med rel.til det endokr.system ikke klass. andetst.
BBXA0	Mekanisk stimulation af Glomus Caroticum
BC	Øje og øjenomgivelser
BCD	Øjenbehandling med hjælpemidler og proteser
BCDD	Synskorrektion
BCDD0	Synskorrigerende behandling
BCDD01	Behandling med briller
BCDD02	Behandling med kontaktlinser
BCDD03	Behandling med svagtsynsoptik
BCDD9	Optisk behandling ikke klassificeret andetsteds
BCDE	Behandling med øjenprotese
BCDZ	Delprocedure ved behandling med øjenproteser
BCDZ0	Måltagning til øjenprotese
BCDZ1	Tilpasning af øjenprotese
BCF	Behandling af funktionsfejl i relation til synet
BCFL	Skelebehandling
BCFL0	Ortoptisk behandling
BCH	Medikamentel øjenbehandling
BCHS	Behandling med midler mod øjensygdom
BCHS0	Oftalmologisk lokalbehandling med antibiotika
BCHS00	Behandling af bakteriel infektion i øje
BCHS01	Behandling af virusinfektion i øje
BCHS1	Lokalbehandling af øjne med antiinflammatorisk middel
BCHS2	Behandling af øjne med antiallergisk middel
BCHS3	Medikamentel glaukombehandling
BCHS9	Medikamentel beh. af øjensygdom ikke klass. andetsteds
BCHY	Beh.med midler mod øjensygdom ikke klass. andetsteds
BCHY0	Oftalmologisk lokalbehandling med antibiotika
BCHY00	Lokalbehandling af bakteriel infektion i øje
BCHY01	Lokalbehandling af virusinfektion i øje
BCHY1	Lokalbehandling af øje med antiinflammatorisk middel
BCHY2	Lokalbehandling af øje med antiallergisk middel
BCHY3	Medikamentel glaukombehandling
BCK	Pædagogiske intervent. i forb.med beh. Af øjensygdom
BCKA	Instruktion i behandling med øjendråber
BCKA0	Instruktion i drypning af øje
BCKA00	Instruktion af patient i drypning af øje
BCKA01	Instruktion af pårørende i drypning af øje
BCL	Rensning og vask med relation til øje
BCLA	Øjenskylning
BCLB	Rensning af øjenprotese og kontaktlinser
BCLB0	Rensning af kontaktlinser
BCLB1	Rensning af øjenprotese
BCLF	Forbinding af øje
BCLF0	Pålægning af øjenforbinding
BCLF1	Fjernelse af øjenforbinding
BCV	Pleje ved lidelse i øje og øjenomgivelser
BCVA	Generel pleje ved lidelse i øje og øjenomgivelser
BCVB	Speciel pleje ved lidelse i øje og øjenomgivelser
BCX	Andre interventioner med relation til øje
BCXA	Kompenserende handling ved beh.med kontaktlinse,protese mm.
BCXA0	Kompenserende handling mhp. anvendelse af kontaktlinser
BCXA1	Kompenserende handling mhp. anvendelse af øjenprotese
BCXB	Drypning af øje
BCXC	Injektionsbehandling af lidelser i øje og øjenomgivelser
BCXC1	Injektionsbehandling af øjenmuskler med botulinum
BCXY	Interv. m. relation til øjet og øjenomg. ikke klass. a.steds
BCXY0	Påsætning af øjenklap
BD	Øre, næse, hals og strube
BDD	Behandling med høreapparat
BDDA	Høreapparatbehandling
BDDA0	Behandling med kanalhøreapparat
BDDA1	Behandling med conchahøreapparat
BDDA2	Behandling med ørehænger
BDDA3	Behandling med lommehøreapparat
BDDB	Speciel høreapparatbehandling
BDDB0	Høreapparatbehandling, BC (bone conductor)
BDDB1	Høreapparatbehandling. cross (contra routing of signal)
BDDB2	Høreapparatbehandling, bicross (bilateral routing of signal)
BDDD	Teknisk service til høreapparatbruger
BDDD5	Fremstilling af øreprop
BDDD50	Fremstilling af ekstern øreprop
BDDD51	Fremstilling af intern øreprop
BDDD58	Aftryk til øreprop
BDDD6	Tilpasning af høreapparat
BDDD60	Justering af programmerbart høreapparat
BDDD61	Tilpasning af høreapparat i frit felt
BDDD62	Indstilling og justering af cochlear implantat
BDDD8	Reparation af høreapparat og tilbehør
BDDD80	Reparation af høreapparat
BDDD81	Reparation af øreprop
BDDD82	Service i forbindelse med øreprop
BDH	Medikamentel oto-rhino-laryngologisk behandling
BDHY	Med.oto-rhino-laryngologisk beh. ikke klass. andetsteds
BDHY0	Behandling med rhinologikum
BDHY00	Behandling med slimhindeadstringerende middel (næse)
BDHY01	Lokalbehandling med glukocorticosteroid (næse)
BDHY1	Medikamentel behandling af lidelse i ydre øre
BDHY2	Medikamentel behandling af lidelse i mellemøre
BDHY20	Med.beh. af transportsyge og vestibulære symptomer
BDK	Pædagog.interv. med rel.til oto-rhino-laryngologisk beh.
BDKA	Instruktion af høreapparatbruger
BDKA0	Instruktion i anvendelse af kanalhøreapparat
BDKA1	Instruktion i anvendelse af conchahøreapparat
BDKA2	Instruktion i anvendelse af ørehænger
BDKA3	Instruktion i anvendelse af lommehøreapparat
BDKC	Vejledning vedr. behandling af allergisk rhinitis
BDKC0	Vejledn. vedr. forebyggende behandling af allergisk rhinitis
BDL	Skiftning, rensning og soignering mm. med relation til øret
BDLA	Skiftning med relation til otologisk behandling
BDLF	Rensning og soignering med relation til øret
BDLF0	Rensning af høreapparat
BDLF1	Fjernelse af ørevoks
BDLF10	Instrumentel fjernelse af ørevoks
BDLF11	Fjernelse af ørevoks ved skylning
BDLF2	Oprensning af radikalkavitet
BDLF6	Mechefjernelse fra øregang
BDV	Pleje ved lidelse i øre, næse, hals og strube
BDVA	Generel pleje ved lidelse i øre, næse, hals og strube
BDVB	Speciel pleje ved lidelse i øre, næse, hals og strube
BDX	Andre interventioner m. relat. til øre, næse, hals og strube
BDXA	Otologisk behandling ikke klassificeret andetsteds
BDXA3	Sugebehandling a.m. Proetz
BDXC	Injektionsbeh m. relat. til øre, næse, hals, ansigt og strube
BDXC1	Injektionsbehandling af ansigtsmuskler med botulinum
BDXC2	Injektionsbehandling af halsmuskler med botulinum
BDXC3	Injektionsbehandling i stemmelæber med botulinum
BDXH	Interventioner vedr.brug af høreapparat ikke klass.andetsted
BDXH0	Kompenserende handling ved anvendelse af høreapparat
BDXH00	Kompenserende handling ved anvendelse af kanalhøreapparat
BDXH01	Kompenserende handling ved anvendelse af conchahøreapparat
BDXH02	Kompenserende handling ved anvendelse af ørehænger
BDXH03	Kompenserende handling ved anvendelse af lommehøreapparat
BDXY	Oto-rhino-laryngologisk intervention ikke klass.andetsteds
BDXY5	Behandling med tale-ventil
BDXY51	Skiftning af tale-ventil
BE	Mundhule og svælg
BEC	Tandbehandling med implantater
BECA	Behandling med tandimplantater
BECA0	Udskiftning af distance
BECA1	Behandling med krone på enkelttandsimplantat
BECA10	Behandling med krone på enkelttandsimplantat i overkæben
BECA11	Behandling med krone på enkelttandsimplantat i underkæben
BECA2	Behandling med bro på implantater i delvis betandet kæbe
BECA20	Behandling med bro på implantater i delvis betandet overkæbe
BECA21	Behandling m. bro på implantater i delvis betandet underkæbe
BECA3	Behandling med fuldbro på implantater
BECA30	Behandling med fuldbro på implantater i overkæbe
BECA31	Behandling med fuldbro på implantater i underkæbe
BECA4	Dækprotesebehandling på implantater
BECA40	Dækprotesebehandling på implantater i overkæbe
BECA41	Dækprotesebehandling på implantater i underkæbe
BECA5	Lokalbehandling omkring tandimplantat
BECA7	Behandling m. foreløbig krone, bro og protese på implantater
BECA8	Reparation af krone, bro og protese på implantater
BED	Protesebehandling ved tandlidelser
BEDA	Behandling med tandproteser
BEDA0	Behandling med tandproteser (helprotese)
BEDA00	Behandling med helprotese i overmund
BEDA01	Behandling med helprotese i undermund
BEDA1	Behandling med tandproteser (partiel)
BEDA10	Behandling med delprotese i overmund
BEDA11	Behandling med delprotese i undermund
BEDA4	Rebasering og duplikering  af tandprotese
BEDA8	Reparation af tandprotese
BEF	Mund-, svælg- og ansigtsstimulation
BEFA	Isstimulation
BEFB	Mimiske øvelser
BEFC	Fasciooral behandling
BEH	Med.beh.med virk.på lidelser i tænder,kæber,mund og svælg
BEHO	Injektionsbehandling af lidelser i kæbeled og tyggemuskler
BEHO0	Injektionsbehandling af kæbeled
BEHO00	Injektionsbehandling af kæbeled med analgeticum
BEHO01	Injektionsbehandling af kæbeled med glucokortikoid
BEHO02	Injektionsbehandling af kæbeled med autologt blod
BEHO03	Injektionsbehandling af kæbeled med hyaluronsyre
BEHO1	Injektionsbehandling af tyggemuskler
BEHO10	Injektionsbehandling af tyggemuskler med analgeticum
BEHO11	Injektionsbehandling af tyggemuskler med glocokortikoid
BEHO12	Injektionsbehandling af tyggemuskler med botulinum
BEHR	Medikamentel behandling af tænder, kæber, mund og svælg
BEHR0	Medikamentel lokalbehandling af mundhule og svælg
BEHR00	Medikamentel lokalbehandling af læber
BEHR01	Medikamentel lokalbehandling af mundslimhinde
BEHR02	Medikamentel lokalbehandling af svælg
BEHR03	Medikamentel lokalbehandling af parodontium
BEHR04	Medikamentel lokalbehandling omkring tandimplantat
BEHY	Med.beh.af lidelse i mundhule og svælg ikke klass.andetsteds
BEK	Pædagogiske interventioner vedrørende tand- og mundpleje
BEKA	Instruktion i mundhygiejne
BEKA0	Instruktion i tandpleje
BEKA00	Instruktion i tandbørstning
BEKA01	Instruktion i fluorskylning
BEN	Behandling af lidelser i kæbeled og tyggemuskler
BENA	Behandling af kæbeled og tyggemuskler med bidskinne
BENA0	Behandling af kæbeled  med bidskinne
BENA00	Aftryk til bidskinne ved behandling af kæbeled
BENA01	Tilpasning af bidskinne ved behandling af kæbeled
BENA1	Behandling af tyggemuskler med bidskinne
BENA10	Aftryk til bidskinne ved behandling af tyggemuskler
BENA11	Tilpasning af bidskinne ved behandling af tyggemuskler
BEO	Behandling af tænder
BEOA	Behandling med tandfyldning, krone, bro mm.
BEOA0	Behandling med tandfyldning
BEOA00	Behandling med sølvamalgamfyldning
BEOA01	Behandling med plastfyldning
BEOA02	Behandling med glasionomercementfyldning
BEOA1	Behandling med indlæg, krone og bro
BEOA10	Behandling med indlæg
BEOA11	Behandling med krone
BEOA12	Behandling med bro
BEOA5	Behandling med foreløbig tandfyldning
BEOA6	Overdækning af dentinflader ved tandfraktur
BEOB	Rodbehandling
BEOB0	Overkapning
BEOB1	Koronal amputation
BEOB2	Pulpaextirpation
BEOB3	Ortograd rodfyldning
BEOB4	Retrograd rodfyldning
BEOB5	Skift af rodfyldning
BEOE	Beslibning af tænder
BEOE0	Okklusions- og artikulationsslibning af tænder
BEOG	Intermaxillær fiksation
BEOG0	Anlæggelse af elastisk intermaxillær fiksation
BEOG1	Anlæggelse af stiv intermaxillær fiksation
BEOL	Tandbehandling med skinner
BEOL0	Behandling med beskyttelsesskinne
BEOM	Behandling af kæbefraktur med midlertidig fiksation
BEOM0	Anlæggelse af midlertidig fiksation af underkæbefraktur
BEOM1	Anlæggelse af midlertidig fiksation af overkæbefraktur
BEOT	Fjernelse af fiksationer på tænder
BEOT0	Fjernelse af intermaksillær fiksation
BEOT1	Fjernelse af intermaksillære fiksationsskinner
BEOT2	Fjernelse af tandfiksation
BEOT3	Fjernelse af midlertidige fiksationer af kæbefrakturer
BEOT4	Fjernelse af fast apparatur til tandregulering
BEP	Tandregulering
BEPA	Regulering af tænder
BEPA0	Regulering af tænder med fast apparatur
BEPA1	Regulering af tænder med aftageligt apparatur
BEV	Pleje ved lidelse i mundhule og svælg
BEVA	Generel pleje ved lidelse i mundhule og svælg
BEVB	Speciel pleje ved lidelse i mundhule og svælg
BEX	Andre interv. med rel.til tænder, kæber, mund og svælg
BEXC	Parodontalbehandling
BEXC0	Tandrensning
BEXY	Interv.m.rel.til tænder,kæber,mund og svælg ikke klass.a.st.
BEXY0	Aftryk til modeller
BEXY1	Træning af intervention
BEXY9	Odontologisk behandling ikke klassificeret andetsteds
BF	Hjerte og store kar
BFC	Behandling m.kardial pacemaker og cardioverter-defibrillator
BFCA	Procedurer i forbindelse med kardial pacemakerbehandling
BFCA0	Implantation af transvenøs kardial pacemaker
BFCA01	Implant.af transvenøs kardial pacemaker med ventr. elektrode
BFCA02	Implant.af transvenøs kardial pacemaker med atrial elektrode
BFCA03	Implant. transvenøs kardial pacemaker m.atr.og ventr.elekt.
BFCA04	Implant. transven. multi-site kardial pacemaker m.atri.elekt.
BFCA05	Implant. transven.multi-site kardial pacemaker m.ventr.elekt
BFCA06	Implant.transven.multi-site kard. pacemaker m.elek.i fl.lok.
BFCA07	Implantation af VDD pacemaker
BFCA1	Udskiftning af kardial pacemaker
BFCA10	Udskiftning af kardial pacemaker - 1-kammer
BFCA11	Udskiftning af kardial pacemaker - 2-kammer
BFCA12	Udskiftning af kardial pacemaker - anden
BFCA2	Opgradering af kardial pacemaker
BFCA20	Opgrad.kardial pacemaker inkl.suppl.elekt.til 2-kammer funkt
BFCA21	Opgrad.kardi.pacemaker inkl.suppl.elekt.til multi-site funkt
BFCA25	Nedgrad. af kardial pacemaker til 1-kammer system
BFCA3	Revision af pacemaker
BFCA30	Revision og flytning af kardial pacemaker
BFCA31	Revision og forsænkning af kardial paceelektrode
BFCA4	Fjernelse af kardial pacemaker
BFCA5	Behandling med loop recorder
BFCA50	Implantation af loop recorder
BFCA51	Fjernelse af loop recorder
BFCA6	Implantation af transvenøs kardial paceelektrode
BFCA61	Implantation af paceelektrode til højre ventrikel
BFCA62	Implantation af paceelektrode til højre atrium
BFCA63	Implantation af paceelektrode til venstre ventrikel pacing
BFCA64	Implantation af paceelektrode til venstre atrie pacing
BFCA7	Replacering af disloceret paceelektrode
BFCA70	Replac.af disloceret transvenøst anlagt atr.paceelektrode
BFCA71	Replac.af disloceret transvenøst anlagt ventr.paceelektrode
BFCA73	Replac. af disloceret paceelektrode til ve. ventr.pacing
BFCA8	Ekstraktion af transvenøs paceelektrode
BFCA80	Ekstraktion af transvenøs paceelektrode, simpel (antal)
BFCA81	Ekstraktion af transvenøs paceelektrode, laserteknik (antal)
BFCA82	Ekstraktion af transven.paceelektrode, sheath-system (antal)
BFCA9	Anlæggelse af temporær transvenøs paceelektrode
BFCA90	Anlæggelse af temporær transvenøs paceelektrode - 1-kammer
BFCA91	Anlæg.af temporære transvenøse paceelektroder - 2-kammer
BFCB	Procedurer i forbindelse med cardioverter-defibrillator beh.
BFCB0	Implantation af cardioverter-defibrillator
BFCB00	Implant. cardiovert.-defibrill.til ventr.takykardi,1-kammer
BFCB01	Implant. cardiovert.-defibrill.til ventr.takykardi,2-kammer
BFCB02	Implantation af cardioverter-defibrillator til atrieflimren
BFCB03	Implantation af cardioverter-defibrillator - multisite
BFCB2	Opgradering af cardioverter-defibrillator
BFCB20	Opgrad. cardiovert.-defibrill.inkl.suppl.elektr.til 2-kammer
BFCB21	Opgrad. cardiovert.-defibrill.inkl.supp.elekt.til multi-site
BFCB3	Revision af cardioverter-defibrillator
BFCB30	Revision og flytning af cardioverter-defibrillator
BFCB31	Revision og forsænk. af cardioverter-defibrillator elektrode
BFCB4	Fjernelse af cardioverter-defibrillator
BFCB5	Udskiftning af cardioverter-defibrillator
BFCB50	Udskiftning af cardioverter-defibrillator -1-kammer funktion
BFCB51	Udskiftning af cardioverter-defibrillator -2-kammer funktion
BFCB52	Udskiftning af cardioverter-defibrillator - til atrieflimren
BFCB53	Udskiftning af cardioverter-defibrillator - multi-site
BFCB6	Implantation af cardioverter-defibrillator elektrode
BFCB60	Implant.suppl.vena cava-elektrode til cardioverter-defibril.
BFCB61	Implant. suppl.subkutan elektrode til cardioverter-defibril.
BFCB62	Implant.epikardial patch-elektrode til cardioverter-defibril
BFCB63	Impl.af suppl. sense elektr. til cardioverter-defribrillator
BFCB7	Replacering af disloceret cardioverter-defibrillator elektr.
BFCB8	Ekstraktion af cardioverter-defibrillator elektrode
BFCB80	Ekstrakt.af cardioverter-defibrillator elektrode, simpel
BFCB81	Ekstrakt.af cardioverter-defibrillator elektrode,laserteknik
BFCB82	Ekstrakt.af cardioverter-defibrill.elektrode, sheath-system
BFCY	Proc. i forb.m.kardial pacemakerbehandling ikke klass.a.st.
BFCY0	Zoll pacing
BFF	Andre behandlinger ved kardiale rytmeforstyrrelser
BFFA	Eksternt anvendt procedure v. beh.af kardiale rytmeforstyrr.
BFFA0	Defibrillering og konvertering
BFFA00	Ekstern DC-konvertering
BFFA01	Cardioversio DC synchronisata
BFFA03	Defibrillatio ventriculorum asynchronisata
BFFA04	Defibrillatio atriorum DC synchronisata
BFFA05	Transvenøs DC-konvertering
BFFA6	Hjertemassage
BFFA60	Ekstern hjertemassage
BFFA61	Åben (intern) hjertemassage
BFFB	Radiofrekvensablation
BFFB0	Radiofrekvensablation ved atrielle rytmeforstyrrelser
BFFB00	Radiofrekvensablation m.h.p.sinusknude modifikation
BFFB01	Radiofrekvensablation ved fokal atrial takykardi
BFFB02	Radiofrekvensablation ved incessant atrial takykardi
BFFB03	Radiofrekvensablation ved fluctuatio atriorum
BFFB04	Radiofrekvensablation ved fibrillatio atriorum
BFFB1	Radiofrekvensablation ved Wolff-Parkinson-White syndrom
BFFB10	Radiofrekvensabl.via hø.ventr.v.Wolff-Parkinson-White syndr.
BFFB11	Radiofrekvensabl.retrogr. ve.ventr.Wolff-Park.-White syndr.
BFFB12	Radiofrekvensabl.transseptalt v.Wolff-Parkinson-White syndr.
BFFB2	Radiofrekvensablation ved atrioventrikulære rytmeforstyrr.
BFFB20	Radiofrekvensabl.v.atrioven.nodal re-entrytakykardi/hø.ventr
BFFB21	Radiofrekvensabl.v.atrioven.nodal re-entrytakykardi/ve.ventr
BFFB22	Radiofrekvensabl.m.h.p. atrioventrikulær knude modifikation
BFFB23	Radiofrekvensabl.ved permanent junctional re-entry takykardi
BFFB3	Radiofrekvensablation af His bundt
BFFB30	Radiofrekvensablation af His bundt via højre ventrikel
BFFB31	Radiofrekvensablation af His bundt via venstre ventrikel
BFFB4	Radiofrekvensablation ved ventrikulære rytmeforstyrrelser
BFFB40	Radiofrekvensabl.ved takykard.og ekstrasyst.ventr.i hø.ventr
BFFB41	Radiofrekvensabl.v.takykard+ekstrasyst.ventr.i ø.ventr.udløb
BFFB42	Radiofrekvensablation ved Gallavardin´s ventr. takykardi
BFFB43	Radiofrekvensabl.ved takykard.og ekstrasyst.ventr.i ve.ventr
BFFB5	Radiofrekvensablation v. rytmeforstyrrelser ikke klass.a.st.
BFFB50	Radiofrekvensabl.via hø.ventr.ved rytmeforstyr.ik.klas.a.st.
BFFB51	Radiofrekv.abl.retrogr./ve.ventr.v.ledn.forstyr.ej klas.a.st
BFFB52	Radiofrekv.abl.transsept./ve ventr.v.rytmeforst.ej klas.a.st
BFH	Medikamentel behandling af kredsløbslidelser
BFHC	Medikamentel hjerteterapi
BFHC0	Behandling med antihypertensivum
BFHC1	Behandling med diureticum
BFHC2	Behandling med beta-receptorblokerende middel
BFHC3	Behandling med calcium antagonist
BFHC4	Behandling med nitrater
BFHC5	Behandling med ACE-hæmmende middel
BFHC6	Behandling med lipidsænkende middel
BFHC9	Medikamentel hjerteterapi ikke klassificeret andetsteds
BFHC90	Behandling med hjerteglykosid
BFHC91	Behandling med antiarytmikum
BFHC92	Behandling med hjertestimulerende middel
BFHC92A	Behandling med isoprenalin
BFHC92B	Behandling med dobutamin
BFHC92C	Behandling med dopexamin
BFHC92D	Behandling med levomenandion
BFHC92E	Behandling med fosfodiesterasehæmmer
BFHC93	Behandling med blodtryksforhøjende middel
BFHC93A	Behandling med adrenalin
BFHC93B	Behandling med noradrenalin
BFHC93C	Behandling med dopamin
BFHC93D	Behandling med terlipressin
BFHC93E	Behandling med metylenblåt
BFHC93F	Behandling med nitroglycerin
BFHC93G	Behandling med nitroprussid
BFHC93H	Behandling med prostacyklin
BFHC94	Behandling med pladehæmmer
BFHC95	Kombinationsbehandling med vasoaktive og hjertestimulerende farmaka
BFK	Pædagogiske intervent. vedr. lidelser i hjerte og store kar
BFKA	Vejl. i fysisk aktivitet efter lidelse i hjerte og store kar
BFV	Pleje ved lidelse i hjerte og store kar
BFVA	Generel pleje ved lidelse i hjerte og store kar
BFVB	Speciel pleje ved lidelse i hjerte og store kar
BFX	Andre interventioner med relation til kredsløbssygdomme
BFXA	Specificeret intervention med relation til kredsløbssygdom
BFXA0	Behandling af kredsløbssvigt ved speciel lejring
BFXA00	Trendelenburg-lejring
BFXY	Intervention med rel.til kredsløbssygdom ej klass.andetsteds
BFXY0	Behandling med aorta-ballonpumpe
BG	Brysthule, lunger og respiration
BGA	Behandling med sonde og tube i brysthule og luftveje
BGAG	Behandling med tube i luftveje
BGAG0	Behandling med tungeholder
BGAG1	Behandling med oraltube
BGAG2	Behandling med nasaltube
BGAG3	Behandling med trakealtube
BGAG4	Behandling med trakealkanyle
BGAX	Delprocedurer med relation til behandling med pleuradræn
BGAX1	Skiftning af pleuradræn
BGAX2	Fjernelse af pleuradræn
BGAZ	Delprocedurer med relation til behandling m. tube i luftveje
BGAZ0	Anlæggelse af tube i luftveje
BGAZ00	Anlæggelse af tungeholder
BGAZ01	Anlæggelse af oraltube
BGAZ02	Anlæggelse af nasaltube,
BGAZ03	Anlæggelse af trakealtube
BGAZ1	Skiftning af tube i luftveje
BGAZ11	Skiftning af oraltube
BGAZ12	Skiftning af nasaltube
BGAZ13	Skiftning af trakealtube
BGAZ14	Skiftning af trakealkanyle
BGAZ2	Fjernelse af tube i luftveje
BGAZ20	Fjernelse af tungeholder
BGAZ21	Fjernelse af oraltube
BGAZ22	Fjernelse af nasaltube
BGAZ23	Fjernelse af trakealtube
BGAZ24	Fjernelse af trakealkanyle
BGD	Behandling med respirator mm.
BGDA	Respiratorbehandling og anden assisteret ventilation
BGDA0	Respiratorbehandling
BGDA00	PEEP-behandling med respirator
BGDA01	Differentieret respiratorbehandling
BGDA02	Respiratorbehandling i bugleje
BGDA1	Non-invasiv ventilation (NIV)
BGDA6	Ventilation
BGDA60	Manuel ventilation med maske
BGDA61	Manuel ventilation gennem trakealtube
BGDA62	Mund-til-næse ventilation
BGDA63	Mund-til-mund ventilation
BGDA7	Tilslutning af patient til respirator
BGF	Interventioner ved behandling af respirationslidelser
BGFC	Lungeterapi og anden respirationsbehandling
BGFC0	Lungeterapi med fokus på vitalkapacitet
BGFC00	Diafragmatiske respirationsøvelser
BGFC01	Latero-basale respirationsøvelser
BGFC02	Mobilisering til forbedring af vitalkapacitet
BGFC03	Styrke- og konditionstræning med fokus på vitalkapacitet
BGFC04	Mobilis. øvelser for thorax til forbedring af vitalkapacitet
BGFC05	Manuel stimulation af thorax med fokus på vitalkapacitet
BGFC06	Respirationsmuskeltræning (RMT)
BGFC07	Indøvning af hvilestillinger med fokus på vitalkapacitet
BGFC1	Lungeterapi ved sekretproblemer
BGFC10	Indøvning af støde- og hosteteknik
BGFC11	Drænage og stillingsændringer ved sekretproblemer
BGFC12	'Pursed lip-breathing' ved sekretproblemer
BGFC13	Behandling af sekretproblemer med vibrationer
BGFC14	Behandling af sekretproblemer med tapotement
BGFC15	Behandling af sekretproblemer med squeezing
BGFC16	Behandling af sekretproblemer med mobilisering
BGFC3	Maskebehandling
BGFC30	PEP-behandling
BGFC32	Nasal CPAP-behandling
BGFC33	Intermitterende CPAP behandling med maske
BGFC34	BiPAP-behandling
BGFC7	Kompenserende støttehandling ved respirationsproblemer
