Copyright, Sundhedsstyrelsen
Sundhedsstyrelsens SKS-koder opdateres månedligt.
Dette udtræk modsvarer opdateringen d 01/04-2004 15:15:02.

"Kode";"Tekst"
"UXCF50";"CT-skanning af hånd"
"UXCF80";"CT-osteodensitometri, underarm"
"UXCG";"CT-skanninger af underekstremitet"
"UXCG10";"CT-skanning af ossøse bækken"
"UXCG15";"CT-skanning af hofte"
"UXCG20";"CT-skanning af femur"
"UXCG25";"CT-skanning af knæ"
"UXCG30";"CT-skanning af crus"
"UXCG40";"CT-skanning af fodled"
"UXCG50";"CT-skanning af fod"
"UXCG80";"CT-osteodensitometri af hofte"
"UXM";"MR-skanninger"
"UXMA";"MR-skanninger af hoved"
"UXMA00";"MR-skanning af cerebrum"
"UXMA05";"MR-skanning af kranieknogler"
"UXMA10";"MR-skanning af hypofyse"
"UXMA12";"MR-skanning af fossa posterior"
"UXMA15";"MR-skanning af hjernestamme"
"UXMA16";"MR-skanning af mellemøre"
"UXMA20";"MR-skanning af orbita"
"UXMA40";"MR-skanning af bihuler, inkl. cavum nasi"
"UXMA60";"MR-skanning af rhino-oropharynx"
"UXMA65";"MR-skanning af kæbeled"
"UXMA75";"MR-skanning af spytkirtler"
"UXMB";"MR-skanninger af hals"
"UXMB00";"MR-skanning af hals"
"UXMB10";"MR-skanning af gld. thyreoidea og parathyr."
"UXMC";"MR-skanninger af thorax"
"UXMC10";"MR-skanning af thoraxvæg"
"UXMC20";"MR-skanning af klavikel"
"UXMC30";"MR-skanning af sternoklavikularled"
"UXMC35";"MR-skanning af sternum"
"UXMC40";"MR-skanning af mamma"
"UXMC50";"MR-skanning af øsofagus"
"UXMC60";"MR-skanning af mediastinum"
"UXMC70";"MR-skanning af aorta thoracalis"
"UXMC80";"MR-skanning af hjertet"
"UXMD";"MR-skanninger af abdomen og bækken"
"UXMD10";"MR-skanning af øvre abdomen"
"UXMD15";"MR-skanning af nedre abdomen, inkl. bækken"
"UXMD20";"MR-skanning af retroperitoneum"
"UXMD22";"MR-skanning af abdominalvæg"
"UXMD25";"MR-skanning af mave-tarmkanal"
"UXMD30";"MR-skanning af aorta abdominalis"
"UXMD40";"MR-skanning af lever"
"UXMD50";"MR-cholangio-pancreaticografi (MRCP)"
"UXMD55";"MR-skanning af pancreas"
"UXMD60";"MR-skanning af nyrer"
"UXMD62";"MR-urografi"
"UXMD65";"MR-skanning af binyrer"
"UXMD75";"MR-skanning af blære"
"UXMD80";"MR-skanning af genitalia feminina"
"UXMD85";"MR-skanning af foster"
"UXMD90";"MR-skanning af genitalia maskulina"
"UXMD92";"MR-skanning af prostata"
"UXME";"MR-skanninger af columna"
"UXME00";"MR-skanning af columna"
"UXME10";"MR-skanning af columna cervicalis"
"UXME15";"MR-myelografi af medulla cervicalis"
"UXME20";"MR-skanning af columna thoracalis"
"UXME25";"MR-myelografi af medulla thoracalis"
"UXME30";"MR-skanning af columna lumbalis"
"UXME40";"MR-myelografi, lumbal"
"UXME50";"MR-skanning af os sacrum"
"UXMF";"MR-skanninger af overekstremitet"
"UXMF00";"MR-skanning af overekstremitet"
"UXMF10";"MR-skanning af skulder"
"UXMF20";"MR-skanning af overarm"
"UXMF25";"MR-skanning af albue"
"UXMF30";"MR-skanning af underarm"
"UXMF40";"MR-skanning af håndled"
"UXMF50";"MR-skanning af hånd og fingre"
"UXMF90";"Arbejdstest, MR-spektroskopi af muskler, overekstremitet"
"UXMG";"MR-skanninger af underekstremitet"
"UXMG00";"MR-skanning af underekstremitet"
"UXMG10";"MR-skanning af bækken, inkl. begge hofteled"
"UXMG15";"MR-skanning af hofteled"
"UXMG20";"MR-skanning af femur"
"UXMG25";"MR-skanning af knæ"
"UXMG30";"MR-skanning af crus"
"UXMG40";"MR-skanning af fodled"
"UXMG50";"MR-skanning af fod og tæer"
"UXMG90";"Arbejdstest, MR-spektroskopi af muskler, underekstremitet"
"UXR";"Røntgenundersøgelser"
"UXRA";"Røntgenundersøgelser af hoved"
"UXRA05";"Røntgenundersøgelse af kranie"
"UXRA07";"Røntgenundersøgelse af kranie med cephalostat"
"UXRA10";"Røntgenundersøgelse af sella turcica"
"UXRA15";"Røntgenundersøgelse af os temporale"
"UXRA20";"Røntgenundersøgelse af orbita"
"UXRA25";"Røntgenundersøgelse af ansigtsskelet"
"UXRA35";"Røntgenundersøgelse af ductus lacrimalis med kontraststof"
"UXRA40";"Røntgenundersøgelse af bihuler"
"UXRA45";"Ortopan-tomografi af kæber"
"UXRA50";"Panoramix-optagelse af kæber"
"UXRA55";"Enoral optagelse af tænder"
"UXRA60";"Røntgenundersøgelse af underkæbe"
"UXRA65";"Røntgenundersøgelse af kæbeled"
"UXRA75";"Oversigtsoptagelse af spytkirtler"
"UXRA80";"Sialografi"
"UXRA90";"Totalskelet - screening af børn <1 år mhp. batterred child"
"UXRA91";"Totalskelet-screening af kvitteret foster eller dødfødt barn"
"UXRB";"Røntgenundersøgelser af hals"
"UXRB00";"Røntgenundersøgelse af hals"
"UXRB20";"Røntgenundersøgelse af larynx"
"UXRB25";"Røntgenundersøgelse af trachea"
"UXRC";"Røntgenundersøgelser af thorax"
"UXRC00";"Røntgenundersøgelse af thorax"
"UXRC05";"Gennemlysning af thorax"
"UXRC10";"Røntgenundersøgelse af thorax, inkl. specialprojektion"
"UXRC12";"Røntgenundersøgelse af thorax med kontrast i CVK"
"UXRC20";"Røntgenundersøgelse af clavicula"
"UXRC25";"Røntgenundersøgelse af costae"
"UXRC30";"Røntgenundersøgelse af sternoklavikulærled"
"UXRC35";"Røntgenundersøgelse af sternum"
"UXRC40";"Klinisk mammografi"
"UXRC45";"Mammografi, screening"
"UXRC47";"Røntgenvejledt nålemarkering i mamma"
"UXRC48";"Cystografi af mamma"
"UXRC49";"Galactografi af mamma"
"UXRC50";"Røntgenundersøgelse af øsofagus med kontraststof"
"UXRC52";"Røntgenundersøgelse af øsofagus med dokumentation af funkt."
"UXRD";"Røntgenundersøgelser af abdomen"
"UXRD00";"Oversigtsoptagelse af abdomen"
"UXRD05";"Røntgenundersøgelse af ventrikel med kontraststof"
"UXRD10";"Røntgenundersøgelse af ventrikel med kontraststof og føde"
"UXRD15";"Tyndtarmspassage"
"UXRD20";"Tyndtarm med indgift af kontraststof gennem sonde"
"UXRD25";"Røntgenundersøgelse af  kolon"
"UXRD30";"Røntgenundersøgelse af  kolon efter peroral kontrast"
"UXRD35";"Pouchografi"
"UXRD37";"Defækografi"
"UXRD40";"Oversigtsoptagelse af galdeveje"
"UXRD45";"Kolangiografi gennem dræn"
"UXRD47";"Intravenøs kolangiografi"
"UXRD50";"Peroral kolecystografi med indgift af kontraststof"
"UXRD55";"PTC, perkutan-transhepatisk-kolangiografi"
"UXRD60";"Oversigtsoptagelse af nyrer op urinveje"
"UXRD65";"Intravenøs urografi, inkl. oversigtsbilleder"
"UXRD70";"Antegrad og retrograd pyelografi"
"UXRD75";"Cystografi"
"UXRD80";"MCU, miktions-cysto-urethrografi"
"UXRD85";"Urethrografi"
"UXRD90";"HSG, hystero-salpingografi"
"UXRE";"Røntgenundersøgelser af columna"
"UXRE10";"Røntgenundersøgelse af columna cervicalis"
"UXRE15";"Cervikal myelografi"
"UXRE20";"Røntgenundersøgelse af columna thoracalis"
"UXRE25";"Thorakal myelografi"
"UXRE30";"Røntgenundersøgelse af columna lumbalis"
"UXRE35";"Lumbal myelografi"
"UXRE45";"Lumbal diskografi"
"UXRE50";"Røntgenundersøgelse af os sacrum"
"UXRE60";"Røntgenundersøgelse af sakroiliakaled"
"UXRE70";"Skolioseoptagelse"
"UXRE80";"Osteodensitometri, dual X-ray absorptiometri, columna lumb."
"UXRE82";"Osteodensitometri, dual X-ray absorptiometri, lateral spine"
"UXRE85";"Osteomorfometri, dual X-ray absorptiometri (DXA), columna"
"UXRF";"Røntgenundersøgelser af overekstemitet"
"UXRF10";"Røntgenundersøgelse af scapula"
"UXRF12";"Røntgenundersøgelse af akromioklavikularled"
"UXRF15";"Røntgenundersøgelse af skulder"
"UXRF20";"Røntgenundersøgelse af overarm"
"UXRF25";"Røntgenundersøgelse af albue"
"UXRF30";"Røntgenundersøgelse af underarm"
"UXRF40";"Røntgenundersøgelse af håndled"
"UXRF45";"Røntgenundersøgelse af os scaphoideum"
"UXRF50";"Røntgenundersøgelse af hånd og fingre"
"UXRF51";"Røntgenundersøgelse af begge hænder"
"UXRF60";"Røntgenundersøgelse på lang film af overekstremitet"
"UXRF80";"Osteodensitometri, dual X-ray absorptiometri af underarm"
"UXRF82";"Osteodensitometri, single X-ray absorptiometri af underarm"
"UXRF83";"Osteodensitometri, dual X-ray absorptiometri af hånd"
"UXRG";"Røntgenundersøgelser af underekstremitet"
"UXRG10";"Røntgenundersøgelse af bækken"
"UXRG15";"Røntgenundersøgelse af hofte"
"UXRG20";"Røntgenundersøgelse af femur"
"UXRG25";"Røntgenundersøgelse af knæ"
"UXRG26";"Røntgenundersøgelse af begge knæ"
"UXRG27";"Tangential røntgenundersøgelse af patella"
"UXRG30";"Røntgenundersøgelse af crus"
"UXRG40";"Røntgenundersøgelse af fodled"
"UXRG41";"Røntgenundersøgelse af begge fodled"
"UXRG45";"Røntgenundersøgelse af calcaneus"
"UXRG47";"Røntgenundersøgelse af mellemfod"
"UXRG50";"Røntgenundersøgelse af fod og tæer"
"UXRG60";"Røntgenundersøgelse på lang film af underekstremiteten"
"UXRG80";"Osteodensitometri, dual X-ray absorptiometri af collum fem."
"UXRG81";"Osteodensitometri, dual X-ray absorptiometri af  tibia"
"UXRG82";"Osteodensitometri, single X-ray absorptiometri af calcaneus"
"UXRG82A";"Osteodensitometri, dual X-ray absorptiometri af calcaneus"
"UXU";"Ultralyds-undersøgelser"
"UXUA";"Ultralyd-undersøgelser af hoved"
"UXUA00";"UL-undersøgelse af cerebrum"
"UXUA20";"UL-undersøgelse af orbita"
"UXUA25";"UL-undersøgelse af bulbus oculi (B-skanning)"
"UXUA27";"UL-vejledt måling af øjenakser (A-skanning)"
"UXUA30";"Transkraniel Doppler af intracerebrale kar"
"UXUA32";"Fontanelle-skanning"
"UXUA40";"UL-undersøgelse af sinus maxillaris"
"UXUA45";"Endoskopisk UL-undersøgelse af bihuler"
"UXUA65";"UL-undersøgelse af kæbeled"
"UXUA75";"UL-undersøgelse af spytkirtler"
"UXUA80";"UL-undersøgelse af ansigtsbløddele"
"UXUA85";"UL-undersøgelse af tunge og mundbund"
"UXUB";"Ultralyd-undersøgelser af hals"
"UXUB00";"UL-undersøgelse af hals"
"UXUB00A";"UL-undersøgelse af lymfeknude på hals"
"UXUB00B";"UL-undersøgelse af cyste på hals"
"UXUB10";"UL-undersøgelse af gld. thyreoidea og parathyr."
"UXUB10A";"Ultralydundersøgelse, gl. thyreoidea"
"UXUB10B";"Ultralydsundersøgelse, parathyreoidea"
"UXUB30";"Kvantitativ UL / Doppler-undersøgelse af halsarterier"
"UXUB35";"Kvantitativ UL / Doppler-undersøgelse af halsvener"
"UXUC";"Ultralyd-undersøgelser af thorax"
"UXUC05";"UL-undersøgelse af sternoklavikulærled"
"UXUC10";"UL af thoraxvæg og axil, inkl. periklavikulær"
"UXUC15";"UL-undersøgelse af pleura og diafragma"
"UXUC40";"UL-undersøgelse af mamma"
"UXUC47";"UL-vejledt nålemarkering i mamma"
"UXUC50";"Endoskopisk UL-undersøgelse af øsofagus"
"UXUC60";"UL-undersøgelse af lunge og mediastinum"
"UXUC70";"Epikardial ultralydsdiagnostik"
"UXUC71";"Perikardial ultralydsdiagnostik"
"UXUC72";"Intrapleural ultralydsdiagnostik"
"UXUC74";"Transtorakoskopisk ultralydsdiagnostik"
"UXUC80";"Transthorakal ekkokardiografi"
"UXUC80A";"Transthorakal stress-ekkokardiografi"
"UXUC80B";"Transthorakal ekkokardiografi m. Dobutamin test"
"UXUC80C";"Transthorakal ekkokardiografi m. kontrast"
"UXUC80D";"Transthorakal 3-D ekkokardiografi"
"UXUC80E";"Transthorakal ekkokardiografi med vævsdoppler"
"UXUC81";"Transoesofageal ekkokardiografi"
"UXUC85";"Intrakoronar UL-undersøgelse"
"UXUC86";"Intrakoronar flowmåling m. Doppler"
"UXUD";"Ultralyd-undersøgelser af abdomen"
"UXUD10";"UL-undersøgelse af øvre abdomen"
"UXUD11";"Laparoskopisk UL-undersøgelse af øvre abdomen"
"UXUD12";"UL-undersøgelse af tarm"
"UXUD15";"UL-undersøgelse af nedre abdomen"
"UXUD16";"Laparoskopisk UL-undersøgelse af nedre abdomen"
"UXUD20";"UL-undersøgelse af retroperitoneum, inkl. aorta og binyrer"
"UXUD22";"UL-undersøgelse af bugvæg"
"UXUD25";"UL-undersøgelse af lyskeregion"
"UXUD30";"Kvantitativ UL/Doppler af splanknikuskar"
"UXUD31";"Endoskopisk UL-undersøgelse af ventrikel, duodenum og omgiv."
"UXUD32";"UL-undersøgelse af ventrikel, duodenum og omgiv. via stomi"
"UXUD33";"Endoskopisk UL-undersøgelse af tyndtarm"
"UXUD34";"UL-undersøgelse af tyndtarm via stomi"
"UXUD35";"Endoskopisk UL-undersøgelse af tyktarm"
"UXUD36";"UL-undersøgelse af tyktarm via stomi"
"UXUD38";"Transrektal UL-undersøgelse af rektum og analkanal"
"UXUD39";"Transvaginal UL-undersøgelse af tarm"
"UXUD40";"Endoskopisk UL-undersøgelse af galdeveje"
"UXUD41";"Endoskopisk UL-undersøgelse af pancreas"
"UXUD45";"Perkutan UL-vejledt pancreastrykmåling"
"UXUD50";"Endoskopisk UL-undersøgelse af lever"
"UXUD52";"Kvantitativ UL/Doppler af leverens kar"
"UXUD60";"Kvantitativ Doppler-undersøgelse af flow i nyrekar"
"UXUD61";"UL-undersøgelse af nyrer"
"UXUD75";"UL-undersøgelse af urinblæren"
"UXUD80";"UL-undersøgelse af genitalia feminina"
"UXUD82";"Transvaginal UL-undersøgelse af genitalia feminina"
"UXUD82A";"Transvaginal UL-undersøgelse af uterus med kontrast"
"UXUD84";"UL-undersøgelse af follikler"
"UXUD85";"UL-undersøgelse af cervix"
"UXUD86";"UL/Doppler af foster og placenta"
"UXUD86A";"Obstetrisk ultralydskanning, type 1"
"UXUD86B";"Obstetrisk ultralydskanning, type 2"
"UXUD86C";"Fosterekkokardiografi"
"UXUD86D";"Diagnostisk obstetrisk UL-skanning på speciel indikation"
"UXUD86E";"Fosterekkokardiografi - tvillingeundersøgelse"
"UXUD87";"Transvaginal UL-undersøgelse af af foster og placenta"
"UXUD87A";"Transvaginal obstetrisk ultralydsskanning, type 1"
"UXUD87B";"Transvaginal obstetrisk ultralydsskanning, type 2"
"UXUD88";"UL/Doppler af navlesnorsflow/føto-maternelt kredsløb"
"UXUD88A";"Flowmåling i a. umbilicalis"
"UXUD88B";"Flowmåling i v. umbilicalis"
"UXUD88C";"Flowmåling i a. cerebri media"
"UXUD88D";"Flowmåling i ductus venosus"
"UXUD88E";"Flowmåling over hjerteklapper"
"UXUD88F";"Flowmåling i a. uterina"
"UXUD88G";"Flowmåling i anastomoser i placenta"
"UXUD88H";"Flowmåling i andre kar"
"UXUD90";"UL-undersøgelse af penis"
"UXUD92";"UL-undersøgelse af prostata, inkl. transrektal skanning"
"UXUD95";"UL-undersøgelse af scrotum"
"UXUE";"Ultralyd-undersøgelser af columna"
"UXUE10";"UL-undersøgelse af columna cervicalis"
"UXUE20";"UL-undersøgelse af columna thoracalis"
"UXUE30";"UL-undersøgelse af columna lumbalis"
"UXUF";"Ultralyd-undersøgelser af overekstremitet"
"UXUF00";"UL-undersøgelse af overekstremitet"
"UXUF01";"UL-undersøgelse af overarm"
"UXUF02";"UL-undersøgelse af underarm"
"UXUF05";"Kvantitativ UL/Doppler af kar på overekstremitet"
"UXUF05A";"Kvantitativ UL/Doppler af arterier på overekstremitet"
"UXUF05B";"Kvantitativ UL/Doppler af vener på overekstremitet"
"UXUF15";"UL-undersøgelse af skulder"
"UXUF25";"UL-undersøgelse af albue"
"UXUF40";"UL-undersøgelse af håndled"
"UXUF50";"UL-undersøgelse af hånd"
"UXUG";"Ultralyd-undersøgelser af underekstremitet"
"UXUG00";"UL-undersøgelse af underekstremitet"
"UXUG01";"UL-undersøgelse af lår"
"UXUG02";"UL-undersøgelse af underben"
"UXUG05";"Kvantitativ UL/Doppler af kar på underekstremitet"
"UXUG05A";"Kvantitativ UL/Doppler af arterier på underekstremitet"
"UXUG05B";"Kvantitativ UL/Doppler af vener på underekstremitet"
"UXUG15";"UL-undersøgelse af hofte"
"UXUG25";"UL-undersøgelse af knæ"
"UXUG40";"UL-undersøgelse af fodled"
"UXUG50";"UL-undersøgelse af fod"
"UXUG80";"UL-vejledt osteodensitometri af calcaneus"
"UXUH";"Ultralydsundersøgelse af hud og tilgrænsende struktur"
"UXUH00";"Ultralydsundersøgelse af hud"
"UZCGG";"EMG vejledt procedure"
"UXZ";"Tillægskoder til radiologiske procedurer"
"UXZ1";"Anvendelse af kontrast"
"UXZ10";"med i.v. kontrast"
"UXZ10A";"med i.v. kontrast samt peroral kontrast"
"UXZ11";"uden i.v. kontrast"
"UXZ12";"både med og uden i.v. kontrast"
"UXZ12A";"både med og uden i.v. kontrast samt peroral kontrast"
"UXZ13";"med intratekal kontrast"
"UXZ14";"med peroral kontrast"
"UXZ15";"med endoluminal kontrast"
"UXZ16";"med fistulografi"
"UXZ17";"med artrografi"
"UXZ2";"Teknikker"
"UXZ20";"med bearbejdning af billeder på arbejdsstation"
"UXZ21";"med udmåling på billeder"
"UXZ3";"Specifikation til røntgenprocedurer"
"UXZ30";"røntgenvejledt procedure"
"UXZ31";"med bløddelsoptagelse"
"UXZ32";"med tomografi"
"UXZ33";"med stereofotogrammetri"
"UXZ34";"Supplerende specialoptagelser udover to projektioner"
"UXZ4";"Specifikation til CT-procedurer"
"UXZ40";"CT-vejledt procedure"
"UXZ41";"med CT-angiografi"
"UXZ42";"med spiralteknik"
"UXZ43";"med CT-perfusionsmåling"
"UXZ5";"Specifikation til MR-procedurer"
"UXZ50";"MR-vejledt procedure"
"UXZ51";"med MR-arteriografi"
"UXZ52";"med MR-flebografi"
"UXZ53";"med MR-diffusionsmåling"
"UXZ54";"med MR-flowmåling"
"UXZ55";"med MR-perfusionsmåling"
"UXZ56";"med MR-spektroskopi"
"UXZ57";"med MR-relaxometri"
"UXZ6";"Specifikation til angiografiske procedurer"
"UXZ60";"angiografisk vejledt procedure"
"UXZ61";"med blood-sampling"
"UXZ62";"med direkte punktur"
"UXZ63";"med selektiv kateterisering"
"UXZ64";"med trykmåling"
"UXZ65";"med CO2-kontrast"
"UXZ7";"Specifikation til UL-procedurer"
"UXZ70";"ultralyd/Doppler-vejledt procedure"
"UXZ71";"med endoluminal ultralyd"
"UXZ72";"med kvantitativ Dopplerundersøgelse"
"UXZ73";"med vægtskanning"
"UXZ74";"med bestemmelse af fosterstilling"
"UXZ75";"med nakkefoldsskanning"
"UXZ76";"med bestemmelse af antal gestationssække"
"UXZ9";"Generel specifikation til radiologiske procedurer"
"UXZ90";"med funktionsundersøgelse"
"UXZ91";"med terapiplanlægning"
"UXZ95";"med gentagelse af billedoptagelse"

