AAA    Diagnostiska intrakraniella operationer
DWW    Annan reoperation p† ”ron, n„sa, hals och struphuvud
EAA    Incision, resektion av l„pp
EAB    Rekonstruktiva ingrepp p† l„pp
EAW    Andra operationer p† l„ppar
EBA    Extraktion eller resektion av tand
EBB    Rekonstruktiva ingrepp p† tand
EBU    Avl„gsnande av implantat och externt fixationsmaterial fr†n t„nderna
EBW    Andra operationer p† t„nder
ECA    Incision, biopsi och excision av gingiva och alveolarutskott
ECB    Rekonstruktiva ingrepp p† gingiva och alveolarutskott
ECU    Avl„gsnande av implantat och externt fixationsmaterial fr†n alveolarutskott
ECW    Andra operationer p† gingiva och alveolarutskott
EDA    Incision, biopsi av underk„ke
EDB    Resektion av underk„ke
EDC    Rekonstruktiva ingrepp p† underk„ke
EDU    Avl„gsnande av implantat och externt fixationsmaterial fr†n underk„ke
EDW    Andra operationer p† underk„ken
EEA    Incision, biopsi av ”verk„ke
EEB    Resektion, exstirpation av ”verk„ke
EEC    Rekonstruktiva ingrepp p† ”verk„ke
EEU    Avl„gsnande av implantat och externt fixationsmaterial fr†n ”verk„ke
EEW    Andra operationer p† ”verk„ken
EFA    Resektion, exstirpation av lokal f”r„ndring i k„ke
EFB    Rekonstruktiva ingrepp p† k„ke
EFU    Avl„gsnande av implantat och externt fixationsmaterial fr†n k„ke
EFW    Andra operationer p† k„kar
EGA    Incision, endoskopi, biopsi av k„kled
EGB    Resektion av k„kled
EGC    Rekonstruktiva ingrepp p† k„kled
EGU    Avl„gsnande av implantat och externt fixationsmaterial fr†n k„kled
EGW    Andra operationer p† k„kleder
EHA    Incision, biopsi av gom
EHB    Resektion av gom
EHC    Rekonstruktiva ingrepp p† gom
EHU    Avl„gsnande av implantat och externt fixationsmaterial fr†n gom
EHW    Andra operationer p† gom
EJA    Incision, biopsi av tunga och munbotten
EJB    Resektion, exstirpation av tunga och munbotten
EJC    Rekonstruktiva ingrepp p† tunga och munbotten
EJW    Andra operationer p† tunga och munbotten
EKA    Incision, biopsi av kind
EKB    Resektion av kind
EKC    Rekonstruktiva ingrepp p† kind
EKW    Andra operationer p† kind
ELA    Incision, biopsi av spottk”rtel
ELB    Resektion, exstirpation av spottk”rtel
ELC    Rekonstruktiva ingrepp p† spottk”rtel
ELW    Andra operationer p† spottk”rtlar
EMA    Biopsi, incision av tonsill och adenoid
EMB    Resektion, exstirpation av tonsill och adenoid
EMC    Rekonstruktiva ingrepp p† tonsill och adenoid
EMW    Andra operationer p† tonsiller och adenoider
ENA    Biopsi, incision av farynx och n„rliggande mjukdelar
ENB    Resektion av farynx och n„rliggande mjukdelar
ENC    Rekonstruktiva ingrepp p† farynx och n„rliggande mjukdelar
ENW    Andra operationer p† farynx och n„rliggande mjukdelar
EWA    Reoperation f”r s†rruptur
EWB    Reoperation f”r ytlig infektion
EWC    Reoperation f”r djup infektion
EWD    Reoperation f”r ytlig bl”dning
EWE    Reoperation f”r djup bl”dning
EWF    Reoperation f”r anastomos- och suturinsufficiens
EWW    Annan reoperation p† l„ppar, t„nder, k„kar, mun och svalg
FAA    Sutur och rekonstruktion av intratorakala vena cava
FAB    Incision och excision av vena cava
FAC    Resektion, rekonstruktion och ligatur av intratorakala vena cava
FAD    Bypass-operationer p† intratorakala vena cava
FAE    Cavo-pulmonella anastomosoperationer
FAW    Andra operationer p† intratorakala vener
FBA    Sutur och rekonstruktion av arteria pulmonalis
FBB    Incision av arteria pulmonalis
FBC    Banding-operationer p† arteria pulmonalis
FBD    Debanding-operationer p† arteria pulmonalis
FBE    Vidgning eller rekonstruktion av arteria pulmonalis
FBF    Reduktion av arteria pulmonalis
FBG    Unifokalisering vid MAPCA med implantat i arteria pulmonalis eller protes
FBH    Rekonstruktion vid pulmonell k„rlslynga
FBJ    Subklavio-pulmonella shuntoperationer
FBK    Slutning av subklavio-pulmonell anastomos
FBL    Aorto-pulmonella anastomoser och shuntar
FBM    Slutning eller delning av anlagda aortopulmonella anastomoser och shuntar
FBN    Operation f”r fistel fr†n arteria pulmonalis
FBW    Andra operationer p† arteria pulmonalis och dess grenar
FCA    Rekonstruktion av aorta ascendens
FCB    Rekonstruktion av aortab†gen
FCC    Rekonstruktion av aorta descendens
FCD    Rekonstruktion av torakoabdominala aorta
FCE    Slutning av f”rv„rvad fistel fr†n aorta
FCW    Andra operationer p† torakala och torakoabdominala aorta
FDA    Operation f”r HLHS
FDB    Operation f”r TGA
FDC    Operation f”r truncus arteriosus communis
FDD    Slutning av kongenital fistel fr†n aorta
FDE    Slutning av ductus arteriosus
FDF    Slutning av aortopulmonella kollateraler
FDG    Operation vid supravalvul„r aortastenos
FDH    Rekonstruktion vid hypoplasi eller atresi av aortab†gen
FDJ    Rekonstruktion vid aortakoarktation
FDM    Operation f”r k„rlringsanomali vid aortab†ge
FDN    Operationer p† ductus arteriosus f”r att bevara ”ppetst†ende
FDW    Andra operationer f”r anomalier och defekter med relation till br”staorta
FEA    Slutet externt dr„nage av perikardiet
FEB    Perikardiotomi
FEC    Intern perikardiostomi
FED    Reparation av perikardiet
FEE    Biopsi eller excision av patologisk f”r„ndring i perikardiet
FEF    Resektion och exstirpation av perikardiet
FEW    Andra operationer p† perikardiet
FFA    Biopsi eller excision av patologisk f”r„ndring i f”rmak
FFB    Reparation av skada p† f”rmak
FFC    Slutning av isolerad f”rmaksseptumdefekt
FFD    Operation vid inkomplett atrioventrikul„r septumdefekt
FFE    Anl„ggande eller f”rstoring av f”rmaksseptumdefekt
FFF    Transponering av partiellt anomalt mynnande lungvener
FFG    Transponering av totalt anomalt mynnande lungvener
FFH    Operationer f”r lungvensstenos
FFJ    Interatrial korrektion av systemven”st blodfl”de
FFK    Atrial anastomosoperation
FFL    Rekonstruktion vid cor triatriatum
FFW    Andra operationer p† f”rmak
FGA    Rekonstruktion av trikuspidalisklaffen vid stenos
FGB    Rekonstruktion vid Ebsteins anomali
FGC    Anuloplastik vid trikuspidalisinsufficiens
FGD    Rekonstruktion vid trikuspidalisinsufficiens
FGE    Implantation av trikuspidalisklaffprotes
FGW    ™vriga operationer p† trikuspidalisklaffen
FHA    Slutning av f”rv„rvad ventrikelseptumdefekt
FHB    Slutning av isolerad kongenital ventrikelseptumdefekt
FHC    Slutning av multipla ventrikelseptumdefekter
FHD    Reparation vid komplett atrioventrikul„r septumdefekt
FHE    Korrektion av Fallots tetrad
FHF    Korrektion av pulmonalisatresi
FHG    Slutning av VSD med samtidig intraventrikul„r fl”destransponering
FHH    Anl„ggande eller vidgning av VSD
FHJ    "Rekonstruktion av septum vid "common ventricle""
FHW    Andra operationer p† ventrikelseptum
FJA    Biopsi av h”ger kammare
FJB    Reparation av skada p† h”ger kammare
FJC    Exstirpation av patologisk f”r„ndring i h”ger kammare
FJD    Operationer p† h”ger kammares utfl”desregion vid medf”dd eller f”rv„rvad obstruktion
FJE    Operation av isolerad pulmonalisstenos
FJF    Implantation av pulmonalisklaffprotes
FJW    Andra operationer p† h”ger kammare och pulmonalisklaffen
FKA    Rekonstruktiva operationer vid mitralisstenos
FKB    Anuloplastik vid mitralisinsufficiens
FKC    Klaffrekonstruktion vid mitralisinsufficiens
FKD    Implantation av mitralisklaffprotes
FKW    Andra operationer p† mitralisklaffen
FLA    Biopsi av v„nster kammare
FLB    Exstirpation av patologisk f”r„ndring i v„nster kammare
FLC    Rekonstruktion av v„nster kammare
FLD    Reduktion och dilatation av v„nster kammare
FLE    Rekonstruktion vid utfl”desobstruktion i v„nster kammare
FLF    Transmyokardiell laserrevaskularisering av v„nster kammare
FLW    Andra operationer p† v„nster kammare
FMA    Operationer p† aortaklaffen f”r klaffstenos
FMB    Vidgning av aortaostiet
FMC    Operation f”r aortaklaffinsufficiens
FMD    Implantation av aortaklaffprotes
FMW    Andra operationer p† aortaklaffen
FNA    Anastomos mellan arteria mammaria interna och koronarart„rer
FNB    Anastomos mellan arteria gastroepiploica och koronarart„rer
FNC    Aorto-koronar venbypass
FND    Aorto-koronar bypass med k„rlprotes
FNE    Koronar bypass med fritt art„rtransplantat
FNF    Koronar trombendart„rektomi
FNG    Dilatation och rekanalisering av koronarart„rer
FNH    Rekonstruktion av koronarart„r
FNJ    Slutning av koronarfistel
FNK    Rekonstruktion vid anomal koronarart„ravg†ng
FNW    Andra operationer p† koronart„rerna
FPA    Operation f”r supraventrikul„r arytmi
FPB    Excision eller ablation av aberrant hj„rtfokus
FPC    Endokardiell myotomi f”r ventrikul„ra arytmier
FPD    Operation f”r f”rmaksflimmer
FPE    Inl„ggande eller byte av permanent transven”s pacemaker
FPF    Inl„ggande eller byte av permanent epikardiell pacemaker
FPG    Inl„ggande av permanent cardioverter-defibrillator
FPH    Avl„gsnande av pacemaker, defibrillator eller pulsgenerator
FPJ    Revision av pacemaker eller elektrod
FPW    Andra operationer f”r arytmi och ”verledningsrubbningar
FQA    Transplantation av hj„rta
FQB    Transplantation av hj„rta och lungor
FQW    Andra operationer vid hj„rt- eller hj„rt-lungtransplantation
FWA    Reoperation f”r s†rruptur
FWB    Reoperation f”r ytlig infektion
FWC    Reoperation f”r djup infektion
FWD    Reoperation f”r ytlig bl”dning
FWE    Reoperation f”r djup bl”dning
FWF    Reoperation f”r anastomos- och suturinsufficiens
FWG    Reoperation f”r trombos eller emboli
FWW    Annan reoperation p† hj„rtat och de stora intratorakala k„rlen
FXA    FXA
FXB    FXB
FXC    FXC
FXD    FXD
FXE    FXE
FXF    FXF
FXG    FXG
FXH    FXH
FXJ    FXJ
FXK    FXK
FXL    FXL
FXM    FXM
FXN    FXN
FXP    FXP
GAA    Punktion och dr„nage av pleurah†lan inkl torakoskopi
GAB    Torakotomi
GAC    Operationer p† pleura
GAD    Torakoplastikoperationer
GAE    Incision, biopsi, resektion och rekonstruktion av br”stv„gg
GAF    Rekonstruktiva operationer vid anomalier och defekter i br”stv„ggen
GAG    Transtorakala och torakoskopiska operationer p† diafragma
GAW    Andra operationer p† br”stv„gg, pleura och diafragma
GBA    Trakeotomi och operationer f”r skador och lokala f”r„ndringar
GBB    Trakeostomi och relaterade operationer
GBC    Resektion och rekonstruktion av trakea
GBW    Andra operationer p† trakea
GCA    Operationer p† bronker
GDA    Incision, lokal exstirpation och sutur av lunga
GDB    Lungresektioner
GDC    Lobektomioperationer p† lungor
GDD    Pneumektomi
GDG    Lungtransplantationer
GDW    Andra operationer p† lungor
GEA    Mediastinoskopi
GEB    Mediastinotomi
GEC    Operationer p† tymus
GEW    Andra operationer i mediastinum
GWA    Reoperation f”r s†rruptur
GWB    Reoperation f”r ytlig infektion
GWC    Reoperation f”r djup infektion
GWD    Reoperation f”r ytlig bl”dning
GWE    Reoperation f”r djup bl”dning
GWF    Reoperation f”r anastomos- och suturinsufficiens
GWW    Annan reoperation p† br”stv„gg, pleura, mediastinum, diafragma, trakea, bronker eller lungor
HAA    Biopsi och incision av br”stk”rtel
HAB    Resektion av br”stk”rtel
HAC    Mastektomi
HAD    Korrektiva operationer p† br”st
HAE    Rekonstruktion av br”st
HAF    Operationer vid lokalrecidiv av br”stcancer
HWA    Reoperation f”r s†rruptur
HWB    Reoperation f”r ytlig infektion
HWC    Reoperation f”r djup infektion
HWD    Reoperation f”r ytlig bl”dning
HWE    Reoperation f”r djup bl”dning
HWF    Reoperation f”r anastomos- och suturinsufficiens
HWW    Annan reoperation p† br”stk”rtlar
JAA    Operationer p† bukv„ggen
JAB    Operationer f”r ljumskbr†ck
JAC    Operationer f”r femoralbr†ck
JAD    Operationer f”r „rrbr†ck
JAE    Operation f”r epigastrikabr†ck
JAF    Operationer f”r navelbr†ck
JAG    Operationer f”r andra br†ck och bukv„ggsdefekter
JAH    Laparotomi, torakolaparotomi och laparoskopi
JAJ    Dr„nage av b„ckenabscess via rektum
JAK    Dr„nage och lavage av bukh†lan
JAL    Exstirpation av f”r„ndring i peritoneum
JAM    Transposition av oment och mesenterium
JAN    Peritonealven”sa shuntoperationer
JAP    Adherensl”sning i bukh†lan
JAW    Andra operationer p† bukv„gg, peritoneum, mesenterium och oment
JBA    Lokala ingrepp p† diafragma
JBB    Operationer vid diafragmabr†ck
JBC    Operationer vid gastroesofageal reflux
JBW    Andra operationer p† diafragma och vid gastroesofageal reflux
JCA    Lokala operationer p† esofagus
JCB    Esofagostomi
JCC    Resektion av esofagus
JCD    Anastomosering av esofagus utan resektion
JCE    Rekonstruktiva operationer p† esofagus
JCF    Nedl„ggning av stent i esofagus
JCW    Andra operationer p† esofagus
JDA    Gastrotomi och lokala operationer p† ventrikeln
JDB    Gastrostomi
JDC    Ventrikelresektion
JDD    Gastrektomi
JDE    Ventrikelanastomos utan samtidig resektion
JDF    Volymsinskr„nkande ingrepp p† ventrikeln
JDG    Vagotomi
JDH    Operationer p† pylorus och duodenum
JDW    Andra operationer p† ventrikeln och duodenum
JEA    Appendektomi
JEW    Andra operationer p† appendix
JFA    Lokala operationer p† tunntarm och kolon
JFB    Resektion av tunntarm och kolon
JFC    Tarmanastomos
JFD    Tarmshunt
JFE    Tunntarmstransplantation
JFF    Framl„ggning av tunntarm och kolon
JFG    Operationer p† framlagd tarm eller reservoar
JFH    Kolektomi
JFJ    Fixation av tarm till bukv„ggen
JFK    Delning av adherenser vid tarmsobstruktion
JFL    Behandling av tarmobstruktion utan resektion eller adherensl”sning
JFM    Peroperativt tarmlavage
JFW    Andra operationer p† tunntarm och kolon
JGA    Proktotomi och lokala ingrepp p† rektum
JGB    Resektion och exstirpation av rektum
JGC    Rekonstruktiva operationer p† rektum
JGD    Operationer p† perirektal v„vnad
JGW    Andra operationer p† rektum
JHA    Incision, biopsi och lokal exstirpation i analkanalen och perianalt
JHB    Behandling av hemorrojder och analprolaps
JHC    Rekonstruktiva operationer p† anus
JHD    Dilatation, incision och excision av analsfinkter
JHE    Inl„ggande av artificiell analsfinkter och relaterade operationer
JHW    Andra operationer p† anus och perianal v„vnad
JJA    Lokala ingrepp p† levern
JJB    Leverresektion
JJC    Levertransplantation och relaterade operationer
JJW    Andra operationer p† levern
JKA    Operationer p† gallbl†san
JKB    Incision, exploration och andra lokala operationer p† gallg†ng
JKC    Excision av gallg†ng
JKD    Biliodigestiv anastomos utan resektion
JKE    Transduodenala operationer p† gallg†ng eller papilla Vateri
JKF    Operationer p† gallg†ng efter tidigare ingrepp
JKT    Extrakorporeal st”tv†gslitotripsi i gallv„garna
JKW    Andra operationer p† gallv„garna
JLA    Exploration och biopsi av pankreas
JLB    Incision, dr„nage och dilatation av pankreas
JLC    Pankreasresektion och pankreatektomi
JLD    Pankreasanastomos utan resektion
JLE    Pankreastransplantation och relaterade operationer
JLT    Extrakorporeal st”tv†gslitotripsi i pankreasg†ng
JLW    Annan operation p† pankreas
JMA    Mj„ltresektion och splenektomi
JMB    Diverse operationer p† mj„lten
JMW    Andra operationer p† mj„lten
JWA    Reoperation f”r s†rruptur
JWB    Reoperation f”r ytlig infektion
JWC    Reoperation f”r djup infektion
JWD    Reoperation f”r ytlig bl”dning
JWE    Reoperation f”r djup bl”dning
JWF    Reoperation f”r anastomos- och suturinsufficiens
JWW    Annan reoperation p† gastrointestinalkanalen och d„rtill h”rande organ
KAA    Exploration av njure och njurb„cken
KAB    Biopsi av njure och njurb„cken
KAC    Nefrektomi
KAD    Exstirpation och destruktion av lokal f”r„ndring i njure och njurb„cken
KAE    Exstirpation och extraktion av njursten
KAF    Exstirpation och extraktion av fr„mmande kropp fr†n njure och njurb„cken
KAH    Rekonstruktiva ingrepp p† njure och njurb„cken
KAJ    Urinavledande operationer p† njure och njurb„cken
KAS    Njurtransplantation och relaterade operationer
KAT    Extrakorporeal st”tv†gslitotripsi av njursten, ESVL
KAW    Andra operationer p† njure och njurb„cken
KBA    Exploration av uret„r
KBB    Biopsi av uret„r
KBC    Ureterektomi
KBD    Exstirpation och destruktion av lokal f”r„ndring i uret„r
KBE    Exstirpation och extraktion av uret„rsten
KBF    Exstirpation och extraktion av fr„mmande kropp fr†n uret„r
KBH    Rekonstruktion av uret„r
KBJ    Urinavledande operationer p† uret„r och tillh”rande operationer
KBT    Extrakorporeal st”tv†gslitotripsi av uret„rsten (ESVL)
KBW    Andra operationer p† uret„r
KBV    Diverse operationer p† uret„r
KCA    Exploration av urinbl†san
KCB    Biopsi av urinbl†san
KCC    Cystektomi
KCD    Exstirpation och destruktion av lokal f”r„ndring i urinbl†san
KCE    Exstirpation och extraktion av bl†ssten
KCF    Exstirpation och extraktion av fr„mmande kropp fr†n urinbl†san
KCH    Rekonstruktiva ingrepp p† urinbl†san
KCJ    Urinavledande operationer p† urinbl†san
KCT    Extrakorporeal st”tv†gslitotripsi av bl†ssten (ESVL)
KCW    Andra operationer p† urinbl†san
KCV    Diverse operationer p† urinbl†san
KDA    Exploration av uretra
KDB    Biopsi av uretra
KDC    Uretrektomi
KDD    Exstirpation och destruktion av lokal f”r„ndring i uretra
KDE    Exstirpation och extraktion av fr„mmande kropp och konkrement fr†n uretra
KDG    Operationer p† uretra och bl†shals vid inkontinens hos kvinna
KDH    Rekonstruktiva operationer p† uretra
KDJ    Urinavledande operationer p† uretra
KDK    Implantation, revision och avl„gsnande av artificiell sfinkter
KDW    Andra operationer p† uretra
KDV    Diverse operationer p† uretra
KEA    Exploration och incision av prostata och s„desbl†sor
KEB    Biopsi av prostata
KEC    Radikal prostatektomi
KED    Resektion och andra avfl”desbefr„mjande ingrepp vid prostatism
KEW    Andra operationer p† prostata och s„desbl†sor
KEV    Diverse operationer p† prostata och s„desbl†sor
KFA    Exploration och incision av skrotum och skrotalinneh†ll
KFB    Biopsi av testiklar
KFC    Exstirpation av testiklar och bitestiklar
KFD    Resektion och exstirpation av lokal f”r„ndring i skrotalinneh†llet
KFH    Rekonstruktiva operationer p† testiklar, bitestiklar och s„desledare
KFW    Andra operationer p† skrotum och skrotalinneh†ll
KGA    Exploration och incision av penis
KGB    Biopsi av penis
KGC    Amputation av penis
KGD    Resektion och destruktion av lokal f”r„ndring p† penis
KGF    Avl„gsnande av fr„mmande kropp fr†n penis
KGH    Rekonstruktiva operationer p† penis
KGW    Andra operationer p† penis
KGV    Diverse operationer p† penis
KKA    Exploration och biopsi av retroperitoneal v„vnad
KKB    Exstirpation av retroperitoneal f”r„ndring
KKF    Exstirpation av fr„mmande kropp fr†n retroperitoneala rummet
KKW    Andra operationer p† retroperitoneal v„vnad
KWA    Reoperation f”r s†rruptur
KWB    Reoperation f”r ytlig infektion
KWC    Reoperation f”r djup infektion
KWD    Reoperation f”r ytlig bl”dning
KWE    Reoperation f”r djup bl”dning
KWF    Reoperation f”r anastomos- och suturinsufficiens
KWW    Annan reoperation p† urinv„gar, manliga k”nsorgan och retroperitoneal v„vnad
LAA    Punktion av ovarium
LAB    Incision och biopsi av ovarium
LAC    Enukleation och destruktion av f”r„ndring i ovarium
LAD    Resektion av ovarium
LAE    Ooforektomi
LAF    Salpingo-ooforektomi
LAG    Rekonstruktiva operationer p† ovarium
LAW    Andra operationer p† ovarium
LBA    Punktion och endoskopi av „ggledare
LBB    Biopsi av „ggledare
LBC    Žggledarbevarande behandling av tubargraviditet utan resektion
LBD    Tubarresektion
LBE    Salpingektomi
LBF    Operationer p† „ggledare vid infertilitet
LBW    Andra operationer p† „ggledare
LCA    Intrauterina operationer och biopsi av uterus och parametrium
LCB    Hysterotomi, excision och destruktion av f”r„ndring i uterus
LCC    Uterusresektion
LCD    Hysterektomi
LCE    B„ckenutrymning
LCF    Exstirpation av f”r„ndring i parametrium
LCG    Rekonstruktiva operationer p† uterus
LCH    Avbrytande av graviditet (legal abort)
LCW    Andra operationer p† uterus och dess upph„ngningsapparat
LDA    Dilatation och biopsi av portio eller cervix uteri
LDB    Exstirpation eller destruktion av f”r„ndring i portio eller cervix uteri
LDC    Cervixresektion
LDD    Rekonstruktiva operationer p† cervix uteri
LDW    Andra operationer p† cervix uteri
LEA    Kuldoskopi och incision av vagina
LEB    Biopsi, exstirpation eller destruktion av f”r„ndring i vagina
LEC    Resektion av vagina
LED    Kolpektomi
LEE    Rekonstruktiva ingrepp p† vagina
LEF    Prolapsoperationer
LEG    Vaginala inkontinensoperationer
LEW    Andra operationer p† vagina
LFA    Incision av vulva och perineum
LFB    Biopsi, excision eller destruktion av f”r„ndring i vulva och perineum
LFC    Resektion av vulva och perineum
LFD    Vulvektomi
LFE    Rekonstruktion av vulva och perineum
LFF    Operationer p† glandula Bartholin
LFW    Andra operationer p† vulva och perineum
LGA    Steriliseringsoperationer
LWA    Reoperation f”r s†rruptur
LWB    Reoperation f”r ytlig infektion
LWC    Reoperation f”r djup infektion
LWD    Reoperation f”r ytlig bl”dning
LWE    Reoperation f”r djup bl”dning
LWF    Reoperation f”r anastomos- och suturinsufficiens
LWW    Annan reoperation p† kvinnliga k”nsorgan
MAA    Intrauterina operationer p† gravid uterus och foster
MAB    Diverse ingrepp p† gravid uterus eller foster
MAC    Ingrepp f”r inledande av f”rlossning
MAD    Vidgning av f”rlossningskanalen
