A00    Kolera
C16    Malign tum”r i mags„cken
C17    Malign tum”r i tunntarmen
C18    Malign tum”r i tjocktarmen
C19    Malign tum”r i rektosigmoidala gr„nszonen
C20    Malign tum”r i „ndtarmen
C21    Malign tum”r i anus och analkanalen
C22    Malign tum”r i levern och intrahepatiska gallg†ngarna
C23    Malign tum”r i gallbl†san
C24    Malign tum”r i andra och icke specificerade delar av gallv„garna
C25    Malign tum”r i pankreas
C26    Malign tum”r med annan och ofullst„ndigt angiven lokalisation i matsm„ltningsorganen
C30    Malign tum”r i n„sh†la och mellan”ra
C31    Malign tum”r i n„sans bih†lor
C32    Malign tum”r i struphuvudet
C33    Malign tum”r i luftstrupen
C34    Malign tum”r i bronk och lunga
C37    Malign tum”r i tymus
C38    Malign tum”r i hj„rtat, mediastinum (lungmellanrummet) och lungs„cken
C39    Maligna tum”rer med annan och ofullst„ndigt angiven lokalisation i andningsorganen och br”sth†lans organ
C40    Malign tum”r i ben och extremitetsledbrosk
C41    Malign tum”r i ben och ledbrosk med annan och icke specificerad lokalisation
C43    Malignt melanom i huden
C44    Andra maligna tum”rer i huden
C45    Mesoteliom
C46    Kaposis sarkom
C47    Malign tum”r i perifera nerver och autonoma nervsystemet
C48    Malign tum”r i bukhinnan och retroperitonealrummet (utrymmet bakom bukhinnan)
C49    Malign tum”r i annan bindv„v och mjukv„vnad
C50    Malign tum”r i br”stk”rtel
C51    Malign tum”r i vulva
C52    Malign tum”r i vagina
C53    Malign tum”r i livmoderhalsen
C54    Malign tum”r i livmoderkroppen
C55    Malign tum”r i livmodern med icke specificerad lokalisation
C56    Malign tum”r i „ggstock
C57    Malign tum”r i andra och icke specificerade kvinnliga k”nsorgan
C58    Malign tum”r i moderkakan
C60    Malign tum”r i penis
C61    Malign tum”r i prostata
C62    Malign tum”r i testikel
C63    Malign tum”r i andra och icke specificerade manliga k”nsorgan
C64    Malign tum”r i njure med undantag f”r njurb„cken
C65    Malign tum”r i njurb„cken
C66    Malign tum”r i uret„r (urinledare)
C67    Malign tum”r i urinbl†san
C68    Malign tum”r i andra och icke specificerade urinorgan
C69    Malign tum”r i ”ga och n„rliggande v„vnader
C70    Malign tum”r i centrala nervsystemets hinnor
C71    Malign tum”r i hj„rnan
C72    Malign tum”r i ryggm„rgen, kranialnerver och andra delar av centrala nervsystemet
C73    Malign tum”r i tyreoidea
C74    Malign tum”r i binjure
C75    Malign tum”r i andra endokrina k”rtlar och d„rmed besl„ktade v„vnader
C76    Malign tum”r med annan och ofullst„ndigt angiven lokalisation
C77    Sekund„r malign tum”r (metastas) och icke specificerad malign tum”r i lymfk”rtlar
C78    Sekund„r malign tum”r (metastas) i andningsorganen och matsm„ltningsorganen
C79    Sekund„r malign tum”r (metastas) med andra lokalisationer
C80    Malign tum”r utan specificerad lokalisation
C81    Hodgkins sjukdom
C82    Follikul„rt non-Hodgkin-lymfom (B-cell)
C83    Diffust non-Hodgkin-lymfom (B-cellstyp)
C84    Perifera och kutana T-cellslymfom
C85    Andra och icke specificerade typer av non-Hodgkin-lymfom
C88    Maligna immunoproliferativa sjukdomar
C90    Plasmacellstum”rer
C91    Lymfatiska leukemier
C92    Myeloiska leukemier
C93    Monocytleukemier
C94    Andra specificerade leukemier
C95    Leukemi med icke specificerad celltyp
C96    ™vriga och icke specificerade maligna tum”rer i lymfoid, blodbildande och besl„ktad v„vnad
C97    Flera (prim„ra) maligna tum”rer med olika utg†ngspunkter
D00    Cancer in situ i munh†la, esofagus och mags„ck
D01    Cancer in situ i andra och icke specificerade delar av matsm„ltningsorganen
D02    Cancer in situ i mellan”ra och andningsorgan
D03    Melanom in situ
D04    Cancer in situ i huden
D05    Cancer in situ i br”stk”rtel
D06    Cancer in situ i livmoderhalsen
D07    Cancer in situ i andra och icke specificerade k”nsorgan
D09    Cancer in situ med annan och icke specificerad lokalisation
D10    Benign tum”r i munh†la och svalg
D11    Benign tum”r i de stora spottk”rtlarna
D12    Benign tum”r i tjocktarm, „ndtarm, anus och analkanal
D13    Benign tum”r i andra och ofullst„ndigt angivna delar av matsm„ltningsorganen
D14    Benign tum”r i mellan”ra och andningsorgan
D15    Benign tum”r i andra och icke specificerade organ i br”sth†lan
D16    Benign tum”r i ben och ledbrosk
D17    Lipom (fettsvulst)
D18    Hemangiom (blodk„rlssvulst) och lymfangiom (lymfk„rlssvulst), alla lokalisationer
D19    Benign tum”r i mesotelial (kroppsh†let„ckande) v„vnad
D20    Benign tum”r i mjukv„vnad i retroperitonealrummet (utrymmet bakom bukhinnan) och i peritoneum (bukhinnan)
D21    Andra benigna tum”rer i bindv„v och annan mjukv„vnad
D22    Melanocytnevus
D23    Andra benigna tum”rer i huden
D24    Benign tum”r i br”stk”rtel
D25    Uterusmyom (muskelsvulst i livmodern)
D26    Andra benigna tum”rer i livmodern
D27    Benign tum”r i ovarium
D28    Benign tum”r i andra och icke specificerade kvinnliga k”nsorgan
D29    Benign tum”r i de manliga k”nsorganen
D30    Benign tum”r i urinorganen
D31    Benign tum”r i ”ga och n„rliggande v„vnader
D32    Benign tum”r i centrala nervsystemets hinnor
D33    Benign tum”r i hj„rnan och andra delar av centrala nervsystemet
D34    Benign tum”r i tyreoidea (sk”ldk”rteln)
D35    Benign tum”r i andra och icke specificerade endokrina k”rtlar
D36    Benign tum”r med annan och icke specificerad lokalisation
D37    Tum”r av os„ker eller ok„nd natur i munh†lan och matsm„ltningsorganen
D38    Tum”r av os„ker eller ok„nd natur i mellan”ra, andningsorganen och br”stkorgens organ
D39    Tum”r av os„ker eller ok„nd natur i de kvinnliga k”nsorganen
D40    Tum”r av os„ker eller ok„nd natur i de manliga k”nsorganen
D41    Tum”r av os„ker eller ok„nd natur i urinorganen
D42    Tum”r av os„ker eller ok„nd natur i centrala nervsystemets hinnor
D43    Tum”r av os„ker eller ok„nd natur i hj„rnan och andra delar av centrala nervsystemet
D44    Tum”r av os„ker eller ok„nd natur i de endokrina k”rtlarna
D45    Polycythaemia vera (sjuklig ”kning av antalet r”da blodkroppar)
D46    Myelodysplastiska syndrom
D47    Andra tum”rer av os„ker eller ok„nd natur i lymfatisk, blodbildande och besl„ktad v„vnad
D48    Tum”r av os„ker eller ok„nd natur med annan och icke specificerad lokalisation
D50    J„rnbristanemi
D51    Anemi p† grund av vitamin B12-brist
D52    Folatbristanemi
D53    Andra nutritionsanemier
D55    Anemi orsakad av enzymrubbningar
D56    Talassemi (medelhavsanemi)
D57    Sicklecellssjukdomar
D58    Andra „rftliga hemolytiska anemier („rftlig blodbrist p† grund av ”kad nedbrytning av r”da blodkroppar)
D59    F”rv„rvad hemolytisk anemi (f”rv„rvad blodbrist p† grund av ”kad nedbrytning av r”da blodkroppar)
D60    F”rv„rvad isolerad aplasi av r”da blodkroppar [Aquired pure red cell aplasia]
D61    Andra aplastiska anemier (annan blodbrist p† grund av upph”rd eller minskad blodbildning i benm„rgen)
D62    Anemi efter akut st”rre bl”dning
D63    Anemi vid kroniska sjukdomar som klassificeras annorst„des
D64    Andra anemier
D65    Disseminerad intravasal koagulation [defibrineringssyndrom]
D66    rftlig brist p† faktor VIII
D67    rftlig brist p† faktor IX
D68    Andra koagulationsrubbningar
D69    Purpura (punktformiga bl”dningar i huden mm) och andra bl”dningstillst†nd
D70    Agranulocytos
D71    Funktionella rubbningar hos polymorfk„rniga neutrofila celler (vissa vita blodkroppar)
D72    Andra sjukdomar i vita blodkroppar
D73    Sjukdomar i mj„lten
D74    Methemoglobinemi
D75    Andra sjukdomar i blod och blodbildande organ
D76    Vissa sjukdomar som engagerar lymforetikul„r v„vnad och retikulohistiocyt„ra systemet
D77    Andra f”r„ndringar i blod och blodbildande organ vid sjukdomar som klassificeras annorst„des
D80    Immunbrist med huvudsakligen antikroppsdefekter
D81    Kombinerade immunbristtillst†nd
D82    Immunbrist i kombination med andra omfattande defekter
D83    Vanlig variabel immunbrist
D84    Andra immunbristtillst†nd
D86    Sarkoidos
D89    Andra rubbningar i immunsystemet som ej klassificeras annorst„des
E00    Medf”tt jodbristsyndrom
E01    Jodbristrelaterade sk”ldk”rtelsjukdomar och d„rmed sammanh„ngande tillst†nd
E02    Subklinisk jodbristhypotyreos (underfunktion av sk”ldk”rteln)
E03    Annan hypotyreos (underfunktion av sk”ldk”rteln)
E04    Annan atoxisk struma (struma utan ”verfunktion)
E05    Tyreotoxikos [hypertyreos] (”verfunktion av sk”ldk”rteln)
E06    Sk”ldk”rtelinflammation
E07    Andra sjukdomar i sk”ldk”rteln
E10    Insulinberoende diabetes
E11    Ej insulinberoende diabetes
E12    N„ringsbristrelaterad diabetes
E13    Annan specificerad diabetes
E14    Icke specificerad diabetes
E15    Icke diabetiskt hypoglykemiskt koma (djup medvetsl”shet p† grund av glukosbrist)
E16    Andra rubbningar i bukspottk”rtelns inre sekretion
E20    Hypoparatyreoidism (underfunktion av bisk”ldk”rtel)
E21    Hyperparatyreoidism (”verfunktion av bisk”ldk”rtel) och andra sjukdomar i bisk”ldk”rtlarna
E22    Hyperfunktion av hypofysen
E23    Hypofunktion och andra sjukdomar i hypofysen
E24    Cushings syndrom (”verproduktion av binjurebarkhormoner)
E25    Adrenogenitala rubbningar (rubbningar i binjurens produktion av k”nshormon)
E26    Hyperaldosteronism (”verproduktion av aldosteron)
E27    Andra sjukdomar i binjurarna
E28    Rubbningar i „ggstockarnas funktion
E29    Rubbningar i testiklarnas funktion
E30    Pubertetsst”rningar som ej klassificeras annorst„des
E31    Samtidig rubbning i flera inresekretoriska organ
E32    Sjukdomar i tymus
E34    Andra endokrina rubbningar
E35    Endokrina rubbningar vid sjukdomar som klassificeras annorst„des
E40    Sv†r proteinundern„ring [Kwashiorkor]
E41    Sv†r energiundern„ring
E42    Sv†r protein-energiundern„ring
E43    Icke specificerad sv†r undern„ring
E44    Protein-energiundern„ring av m†ttlig och l„tt grad
E45    F”rsenad utveckling efter protein-energiundern„ring
E46    Icke specificerad protein-energiundern„ring
E50    A-vitaminbrist
E51    Tiaminbrist
E52    Niacinbrist [pellagra]
E53    Brist p† andra vitaminer i B-gruppen
E54    Askorbinsyrabrist
E55    D-vitaminbrist
E56    Andra vitaminbristtillst†nd
E58    Dietbetingad kalciumbrist
E59    Dietbetingad selenbrist
E60    Dietbetingad zinkbrist
E61    Brist p† andra grund„mnen i f”dan
E63    Andra n„ringsbristtillst†nd
E64    Sena effekter av undern„ring och andra n„ringsbristtillst†nd
E65    Lokaliserad fetma
E66    Fetma
E67    Annan ”vern„ring
E68    Sena effekter av ”vern„ring
E70    Rubbningar i oms„ttningen av aromatiska aminosyror
E71    Rubbningar i oms„ttningen av grenade aminosyror och av fettsyror
E72    Andra rubbningar i oms„ttningen av aminosyror
E73    Laktosintolerans
E74    Andra rubbningar i kolhydratoms„ttningen
E75    Rubbningar i sfingolipidoms„ttningen och andra rubbningar i fettupplagringen
E76    Rubbningar i oms„ttningen av glukosaminoglykaner
E77    Rubbningar i glykoproteinoms„ttningen
E78    Rubbning i oms„ttningen av lipoprotein och andra lipidemier
E79    Rubbningar i purin- och pyrimidinoms„ttningen
E80    Rubbningar i oms„ttningen av porfyrin och bilirubin
E83    Rubbningar i mineraloms„ttningen
E84    Cystisk fibros
E85    Amyloidos
E86    Minskad v„tskevolym
E87    Andra rubbningar i v„tske-, elektrolyt- och syrabasbalans
E88    Andra „mnesoms„ttningssjukdomar
E89    Endokrina rubbningar och „mnesoms„ttningssjukdomar efter kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
E90    Rubbningar i nutrition och „mnesoms„ttning vid sjukdomar som klassificeras annorst„des
F00    Demens vid Alzheimers sjukdom
F01    Vaskul„r demens
F02    Demens vid andra sjukdomar som klassificeras annorst„des
F03    Ospecificerad demens
F04    Organiska amnesisyndrom ej framkallade av alkohol eller andra psykoaktiva substanser
F05    Delirium ej framkallat av alkohol eller andra psykoaktiva substanser
F06    Andra psykiska st”rningar orsakade av hj„rnskada, cerebral dysfunktion eller kroppslig sjukdom
F07    Personlighets- och beteendest”rningar orsakade av hj„rnsjukdom, hj„rnskada eller cerebral dysfunktion
F09    Ospecificerad organisk eller symtomatisk psykisk st”rning
F10    Psykiska st”rningar och beteendest”rningar orsakade av alkohol
F11    Psykiska st”rningar och beteendest”rningar orsakade av opiater
F12    Psykiska st”rningar och beteendest”rningar orsakade av cannabis
F13    Psykiska st”rningar och beteendest”rningar orsakade av sedativa och hypnotika
F14    Psykiska st”rningar och beteendest”rningar orsakade av kokain
F15    Psykiska st”rningar och beteendest”rningar orsakade av andra stimulantia, d„ribland koffein
F16    Psykiska st”rningar och beteendest”rningar orsakade av hallucinogener
F17    Psykiska st”rningar och beteendest”rningar orsakade av tobak
F18    Psykiska st”rningar och beteendest”rningar orsakade av flyktiga l”sningsmedel
F19    Psykiska st”rningar och beteendest”rningar orsakade av flera droger i kombination och av andra psykoaktiva substanser
F20    Schizofreni
F21    Schizotyp st”rning
F22    Kroniska vanf”rest„llningssyndrom
F23    Akuta och ”verg†ende psykotiska syndrom
F24    Inducerat vanf”rest„llningssyndrom
F25    Schizoaffektiva syndrom
F28    Andra icke organiska psykotiska st”rningar
F29    Ospecificerad icke organisk psykos
F30    Manisk episod
F31    Bipol„r sjukdom
F32    Depressiv episod
F33    Recidiverande depressioner
F34    Kroniska f”rst„mningssyndrom
F38    Andra f”rst„mningssyndrom
F39    Ospecificerat f”rst„mningssyndrom
F40    Fobiska syndrom
F41    Andra †ngestsyndrom
F42    Tv†ngssyndrom
F43    Anpassningsst”rningar och reaktion p† sv†r stress
F44    Dissociativa syndrom
F45    Somatoforma syndrom
F48    Andra neurotiska syndrom
F50    tst”rningar
F51    Icke organiska s”mnst”rningar
F52    Sexuell dysfunktion, ej orsakad av organisk st”rning eller sjukdom
F53    Psykiska st”rningar och beteendest”rningar sammanh„ngande med barns„ngstiden, vilka ej klassificeras annorst„des
F54    Psykologiska faktorer och beteendefaktorer med betydelse f”r st”rningar eller sjukdomar som klassificeras annorst„des
F55    Missbruk av substanser som ej „r beroendeframkallande
F59    Ospecificerade beteendesyndrom f”renade med fysiologiska st”rningar och fysiska faktorer
F60    Specifika personlighetsst”rningar
F61    Personlighetsst”rningar av blandtyp och andra personlighetsst”rningar
F62    Kroniska personlighetsf”r„ndringar ej orsakade av hj„rnskada eller hj„rnsjukdom
F63    Impulskontrollst”rningar
F64    K”nsidentitetsst”rningar
F65    St”rningar av sexuell preferens
F66    Psykiska st”rningar och beteendest”rningar sammanh„ngande med sexuell utveckling och orientering
F68    Andra st”rningar av personlighet och beteende hos vuxna
F69    Ospecificerad st”rning av personlighet och beteende hos vuxna
F70    Lindrig psykisk utvecklingsst”rning
F71    Medelsv†r psykisk utvecklingsst”rning
F72    Sv†r psykisk utvecklingsst”rning
F73    Grav psykisk utvecklingsst”rning
F78    Annan psykisk utvecklingsst”rning
F79    Ospecificerad psykisk utvecklingsst”rning
F80    Specifika st”rningar av tal- och spr†kutvecklingen
F81    Specifika utvecklingsst”rningar av inl„rningsf„rdigheter
F82    Specifik motorisk utvecklingsst”rning
F83    Blandade specifika utvecklingsst”rningar
F84    Genomgripande utvecklingsst”rningar
F88    Andra specificerade st”rningar av psykisk utveckling
F89    Ospecificerad st”rning av psykisk utveckling
F90    Hyperaktivitetsst”rningar
F91    Beteendest”rningar av utagerande slag
F92    Blandade st”rningar av beteende och k„nsloliv
F93    Emotionella st”rningar med debut s„rskilt under barndomen
F94    St”rningar av social funktion med debut s„rskilt under barndom och ungdomstid
F95    Tics
F98    Andra beteendest”rningar och emotionella st”rningar med debut vanligen under barndom och ungdomstid
F99    Psykisk st”rning ej specificerad p† annat s„tt
G00    Bakteriell meningit som ej klassificeras annorst„des
G01    Meningit vid bakteriesjukdomar som klassificeras annorst„des
G02    Meningit vid andra infektions- och parasitsjukdomar som klassificeras annorst„des
G03    Meningit av andra och icke specificerade orsaker
G04    Encefalit, myelit och encefalomyelit
G05    Encefalit, myelit och encefalomyelit vid sjukdomar som klassificeras annorst„des
G06    Abscess och granulom i skallen och ryggradskanalen
G07    Abscess och granulom i skallen och ryggradskanalen vid sjukdomar som klassificeras annorst„des
G08    Flebit och tromboflebit i skallens och ryggradskanalens ven”sa h†lrum
G09    Sena effekter av inflammatoriska sjukdomar i centrala nervsystemet
G10    Huntingtons sjukdom
G11    Heredit„r ataxi („rftlig koordinationsrubbning)
G12    Spinal muskelatrofi och besl„ktade syndrom
G13    Systemiska atrofier som prim„rt engagerar centrala nervsystemet vid sjukdomar som klassificeras annorst„des
G20    Parkinsons sjukdom
G21    Sekund„r parkinsonism
G22    Parkinsonism vid sjukdomar som klassificeras annorst„des
G23    Andra degenerativa sjukdomar i basala ganglierna
G24    Dystoni
G25    Andra basalgangliesjukdomar och r”relserubbningar
G26    Basalganglietillst†nd och r”relserubbningar vid sjukdomar som klassificeras annorst„des
G30    Alzheimers sjukdom
G31    Andra degenerativa sjukdomar i nervsystemet som ej klassificeras annorst„des
G32    Andra degenerativa tillst†nd i nervsystemet vid sjukdomar som klassificeras annorst„des
G35    Multipel skleros
G36    Annan akut utbredd myelinf”rst”ring
G37    Andra myelinf”rst”rande sjukdomar i centrala nervsystemet
G40    Epilepsi
G41    Status epilepticus
G43    Migr„n
G44    Andra huvudv„rkssyndrom
G45    ™verg†ende cerebral ischemi (otillr„cklig blodtillf”rsel till hj„rnan) och besl„ktade syndrom
G46    Vaskul„ra syndrom i hj„rnan vid cerebrovaskul„ra sjukdomar (I60-I67ı)
G47    S”mnst”rningar
G50    Sjukdomar i trigeminusnerven
G51    Sjukdomar i facialisnerven
G52    Sjukdomar i andra kranialnerver
G53    F”r„ndringar i kranialnerver vid sjukdomar som klassificeras annorst„des
G54    Sjukdomar i nervr”tter och nervplexus
G55    Kompression av nervr”tter och nervplexus vid sjukdomar som klassificeras annorst„des
G56    Mononeuropati (sjukdom i en enda perifer nerv) i ”vre extremitet
G57    Mononeuropati (sjukdom i en enda perifer nerv) i nedre extremitet
G58    Andra mononeuropatier (sjukdomar i en enda perifer nerv)
G59    Mononeuropati (sjukdom i en enda perifer nerv) vid sjukdomar som klassificeras annorst„des
G60    Heredit„r och idiopatisk neuropati (sjukdom i perifer nerv, „rftlig och av ok„nd orsak)
G61    Inflammatorisk polyneuropati (inflammatorisk sjukdom i flera perifera nerver samtidigt)
G62    Andra polyneuropatier (sjukdomar i flera perifera nerver samtidigt)
G63    Polyneuropati (sjukdom i flera perifera nerver samtidigt) vid sjukdomar som klassificeras annorst„des
G64    Andra sjukdomar i perifera nervsystemet
G70    Myasthenia gravis och andra neuromuskul„ra transmissionsrubbningar (rubbningar i ”verf”ring av impulser mellan nerver och muskler)
G71    Prim„ra muskelsjukdomar
G72    Andra myopatier
G73    Neuromuskul„ra transmissionsrubbningar (rubbningar i ”verf”ringen av impulser mellan nerver och muskler) och muskelf”r„ndringar vid sjukdomar som klassificeras annorst„des
G80    Cerebral pares
G81    Ensidig f”rlamning
G82    Parapares och tetrapares (f”rlamning av b†da nedre extremiteterna och f”rlamning av alla fyra extremiteterna)
G83    Andra f”rlamningssyndrom
G90    Sjukdomar i autonoma nervsystemet
G91    Hydrocefalus (vattenskalle, ”kad m„ngd hj„rnkammarvatten)
G92    Toxisk encefalopati (hj„rnsjukdom)
G93    Andra sjukdomar i hj„rnan
G94    Andra tillst†nd i hj„rnan vid sjukdomar som klassificeras annorst„des
G95    Andra sjukdomar i ryggm„rgen
G96    Andra sjukdomar i centrala nervsystemet
G97    Sjukdomar i nervsystemet orsakade av kirurgiska och medicinska ingrepp som ej klassificeras annorst„des
G98    Andra sjukdomar i nervsystemet som ej klassificeras annorst„des
G99    Andra tillst†nd i nervsystemet vid sjukdomar som klassificeras annorst„des
H00    Hordeolum (vagel) och chalazion
H01    Andra ”gonlocksinflammationer
H02    Andra ”gonlockssjukdomar
H03    F”r„ndringar i ”gonlock vid sjukdomar som klassificeras annorst„des
H04    Sjukdomar i t†rapparaten
H05    Sjukdomar i ”gonh†lan
H06    F”r„ndringar i t†rapparaten och ”gonh†lan vid sjukdomar som klassificeras annorst„des
H10    Bindehinneinflammation
H11    Andra sjukdomar i bindehinnan
H13    F”r„ndringar i bindehinnan vid sjukdomar som klassificeras annorst„des
H15    Sjukdomar i senhinnan
H16    Hornhinneinflammation
H17    rr och grumlingar i hornhinnan
H18    Andra sjukdomar i hornhinnan
H19    F”r„ndringar i senhinnan och hornhinnan vid sjukdomar som klassificeras annorst„des
H20    Inflammation i regnb†gshinnan och ciliarkroppen
