D630   Anemi vid tum”rsjukdom
I411   Myokardit vid virussjukdomar som klassificeras annorst„des
I412   Myokardit vid andra infektionssjukdom och parasitsjukdomar som klassificeras annorst„des
I418   Myokardit vid andra sjukdomar som klassificeras annorst„des
I430   Kardiomyopati vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
I431   Kardiomyopati vid „mnesoms„ttningssjukdomar
I432   Kardiomyopati vid nutritionsrubbningar
I438   Kardiomyopati vid andra sjukdomar som klassificeras annorst„des
I520   Andra hj„rtsjukdomar vid bakteriesjukdomar som klassificeras annorst„des
I521   Andra hj„rtsjukdomar vid andra infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
I528   Andra specificerade hj„rtsjukdomar vid andra sjukdomar som klassificeras annorst„des
I680   Cerebral amyloid angiopati
I681   Cerebral arterit vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
I682   Cerebral arterit vid andra sjukdomar som klassificeras annorst„des
I688   Andra specificerade cerebrovaskul„ra tillst†nd vid sjukdomar som klassificeras annorst„des
I790   Aneurysm i aorta vid sjukdomar som klassificeras annorst„des
I791   Aortit vid sjukdomar som klassificeras annorst„des
I792   Perifer angiopati vid sjukdomar som klassificeras annorst„des
I798   Andra specificerade f”r„ndringar i art„rer, arterioler och kapill„rer vid sjukdomar som klassificeras annorst„des
I980   Kardiovaskul„r syfilis
I981   Kardiovaskul„ra tillst†nd vid andra infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
I982   Esofagusvaricer vid sjukdomar som klassificeras annorst„des
I988   Andra specificerade tillst†nd i cirkulationsorganen vid sjukdomar som klassificeras annorst„des
J170   Pneumoni vid bakteriella sjukdomar som klassificeras annorst„des
J171   Pneumoni vid virussjukdomar som klassificeras annorst„des
J172   Pneumoni vid svampsjukdomar
J173   Pneumoni vid parasitsjukdomar
J178   Pneumoni vid andra sjukdomar som klassificeras annorst„des
J919   Utgjutning i lungs„cken vid tillst†nd som klassificeras annorst„des
J990   Reumatoid lungsjukdom
J991   Lungf”r„ndringar vid andra diffusa bindv„vssjukdomar
J998   Lungf”r„ndringar vid andra sjukdomar som klassificeras annorst„des
K230   Tuberkul”s esofagit
K231   Megaesofagus vid Chagas sjukdom
K238   F”r„ndringar i esofagus vid andra sjukdomar som klassificeras annorst„des
K670   Klamydiaperitonit
K671   Gonokockperitonit
K672   Syfilitisk peritonit
K673   Tuberkul”s peritonit
K678   Andra tillst†nd i peritoneum vid infektionssjukdomar som klassificeras annorst„des
K770   Leversjukdomar vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
K778   Leversjukdomar vid andra sjukdomar som klassificeras annorst„des
K870   F”r„ndringar i gallbl†san och gallv„garna vid sjukdomar som klassificeras annorst„des
K871   F”r„ndringar i pankreas vid sjukdomar som klassificeras annorst„des
K930   Tuberkul”sa sjukdomar i tarmar, peritoneum och mesenteriek”rtlar
K931   Megakolon vid Chagas sjukdom
K938   F”r„ndringar i andra specificerade matsm„ltningsorgan vid sjukdomar som klassificeras annorst„des
L149   Bl†sdermatos vid sjukdomar som klassificeras annorst„des
L459   Papuloskvam”sa tillst†nd vid sjukdomar som klassificeras annorst„des
L540   Erythema marginatum vid akut reumatisk feber
L548   Erytem vid andra sjukdomar som klassificeras annorst„des
L620   Clubbed nail pachydermoperiostosis
L628   Nagel†kommor vid andra sjukdomar som klassificeras annorst„des
L869   Keratodermi vid sjukdomar som klassificeras annorst„des
L990   Hudamyloidos
L990A  Bull”s amyloidos
L990B  Lichen amyloidosis
L990C  Makul„r amyloidos
L990D  Nodul„r amyloidos
L990W  Annan hudamyloidos
L998   Andra specificerade tillst†nd i hud och underhud vid sjukdomar som klassificeras annorst„des
M010   Meningokockartrit
M011   Tuberkul”s artrit
M011B  Tbc-artrit i axelled
M011E  Tbc-pelvospondylit
M011F  Tbc-artrit i h”ftled
M011G  Tbc-artrit i kn„led
M011H  Tbc-artrit i fotled/fot
M011X  Tbc-artrit med annan eller ospecificerad lokalisation
M012   Artrit vid borreliainfektion
M013   Artrit vid andra bakteriesjukdomar som klassificeras annorst„des
M014   Rubellaartrit
M015   Artrit vid andra virussjukdomar som klassificeras annorst„des
M016   Artrit vid mykoser
M018   Artrit vid andra infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
M030   Artrit efter meningokockinfektion
M031   Postinfekti”s artrit vid syfilis
M032   Andra postinfekti”sa artriter vid sjukdomar som klassificeras annorst„des
M036   Reaktiv artrit vid andra sjukdomar som klassificeras annorst„des
M070   Psoriatisk artrit i distal interfalangealled
M071   Arthritis mutilans
M072   Spondylit vid psoriasis
M073   Andra artropatier vid psoriasis
M073B  Psoriasisartrit i axelled
M073C  Psoriasisartrit i armb†gsled
M073D  Psoriasisartrit i handled/hand
M073F  Psoriasisartrit i h”ftled
M073G  Psoriasisartrit i kn„led
M073H  Psoriasisartrit i fotled/fot
M073X  Psoriasisartrit med annan eller ospecificerad lokalisation
M074   Artropati vid Crohns sjukdom
M075   Artropati vid ulcer”s kolit
M076   Andra specificerade artropatier vid tarmsjukdomar
M090   Juvenil artrit vid psoriasis
M090A  Artrit, juvenil, vid psoriasis, s„ker
M090B  Artrit, juvenil, vid psoriasis, sannolik
M091   Juvenil artrit vid Crohns sjukdom
M092   Juvenil artrit vid ulcer”s kolit
M098   Juvenil artrit vid andra sjukdomar som klassificeras annorst„des
M140   Giktartropati orsakad av enzymdefekter och andra „rftliga sjukdomar
M141   Kristallartropati vid andra „mnesoms„ttningssjukdomar som klassificeras annorst„des
M142   Diabetesartropati
M143   Lipoid dermatoartrit
M144   Artropati vid amyloidos
M145   Artropatier vid andra endokrina sjukdomar, andra nutritionsrubbningar och andra „mnesoms„ttningssjukdomar
M146   Neurogen artropati
M148   Artropatier vid andra specificerade sjukdomar som klassificeras annorst„des
M360   Dermatopolymyosit vid tum”rsjukdom som klassificeras annorst„des
M361   Artropati vid tum”rsjukdom
M362   Artropati vid hemofili
M363   Artropati vid andra blodsjukdomar
M364   Artropati vid ”verk„nslighetsreaktioner som klassificeras annorst„des
M368   Systemiska sjukdomar med led- och bindv„vsengagemang vid andra sjukdomar som klassificeras annorst„des
M490   Tuberkulos i kotpelaren
M491   Brucellaspondylit
M492   Enterobakteriell spondylit
M493   Spondylopati vid andra infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
M494   Neuropatisk spondylopati
M495   Kotkompression vid sjukdomar som klassificeras annorst„des
M498   Spondylopati vid andra sjukdomar som klassificeras annorst„des
M630   Myosit vid bakteriesjukdomar som klassificeras annorst„des
M631   Myosit vid protozo- och parasitinfektioner som klassificeras annorst„des
M632   Myosit vid andra infektionssjukdomar som klassificeras annorst„des
M633   Myosit vid sarkoidos
M638   Andra specificerade muskelsjukdomar vid sjukdomar som klassificeras annorst„des
M680   Synovit och tenosynovit vid bakteriesjukdomar som klassificeras annorst„des
M688   Andra specificerade sjukdomstillst†nd i ledhinnor och senor vid sjukdomar som klassificeras annorst„des
M730   Gonokockbursit
M731   Syfilitisk bursit
M738   Andra f”r„ndringar i mjukv„vnader vid sjukdomar som klassificeras annorst„des
M820   Osteoporos vid multipel myelomatos
M821   Osteoporos vid endokrina sjukdomar
M828   Osteoporos vid andra specificerade sjukdomar som klassificeras annorst„des
M900   Tuberkulos i benv„vnad
M900E  TBC i benv„vnad i b„ckenet 
M900F  TBC i benv„vnad i h”ftled/l†rben
M900G  TBC i benv„vnad i kn„led/underben
M900H  TBC i benv„vnad i fotled/fot
M901   Periostit vid andra infektionssjukdomar som klassificeras annorst„des
M902   Osteopati vid andra infektionssjukdomar som klassificeras annorst„des
M903   Osteonekros vid kassunsjuka
M904   Osteonekros orsakad av hemoglobinopati
M905   Osteonekros vid andra sjukdomar som klassificeras annorst„des
M906   Osteitis deformans vid tum”rsjukdom
M907   Benfraktur vid tum”rsjukdom
M907B  Patol fraktur vid tum”r i axelled/”verarm
M907C  Patol fraktur vid tum”r i armb†ge/underarm
M907D  Patologisk fraktur vid tum”r i handled/hand
M907E  Patologisk fraktur vid tum”r i b„ckenet
M907F  Patol fraktur vid tum”r i h”ftled/l†rben
M907G  Patol fraktur vid tum”r i kn„led/underben
M907H  Patol fraktur vid tum”r i fotled/fot
M908   Osteopati vid andra sjukdomar som klassificeras annorst„des
M908F  Diabetesosteopati i h”ftled/l†rben
M908G  Diabetesosteopati i kn„led/underben
M908H  Diabetesosteopati i fotled/fot
N080   Glomerul„ra sjukdomstillst†nd vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
N081   Glomerul„ra sjukdomstillst†nd vid tum”rer
N082   Glomerul„ra sjukdomstillst†nd vid blodsjukdomar och vid rubbningar i immunsystemet
N083   Glomerul„ra sjukdomstillst†nd vid diabetes
N084   Glomerul„ra sjukdomstillst†nd vid andra endokrina sjukdomar, nutritionsrubbningar och „mnesoms„ttningssjukdomar
N085   Glomerul„ra sjukdomstillst†nd vid systemsjukdomar i bindv„v
N088   Glomerul„ra sjukdomstillst†nd vid andra sjukdomar som klassificeras annorst„des
N160   Tubulo-interstitiella njursjukdomar vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
N161   Tubulo-interstitiella njursjukdomar vid tum”rer som klassificeras annorst„des
N162   Tubulo-interstitiella njursjukdomar vid blodsjukdomar och rubbningar i immunsystemet som klassificeras annorst„des
N163   Tubulo-interstitiella njursjukdomar vid „mnesoms„ttningssjukdomar som klassificeras annorst„des
N164   Tubulo-interstitiella njursjukdomar vid systemiska bindv„vssjukdomar som klassificeras annorst„des
N165   Tubulo-interstitiella njursjukdomar vid transplantatavst”tning
N168   Tubulo-interstitiella njursjukdomar vid andra sjukdomar som klassificeras annorst„des
N220   Sten i urinv„garna vid schistosomiasis
N228   Sten i urinv„garna vid andra sjukdomar som klassificeras annorst„des
N290   Sen syfilis i njure
N291   Andra sjukdomstillst†nd i njure och uret„r vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
N298   Andra sjukdomstillst†nd i njure och uret„r vid andra sjukdomar som klassificeras annorst„des
N330   Tuberkul”s cystit
N338   Sjukliga tillst†nd i urinbl†san vid andra sjukdomar som klassificeras annorst„des
N370   Uretrit vid sjukdomar som klassificeras annorst„des
N378   Andra sjukliga tillst†nd i uretra vid sjukdomar som klassificeras annorst„des
N510   Sjukliga tillst†nd i prostata vid sjukdomar som klassificeras annorst„des
N511   Sjukliga tillst†nd i testis och epididymis vid sjukdomar som klassificeras annorst„des
N512   Balanit vid sjukdomar som klassificeras annorst„des
N518   Andra sjukliga tillst†nd i de manliga k”nsorganen vid sjukdomar som klassificeras annorst„des
N740   Tuberkul”s infektion i cervix uteri
N741   Tuberkul”s sjukdom i det kvinnliga b„ckenet
N742   Syfilitisk inflammatorisk sjukdom i det kvinnliga b„ckenet
N743   Inflammation orsakad av gonokocker i det kvinnliga b„ckenet
N744   Inflammation orsakad av klamydia i det kvinnliga b„ckenet
N748   Inflammatoriska tillst†nd i det kvinnliga b„ckenet vid andra sjukdomar som klassificeras annorst„des
N770   Ulceration i vulva vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
N771   Vaginit, vulvit och vulvovaginit vid infektionssjukdomar och parasitsjukdomar som klassificeras annorst„des
P759   Mekoniumileus
