V0100  Fotg„ngare skadad i kollision med cykel, fotg„ngare skadad i olycka, ej trafik-idrott
V0411  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-lek,fritid
V0412  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-f”rv„rvsarbete
V0413  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-annan syssels„ttning
V0414  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-vitalaktivitet
V0418  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-andra aktiviteter
V0419  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i trafikolycka-ospec aktiviteter
V0490  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-idrott
V0491  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-lek,fritid
V0492  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-f”rv„rvsarbete
V0493  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-annan syssels„ttning
V0494  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-vitalaktivitet
V0498  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-andra aktiviteter
V0499  Fotg„ngare skadad i kollision med tung lastbil eller buss, fotg„ngare skadad i olycka, ospecificerat-ospec aktiviteter
V0500  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-idrott
V0501  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-lek,fritid
V0502  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-f”rv„rvsarbete
V0503  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-annan syssels„ttning
V0504  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-vitalaktivitet
V0508  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-andra aktiviteter
V0509  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ej trafik-ospec aktiviteter
V0510  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-idrott
V0511  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-lek,fritid
V0512  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-f”rv„rvsarbete
V0513  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-annan syssels„ttning
V0514  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-vitalaktivitet
V0518  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-andra aktiviteter
V0519  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i trafikolycka-ospec aktiviteter
V0590  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-idrott
V0591  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-lek,fritid
V0592  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-f”rv„rvsarbete
V0593  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-annan syssels„ttning
V0594  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-vitalaktivitet
V0598  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-andra aktiviteter
V0599  Fotg„ngare skadad i kollision med t†g, fotg„ngare skadad i olycka, ospecificerat-ospec aktiviteter
V0600  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-idrott
V0601  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-lek,fritid
V0602  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-f”rv„rvsarbete
V0603  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-annan syssels„ttning
V0604  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-vitalaktivitet
V0608  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-andra aktiviteter
V0609  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ej trafik-ospec aktiviteter
V0610  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-idrott
V0611  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-lek,fritid
V0612  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-f”rv„rvsarbete
V0613  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-annan syssels„ttning
V0614  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-vitalaktivitet
V0618  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-andra aktiviteter
V0619  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i trafikolycka-ospec aktiviteter
V0690  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-idrott
V0691  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-lek,fritid
V0692  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-f”rv„rvsarbete
V0693  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-annan syssels„ttning
V0694  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-vitalaktivitet
V0698  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-andra aktiviteter
V0699  Fotg„ngare skadad i kollision med annat icke motordrivet fordon, fotg„ngare skadad i olycka, ospecificerat-ospec aktiviteter
V0900  Fotg„ngare skadad i olycka med motorfordon, ej trafik-idrott
V0901  Fotg„ngare skadad i olycka med motorfordon, ej trafik-lek,fritid
V0902  Fotg„ngare skadad i olycka med motorfordon, ej trafik-f”rv„rvsarbete
V0903  Fotg„ngare skadad i olycka med motorfordon, ej trafik-annan syssels„ttning
V0904  Fotg„ngare skadad i olycka med motorfordon, ej trafik-vitalaktivitet
V0908  Fotg„ngare skadad i olycka med motorfordon, ej trafik-andra aktiviteter
V0909  Fotg„ngare skadad i olycka med motorfordon, ej trafik-ospec aktiviteter
V0910  Fotg„ngare skadad i icke specificerad olycka, ej trafik-idrott
V0911  Fotg„ngare skadad i icke specificerad olycka, ej trafik-lek,fritid
V0912  Fotg„ngare skadad i icke specificerad olycka, ej trafik-f”rv„rvsarbete
V0913  Fotg„ngare skadad i icke specificerad olycka, ej trafik-annan syssels„ttning
V0914  Fotg„ngare skadad i icke specificerad olycka, ej trafik-vitalaktivitet
V0918  Fotg„ngare skadad i icke specificerad olycka, ej trafik-andra aktiviteter
V0919  Fotg„ngare skadad i icke specificerad olycka, ej trafik-ospec aktiviteter
V0920  Fotg„ngare skadad i trafikolycka med motorfordon-idrott
V0921  Fotg„ngare skadad i trafikolycka med motorfordon-lek,fritid
V0922  Fotg„ngare skadad i trafikolycka med motorfordon-f”rv„rvsarbete
V0923  Fotg„ngare skadad i trafikolycka med motorfordon-annan syssels„ttning
V0924  Fotg„ngare skadad i trafikolycka med motorfordon-vitalaktivitet
V0928  Fotg„ngare skadad i trafikolycka med motorfordon-andra aktiviteter
V0929  Fotg„ngare skadad i trafikolycka med motorfordon-ospec aktiviteter
V0930  Fotg„ngare skadad i icke specificerad trafikolycka-idrott
V0931  Fotg„ngare skadad i icke specificerad trafikolycka-lek,fritid
V0932  Fotg„ngare skadad i icke specificerad trafikolycka-f”rv„rvsarbete
V0933  Fotg„ngare skadad i icke specificerad trafikolycka-annan syssels„ttning
V0934  Fotg„ngare skadad i icke specificerad trafikolycka-vitalaktivitet
V0938  Fotg„ngare skadad i icke specificerad trafikolycka-andra aktiviteter
V0939  Fotg„ngare skadad i icke specificerad trafikolycka-ospec aktiviteter
V0990  Fotg„ngare skadad i icke specificerad transportolycka-idrott
V0991  Fotg„ngare skadad i icke specificerad transportolycka-lek,fritid
V0992  Fotg„ngare skadad i icke specificerad transportolycka-f”rv„rvsarbete
V0993  Fotg„ngare skadad i icke specificerad transportolycka-annan syssels„ttning
V0994  Fotg„ngare skadad i icke specificerad transportolycka-vitalaktivitet
V0998  Fotg„ngare skadad i icke specificerad transportolycka-andra aktiviteter
V0999  Fotg„ngare skadad i icke specificerad transportolycka-ospec aktiviteter
V1000  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-idrott
V1001  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-lek,fritid
V1002  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-f”rv„rvsarbete
V1003  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-annan syssels„ttning
V1004  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-vitalaktivitet
V1008  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-andra aktiviteter
V1009  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i olycka, ej trafik-ospec aktiviteter
V1010  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-idrott
V1011  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-lek,fritid
V1012  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-f”rv„rvsarbete
V1013  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-annan syssels„ttning
V1014  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-vitalaktivitet
V1018  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-andra aktiviteter
V1019  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i olycka, ej trafik-ospec aktiviteter
V1020  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-idrott
V1021  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid
V1022  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-f”rv„rvsarbete
V1023  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-annan syssels„ttning
V1024  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet
V1028  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter
V1029  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter
V1030  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-idrott
V1031  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-lek,fritid
V1032  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-f”rv„rvsarbete
V1033  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-annan syssels„ttning
V1034  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-vitalaktivitet
V1038  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-andra aktiviteter
V1039  Cyklist skadad i kollision med fotg„ngare eller djur, person skadad vid av- och p†stigning av cykel-ospec aktiviteter
V1040  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-idrott
V1041  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-lek,fritid
V1042  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-f”rv„rvsarbete
V1043  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-annan syssels„ttning
V1044  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-vitalaktivitet
V1048  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-andra aktiviteter
V1049  Cyklist skadad i kollision med fotg„ngare eller djur, f”rare av cykel skadad i trafikolycka-ospec aktiviteter
V1050  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-idrott
V1051  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-lek,fritid
V1052  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-f”rv„rvsarbete
V1053  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-annan syssels„ttning
V1054  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-vitalaktivitet
V1058  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-andra aktiviteter
V1059  Cyklist skadad i kollision med fotg„ngare eller djur, passagerare p† cykel skadad i trafikolycka-ospec aktiviteter
V1090  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-idrott
V1091  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-lek,fritid
V1092  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-f”rv„rvsarbete
V1093  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-annan syssels„ttning
V1094  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-vitalaktivitet
V1098  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-andra aktiviteter
V1099  Cyklist skadad i kollision med fotg„ngare eller djur, cyklist, icke specificerad, skadad i trafikolycka-ospec aktiviteter
V1100  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-idrott
V1101  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-lek,fritid
V1102  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-f”rv„rvsarbete
V1103  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-annan syssels„ttning
V1104  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-vitalaktivitet
V1108  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-andra aktiviteter
V1109  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i olycka, ej trafik-ospec aktiviteter
V1110  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-idrott
V1111  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-lek,fritid
V1112  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-f”rv„rvsarbete
V1113  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-annan syssels„ttning
V1114  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-vitalaktivitet
V1118  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-andra aktiviteter
V1119  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i olycka, ej trafik-ospec aktiviteter
V1120  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-idrott
V1121  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-lek,fritid
V1122  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-f”rv„rvsarbete
V1123  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-annan syssels„ttning
V1124  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-vitalaktivitet
V1128  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-andra aktiviteter
V1129  Cyklist skadad i kollision med annan cykel, cyklist, icke specificerad, skadad i olycka, ej trafik-ospec aktiviteter
V1130  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-idrott
V1131  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-lek,fritid
V1132  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-f”rv„rvsarbete
V1133  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-annan syssels„ttning
V1134  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-vitalaktivitet
V1138  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-andra aktiviteter
V1139  Cyklist skadad i kollision med annan cykel, person skadad vid av- och p†stigning av cykel-ospec aktiviteter
V1140  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-idrott
V1141  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-lek,fritid
V1142  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-f”rv„rvsarbete
V1143  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-annan syssels„ttning
V1144  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-vitalaktivitet
V1148  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-andra aktiviteter
V1149  Cyklist skadad i kollision med annan cykel, f”rare av cykel skadad i trafikolycka-ospec aktiviteter
V1150  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i trafikolycka-idrott
V1151  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i trafikolycka-lek,fritid
V1152  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i trafikolycka-f”rv„rvsarbete
V1153  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i trafikolycka-annan syssels„ttning
V1154  Cyklist skadad i kollision med annan cykel, passagerare p† cykel skadad i trafikolycka-vitalaktivitet
