AAA00  Explorativ kraniotomi
AAH50  Anastomos av kranialnerv
AAH60  Mikrovaskul„r dekompression av kranialnerv
AAH70  Nervtransplantation till kranialnerv
AAH80  Transferering av kranialnerv
AAH99  Annan operation p† kranialnerver
AAJ00  Hemisf„rektomi vid epilepsi
AAJ10  Lobektomi vid epilepsi
AAJ15  Hippokampektomi vid epilepsi
AAJ20  Resektion av epileptiskt fokus
AAJ25  Avsk„rning av nervbanor vid epilepsi
AAJ30  Kallosotomi vid epilepsi
AAJ35  Hemidekortikation vid epilepsi
AAJ99  Annan operation vid epilepsi
AAK00  Kranioplastik
AAK10  Duraplastik
AAK20  Operationer p g a kraniosynostos
AAK30  Kraniofacial rekonstruktion vid missbildning
AAK40  Ocklusion av likvorfistel
AAK50  Reposition och osteosyntes vid skallfraktur
AAK60  Resektion av skallbenstum”r med rekonstruktion
AAK70  Biopsi av skallben
AAK75  Resektion av f”r„ndring i skallben
AAK99  Annan operation p† kranium eller dura
AAL00  Endovaskul„r ocklusion p g a intrakraniellt aneurysm
AAL10  Intrakraniell endovaskul„r trombolys
AAL20  Endovaskul„r ocklusion p g a intrakraniell A-V missbildning
AAL30  Endovaskul„r ocklusion av intrakraniell fistel
AAL40  Endovaskul„r ocklusion p g a intrakraniell tum”r
AAL99  Annan endovaskul„r intrakraniell operation
AAM00  Punktion och t”mning av intrakraniell abscess
AAM10  Exstirpation av intrakraniell abscess
AAM30  Utrymning av epiduralt eller subduralt empyem
AAM99  Annan operation vid intrakraniell infektion
AAN00  Exstirpation och plastik av encefalocele
AAN99  Annan operation vid intrakraniella kongenitala missbildningar
AAP00  Lokal muskeltransposition vid facialispares
AAP10  Crossfaciell nervtransplantation vid facialispares
AAP20  Mikrovaskul„r muskelf”rflyttning vid facialispares
AAP99  Annan rekonstruktiv operation vid facialispares
AAU00  Avl„gsnande av implantat eller externt fixationsmaterial fr†n skallen
AAW01  Inl„ggande av intrakraniell stimuleringsutrustning
AAW02  Inl„ggande av intrakraniell injektionsport
AAW99  Annan operation p† kranium eller intrakraniell struktur
ABA00  Explorativ laminektomi
ABA10  Biopsi av patologisk f”r„ndring i spinalkanal
ABA99  Annan diagnostisk operation p† ryggm„rg och nervr”tter
ABB00  Exstirpation av f”r„ndring i spinalkanalen
ABB10  Resektion av f”r„ndring i spinalkanalen
ABB20  Dr„nage av cysta i spinalkanalen
ABB30  Destruktion av f”r„ndring i spinalkanalen
ABB40  Utrymning av spontant hematom i spinalkanalen
ABB99  Annan operation f”r patologisk f”r„ndring i ryggm„rg och nervr”tter
ABC01  Perkutan endoskopisk diskektomi i halsryggraden
ABC04  Perkutan endoskopisk diskektomi i br”stryggraden
ABC07  Perkutan endoskopisk diskektomi i l„ndryggraden
ABC10  Mikrokirurgisk diskektomi i halsryggraden
ABC13  Mikrokirurgisk diskektomi i br”stryggraden
ABC16  Mikrokirurgisk diskektomi i l„ndryggraden
ABC20  ™ppen diskektomi i halsryggraden
ABC23  ™ppen diskektomi i br”stryggraden
ABC26  ™ppen diskektomi i l„ndryggraden
ABC30  Dekompression av nervr”tter i halsryggraden
ABC33  Dekompression av nervr”tter i br”stryggraden
ABC36  Dekompression av nervr”tter i l„ndryggraden
ABC40  Dekompression av cauda equina i sakrum
ABC50  Dekompression av ryggm„rg och nervr”tter i halsryggraden
ABC53  Dekompression av ryggm„rg och nervr”tter i br”stryggraden
ABC56  Dekompression av ryggm„rg och nervr”tter i l„ndryggraden
ABC60  Dekompression av ryggm„rg i halsryggraden
ABC63  Dekompression av ryggm„rg i br”stryggraden
ABC66  Dekompression av ryggm„rg i l„ndryggraden
ABC99  Annan dekompressiv operation av ryggm„rg och/eller nervr”tter 
ABD10  Kordotomi
ABD20  Myelotomi
ABD30  Inl„ggande av spinal stimuleringsutrustning
ABD40  Inl„ggande av spinal injektionsport
ABD50  Avsk„rning av spinal nervrot p g a sm„rta eller funktionell st”rning
ABD99  Annan operation p† ryggm„rg och nervr”tter p g a sm„rta och funktionella st”rningar
ABE10  Exstirpation och plastik av myelo- eller meningocele
ABE20  L”sning av fj„ttrad ryggm„rg eller diastematomyeli
ABE30  Exstirpation av dermal sinus
ABE40  Operation f”r hydromyeli
ABE50  Occipitocervikal dekompression
ABE99  Annan operation p g a spinala missbildningar
ABW99  Annan operation p† ryggm„rg och nervr”tter
ACA11  Exploration av n. medianus
ACA12  Exploration av n. radialis
ACA13  Exploration av n. ulnaris
ACA14  Exploration av n. peroneus
ACA15  Exploration av n. tibialis
ACA16  Exploration av perifer nerv, n ischiadicus
ACA17  Exploration av perifer nerv, n plexus lumbalis
ACA18  Exploration av perifer nerv, n plexus brachialis
ACA19  Exploration av annan eller ospecificerad nerv
ACA21  Biopsi av n. medianus
ACA22  Biopsi av n. radialis
ACA23  Biopsi av n. ulnaris
ACA24  Biopsi av n. peroneus
ACA25  Biopsi av n. tibialis
ACA26  Biopsi av perifer nerv, n ischiadicus
ACA27  Biopsi av perifer nerv, n plexus lumbalis
ACA28  Biopsi av perifer nerv, n plexus brachialis
ACA29  Biopsi av annan eller ospecificerad nerv
ACA91  Annan diagnostisk operation p† n. medianus
ACA92  Annan diagnostisk operation p† n. radialis
ACA93  Annan diagnostisk operation p† n. ulnaris
ACA94  Annan diagnostisk operation p† n. peroneus
ACA95  Annan diagnostisk operation p† n. tibialis
ACA96  Annan diagnostisk operation p† perifer nerv, n ischiadicus
ACA97  Annan diagnostisk operation p† perifer nerv, n plexus lumbalis
ACA98  Annan diagnostisk operation p† perifer nerv, n plexus brachialis
ACA99  Annan diagnostisk operation p† annan eller ospecificerad nerv
ACB11  Exstirpation av patologisk f”r„ndring fr†n n. medianus
ACB12  Exstirpation av patologisk f”r„ndring fr†n n. radialis
ACB13  Exstirpation av patologisk f”r„ndring fr†n n. ulnaris
ACB14  Exstirpation av patologisk f”r„ndring fr†n n. peroneus
ACB15  Exstirpation av patologisk f”r„ndring fr†n n. tibialis
ACB16  Exstirpation av patologisk f”r„ndring fr†n perifer nerv, n ischiadicus
ACB17  Exstirpation av patologisk f”r„ndring fr†n perifer nerv, n plexus lumbalis
ACB18  Exstirpation av patologisk f”r„ndring fr†n perifer nerv, n plexus brachialis
ACB19  Exstirpation av patologisk f”r„ndring fr†n annan eller ospecificerad nerv
ACB21  Sutur av n. medianus
ACB22  Sutur av n. radialis
ACB23  Sutur av n. ulnaris
ACB24  Sutur av n. peroneus
ACB25  Sutur av n. tibialis
ACB26  Sutur av perifer nerv, n ischiadicus
ACB27  Sutur av perifer nerv, n plexus lumbalis
ACB28  Sutur av perifer nerv, n plexus brachialis
ACB29  Sutur av annan eller ospecificerad nerv
ACB91  Annan operation p g a patologisk f”r„ndring eller skada p† n. medianus
ACB92  Annan operation p g a patologisk f”r„ndring eller skada p† n. radialis
ACB93  Annan operation p g a patologisk f”r„ndring eller skada p† n. ulnaris
ACB94  Annan operation p g a patologisk f”r„ndring eller skada p† n. peroneus
ACB95  Annan operation p g a patologisk f”r„ndring eller skada p† n. tibialis
ACB96  Annan operation p g a patologisk f”r„ndring eller skada p† perifer nerv, n ischiadicus
ACB97  Annan operation p g a patologisk f”r„ndring eller skada p† perifer nerv, n plexus lumbalis
ACB98  Annan operation p g a patologisk f”r„ndring eller skada p† perifer nerv, n plexus brachialis
ACB99  Annan operation p g a patologisk f”r„ndring eller skada p† annan eller ospecificerad nerv
ACC11  Transcision av n. medianus
ACC12  Transcision av n. radialis
ACC13  Transcision av n. ulnaris
ACC14  Transcision av n. peroneus
ACC15  Transcision av n. tibialis
ACC16  Transcision av perifer nerv, n ischiadicus
ACC17  Transcision av perifer nerv, n plexus lumbalis
ACC18  Transcision av perifer nerv, n plexus brachialis
ACC19  Transcision av annan eller ospecificerad nerv
ACC21  Rekonstruktion av n. medianus
ACC22  Rekonstruktion av n. radialis
ACC23  Rekonstruktion av n. ulnaris
ACC24  Rekonstruktion av n. peroneus
ACC25  Rekonstruktion av n. tibialis
ACC26  Rekonstruktion av perifer nerv, n ischiadicus
ACC27  Rekonstruktion av perifer nerv, n plexus lumbalis
ACC28  Rekonstruktion av perifer nerv, n plexus brachialis
ACC29  Rekonstruktion av annan eller ospecificerad nerv
ACC41  Transposition av n. medianus
ACC42  Transposition av n. radialis
ACC43  Transposition av n. ulnaris
ACC44  Transposition av n. peroneus
ACC45  Transposition av n. tibialis
ACC46  Transposition av perifer nerv, n ischiadicus
ACC47  Transposition av perifer nerv, n plexus lumbalis
ACC48  Transposition av perifer nerv, n plexus brachialis
ACC49  Transposition av annan eller ospecificerad nerv
ACC51  Dekompression av n. medianus
ACC52  Dekompression av n. radialis
ACC53  Dekompression av n. ulnaris
ACC54  Dekompression av n. peroneus
ACC55  Dekompression av n. tibialis
ACC56  Dekompression av perifer nerv, n ischiadicus
ACC57  Dekompression av perifer nerv, n plexus lumbalis
ACC58  Dekompression av perifer nerv, n plexus brachialis
ACC59  Dekompression av annan eller ospecificerad nerv
ACC91  Annan operation p† n. medianus p g a funktionella rubbningar
ACC92  Annan operation p† n. radialis p g a funktionella rubbningar
ACC93  Annan operation p† n. ulnaris p g a funktionella rubbningar
ACC94  Annan operation p† n. peroneus p g a funktionella rubbningar
ACC95  Annan operation p† n. tibialis p g a funktionella rubbningar
ACC96  Annan operation p† perifer nerv p g a funktionella rubbningar, n ischiadicus
ACC97  Annan operation p† perifer nerv p g a funktionella rubbningar, n plexus lumbalis
ACC98  Annan operation p† perifer nerv p g a funktionella rubbningar, n plexus brachialis
ACC99  Annan operation p† annan eller ospecificerad nerv p g a funktionella rubbningar
ACW99  Annan operation p† perifer nerv
ADA10  Cervikal sympatektomi
ADA20  Torakal sympatektomi
ADA21  Torakoskopisk sympatektomi
ADA30  Lumbal sympatektomi
ADA31  Laparoskopisk sympatektomi
ADA99  Annan operation p† sympatisk nerv
ADB00  Inl„ggande av vagusnervsstimuleringsutrustning
ADW99  Annan operation p† autonoma nervsystemet
AEA00  Byte av impulsgenerator i stimuleringsutrustning i nervsystemet
AEA20  Borttagande av impulsgenerator i stimuleringsutrustning i nervsystemet
AEA23  Borttagande av intrakraniell elektrod
AEA24  Borttagande av spinal stimuleringselektrod
AEA25  Borttagande av vagusnervsstimuleringselektrod
AEA30  Byte av inopererad pump i injektionsutrustning i nervsystemet
AEA40  Borttagande av inopererad pump i injektionsutrustning i nervsystemet
AEA43  Borttagande av kateter i intrakraniell injektionsutrustning
AEA44  Borttagande av kateter i spinal injektionsutrustning
AWA00  Reoperation f”r s†rruptur
AWB00  Reoperation f”r ytlig infektion
AWC00  Reoperation f”r djup infektion
AWD00  Reoperation f”r ytlig bl”dning
AWE00  Reoperation f”r djup bl”dning
AWW99  Annan reoperation p† nervsystemet
BAA00  Biopsi av sk”ldk”rteln
BAA05  Exploration av sk”ldk”rteln
BAA10  Incision av sk”ldk”rteln
BAA20  Unilateral resektion av sk”ldk”rteln
BAA25  Bilateral resektion av sk”ldk”rteln
BAA30  Istmusresektion av sk”ldk”rteln
BAA40  Unilateral lobektomi av sk”ldk”rteln
BAA50  Lobektomi och resektion av kontralaterala loben av sk”ldk”rteln
BAA60  Tyreoidektomi
BAA99  Annan operation p† sk”ldk”rteln
BBA10  Biopsi av bisk”ldk”rtel
BBA20  Exploration av bisk”ldk”rtel
BBA30  Exstirpation av patologisk f”r„ndring i bisk”ldk”rtel
BBA40  Subtotal paratyreoidektomi
BBA50  Paratyreoidektomi
BBA70  Implantation eller transplantation av bisk”ldk”rtel
BBA99  Annan operation p† bisk”ldk”rtlar
BCA10  Biopsi av binjure
BCA11  Laparoskopisk biopsi av binjure
BCA15  Incision av binjure
BCA20  Resektion av binjure
BCA30  Unilateral adrenalektomi
BCA31  Laparoskopisk adrenalektomi, unilateral
BCA40  Bilateral adrenalektomi
BCA41  Laparoskopisk adrenalektomi, bilateral
BCA99  Annan operation p† binjurar
BDA10  Operation p† glomus caroticum
BWA00  Reoperation f”r s†rruptur
BWB00  Reoperation f”r ytlig infektion
BWC00  Reoperation f”r djup infektion
BWD00  Reoperation f”r ytlig bl”dning
BWE00  Reoperation f”r djup bl”dning
BWW99  Annan reoperation p† endokrina organ
CAA00  Punktion av orbitaabscess
CAA10  Explorativ fr„mre orbitotomi
CAA20  Explorativ lateral orbitotomi
CAA30  Biopsi av orbita
CAB00  Fr„mre orbitotomi med exstirpation
CAB10  Lateral orbitotomi med exstirpation
CAB40  Exstirpation via transkraniell orbitotomi
CAB50  Orbitotomi med avl„gsnande av fr„mmande kropp
CAC00  Rekonstruktion av orbitas benv„gg
CAC10  Rekonstruktion av orbitas benv„gg med ben- eller hudtransplantat
CAC20  Dekompressiv lateral orbitotomi
CAC30  Dekompressiv orbitotomi till bih†lor
CAC40  Transkraniell dekompression av orbitatak eller optikuskanal
CAC42  Dekompression av orbita via koronalt angreppss„tt
CAC44  Kombinerad dekompression av orbita
CAC50  Korrektion av medf”dd missbildning av orbitas benv„gg
CAD00  Exenteration av orbita, t„ckning med transplantat eller lamb†
CAE00  Avl„gsnande av implantat i orbita
CAE10  Revision och sekund„rt inl„ggande av implantat i orbita
CAE20  Revision av konjunktivalh†lan med transplantat
CAW99  Annan operation p† orbita
CBA00  Incision av ”gonlock
CBA10  Biopsi av ”gonlock
CBB00  Excision eller exkokleation av chalazion
CBB10  Excision av hud, operation f”r dermatochalasis
CBB15  Resektion av fettprolaps
CBB20  Resektion av hud och fettprolaps
CBB30  Exstirpation av tum”r eller lokal f”r„ndring i ”gonlock
CBB35  Kryoterapi av tum”r eller lokal f”r„ndring i ”gonlock
CBB40  Elektrokoagulation av tum”r eller lokal f”r„ndring i ”gonlock
CBB50  Exstirpation av tum”r eller lokal f”r„ndring i ”gonlock, rekonstruktion med transplantat eller lamb†
CBB99  Annat avl„gsnande av tum”r eller lokal f”r„ndring i ”gonlock
CBC00  Sutur av ”gonlock
CBC10  Avl„gsnande av fr„mmande kropp i ”gonlock
CBC99  Annan operation vid skador p† ”gonlock
CBD00  Rekonstruktion av ”gonlock med prim„rsutur
CBD10  Rekonstruktion av ”gonlock med transplantat eller lamb†
CBD99  Annan rekonstruktion av ”gonlock
CBE00  Sutur f”r entropium
CBE10  Flyttning och str„ckning av m. orbicularis oculi vid entropium
CBE20  Str„ckning av ”gonlocksretraktorer f”r entropium
CBE30  Horisontell str„ckning f”r entropium
CBE40  Kombinerad korrektion av entropium
CBE99  Annan operation f”r entropium
CBF00  Elektrokoagulation f”r ektropium
CBF10  Stramning av mediala eller laterala ligament
CBF20  Excision av tarsus f”r ektropium
CBF30  Excision av tarsus och hud f”r ektropium
CBF40  Rekonstruktion f”r „rrektropium
CBF99  Annan operation f”r ektropium
CBG00  Elektrolysepilation av cilier
CBG10  Kryobehandling f”r trikiasis
CBG20  Rekonstruktion av ”gonlockskanten vid trikiasis
CBG99  Annan operation f”r trikiasis
CBH00  Kantotomi
CBH05  Kantopexi
CBH10  Rekonstruktion av kantus, eventuellt med transplantation
CBH20  Central tarsorafi
CBH30  Lateral eller medial tarsorafi
CBH40  Uppklippning av tarsorafi
CBH50  Rekonstruktiv operation f”r epikantus
CBH99  Annan operation p† kantus och ”gonlockskanten
CBJ00  Lyftning av ”gonlock med suturslynga
CBJ10  Lyftning av ”gonlock med fasciestrimla
CBJ20  Tarsomyektomi p† ”gonlock
CBJ30  Rekonstruktion av levatormuskelns aponeuros
CBJ40  Resektion av levatormuskeln
CBJ50  Operation f”r ”gonbrynsptos
CBJ99  Annan operation f”r ptos
CBK00  Myotomi vid ”gonlocksretraktion (tarsalmuskel, levatormuskel)
CBK10  Operation f”r lagoftalmus
CBK99  Annan operation f”r lagoftalmus och ”gonlocksretraktion
CBL00  Myektomi eller neurotomi vid blefarospasm
CBL99  Annan operation vid blefarospasm
CBW99  Annan operation p† ”gonlock
CCA00  Incision av t†rk”rtel
CCA10  Biopsi av t†rk”rtel
CCA20  Incision av t†rpunkt eller t†rkanalikel
CCA30  Incision av t†rs„ck
CCA40  Biopsi av t†rkanal
CCB00  Resektion av t†rk”rtel
CCB10  Exstirpation av t†rk”rtel
CCB99  Annan operation p† t†rk”rtel
CCC00  Slutning av t†rpunkt eller t†rkanalikel
CCC50  Exstirpation av t†rs„ck
CCC99  Annan operation p† t†rkanalerna
CCD00  Exstirpation och slutning av t†rfistel
CCD10  Sutur av t†rkanalikel
CCD20  Sutur av t†rkanalikel med intubation
CCD30  Rekonstruktion av t†rkanalikel
CCD40  Perkutan dakryocystorinostomi
CCD50  Dakryocystorinostomi med inl„ggande av r”r
CCD60  Transnasal dakryocystorinostomi
CCD70  Konjunktivocystorinostomi med inl„ggande av r”r
CCD99  Annan rekonstruktiv operation p† t†rv„garna
CCW99  Annan operation p† t†rv„garna
CDB00  Avl„gsnande av intraokul„r fr„mmande kropp
CDB10  Avl„gsnande av intraokul„r fr„mmande kropp med magnet
CDB99  Annan operation vid intraokul„r fr„mmande kropp
CDC00  Enukleation av ”gat
CDC10  Enukleation av ”gat med implantation av protes i Tenons kapsel
CDC20  Enukleation av ”gat med implantat i Tenons kapsel
CDC30  Evisceration av ”gat
CDC40  Evisceration av ”gat med implantation av protes
CDC50  Evisceration av ”gat med v„vnadsimplantat
CDW99  Annan operation p† bulben som helhet
CEA00  Biopsi av ”gonmuskel
CEB00  Myektomi av ”gonmuskel
CEB10  Partiell myotomi av ”gonmuskel
CEB20  Total myotomi av ”gonmuskel
CEB30  Tenotomi av ”gonmuskel
CEC00  Tillbakal„ggning av ”gonmuskel
CEC10  Tillbakal„ggning och resektion av ”gonmuskel
CEC20  Tillbakal„ggning och framl„ggning av ”gonmuskel
CEC30  Resektion av ”gonmuskel
CEC40  Resektion och framl„ggning av ”gonmuskel
CEC50  Framl„ggning av ”gonmuskel
CEC60  Flyttning av ”gonmuskel med justerbar sutur
CEC70  Flyttning av ”gonmuskel p g a nystagmus
CEC80  Partiell flyttning av ”gonmuskel
CEC90  Total transposition av ”gonmuskel
CED00  Veckning av ”gonmuskel
CEE00  Fixationssutur i ”gonmuskel
CEE10  Fixering av ”gonmuskel med ankarsutur
CEF00  L”sning av fastl”dd ”gonmuskel
CEF10  Sutur av skadad ”gonmuskel
CEW99  Annan operation p† ”gonmusklerna
CFA00  Incision av bindehinnan
CFA10  Peritomi av bindehinnan
CFA20  Biopsi av bindehinnan
CFB00  Sutur av s†r i bindehinnan
CFB10  Avl„gsnande av fr„mmande kropp i bindehinnan
CFC00  Exstirpation av tum”r i bindehinnan
CFC10  Laserbehandling av f”r„ndringar i bindehinnan
CFC20  Kryoterapi av tum”r i bindehinnan
CFC30  Exstirpation av trakomfolliklar
CFD00  Rekonstruktion av bindehinnan utan transplantat
CFD10  Rekonstruktion av bindehinnan med transplantat
CFW99  Annan operation p† bindehinnan
CGA00  Biopsi av hornhinna
CGA10  Biopsi av sklera
CGB00  Keratotomi
CGB10  Sklerotomi
CGC10  Avl„gsnande av fr„mmande kropp i hornhinna
CGC20  Avl„gsnande av fr„mmande kropp i hornhinna med magnet
CGC30  Avl„gsnande av fr„mmande kropp i sklera
CGC40  Avl„gsnande av fr„mmande kropp i sklera med magnet
CGD00  Keratotomi f”r refraktionsanomali
CGD10  Laserbehandling f”r refraktionsanomali
CGD20  Keratomileuse
CGD99  Annan operation f”r refraktionsanomali
CGE10  Excision av hornhinna
CGE15  Laserbehandling av hornhinna
CGE20  Termokauterisering av v„vnadsf”r„ndring i hornhinna
CGE25  Kryoterapi av hornhinna
CGE30  Excision av sklera
CGE35  Laserbehandling av sklera
CGE40  Termokauterisering av v„vnadsf”r„ndring i sklera
CGE50  Excision av pterygium
CGE55  Excision av pterygium med konjunktival transplantation
CGE99  Annan operation f”r v„vnadsf”r„ndringar i hornhinna eller sklera
CGF00  Limning av s†r i hornhinna
CGF10  Sutur av s†r i hornhinna
CGF20  Sutur av s†r i hornhinna med t„ckning av bindehinna
CGF25  Sutur av s†r i hornhinna med avl„gsnande av prolaberad uveav„vnad
CGF30  T„ckning av hornhinna med konjunktiva
CGF40  Limning av s†r i sklera
CGF45  Sutur av s†r i sklera
CGF50  Sutur av s†r i sklera med rekonstruktion av bindehinna
CGF55  Sutur av s†r i sklera med avl„gsnande av prolaberad uveav„vnad
CGF99  Annan operation vid perforerande s†r i hornhinna eller sklera
CGG00  Tatuering av hornhinna
CGG10  Korrektion av keratokonus med termokauterisering
CGG20  Epikeratofaki, keratofaki
CGG30  Lamell„r hornhinnetransplantation
CGG40  Genomgripande hornhinnetransplantation med autograft
CGG45  Genomgripande hornhinnetransplantation med homograft
CGG50  Implantation av keratoprotes
CGG60  F”rst„rkning av sklera med transplantat
CGG99  Annat rekonstruktivt ingrepp p† hornhinna eller sklera
CGW99  Annan operation p† hornhinna eller sklera
CHA10  Biopsi av iris
CHA20  Biopsi av ciliarkroppen
CHB00  Fotoruptur av synekier
CHB10  Kammarpunktion med sk”ljning
CHB15  Kammarpunktion med ers„ttning av kammarv„tska
CHB20  Goniopunktur
CHB30  Goniotomi
CHB40  L”sning av goniosynekier
CHB50  Trabekulotomi
CHB60  L”sning av fr„mre synekier
CHB65  L”sning av bakre synekier
CHB99  Annan operation i fr„mre kammaren och kammarvinkeln
CHC00  Iridotomi
CHC05  Laseriridotomi
CHC10  Basal iridektomi
CHC20  Sektoriridektomi
CHC30  Central iridektomi
CHD00  Lasertrabekuloplastik
CHD10  Trabekulektomi
CHD15  Trabekulektomi med iridektomi
CHD20  Trepanation av sklera
CHD25  Trepanation av sklera med iridektomi
CHD30  Lasertrabekulektomi
CHD40  Iridenkleisis
CHD50  Implantation av kateter till fr„mre kammare
CHD99  Annan filtrationsoperation
CHE00  ™ppning av pupill
CHE05  ™ppning av pupill med laser
CHE10  Excision av tum”r eller f”r„ndring i iris
CHE20  Laserbehandling av eller f”r„ndring i iris
CHE99  Annan operation f”r tum”r eller lokal f”r„ndring i iris
CHF00  Exstirpation av tum”r i ciliarkroppen
CHF05  Transskleral fotokoagulation av ciliarkroppen
CHF10  Transpupill„r fotokoagulation av ciliarkroppen
CHF15  Kryoterapi av ciliarkroppen
CHF20  Elektrokoagulation av ciliarkroppen
CHF30  Cyklodialys
CHF99  Annan operation p† ciliarkroppen
CHW99  Annan operation i fr„mre kammare, kammarvinkel, p† iris och ciliarkroppen
CJB00  Discission av sekund„r katarakt eller membran
CJB10  Laserdiscission av sekund„r katarakt eller membran
CJB20  Evakuering och polering av sekund„r katarakt
CJB30  Excision av sekund„r katarakt
CJB99  Annan operation vid sekund„r katarakt
CJC00  Intrakapsul„r kataraktextraktion
CJC05  Intrakapsul„r kataraktextraktion med iridektomi eller iridotomi
CJC10  Intrakapsul„r kataraktextraktion med implantation av linsprotes i fr„mre kammaren
CJC15  Intrakapsul„r kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i fr„mre kammaren
CJC20  Intrakapsul„r kataraktextraktion med implantation av linsprotes i bakre kammaren
CJC25  Intrakapsul„r kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i bakre kammaren
CJC99  Annan intrakapsul„r kataraktoperation
CJD00  Extrakapsul„r kataraktextraktion
CJD05  Extrakapsul„r kataraktextraktion med iridektomi eller iridotomi
CJD10  Extrakapsul„r kataraktextraktion med implantation av linsprotes i fr„mre kammaren
CJD15  Extrakapsul„r kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i fr„mre kammaren
CJD20  Extrakapsul„r kataraktextraktion med implantation av linsprotes i bakre kammaren
CJD25  Extrakapsul„r kataraktextraktion med iridektomi eller iridotomi och implantation av linsprotes i bakre kammaren
CJD30  Kataraktextraktion eller linsextraktion via pars plana
CJD99  Annan extrakapsul„r kataraktoperation
CJE00  Fakoemulsifikation
CJE05  Fakoemulsifikation med iridektomi eller iridotomi
CJE10  Fakoemulsifikation med implantation av linsprotes i fr„mre kammaren
CJE15  Fakoemulsifikation med iridektomi eller iridotomi och implantation av linsprotes i fr„mre kammaren
CJE20  Fakoemulsifikation med implantation av linsprotes i bakre kammaren
CJE25  Fakoemulsifikation med iridektomi eller iridotomi och implantation av linsprotes i bakre kammaren
CJE99  Annan extrakapsul„r kataraktoperation med fakoemulsifikation
CJF00  Sekund„r implantation av linsprotes i fr„mre kammaren
CJF10  Sekund„r implantation av linsprotes i bakre kammaren
CJF20  Extraktion av linsprotes
CJF30  Reposition av linsprotes
CJF40  Utbyte av linsprotes i fr„mre kammaren
CJF45  Utbyte av linsprotes i fr„mre kammaren med iridektomi eller iridotomi
CJF50  Utbyte av linsprotes i bakre kammaren
CJF55  Utbyte av linsprotes i bakre kammaren med iridektomi eller iridotomi
CJF99  Annan operation med linsprotes
CJG00  Extraktion av luxerad lins
CJG05  Extraktion av luxerad lins med iridektomi eller iridotomi
CJG10  Extraktion av luxerad lins med implantation av linsprotes i fr„mre kammaren
CJG15  Extraktion av luxerad lins med iridektomi eller iridotomi och implantation av linsprotes i fr„mre kammaren
