A083A  Coxsackievirusenterit
B180B  Kronisk hepatit B med hepatit D (coinfection), ospecifik reaktiv hepatit
B180C  Kronisk hepatit B med hepatit D (coinfection), kronisk persisterande hepatit (KPH)
B180D  Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit (KAH)
B180E  Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit med cirros
B180F  Kronisk hepatit B med hepatit D (coinfection), fibros
B180G  Kronisk hepatit B med hepatit D (coinfection), cirros
B180H  Kronisk hepatit B med hepatit D (coinfection), steatos
B180W  Kronisk hepatit B med hepatit D (coinfection), annat histologiskt fynd
B180X  Kronisk hepatit B med hepatit D (coinfection), ej biopserad
B181A  Kronisk hepatit B utan hepatit D, normal lever
B181B  Kronisk hepatit B utan hepatit D, ospecifik reaktiv hepatit
B181C  Kronisk hepatit B utan hepatit D, kronisk persisterande hepatit (KPH)
B181D  Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit (KAH)
B181E  Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit med cirros
B181F  Kronisk hepatit B utan hepatit D, fibros
B181G  Kronisk hepatit B utan hepatit D, cirros
B181H  Kronisk hepatit B utan hepatit D, steatos
B181W  Kronisk hepatit B utan hepatit D, annat histologiskt fynd
B181X  Kronisk hepatit B utan hepatit D, ej biopserad
B182A  Kronisk hepatit C, normal lever
B182B  Kronisk hepatit C, ospecifik reaktiv hepatit
B182C  Kronisk hepatit C, kronisk persisterande hepatit (KPH)
B182D  Kronisk hepatit C, kronisk aktiv hepatit (KAH)
B182E  Kronisk hepatit C, kronisk aktiv hepatit med cirros
B182F  Kronisk hepatit C, fibros
B182G  Kronisk hepatit C, cirros
B182H  Kronisk hepatit C, steatos
B182W  Kronisk hepatit C, annat histologiskt fynd
B182X  Kronisk hepatit C, ej biopserad
B188A  Annan specificerad kronisk virushepatit, normal lever
B188B  Annan specificerad kronisk virushepatit, ospecifik reaktiv hepatit
B188C  Annan specificerad kronisk virushepatit, kronisk persisterande hepatit (KPH)
B188D  Annan specificerad kronisk virushepatit, kronisk aktiv hepatit (KAH)
B188E  Annan specificerad kronisk virushepatit, kronisk aktiv hepatit med cirros
B188F  Annan specificerad kronisk virushepatit, fibros
B188G  Annan specificerad kronisk virushepatit, cirros
B188H  Annan specificerad kronisk virushepatit, steatos
B188W  Annan specificerad kronisk virushepatit, annat
B188X  Annan specificerad kronisk virushepatit, ej biopserad
B189A  Kronisk virushepatit, ospecificerad, normal lever
B189B  Kronisk virushepatit, ospecificerad, ospecifik reaktiv hepatit
B189C  Kronisk virushepatit, ospecificerad, kronisk persisterande hepatit (KPH)
B189D  Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit (KAH)
B189E  Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit med cirros
B189F  Kronisk virushepatit, ospecificerad, fibros
B189G  Kronisk virushepatit, ospecificerad, cirros
B189H  Kronisk virushepatit, ospecificerad, steatos
B189W  Kronisk virushepatit, ospecificerad, annat histologiskt fynd
B189X  Kronisk virushepatit, ospecificerad, ej biopserad
B341A  Enterovirus-infektion, Coxsackie, UNS
B341B  Enterovirus-infektion, ECHO, UNS
B341W  Annan specificerad enterovirusinfektion
B350A  Kerion Celsi
B350B  Ringorm i h†rbotten
B350C  Sk„ggsvamp
B350D  Sycosis mycotica
B350E  Tinea faciei
B350X  Dermatofytos i h†rbotten och sk„ggbotten, ospecificerad
B351A  Tinea unguium
B351B  Leukonychia trichophytica
B351X  Nagelsvamp, ospecificerad
B358A  Disseminerad dermatofytos
B358B  Granulomat”s dermatofytos
B358W  Andra specificerade dermatofytoser
B372A  Candidaonyki
B372B  Candidaparonyki
B372C  Candidaintertrigo
B372D  Interdigital candidainfektion
B372X  Candidainfektion i hud och naglar, ospecificerad
B378A  Candidakeilit
B378B  Candidaenterit
B378C  Disseminerad candidainfektion
B378W  Candidainfektion med andra lokalisationer
B880A  Dermatit orsakad av Demodex-arter
B880B  Dermatit orsakad av Dermanyssus gallinae
B880C  Dermatit orsakad av Liponyssoides sanguineus
B880D  Dermatit orsakad av Cheyletiella-arter
B880E  Scabies animalis
B880F  Trombiculosis
B880W  Annan och icke specificerad akarinos
B956A  Staphylococcus aureus, meticillinresistent (MRSA), som orsak till sjukdomar som klassificeras under andra kapitel
B956X  Staphylococcus aureus, annan eller UNS, som orsak till sjukdom som klassificeras under andra kapitel
B968A  Helicobacter pylori som orsak till sjukdomar som klassificeras i andra kapitel
B968W  Andra specificerade bakterier som orsak till sjukdomar som klassificeras i andra kapitel
C349A  Lungcancer, skivepitelcancer
C349B  Lungcancer, sm†cellig cancer
C349C  Lungcancer, adenocarcinom
C349D  Lungcancer, bronkioalveol„r cancer
C349E  Lungcancer, storcellig cancer
C349F  Lungcancer, adenoskvam”s cancer
C349G  Lungcancer, odifferentierad cancer (icke sm†cellig)
C349H  Lungcancer, karcinoid
C349J  Lungcancer, mukoepidermoid cancer
C349K  Lungcancer, adenoidcystisk cancer
C349X  Lungcancer, icke specificerad typ
C439A  Akralt lentigin”st melanom i huden med icke specificerad lokalisation
C439B  Desmoplastiskt malignt melanom i huden med icke specificerad lokalisation
C439C  Lentigo maligna-melanom i huden med icke specificerad lokalisation
C439D  Nodul„rt melanom i huden med icke specificerad lokalisation
C439E  Subungualt malignt melanom med icke specificerad lokalisation
C439F  Ytligt spridande melanom i huden med icke specificerad lokalisation
C439X  Ospecificerat malignt melanom i huden med icke specificerad lokalisation
C449A  Fibroepiteliom i huden med icke specificerad lokalisation
C449B  Ytligt v„xande basalcellscancer med icke specificerad lokalisation
C449C  Morfealiknande basalcellscancer med icke specificerad lokalisation
C449D  Annan basalcellscancer med icke specificerad lokalisation
C449E  Ospecificerad basalcellscancer med icke specificerad lokalisation
C449H  Svettk”rtelcancer med icke specificerad lokalisation
C449J  Talgk”rtelcancer i huden med icke specificerad lokalisation
C449K  Annan malign adnextum”r i huden med icke specificerad lokalisation
C449L  Ospecificerad malign adnextum”r i huden med icke specificerad lokalisation
C449Q  Verruk”s cancer i huden med icke specificerad lokalisation
C449R  Annan epitelial malign tum”r i huden med icke specificerad lokalisation
C449S  Skivepitelcancer i huden med icke specificerad lokalisation
C449W  Andra maligna tum”rer i huden med icke specificerad lokalisation
C449X  Ospecificerad malign tum”r i huden med icke specificerad lokalisation
C499A  Hemangiosarkom med icke specificerad lokalisation
C499B  Lymfangiosarkom med icke specificerad lokalisation
C499C  Endovaskul„rt papill„rt angioendoteliom med icke specificerad lokalisation
C499D  Enzingers epitelioidsarkom med icke specificerad lokalisation
C499E  Fibrosarkom med icke specificerad lokalisation
C499F  Liposarkom med icke specificerad lokalisation
C499G  Myxosarkom med icke specificerad lokalisation
C499H  Synovialt sarkom med icke specificerad lokalisation
C499J  Leiomyosarkom med icke specificerad lokalisation
C499K  Embryonalt rabdomyosarkom med icke specificerad lokalisation
C499L  Malignt granul„rcellsmyoblastom med icke specificerad lokalisation
C499M  Alveol„rt mjukdelssarkom med icke specificerad lokalisation
C499N  Klarcellssarkom med icke specificerad lokalisation
C499W  Andra maligna tum”rer i bindv„v och mjukv„vnad med icke specificerad lokalisation
C499X  Ospecificerad malign tum”r i bindv„vnad och mjukv„vnad med icke specificerad lokalisation
C629A  Testikelcancer, seminom
C629B  Testikelcancer, icke seminom
C629X  Testikelcancer, icke specificerad typ
C827A  Follikul„rt follikelcenterlymfom grad I, sm†celligt
C827B  Follikul„rt follikelcenterlymfom grad II, blandat
C838A  B-cells-lymfocytiskt lymfom
C838B  Lymfoplamacytiskt lymfom (immunocytom)
C838C  Mantelcellslymfom
C838D  Marginalzonslymfom
C838E  Diffust CB/CC-lymfom
C845A  T-cells lymfocytiskt lymfom
C845B  T-lymfoblastlymfom
C845C  Intestinalt T-cellslymfom
C845D  Anaplastiskt storcelligt lymfom
C845E  T-cellslymfom, l†gmalignt, ospecificerat
C845F  T-cellslymfom, h”gmalignt, ospecificerat
C845X  T-cellslymfom, ospecificerat
C851A  B-cellslymfom, l†gmalignt, ospecificerat
C851B  B-cellslymfom, h”gmalignt, ospecificerat
C859A  Non-Hodgkin-lymfom, l†gmalignt, ospecificerat
C859B  Non-Hodgkin-lymfom, h”gmalignt, ospecificerat
C859X  Non-Hodgkin-lymfom, ospecificerat
C910A  Akut lymfatisk leukemi (T-ALL)
C910B  Akut lymfatisk leukemi (pre-B-ALL, B-ALL)
D141A  Larynxpapillom
D141W  Annan specificerad benign tum”r i larynx
D141X  Benign larynxtum”r, ospecificerad
D179A  Angiolipom med icke specificerad lokalisation
D179B  Hibernom med icke specificerad lokalisation
D179C  Medf”dd diffus lipomatos med icke specificerad lokalisation
D179D  Fibrolipom med icke specificerad lokalisation
D179W  Annat lipom med icke specificerad lokalisation
D179X  Ospecificerat lipom med icke specificerad lokalisation
D180A  Glomustum”r
D180B  Kapill„rt hemangiom
D180C  Kavern”st hemangiom i huden
D180E  Multipla progressiva angiom
D180F  Targetoid hemosiderotiskt hemangiom
D180G  Verruk”st keratotiskt hemangiom
D180H  Epitelioidalt hemangiom
D180J  Tufted angioma
D180W  Annat hemangiom
D180X  Hemangiom, ospecificerat
D181A  Kapill„rt lymfangiom
D181B  Kavern”st lymfangiom
D181C  Cystiskt lymfangiom
D181X  Lymfangiom, ospecificerat
D219A  Abrikossoffs tum”r med icke specificerad lokalisation
D219B  Angiomyom med icke specificerad lokalisation
D219C  Elastofibrom med icke specificerad lokalisation
D219D  Fibrom med icke specificerad lokalisation
D219E  Leiomyom med icke specificerad lokalisation
D219F  Myxom med icke specificerad lokalisation
D219X  Ospecificerad benign tum”r i bindv„v och annan mjukv„vnad med icke specificerad lokalisation
D229A  Intraepidermalt pigmentnevus med icke specificerad lokalisation
D229B  Pigmentnevus av junction-typ med icke specificerad lokalisation
D229C  Intradermalt pigmentnevus med icke specificerad lokalisation
D229D  Sammansatt pigmentnevus med icke specificerad lokalisation
D229E  Kolinesterasnevus med icke specificerad lokalisation
D229F  Dysplastiskt nevus med icke specificerad lokalisation
D229G  Halonevus med icke specificerad lokalisation
D229H  Halodermatit med icke specificerad lokalisation
D229J  Kokardnevus med icke specificerad lokalisation
D229K  Naevus spilus med icke specificerad lokalisation
D229L  Melanonyki med icke specificerad lokalisation
D229M  Bl†tt nevus med icke specificerad lokalisation
D229N  Spitz nevus med icke specificerad lokalisation
D229Q  Reeds pigmenterade spolcellsnevus med icke specificerad lokalisation
D229R  Mongolfl„ck med icke specificerad lokalisation
D229S  Beckers nevus med icke specificerad lokalisation
D229T  Itos nevus med icke specificerad lokalisation
D229W  Annat melanocytnevus med icke specificerad lokalisation
D229X  Ospecificerat melanocytnevus med icke specificerad lokalisation
D239A  Angiokeratom med icke specificerad lokalisation
D239B  Apokrint hidrocystom med icke specificerad lokalisation
D239C  Cylindrom med icke specificerad lokalisation
D239D  Dermatofibrom med icke specificerad lokalisation
D239E  Ekkrint hidradenom med icke specificerad lokalisation
D239F  Naevus sebaceus senilis med icke specificerad lokalisation
D239G  Pilomatrixom med icke specificerad lokalisation
D239H  Syringom med icke specificerad lokalisation
D239J  Trikofollikulom med icke specificerad lokalisation
D239K  Trikoepiteliom med icke specificerad lokalisation
D239W  Andra benigna tum”rer i huden med icke specificerad lokalisation
D239X  Icke specificerad benign tum”r i huden med icke specificerad lokalisation
D392A  Invasiv mola
D392B  Misst„nkt koriokarcinom
D392X  Tum”r av os„ker eller ok„nd natur i placenta, ospecificerad
D448A  Tum”r med multiglandul„r lokalisation, typ I
D448B  Tum”r med multiglandul„r lokalisation, typ II
D448C  Tum”r med multiglandul„r lokalisation, typ III
D481A  Angiomyxom
D481B  Desmoid
D481C  Medf”dd generaliserad fibromatos
D481D  Aggressiv infantil fibromatos
D481E  Hemangiopericytom UNS
D481W  Annan tum”r av os„ker eller ok„nd natur i bindv„v och annan mjukv„vnad
D485A  Atypiskt fibroxantom
D485B  Baddr„ktsnevus
D485C  Dysplastiskt nevus-syndrom
D485D  Svettk”rteltum”r UNS
D485W  Annan tum”r av os„ker eller ok„nd natur i huden
D591A  F”rv„rvad hemolytisk anemi pga k”ldantikroppar
D591B  F”rv„rvad hemolytisk anemi pga v„rmeantikroppar
D591X  F”rv„rvad hemolytisk anemi, autoimmun UNS
D682A  Koagulationsrubbning pga „rftlig brist p† protein S
D682B  Koagulationsrubbning pga „rftlig brist p† protein C
D682C  Koagulationsrubbning pga „rftlig brist p† antitrombin III
D682W  rftlig brist p† andra koagulationsfaktorer
D688A  Koagulationsrubbning, APC-resistens
D688B  Koagulationsrubbning, antifosfolipid-antikroppssyndrom
D688W  Andra specificerade koagulationsrubbningar
D692A  Senil purpura
D692B  Purpura simplex
D692C  Autoerytrocytsensibilisering
D692D  Staspurpura
D692X  Annan ej trombocytbetingad purpura, ospecificerad
D709A  Agranulocytos
D709B  Kostmanns sjukdom
D709C  Neutropeni UNS
D709D  Shwachmans syndrom
D709W  Annan specificerad agranulocytos
D721A  Eosinofili, allergisk
D721B  Eosinofili, heredit„r
D721W  Annan form av eosinofili
D760A  Eosinofilt granulom
D760B  Hand-Schller-Christians sjukdom
D760C  Histiocytos X, kronisk
D760W  Annan histiocytos av Langerhans celler som ej klassificeras annorst„des
D763A  Retikulohistiocytom (j„ttecells)
D763B  Sinushistiocytos med massiv lymfadenopati [Rosai-Dorfman]
D763C  Juvenilt xantogranulom
D763D  Nekrobiotiskt xantogranulom
D763E  Benign cefalisk histiocytos
D763W  Andra histiocytossyndrom
D800A  Heredit„r agammaglobulinemi, k”nsbunden
D800B  Heredit„r agammaglobulinemi, autosomalt recessiv
D800W  Annan heredit„r hypogammaglobulinemi
D805A  K”nsbundet hyper-IgM syndrom
D805W  Annan immunbrist med ”kning av IgM
D811A  SCID med l†gt antal T- och B-celler, autosomalt recessiv med RAG1/RAG2-defekt
D811W  Annan SCID med l†gt antal T- och B-celler
D812A  SCID med l†gt eller normalt antal B-celler, k”nsbunden med mutationer i den gemensamma gammakedjan f”r interleukinreceptorer 2,4,7,9 och 15s
D812B  SCID med l†gt eller normalt antal B-celler, autosomalt recessiv med JAK3-defekt
D812C  SCID med l†gt eller normalt antal B-celler, autosomalt recessiv med ZAP7 0/SYK-defekt
D812D  Omenns syndrom
D812W  Annan definierad SCID med l†gt eller normalt antal B-celler
D824A  Allergisk, IgE-f”rmedlad, reaktion
D824B  Allergisk, IgE-f”rmedlad, sensibilisering utan reaktion
D824W  Annat hyperimmunglobulin E (IgE)-syndrom
D848A  Immunologisk avvikelse vid kronisk mukokutan candidiasis med eller utan polyendokrinopati
D848B  Leukocytadhesions-defekt 2 (selektin-defekt)
D848W  Annan specificerad immunbrist
D863A  Angiolupoid [Brocq-Pautrier]
D863B  Darier-Roussys sarkoid
D863C  Erythema nodosum vid sarkoidos
D863D  Lupus pernio [Besnier-Tenneson]
D863E  Sarkoidos i „rr
D863W  Annan och icke specificerad sarkoidos i huden
E100A  Diabetes typ I med ketoacidotiskt koma
E100B  Diabetes typ I med hyperosmol„rt koma
E100C  Diabetes typ I med hypoglykemiskt koma
E100X  Diabetes typ I med koma, ospecificerat
E104A  Diabetes typ I, sensorisk/motorisk neuropati UNS
E104B  Diabetes typ I, autonom neuropati UNS
E104W  Diabetes typ I med annan specificerad neurologisk komplikation
E104X  Diabetes typ I med neurologisk komplikation UNS
E106A  Diabetes typ I med hypoglykemi utan koma (insulink„nningar)
E106B  Diabetes typ I, brittle diabetes
E106C  Diabetes typ I med artropati
E106W  Diabetes typ I med annan specificerad komplikation
E145A  Diabetesgangr„n vid icke specificerad diabetes
E145B  Diabetess†r vid icke specificerad diabetes
E145C  Perifer angiopati vid icke specificerad diabetes
E145X  Icke specificerad diabetes med perifer cirkulationsrubbning, ospecificerad
E146D  Necrobiosis lipoidica diabeticorum vid icke specificerad diabetes
E146E  Diabetisk dermopati vid icke specificerad diabetes
E146W  Icke specificerad diabetes med andra specificerade komplikationer
E161A  Hyperinsulinism UNS
E161B  Betacellshyperplasi UNS
E161C  Nesidioblastos
E161W  Annan specificerad hypoglykemi
E168C  ™verproduktion av pankreatisk polypeptid
E168D  ™verproduktion av somatostatin
E168E  ™verproduktion av VIP (vasoactive intestinal peptide)
E168F  Insulinresistens
E168X  ™verproduktion av pankreatiskt hormon UNS
E230A  Bristande produktion av tillv„xthormon (idiopatisk)
E230B  Bristande produktion av prolaktin
E230C  Bristande produktion av ACTH
E230D  Bristande produktion av TSH
E230E  Bristande produktion av gonadotropiner
E230F  Panhypopituitarism
E230W  Andra former av hypofysunderfunktion
E230X  Hypofunktion hypofys UNS
E250A  Binjurebarkshyperplasi, kongenital, med saltf”rlust
E250B  Binjurebarkshyperplasi, kongenital, med enzymbrist
E250C  Pseudohermafroditism, adrenal, kvinnlig
E250D  Macrogenitosomia praecox
E343A  Kortvuxenhet, konstitutionell
E343B  Kortvuxenhet, psykosocialt betingad
E343C  Kortvuxenhet, Laron-typ
E343D  Kortvuxenhet efter intrauterin tillv„xth„mning (SGA) och/eller underburenhet
E343X  Kortvuxenhet UNS
E344A  L†ngvuxenhet, konstitutionell
E344X  L†ngvuxenhet UNS
E345A  Testikul„r feminisering
E345B  Pseudohermafroditism, manlig, med androgenresistens
E345W  Annan specificerad androgenresistens
E348B  Progeri [Hutchinson-Gilford]
E348C  Leprechaunism
E348D  Werners syndrom
E348E  Akrogeri [Gottron]
E348W  Andra specificerade endokrina rubbningar
E700A  Hyperfenylalaninemi (fenylalaninhydroxylas-brist), total
E700B  Hyperfenylalaninemi (fenylalaninhydroxylas-brist), partiell
E700X  Hyperfenylalaninemi (fenylalaninhydroxylas-brist) UNS
E701A  Dihydropteridinbrist
E701B  Defekt tetrahydrobiopterinsyntes
E701W  Andra hyperfenylalaninemier (defekt tetrahydrobiopterin-oms„ttning)
E702A  Alkaptonuri
E702B  Tyrosinemi I
E702C  Tyrosinemi II
E702D  Tyrosinos
E702W  Andra rubbningar i tyrosinoms„ttningen
E702X  Hypertyrosinemi UNS
E703A  Chediak(-Steinbrinck)-Higashis syndrom
E703B  Cross syndrom
E703C  Hermansky-Pudlaks syndrom
E703D  Okul„r albinism
E703E  Albinoidism
E703F  Piebaldism
E703G  Waardenburgs syndrom
E703W  Annan specificerad albinism
E703X  Albinism, ospecificerad
E711A  Hyperleucin-isoleucinemi
E711B  Isovalerisk acidemi
E711C  Metylmalonisk acidemi
E711D  Propionisk acidemi
E713A  Carnitincykel/transportdefekter
E713B  Betaoxidationsrubbningar
E713C  Acyl-co-enzym A-dehydrogenas-brist
E713D  Adrenoleukodystrofi [Addison-Schilder]
E720A  Cystinos
E720B  Cystinuri
E720C  Fanconi-de Toni-Debr‚s syndrom
E720W  Annan specificerad rubbning i aminosyratransporten
E722A  Arginemi
E722B  Arginob„rnstenssyruri
E722C  Citrullinemi
E722D  Hyperammonemi
E722W  Andra urin„mnesoms„ttningsrubbningar
E730A  Laktasbrist, prim„r, medf”dd
E730B  Laktasbrist, prim„r, sent debuterande
E748A  Renal glukosuri
E748B  Oxaluri
E748W  Annan specificerad rubbning i kolhydratoms„ttningen
E752A  Gauchers sjukdom
E752B  Krabbes sjukdom
E752C  Metakromatisk leukodystrofi
E752D  Niemann-Picks sjukdom
E752E  Farbers syndrom
E752F  Fabry-Andersons sjukdom
E752W  Andra specificerade sfingolipidoser
E762C  Maroteaux-Lamys syndrom (l„tt)(sv†r)
E762D  Morquios syndrom
E762E  Sanfilippos syndrom (typ B)(typ C)(typ D)
E762F  Slys syndrom
E762W  Andra specificerade mukopolysackaridoser
E782F  Tuberoeruptivt xantom
E782G  Xanthoma tuberosum
E782H  Xanthoma tendinosum
E782J  Xanthoma disseminatum
E782K  Plana xantom
E782L  Generaliserad plan xantomatos
E782X  Blandad hyperlipidemi, ospecificerad
E800A  Erytropoetisk protoporfyri
E800B  Kongenital erytropoetisk porfyri
E800C  Erytropoetisk koproporfyri
E800W  Annan och icke specificerad heredit„r erytropoetisk porfyri
E802A  Akut intermittent porfyri (hepatisk)
E802B  Heredit„r koproporfyri
E802C  Hepatoerytropoetisk porfyri
E802D  Porphyria variegata
E802W  Annan specificerad porfyri
E802X  Porfyri, ospecificerad
E805A  Crigler-Najjars syndrom, typ 1
E805B  Crigler-Najjars syndrom, typ 2
E830A  Menkes sjukdom
E830B  Wilsons sjukdom
E830W  Andra rubbningar i kopparoms„ttningen
E833A  Minskad syntes av 1,2,5-dihydroxy-vitamin D3
E833B  Receptordefekter X-bunden hypofosfatemisk rakit
E833C  Hypofosfatemisk X-bunden rakit
E833D  D-vitaminresistent osteomalaci
E833W  Annan specificerad rubbning i fosforoms„ttningen
E835C  Calcinosis universalis
E835D  Metastatisk f”rkalkning
E835E  Tumoral kalcinos
E835X  Rubbning i kalciumoms„ttningen, ospecificerad
E870A  Hyperosmolalitet
E870B  Hypernatremi
E871A  Hyposmolalitet
E871B  Hyponatremi
E880A  Alfa-1-antitrypsinbrist, asymtomatisk
E880B  Alfa-1-antitrypsinbrist, symtomatisk
E880W  Annan specificerad rubbning i plasmaproteinoms„ttningen som ej klassificeras annorst„des
E881A  Lipodystrophia progressiva [Barraquer-Simons]
E881B  Lipodystrophia centrifugalis abdominalis infantilis
E881C  Lipoatrophia semicircularis
E881D  Lokaliserad fettatrofi
E881W  Annan lipodystrofi som ej klassificeras annorst„des
E882A  Lipomatosis dolorosa [Dercum]
E882B  Naevus lipomatodes superficialis [Hoffmann-Zurhelle]
E882W  Annan lipomatos som ej klassificeras annorst„des
E888A  Perioxysomala sjukdomar
E888W  Andra specificerade „mnesoms„ttningsrubbningar
E890A  Hypotyreos efter kirurgisk terapi
E890B  Hypotyreos efter terapi med radioaktivt jod
E890X  Hypotyreos efter terapi UNS
F102A  Alkoholberoendesyndrom med fysiologiska tecken p† beroende
F102B  Alkoholberoendesyndrom utan fysiologiska tecken p† beroende
F102X  Alkoholberoendesyndrom, ospecificerad
F107A  Alkoholdemens
F107W  Psykiska st”rningar och beteendest”rningar orsakade av alkohol, psykotisk st”rning som resttillst†nd eller med sen debut
F402B  Djurfobi
F402E  Bromhidrosofobi
F402F  Erytrofobi
F402G  Parasitofobi
F402W  Andra specifika fobier
F444A  Psykogen dysfoni/afoni
F444B  Psykogent betingad artikulationsst”rning
F444W  Annan specificerad psykogen motorisk st”rning
F452A  Dysmorfofobi
F452B  Nosofobi
F452C  Cancerofobi
F452D  Venereofobi
F452X  Hypokondri, ospecificerad
F799A  Talsv†righeter hos utvecklingsst”rd, artikulation
F799B  Talsv†righeter hos utvecklingsst”rd, spr†k
F799X  Ospecificerade talsv†righeter hos utvecklingsst”rd
F800A  Fonologisk spr†kst”rning
F800B  Utvecklingsf”rsening av oralmotorik
F800C  Dyslali och liknande artikulationsavvikelse
F801A  Grammatisk spr†kst”rning
F801B  Fonologisk och grammatisk spr†kst”rning
F801C  Semantisk spr†kst”rning
F802A  Impressiv spr†kf”rsening (ord- och satsf”rst†else)
F802B  Generell spr†kf”rsening (impressiv och expressiv)
F802C  Pragmatisk spr†kf”rsening
F808A  Prosodisk talst”rning
F808B  L„spning
F808C  R-fel
F808D  Generell interdentalism
F808W  Andra specificerade st”rningar av tal- och spr†kutvecklingen
F900A  Dysfunction of Attention, Motor Control and Perception (DAMP)
F900B  Attention Deficit and Hyperactivity Disorder (ADHD)
F900C  Attention Deficit Disorder (ADD)
F900X  Aktivitets- och uppm„rksamhetsst”rning UNS
F980A  Enures, prim„r, icke organisk
F980B  Enures, sekund„r, icke organisk
F980C  Enures, psykogen
F980W  Annan specificerad icke organisk enures
F981A  Enkopres, funktionell, icke organisk
F981B  Enkopres, psykogen
F981W  Annan specificerad icke organisk enkopres
F985A  Stamning
F985W  Annan specificerad st”rning av typ stamning
F985X  Ospecificerad st”rning av typ stamning
F986A  Skenande tal, cluttering
F986W  Annan specificerad st”rning av typ skenande tal
G008A  Meningit, bakteriell, av Escherichia coli
G008B  Meningit, bakteriell, av Klebsiella
G008W  Annan specificerad bakteriell meningit
G042A  Meningoencefalit, bakteriell som ej klassificeras annorst„des
G042B  Meningomyelit,  bakteriell som ej klassificeras annorst„des
G048A  Encefalit, postinfekti”s
G048B  Myelit, postinfekti”s
G048C  Myelit, akut upp†tstigande
G048W  Annan specificerad encefalit och myelit
G049A  Encefalit, ospecificerad
G049B  Myelit, ospecificerad
G061A  Intraspinal abscess i halsryggen
G061J  Intraspinal abscess i torakalryggen
G061K  Intraspinal abscess i l„ndryggen
G061X  Intraspinal abscess med icke specificerad lokalisation
G121A  Heredit„r spinal muskelatrofi, seninfantil typ II
G121B  Heredit„r spinal muskelatrofi, juvenil typ III
G121W  Annan heredit„r spinal muskelatrofi
G318A  Degenerativa f”r„ndringar vid lewybodydemens
G318W  Andra specificerade degenerativa sjukdomar i nervsystemet
G400A  Benign barnepilepsi
G400B  Barnepilepsi med occipitala EEG-paroxysmer
G400W  Annan fokal, partiell, idiopatisk epilepsi
G401A  Temporallobsepilepsi, partiell, enkel, utan medvetandest”rning
G401B  Frontallobsepilepsi, partiell, enkel, utan medvetandest”rning
G401C  Parietallobsepilepsi, partiell, enkel, utan medvetandest”rning
G401D  Occipitallobsepilepsi, partiell, enkel, utan medvetandest”rning
G401E  Partiell epilepsi, enkel, utan medvetandest”rning med sekund„r
generalisering
G401X  Partiell epilepsi, enkel, utan medvetandest”rning, ospecificerad
G402A  Temporallobsepilepsi, partiell, komplex, med medvetandest”rning,
G402B  Frontallobsepilepsi, partiell, komplex, med medvetandest”rning,
G402C  Parietallobsepilepsi, partiell, komplex, med medvetandest”rning,
G402D  Occipitallobsepilepsi, partiell, komplex, med medvetandest”rning,
G402E  Partiell epilepsi, komplex, med medvetandest”rning, med sekund„r generalisering
