Code;text;Note
AAF05;Ventrikuloperitoneala suntesana;
AAF10;Lumboperitoneala suntesana;
AAF15;Ventrikuloatriala suntesana;
AAF20;Smadzenu vederina sunta revizija ;(Intraabdominala rezivija, skat.: JAL 50-51)
AAF25;Smadzenu vederina sunta iznemsana;
AAF30;Intraventrikularas injekcijas ierices implantacija;
AAF35;Intraventrikularas terapijas rezervuara implantacija;
AAF40;Smadzenu cistas suntesana uz vederpleves dobumu;
AAF45;Intrakranialas cistas fenestracija;
AAF99;Cita veida smadzenu vederinu vai intracerebralu cistu suntesanas operacija;
AAFE00;Standarta veida elektroencefalografija (EEG);Ieskaitot stimulaciju ar gaismu vai hiperventilaciju, ja nepieciesams
AAFE05;EEG izmeklejums pec miega deprivacijas;
AAFE10;Ilgtermina EEG;Ieskaitot video uznemsanu vai citu mobilo uznemsanas lidzekli
AAFE15;Sfenoidala un etmoidala EEG;
AAFE20;EEG ar reakcijas laika merisanu;Ieskaitot uzmanibas testu
AAFE22;EEG ar amitala injekciju;Wada-tests
AAFE25;Kvantitativa EEG analize;
AAFE30;Galvas smadzenu funkciju monitorings ar EEG palizibu;
AAFE60;Perioperativa EEG lokalizacijai ar dzilu smazdenu stimulaciju;
AAFE80;VEP (redzes izsauktie potenciali);
AAFE82;Elektroretinografija (ERG);
AAFE85;Dzirdes izsauktie potenciali;BERA. Ieskaitot jaundzimuso izmeklejumus un skriningu
AAFE87;Transtimpanala iegareno smadzenu audiometrija;Ieskaitot pirmsoperativas un perioperativas proceduras
AAFE89;Somatosensorie izsauktie potenciali (SEP) c.n.;
AAFF00;Transkranials Doplers (TCD), parastais;Viena asinsvadu zona? Iznemot AADE00 Galvas smadzenu ultrasonografija, dupleks pec nepieciesamibas, bez kontrasta vielas
AAFF05;Transkranials Doplers (TCD), pilnais;Vairakas asinsvadu zonas, ka ari asinsvadu reaktivitates izmeklesana, embolacijas monitorings u.c. Iznemot AADE00 Galvas smadzenu ultrasonografija, dupleks pec nepieciesamibas, bez kontrasta vielas
AAFF10;Transkranials Doplers (TCD) ar kontrasta vielu;
AAFM00;Intracerebrala spiediena  ilgstosie merijumi;
AAFX00;Poligrafiskais respiratorisko parametru monitorings (poligrafija);Bez EEG. Iznemot gadijumus ja tiek veikta tikai ilgtermina oksimetrija - GXFX10
AAFX05;Polisomnografija (PSG) bez respiratoriskajiem parametriem;Papildus kods ZWUU30 ir jaizmanto ja tiek veikts video ieraksts un ta analize
AAFX10;Polisomnografija (PSG) respiratoriskajiem parametriem;Papildus kods ZWUU30 ir jaizmanto ja tiek veikts video ieraksts un ta analize
AAFX20;Daudzparametru (ar vismaz astoniem parametriem) miega latences tests (MSLT);Ieskaitot ilgtermina video uznemsanu
AAG00;Stereotaktiska intrakraniala biopsija;
AAG10;Stereotaktiska intrakraniala nerva kodola vai trakta destrukcija;
AAG20;Stereotaktiska intrakranialo elektrodu implantacija;" (Jaieklauj: Intracerebralalo stimulacijas iericu (dzilo smadzenu stimulatoru) implantacija; mpulsu generatoru nomaina vai iekartas iznemsana, skat.: AEA)"
AAG30;Stereotaktiska intrakraniala radioaktivo vielu implantacija;
AAG40;Stereotaktiska intrakraniala augla audu implantacija;
AAG50;Stereotaktiska intrakraniala radioterapija;
AAG99;Cita veida stereotaktiska intrakraniala operacija;
AAGB00;Transkraniala magnetiska stimulacija (TMS);
AAGB10;Funkcionala stimulacija ar EEG elektrodiem galvaskausa ieksa;Ieskaitot video izmantosanu
AAGB50;Elektrokonvulsiva terapija;Ieskaitot anesteziju, elektrosoku un ECT
AAGT00;Elektriska stimulatora ar galvaskausa ieksa ievietotajiem elektrodiem pielagosana;
AAGT05;Elektriska stimulatora dzilai smadzenu stimulacijai  pielagosana;
AAGT10;Hidrocefalijas sunta pielagosana;
AAH10;Kraniala nerva rizotomija;
AAH20;Kraniala nerva dekompresija;
AAH30;Kraniala nerva termiska destrukcija;
AAH40;Injekcija kranialaja nerva;
AAH50;Kraniala nerva anastomozes izveide;
AAH60;Kraniala nerva mikrovaskulara dekompresija;
AAH99;Cita veida kraniala nerva operacija;
AAJ00;Hemisferektomija;
AAJ10;Lobektomija epilepsijas del;
AAJ15;Hipokampektomija;
AAJ20;Epileptiska perekla ekscizija;
AAJ25;Nervu traktu transcizija epilepsijas del;
AAJ30;Kallostomija epilepsijas del;
AAJ35;Hemidekortikacija epilepsijas del;
AAJ99;Cita operacija epilepsijas del;
AAK00;Kranioplastika;
AAK10;Cieta smadzenu apvalka sasusana;
AAK20;Operacijas kraniosinostozes del;
AAK30;Iedzimtu malformaciju kraniofaciala rekonstrukcija;
AAK40;Cerebrospinala skidruma fistulas slegsana;
AAK70;Galvaskausa biopsija;
AAK75;Galvaskausa bojajuma ekscizija;
AAK80;Daleja galvaskausa velves ekscizija ;Akutas smadzenu tuskas del
AAK85;Ieprieks ekscidetas galvaskausa velves replantacija;
AAK99;Cita veida galvaskausa un cieta smadzenu apvalka operacija;
AAL00;Intrakranialas aneirismas endovaskulara okluzija;
AAL10;Intrakraniala endovaskulara trombolize;
AAL20;Intrakranialas arteriovenozas malformacijas endovaskulara okluzija;
AAL30;Intrakranialas fistulas endovaskulara okluzija;
AAL40;Intrakraniala audzeja pievadoso arteriju endovaskulara okluzija;
AAL99;Cita veida intrakraniala endovaskulara manipulacija;
AAM00;Intracerebrala abscesa punkcija un evakuacija;
AAM10;Intracerebrala abscesa ekscizija;
AAM30;Epiduralas vai subduralas empiemas evakuacija;
AAM99;Cita veida operacija intrakranialas infekcijas del;
AAN00;Encefaloceles ekscizija un korekcija;
AAN99;Cita veida operacija iedzimtas intrakranialas malformacijas del;
AAP00;Muskula lokala transpozicija sejas nerva paralizes del;
AAP10;Nerva krusteniska transplantacija sejas nerva paralizes del;
AAP20;Muskula mikrovaskulara transpozicija sejas nerva paralizes del;
AAP99;Cita veida rekonstruktiva operacija sejas nerva paralizes del;
AAU00;Implantata iznemsana un arejas fiksacijas ierices nonemsana no galvaskausa; Zobu, augszokla un apakszokla implantatu iznemsana un arejas fiksacijas ierices nonemsana, skat.: EBU-EHU
AAW01;Intrakranialas stimulacijas ierices implantacija;
AAW02;Intrakranialas injekcijas ierices implantacija;
AAW99;Cita veida galvaskausa un intrakranialo strukturu operacija;
ABA00;Eksplorativa laminektomija;
ABA10;Spinala kanala bojajuma biopsija;
ABA20;Intratekala endoskopija;
ABA30;Epiduroskopija;
ABA99;Cita veida muguras smadzenu un nervu saknisu diagnostiska operacija;
ABB00;Spinala kanala bojajuma ekscizija ;(Jaieklauj: Sveskermena iznemsana)
ABB02;Nerva saknites bojajuma ekscizija ;(Pilniga vai daleja nerva saknites ekscizija)
ABB04;Nerva saknites bojajuma destrukcija;
ABB06;Nervu saknites bojajuma perkutana destrukcija;" (Papildu kods vizualizacijas (atteldiagnostikas) tehnikas precizesanai, skat.: ZXM; Papildu kods laparoskopiskas pieejas precizesanai, skat.: ZXM 90)"
ABB10;Spinala kanala bojajuma rezekcija;
ABB20;Spinala kanala intramedullaru vai ekstramedullaru cistu drenaza;
ABB30;Spinala kanala bojajuma destrukcija;
ABB40;Spinala kanala spontanas hematomas evakuacija;
ABB99;Cita veida muguras smadzenu un nervu saknisu bojajuma operacija;
ABC01;Perkutana endoskopiska diskektomija kakla dalas intervertebrala diska nobides del;
ABC04;Perkutana endoskopiska diskektomija krusu dalas intervertebrala diska nobides del;
ABC07;Perkutana endoskopiska diskektomija jostas dalas intervertebrala diska nobides del;
ABC10;Kakla dalas intervertebrala diska nobides mikrokirurgiska ekscizija;
ABC13;Krusu dalas intervertebrala diska nobides mikrokirurgiska ekscizija;
ABC16;Jostas dalas intervertebrala diska nobides mikrokirurgiska ekscizija;
ABC20;Mugurkaulaja kakla dalas atverta diskektomija;
ABC21;Mugurkaulaja kakla dalas priekseja dekompresija ar ieksejas fiksacijas implanta ievadisanu; (Atbalstkarkasa operacija („cage”operation) bez ieceretas kaulu saaudzesanas. Skriemelu kermenu saaudzesana, skat.: NAG)
ABC23;Mugurkaulaja krusu dalas atverta diskektomija;
ABC26;Mugurkaulaja jostas dalas atverta diskektomija;
ABC28;Paplasinosa implanta ievietosana starp skriemelu izaugumiem; (Ka alternativa laminektomijai spinala kanala stenozes del)
ABC30;Mugurkaulaja kakla dalas nervu saknisu dekompresija;
ABC33;Mugurkaulaja krusu dalas nervu saknisu dekompresija;
ABC36;Mugurkaulaja jostas dalas nervu saknisu dekompresija;
ABC40;Zirga astes (cauda equina) dekompresija;
ABC50;Mugurkaulaja kakla dalas spinala kanala un nervu saknisu dekompresija;
ABC53;Mugurkaulaja krusu dalas spinala kanala un nervu saknisu dekompresija;
ABC56;Mugurkaulaja jostas dalas spinala kanala un nervu saknisu dekompresija;
ABC60;Muguras smadzenu kakla dalas dekompresija;
ABC63;Muguras smadzenu krusu dalas dekompresija;
ABC66;Muguras smadzenu jostas dalas dekompresija;
ABC99;Cita veida muguras smadzenu un nervu saknisu dekompresijas operacija;
ABD10;Atverta kordotomija;
ABD15;Perkutana korodotomija; (Papildu kods tehnikas precizesanai, skat.: ZXC)
ABD20;Mielotomija;
ABD30;Spinalas stimulacijas ierices implantacija;
ABD40;Spinalas injekcijas ierices implantacija;
ABD50;Spinalo nervu saknisu parskelsana sapju vai funkcijas traucejumu del; (Dorsalas saknites ieejas zonas bojajuma del)
ABD99;Cita veida muguras smadzenu un nervu saknisu operacija sapju un funkcijas traucejumu del;
ABE10;Mieloceles un menigoceles ekscizija un korekcija;
ABE20;Diastematomielijas (gareniski skeltu muguras smadzenu) mobilizacija;
ABE30;adas sinusa ekscizija;
ABE40;Operacija hidromielijas del;
ABE50;Okcipitocervikala dekompresija;
ABE99;Cita veida operacija mugurkaulaja malformacijas del;
ABEX00;Endoskopisks intraspinals izmeklejums;Ieskaitot epiduroskopiju
ABFX00;Lumbala punkcija ar infuzijas testu;Ieskaitot dinamisko likvora (smadzenu skidruma) spiediena merisanu
ABFX05;Smadzenu skidruma iegusana;Ieskaitot lumbalo punkciju
ABFX10;Bulba kavernoza refleksa parbaude (anala sfinktera sarausanas kairinot dzimumlocekli vai vulvu);
ABGB00;Nervu galinu magnetiska stimulacija  vai pleksus;
ABGC10;Epidurala katetera ieliksana;Ieskaitot katetera iznemsanu. Iznemot anesezijai vai analgezijai (WDAL34-WDAL38).
ABGC11;Epidurala katetera ieliksana ar subkutano injekcijas portu;Ieskaitot katetera iznemsanu. Iznemot anesezijai vai analgezijai (WDAL34-WDAL38). Aizstaj veco nacionalo kodu TA511
ABGC12;Spinala katetera ieliksana;Ieskaitot katetera iznemsanu. Iznemot anesezijai vai analgezijai (WDAL30-WDAL33)
ABGC13;Spinala katetera ieliksana ar ar subkutano injekcijas portu;Ieskaitot katetera iznemsanu. Iznemot anesezijai vai analgezijai (WDAL30-WDAL33)
ABGX;Epiduralais asins ielaps (blood patch);
ABW99;Cita nervu saknisu un muguras smadzenu operacija;
ACA11;"Periferiska nerva izmeklesana; vidusnervs (n. medianus)";
ACA12;"Periferiska nerva izmeklesana; spieka nervs (n. radialis)";
ACA13;"Periferiska nerva izmeklesana; elkona nervs (n. ulnaris)";
ACA14;"Periferiska nerva izmeklesana; fibularais nervs (n. peroneus)";
ACA15;"Periferiska nerva izmeklesana; tibialais  nervs (n. tibialis)";
ACA16;"Periferiska nerva izmeklesana; sezas nervs (n. ischiadicus)";
ACA17;"Periferiska nerva izmeklesana; jostas pinums (plexus lumbalis)";
ACA18;"Periferiska nerva izmeklesana; rokas pinums (plexus brachialis)";
ACA19;"Periferiska nerva izmeklesana; cits vai bez precizejuma";
ACA21;"Periferiska nerva biopsija; vidusnervs (n. medianus)";
ACA22;"Periferiska nerva biopsija; spieka nervs (n. radialis)";
ACA23;"Periferiska nerva biopsija; elkona nervs (n. ulnaris)";
ACA24;"Periferiska nerva biopsija; fibularais nervs (n. peroneus)";
ACA25;"Periferiska nerva biopsija; tibialais  nervs (n. tibialis)";
ACA26;"Periferiska nerva biopsija; sezas nervs (n. ischiadicus)";
ACA27;"Periferiska nerva biopsija; jostas pinums (plexus lumbalis)";
ACA28;"Periferiska nerva biopsija; rokas pinums (plexus brachialis)";
ACA29;"Periferiska nerva biopsija; cits vai bez precizejuma";
ACA91;"Cita veida diagnostiska periferiska nerva operacija; vidusnervs (n. medianus)";
ACA92;"Cita veida diagnostiska periferiska nerva operacija; spieka nervs (n. radialis)";
ACA93;"Cita veida diagnostiska periferiska nerva operacija; elkona nervs (n. ulnaris)";
ACA94;"Cita veida diagnostiska periferiska nerva operacija; fibularais nervs (n. peroneus)";
ACA95;"Cita veida diagnostiska periferiska nerva operacija; tibialais  nervs (n. tibialis)";
ACA96;"Cita veida diagnostiska periferiska nerva operacija; sezas nervs (n. ischiadicus)";
ACA97;"Cita veida diagnostiska periferiska nerva operacija; jostas pinums (plexus lumbalis)";
ACA98;"Cita veida diagnostiska periferiska nerva operacija; rokas pinums (plexus brachialis)";
ACA99;"Cita veida diagnostiska periferiska nerva operacija; cits vai bez precizejuma";
ACB11;"Periferiska nerva bojajuma ekscizija; vidusnervs (n. medianus)";(Jaieklauj: Sveskermena iznemsana)
ACB12;"Periferiska nerva bojajuma ekscizija; spieka nervs (n. radialis)";(Jaieklauj: Sveskermena iznemsana)
ACB13;"Periferiska nerva bojajuma ekscizija; elkona nervs (n. ulnaris)";(Jaieklauj: Sveskermena iznemsana)
ACB14;"Periferiska nerva bojajuma ekscizija; fibularais nervs (n. peroneus)";(Jaieklauj: Sveskermena iznemsana)
ACB15;"Periferiska nerva bojajuma ekscizija; tibialais  nervs (n. tibialis)";(Jaieklauj: Sveskermena iznemsana)
ACB16;"Periferiska nerva bojajuma ekscizija; sezas nervs (n. ischiadicus)";(Jaieklauj: Sveskermena iznemsana)
ACB17;"Periferiska nerva bojajuma ekscizija; jostas pinums (plexus lumbalis)";(Jaieklauj: Sveskermena iznemsana)
ACB18;"Periferiska nerva bojajuma ekscizija; rokas pinums (plexus brachialis)";(Jaieklauj: Sveskermena iznemsana)
ACB19;"Periferiska nerva bojajuma ekscizija; cits vai bez precizejuma";(Jaieklauj: Sveskermena iznemsana)
ACB21;"Periferiska nerva sasusana; vidusnervs (n. medianus)";
ACB22;"Periferiska nerva sasusana; spieka nervs (n. radialis)";
ACB23;"Periferiska nerva sasusana; elkona nervs (n. ulnaris)";
ACB24;"Periferiska nerva sasusana; fibularais nervs (n. peroneus)";
ACB25;"Periferiska nerva sasusana; tibialais  nervs (n. tibialis)";
ACB26;"Periferiska nerva sasusana; sezas nervs (n. ischiadicus)";
ACB27;"Periferiska nerva sasusana; jostas pinums (plexus lumbalis)";
ACB28;"Periferiska nerva sasusana; rokas pinums (plexus brachialis)";
ACB29;"Periferiska nerva sasusana; cits vai bez precizejuma";
ACB91;"Cita veida periferiska nerva bojajuma operacija; vidusnervs (n. medianus)";
ACB92;"Cita veida periferiska nerva bojajuma operacija; spieka nervs (n. radialis)";
ACB93;"Cita veida periferiska nerva bojajuma operacija; elkona nervs (n. ulnaris)";
ACB94;"Cita veida periferiska nerva bojajuma operacija; fibularais nervs (n. peroneus)";
ACB95;"Cita veida periferiska nerva bojajuma operacija; tibialais  nervs (n. tibialis)";
ACB96;"Cita veida periferiska nerva bojajuma operacija; sezas nervs (n. ischiadicus)";
ACB97;"Cita veida periferiska nerva bojajuma operacija; jostas pinums (plexus lumbalis)";
ACB98;"Cita veida periferiska nerva bojajuma operacija; rokas pinums (plexus brachialis)";
ACB99;"Cita veida periferiska nerva bojajuma operacija; cits vai bez precizejuma";
ACC11;"Periferiska nerva transcizija; vidusnervs (n. medianus)";
ACC12;"Periferiska nerva transcizija; spieka nervs (n. radialis)";
ACC13;"Periferiska nerva transcizija; elkona nervs (n. ulnaris)";
ACC14;"Periferiska nerva transcizija; fibularais nervs (n. peroneus)";
ACC15;"Periferiska nerva transcizija; tibialais nervs (n. tibialis)";
ACC16;"Periferiska nerva transcizija; sezas nervs (n. ischiadicus)";
ACC17;"Periferiska nerva transcizija; jostas pinums (plexus lumbalis)";
ACC18;"Periferiska nerva transcizija; rokas pinums (plexus brachialis)";
ACC19;"Periferiska nerva transcizija; cits vai bez precizejuma";
ACC21;"Periferiska nerva rekonstrukcija; vidusnervs (n. medianus)";
ACC22;"Periferiska nerva rekonstrukcija; spieka nervs (n. radialis)";
ACC23;"Periferiska nerva rekonstrukcija; elkona nervs (n. ulnaris)";
ACC24;"Periferiska nerva rekonstrukcija; fibularais nervs (n. peroneus)";
ACC25;"Periferiska nerva rekonstrukcija; tibialais nervs (n. tibialis)";
ACC26;"Periferiska nerva rekonstrukcija; sezas nervs (n. ischiadicus)";
ACC27;"Periferiska nerva rekonstrukcija; jostas pinums (plexus lumbalis)";
ACC28;"Periferiska nerva rekonstrukcija; rokas pinums (plexus brachialis)";
ACC29;"Periferiska nerva rekonstrukcija; cits vai bez precizejuma";
ACC41;"Periferiska nerva transpozicija; vidusnervs (n. medianus)";
ACC42;"Periferiska nerva transpozicija; spieka nervs (n. radialis)";
ACC43;"Periferiska nerva transpozicija; elkona nervs (n. ulnaris)";
ACC44;"Periferiska nerva transpozicija; fibularais nervs (n. peroneus)";
ACC45;"Periferiska nerva transpozicija; tibialais nervs (n. tibialis)";
ACC46;"Periferiska nerva transpozicija; sezas nervs (n. ischiadicus)";
ACC47;"Periferiska nerva transpozicija; jostas pinums (plexus lumbalis)";
ACC48;"Periferiska nerva transpozicija; rokas pinums (plexus brachialis)";
ACC49;"Periferiska nerva transpozicija; cits vai bez precizejuma";
ACC51;"Periferiska nerva saaugumu dekompresija un atbrivosana; vidusnervs (n. medianus)";
ACC52;"Periferiska nerva saaugumu dekompresija un atbrivosana; spieka nervs (n. radialis)";
ACC53;"Periferiska nerva saaugumu dekompresija un atbrivosana; elkona nervs (n. ulnaris)";
ACC54;"Periferiska nerva saaugumu dekompresija un atbrivosana; fibularais nervs (n. peroneus)";
ACC55;"Periferiska nerva saaugumu dekompresija un atbrivosana; tibialais nervs (n. tibialis)";
ACC56;"Periferiska nerva saaugumu dekompresija un atbrivosana; sezas nervs (n. ischiadicus)";
ACC57;"Periferiska nerva saaugumu dekompresija un atbrivosana; jostas pinums (plexus lumbalis)";
ACC58;"Periferiska nerva saaugumu dekompresija un atbrivosana; rokas pinums (plexus brachialis)";
ACC59;"Periferiska nerva saaugumu dekompresija un atbrivosana; cits vai bez precizejuma";
ACC91;"Cita veida operacija periferiska nerva funkcijas traucejumu del; vidusnervs (n. medianus)";
ACC92;"Cita veida operacija periferiska nerva funkcijas traucejumu del; spieka nervs (n. radialis)";
ACC93;"Cita veida operacija periferiska nerva funkcijas traucejumu del; elkona nervs (n. ulnaris)";
ACC94;"Cita veida operacija periferiska nerva funkcijas traucejumu del; fibularais nervs (n. peroneus)";
ACC95;"Cita veida operacija periferiska nerva funkcijas traucejumu del; tibialais nervs (n. tibialis)";
ACC96;"Cita veida operacija periferiska nerva funkcijas traucejumu del; sezas nervs (n. ischiadicus)";
ACC97;"Cita veida operacija periferiska nerva funkcijas traucejumu del; jostas pinums (plexus lumbalis)";
ACC98;"Cita veida operacija periferiska nerva funkcijas traucejumu del; rokas pinums (plexus brachialis)";
ACC99;"Cita veida operacija periferiska nerva funkcijas traucejumu del; cits vai bez precizejuma";
ACFE00;Sensoriska neirografija ar adatu elektrodiem;
ACFE05;Sensoriska neirografija ar  ar virsmas elektrodiem;
ACFE10;Motoriska neirografija ar adatu elektrodiem;
ACFE15;Motoriska neirografija ar  ar virsmas elektrodiem;
ACFE20;Motorisks iso segmentu (inching) izmeklejums;
ACFE25;Neirografija ar atkartotu nervu stimulaciju;
ACFE30;Mirgosanas refleksa neirografija;
ACFE39;Motoriska un sensoriska elektroneirografija c.n.;Ieskaitot testu uz F-vilniem
ACFE99;Elektrofiziologisko refleksu registracija  c.n.;
ACFX05;Termotests;
ACFX10;Hofmana reflekss;
ACFX15;Vibrametrija;
ACGB59;Transkutana nervu stimulacija n.p.;
ACGB69;Tiesa nervu stimulacija n.p.;Neieskaitot JHGX00 sakrala nerva stimulaciju inkontinences arstesana
ACGB89;Intrakutana nervu stimulacija n.p.;
ACGX90;Lokala neirotoksiska skidruma injekcija;Ieskaitot botulina injekcijas. Medikaments jaatzime ar ATC-kodu, piemeram, M03AX01 Botulina toksins
ACGX99;Neirolize c.n.;Ieskaitot kriotehniku, rf-tehniku vai rtg-tehniku
ACW99;Cita periferiska nerva operacija;
ADA10;Cervikala simpatektomija;
ADA20;Torakala simpatektomija;
ADA30;Lumbala simpatektomija; (Papildu kods ekstraperitonealas laparaskopiskas pieejas precizesanai, skat.: ZXC 90)
ADA99;Cita veida simpatisko nervu operacija;
ADB00;Klejotajnerva stimulacijas ierices implantacija; (Impulsu generatora nomaina vai iznemsana, skat.: AEA)
ADFX00;P300 vai lidzigs. Kognitiva reakcija;
ADFX05;Simpatiskas nervu sistemas tests ar adas reakciju;Ieskaitot adas nervu impulsu parvadisanas spejas
ADFX10;Parasimpatiskie R-R ieraksti;Ieskaitot EKG ierakstus
ADFX15;Stajas vertesanas tests;
ADFX20;Valsalvas tests;
ADGB00;Klejotajnerva stimulacija;
ADGT00;Elektriska klejotajnerva stimulatora uzstade;
ADW99;Cita autonomas nervu sistemas operacija;
AEA00;Nervu sistemas stimulacijas ierices impulsa generatora nomaina;
AEA20;Nervu sistemas stimulacijas ierices impulsa generatora iznemsana;
AEA23;Intrakraniala elektroda iznemsana;
AEA24;Muguras smadzenu nervu stimulacijas elektroda iznemsana;
AEA25;Klejotajnervu stimulacijas elektroda iznemsana;
AEA27;Muguras smadzenu nervu stimulacijas elektroda nomaina;
AEA30;Nervu sistema implantetas injekcijas ierices sukna nomaina ;
AEA40;Nervu sistema implantetas injekcijas ierices sukna iznemsana ;
AEA43;Intrakranialas injekcijas ierices katetra iznemsana;
AEA44;Spinalas injekcijas ierices katetra iznemsana;
AXDP00;Videonistagmografija (Frenzel goggle test);
AXFE00;Elektromiografija (EMG), vizuals novertejums;
AXFE02;Elektromiografija (EMG), kvantitativa;Ieskaitot vizualo vertejumu
AXFE05;Vienas skiedras elektromiografija (SFEMG);Ieskaitot jitter (trices) un skiedras blivumu analizi
AXFE10;Makroelektromiografija (EMG);
AXFE15;Injekcija ar elektromiografijas palidzibu;Medikaments jaatzime ar ATC-kodu
AXFE25;Elektronistagmografija ar bitermalo kalorisko testu vai bez ta;Ieskaitot video uznemsanu
AXFX00;Diagnostikas tests medikamentiem;Apomorfin, Baklofen, L-dopa u.c. Medikaments jaatzime ar ATC-kodu
AXFX09;Kvantitativie sensorikas testi c.n.;Ieskaitot algometriju, vonFreija filamentu
AWA00;Brucu malu paversanas (dehiscences) korekcija nervu sistemas kirurgija;
AWB00;Reoperacija nervu sistemas kirurgija virspusejas infekcijas del ;
AWC00;Reoperacija nervu sistemas kirurgija dzilas infekcijas del;
AWD00;Reoperacija nervu sistemas kirurgija virspusejas asinosanas del;
AWE00;Reoperacija nervu sistemas kirurgija dzilas asinosanas del;
AWW99;Cita veida reoperacija nervu sistemas kirurgija;
BAA00;Vairogdziedzera biopsija;
BAA05;Eksplorativa vairogdziedzera operacija;
BAA10;Vairogdziedzera incizija; (Jaieklauj: Drenaza, sveskermena iznemsana)
BAA20;Vairogdziedzera unilaterala daleja ekscizija ;(Jaieklauj: Lokala bojajuma enukleacija)
BAA25;Vairogdziedzera bilaterala daleja ekscizija;
BAA30;Vairogdziedzera savienojuma (isthmus) ekscizija;
BAA40;Vairogdziedzera unilaterala lobektomija;
BAA50;Vairogdziedzera lobektomija un pretejas puses daivas rezekcija;
BAA60;Totala tireoidektomija;
BAA99;Cita veida vairogdziedzera operacija;
BBA10;Epitelijkermenisu biopsija;
BBA20;Eksplorativa epitelijkermenisu operacija ;
BBA30;Epitelijkermenisu ekscizija; (Viena vai vairaku epitelijkermenisu ekscizija, atstajot vairak neka vienu epitelijkermeniti )
BBA40;Subtotala paratireoidektomija ;(Vairaku epitelijkermenisu ekscizija, atstajot vienu epitelijkermeniti)
BBA50;Totala paratireoidektomija; (Visu epitelijkermenisu ekscizija) 
BBA70;Epitelijkermenisu implantacija vai transplantacija ;
BBA99;Cita veida epitelijkermenisu operacija;
BCA10;Virsnieres biopsija;
BCA11;Laparoskopiska virsnieres biopsija;
BCA15;Virsnieres incizija; (Jaieklauj: Drenaza, sveskermena iznemsana)
BCA20;Virsnieres bojajuma ekscizija;
BCA30;Unilaterala adrenalektomija;
BCA31;Laparoskopiska unilaterala adrenalektomija;
BCA40;Bilaterala adrenalektomija;
BCA41;Laparoskopiska bilaterala adrenalektomija;
BCA99;Cita veida virsnieres operacija;
BCFX00;Funkcionalais tests ar sintaktena stimulaciju;
BCFX05;Funkcionalais tests ar metopirona stimulaciju;
BCFX10;Funkcionalais tests ar insulina stimulaciju;
BCFX15;Funkcionalais tests ar deksametazona supresiju, istermina;
