Code	text	Original code	1.	2.	3.	4.	5.	6.		
AAF40	Smadzenu cistas suntesana uz vederpleves dobumu	AAF 40	A	A	F	 	4	0	AAF	40
AAF45	Intrakranialas cistas fenestracija	AAF 45	A	A	F	 	4	5	AAF	45
AAF99	Cita veida smadzenu vederinu vai intracerebralu cistu suntesanas operacija	AAF 99	A	A	F	 	9	9	AAF	99
AAG	Stereotaktiskas intrakranialas operacijas	AAG	A	A	G					
AAG00	Stereotaktiska intrakraniala biopsija	AAG 00	A	A	G	 	0	0	AAG	00
AAG10	Stereotaktiska intrakraniala nerva kodola vai trakta destrukcija	AAG 10	A	A	G	 	1	0	AAG	10
AAG20	Stereotaktiska intrakranialo elektrodu implantacija	AAG 20	A	A	G	 	2	0	AAG	20
AAG30	Stereotaktiska intrakraniala radioaktivo vielu implantacija	AAG 30	A	A	G	 	3	0	AAG	30
AAG40	Stereotaktiska intrakraniala augla audu implantacija	AAG 40	A	A	G	 	4	0	AAG	40
AAG50	Stereotaktiska intrakraniala radioterapija	AAG 50	A	A	G	 	5	0	AAG	50
AAG99	Cita veida stereotaktiska intrakraniala operacija	AAG 99	A	A	G	 	9	9	AAG	99
AAH	Kranialo nervu operacijas	AAH	A	A	H					
AAH10	Kraniala nerva rizotomija	AAH 10	A	A	H	 	1	0	AAH	10
AAH20	Kraniala nerva dekompresija	AAH 20	A	A	H	 	2	0	AAH	20
AAH30	Kraniala nerva termiska destrukcija	AAH 30	A	A	H	 	3	0	AAH	30
AAH40	Injekcija kranialaja nerva	AAH 40	A	A	H	 	4	0	AAH	40
AAH50	Kraniala nerva anastomozes izveide	AAH 50	A	A	H	 	5	0	AAH	50
AAH60	Kraniala nerva mikrovaskulara dekompresija	AAH 60	A	A	H	 	6	0	AAH	60
AAH99	Cita veida kraniala nerva operacija	AAH 99	A	A	H	 	9	9	AAH	99
AAJ	Operacijas epilepsijas del	AAJ	A	A	J					
AAJ00	Hemisferektomija	AAJ 00	A	A	J	 	0	0	AAJ	00
AAJ10	Lobektomija epilepsijas del	AAJ 10	A	A	J	 	1	0	AAJ	10
AAJ15	Hipokampektomija	AAJ 15	A	A	J	 	1	5	AAJ	15
AAJ20	Epileptiska perekla ekscizija	AAJ 20	A	A	J	 	2	0	AAJ	20
AAJ25	Nervu traktu transcizija epilepsijas del	AAJ 25	A	A	J	 	2	5	AAJ	25
AAJ30	Kallostomija epilepsijas del	AAJ 30	A	A	J	 	3	0	AAJ	30
AAJ35	Hemidekortikacija epilepsijas del	AAJ 35	A	A	J	 	3	5	AAJ	35
AAJ99	Cita operacija epilepsijas del	AAJ 99	A	A	J	 	9	9	AAJ	99
AAK	Galvaskausa un cieta smadzenu apvalka operacijas	AAK	A	A	K					
AAK00	Kranioplastika	AAK 00	A	A	K	 	0	0	AAK	00
AAK10	Cieta smadzenu apvalka sasusana	AAK 10	A	A	K	 	1	0	AAK	10
AAK20	Operacijas kraniosinostozes del	AAK 20	A	A	K	 	2	0	AAK	20
AAK30	Iedzimtu malformaciju kraniofaciala rekonstrukcija	AAK 30	A	A	K	 	3	0	AAK	30
AAK40	Cerebrospinala skidruma fistulas slegsana	AAK 40	A	A	K	 	4	0	AAK	40
AAK70	Galvaskausa biopsija	AAK 70	A	A	K	 	7	0	AAK	70
AAK75	Galvaskausa bojajuma ekscizija	AAK 75	A	A	K	 	7	5	AAK	75
AAK80	Daleja galvaskausa velves ekscizija	AAK 80	A	A	K	 	8	0	AAK	80
AAK85	Ieprieks ekscidetas galvaskausa velves replantacija	AAK 85	A	A	K	 	8	5	AAK	85
AAK99	Cita veida galvaskausa un cieta smadzenu apvalka operacija	AAK 99	A	A	K	 	9	9	AAK	99
AAL	Intrakranialas endovaskularas manipulacijas	AAL	A	A	L					
AAL00	Intrakranialas aneirismas endovaskulara okluzija	AAL 00	A	A	L	 	0	0	AAL	00
AAL10	Intrakraniala endovaskulara trombolize	AAL 10	A	A	L	 	1	0	AAL	10
AAL20	Intrakranialas arteriovenozas malformacijas endovaskulara okluzija	AAL 20	A	A	L	 	2	0	AAL	20
AAL30	Intrakranialas fistulas endovaskulara okluzija	AAL 30	A	A	L	 	3	0	AAL	30
AAL40	Intrakraniala audzeja pievadoso arteriju endovaskulara okluzija	AAL 40	A	A	L	 	4	0	AAL	40
AAL99	Cita veida intrakraniala endovaskulara manipulacija	AAL 99	A	A	L	 	9	9	AAL	99
AAM	Operacijas intrakranialas infekcijas del	AAM	A	A	M					
AAM00	Intracerebrala abscesa punkcija un evakuacija	AAM 00	A	A	M	 	0	0	AAM	00
AAM10	Intracerebrala abscesa ekscizija	AAM 10	A	A	M	 	1	0	AAM	10
AAM30	Epiduralas vai subduralas empiemas evakuacija	AAM 30	A	A	M	 	3	0	AAM	30
AAM99	Cita veida operacija intrakranialas infekcijas del	AAM 99	A	A	M	 	9	9	AAM	99
AAN	Operacijas iedzimtu intrakranialu malformaciju del	AAN	A	A	N					
AAN00	Encefaloceles ekscizija un korekcija	AAN 00	A	A	N	 	0	0	AAN	00
AAN99	Cita veida operacija iedzimtas intrakranialas malformacijas del	AAN 99	A	A	N	 	9	9	AAN	99
AAP	Rekonstruktivas operacijas sejas nerva paralizes del	AAP	A	A	P					
AAP00	Muskula lokala transpozicija sejas nerva paralizes del	AAP 00	A	A	P	 	0	0	AAP	00
AAP10	Nerva krusteniska transplantacija sejas nerva paralizes del	AAP 10	A	A	P	 	1	0	AAP	10
AAP20	Muskula mikrovaskulara transpozicija sejas nerva paralizes del	AAP 20	A	A	P	 	2	0	AAP	20
AAP99	Cita veida rekonstruktiva operacija sejas nerva paralizes del	AAP 99	A	A	P	 	9	9	AAP	99
AAU	Implantatu iznemsana un arejas fiksacijas iericu nonemsana no galvaskausa	AAU	A	A	U					
AAU00	Implantata iznemsana un arejas fiksacijas ierices nonemsana no galvaskausa	AAU 00	A	A	U	 	0	0	AAU	00
AAW	Citas galvaskausa un intrakranialo strukturu operacijas	AAW	A	A	W					
AAW01	Intrakranialas stimulacijas ierices implantacija	AAW 01	A	A	W	 	0	1	AAW	01
AAW02	Intrakranialas injekcijas ierices implantacija	AAW 02	A	A	W	 	0	2	AAW	02
AAW99	Cita veida galvaskausa un intrakranialo strukturu operacija	AAW 99	A	A	W	 	9	9	AAW	99
AB	Muguras smadzenes un nervu saknites	AB	A	B						
ABA 	Muguras smadzenu un nervu saknisu diagnostiskas operacijas	ABA 	A	B	A	 				
ABA00	Eksplorativa laminektomija	ABA 00	A	B	A	 	0	0	ABA	00
ABA10	Spinala kanala bojajuma biopsija	ABA 10	A	B	A	 	1	0	ABA	10
ABA20	Intratekala endoskopija	ABA 20	A	B	A	 	2	0	ABA	20
ABA30	Epiduroskopija	ABA 30	A	B	A	 	3	0	ABA	30
ABA99	Cita veida muguras smadzenu un nervu saknisu diagnostiska operacija	ABA 99	A	B	A	 	9	9	ABA	99
ABB	Muguras smadzenu un nervu saknisu bojajuma operacijas 	ABB	A	B	B					
ABB00	Spinala kanala bojajuma ekscizija	ABB 00	A	B	B	 	0	0	ABB	00
ABB02	Nerva saknites bojajuma ekscizija	ABB 02	A	B	B	 	0	2	ABB	02
ABB04	Nerva saknites bojajuma destrukcija	ABB 04	A	B	B	 	0	4	ABB	04
ABB06	Nervu saknites bojajuma perkutana destrukcija	ABB 06	A	B	B	 	0	6	ABB	06
ABB10	Spinala kanala bojajuma rezekcija	ABB 10	A	B	B	 	1	0	ABB	10
ABB20	Spinala kanala intramedullaru vai ekstramedullaru cistu drenaza	ABB 20	A	B	B	 	2	0	ABB	20
ABB30	Spinala kanala bojajuma destrukcija	ABB 30	A	B	B	 	3	0	ABB	30
ABB40	Spinala kanala spontanas hematomas evakuacija	ABB 40	A	B	B	 	4	0	ABB	40
ABB99	Cita veida muguras smadzenu un nervu saknisu bojajuma operacija	ABB 99	A	B	B	 	9	9	ABB	99
ABC	Muguras smadzenu un nervu saknisu dekompresija 	ABC	A	B	C					
ABC01	Perkutana endoskopiska diskektomija kakla dalas intervertebrala diska nobides del	ABC 01	A	B	C	 	0	1	ABC	01
ABC04	Perkutana endoskopiska diskektomija krusu dalas intervertebrala diska nobides del	ABC 04	A	B	C	 	0	4	ABC	04
ABC07	Perkutana endoskopiska diskektomija jostas dalas intervertebrala diska nobides del	ABC 07	A	B	C	 	0	7	ABC	07
ABC10	Kakla dalas intervertebrala diska nobides mikrokirurgiska ekscizija	ABC 10	A	B	C	 	1	0	ABC	10
ABC13	Krusu dalas intervertebrala diska nobides mikrokirurgiska ekscizija	ABC 13	A	B	C	 	1	3	ABC	13
ABC16	Jostas dalas intervertebrala diska nobides mikrokirurgiska ekscizija	ABC 16	A	B	C	 	1	6	ABC	16
ABC20	Mugurkaulaja kakla dalas atverta diskektomija	ABC 20	A	B	C	 	2	0	ABC	20
ABC21	Mugurkaulaja kakla dalas priekseja dekompresija ar ieksejas fiksacijas implanta ievadisanu	ABC 21	A	B	C	 	2	1	ABC	21
ABC23	Mugurkaulaja krusu dalas atverta diskektomija	ABC 23	A	B	C	 	2	3	ABC	23
ABC26	Mugurkaulaja jostas dalas atverta diskektomija	ABC 26	A	B	C	 	2	6	ABC	26
ABC28	Paplasinosa implanta ievietosana starp skriemelu izaugumiem	ABC 28	A	B	C	 	2	8	ABC	28
ABC30	Mugurkaulaja kakla dalas nervu saknisu dekompresija	ABC 30	A	B	C	 	3	0	ABC	30
ABC33	Mugurkaulaja krusu dalas nervu saknisu dekompresija	ABC 33	A	B	C	 	3	3	ABC	33
ABC36	Mugurkaulaja jostas dalas nervu saknisu dekompresija	ABC 36	A	B	C	 	3	6	ABC	36
ABC40	Zirga astes (cauda equina) dekompresija	ABC 40	A	B	C	 	4	0	ABC	40
ABC50	Mugurkaulaja kakla dalas spinala kanala un nervu saknisu dekompresija	ABC 50	A	B	C	 	5	0	ABC	50
ABC53	Mugurkaulaja krusu dalas spinala kanala un nervu saknisu dekompresija	ABC 53	A	B	C	 	5	3	ABC	53
ABC56	Mugurkaulaja jostas dalas spinala kanala un nervu saknisu dekompresija	ABC 56	A	B	C	 	5	6	ABC	56
ABC60	Muguras smadzenu kakla dalas dekompresija	ABC 60	A	B	C	 	6	0	ABC	60
ABC63	Muguras smadzenu krusu dalas dekompresija	ABC 63	A	B	C	 	6	3	ABC	63
ABC66	Muguras smadzenu jostas dalas dekompresija	ABC 66	A	B	C	 	6	6	ABC	66
ABC99	Cita veida muguras smadzenu un nervu saknisu dekompresijas operacija	ABC 99	A	B	C	 	9	9	ABC	99
ABD	Muguras smadzenu un nervu saknisu operacijas sapju vai funkciju traucejumu del	ABD	A	B	D					
ABD10	Atverta kordotomija	ABD 10	A	B	D	 	1	0	ABD	10
ABD15	Perkutana korodotomija	ABD 15	A	B	D	 	1	5	ABD	15
ABD20	Mielotomija	ABD 20	A	B	D	 	2	0	ABD	20
ABD30	Spinalas stimulacijas ierices implantacija	ABD 30	A	B	D	 	3	0	ABD	30
ABD40	Spinalas injekcijas ierices implantacija	ABD 40	A	B	D	 	4	0	ABD	40
ABD50	Spinalo nervu saknisu parskelsana sapju vai funkcijas traucejumu del	ABD 50	A	B	D	 	5	0	ABD	50
ABD99	Cita veida muguras smadzenu un nervu saknisu operacija sapju un funkcijas traucejumu del	ABD 99	A	B	D	 	9	9	ABD	99
ABE	Operacijas iedzimtu mugurkaulaja malformaciju del	ABE	A	B	E					
ABE10	Mieloceles un menigoceles ekscizija un korekcija	ABE 10	A	B	E	 	1	0	ABE	10
ABE20	Diastematomielijas (gareniski skeltu muguras smadzenu) mobilizacija	ABE 20	A	B	E	 	2	0	ABE	20
ABE30	adas sinusa ekscizija	ABE 30	A	B	E	 	3	0	ABE	30
ABE40	Operacija hidromielijas del	ABE 40	A	B	E	 	4	0	ABE	40
ABE50	Okcipitocervikala dekompresija	ABE 50	A	B	E	 	5	0	ABE	50
ABE99	Cita veida operacija mugurkaulaja malformacijas del	ABE 99	A	B	E	 	9	9	ABE	99
ABW	Citas nervu saknisu un muguras smadzenu operacijas	ABW	A	B	W					
ABW99	Cita nervu saknisu un muguras smadzenu operacija	ABW 99	A	B	W	 	9	9	ABW	99
AC	Periferiskie nervi 	AC	A	C						
1	Vidusnervs (n. medianus)	1	1							
2	Spieka nervs (n. radialis)	2	2							
3	Elkona nervs (n. ulnaris)	3	3							
4	Fibularais nervs (n. peroneus)	4	4							
5	Tibialais nervs (n. tibialis)	5	5							
6	Sezas nervs (n. ischiadicus)	6	6							
7	Jostas pinums (plexus lumbalis)	7	7							
8	Rokas pinums (plexus brachialis)	8	8							
9	Cits vai bez precizejuma	9	9							
ACA	Periferisko nervu diagnostiskas operacijas	ACA	A	C	A					
ACA1x	Periferiska nerva izmeklesana	ACA 1x	A	C	A	 	1	x	ACA	1x
ACA2x	Periferiska nerva biopsija	ACA 2x	A	C	A	 	2	x	ACA	2x
ACA9x	Cita veida diagnostiska periferiska nerva operacija	ACA 9x	A	C	A	 	9	x	ACA	9x
ACB	Periferisko nervu bojajuma operacijas	ACB	A	C	B					
ACB1x	Periferiska nerva bojajuma ekscizija	ACB 1x	A	C	B	 	1	x	ACB	1x
ACB2x	Periferiska nerva sasusana	ACB 2x	A	C	B	 	2	x	ACB	2x
ACB9x	Cita veida periferiska nerva bojajuma operacija	ACB 9x	A	C	B	 	9	x	ACB	9x
ACC	Operacijas periferisko nervu funkciju traucejumu de?	ACC	A	C	C					
ACC1x	Periferiska nerva transcizija	ACC 1x	A	C	C	 	1	x	ACC	1x
ACC2x	Periferiska nerva rekonstrukcija	ACC 2x	A	C	C	 	2	x	ACC	2x
ACC4x	Periferiska nerva transpozicija	ACC 4x	A	C	C	 	4	x	ACC	4x
ACC5x	Periferiska nerva saaugumu dekompresija un atbrivosana	ACC 5x	A	C	C	 	5	x	ACC	5x
ACC9x	Cita veida operacija periferiska nerva funkcijas traucejumu del	ACC 9x	A	C	C	 	9	x	ACC	9x
ACW	Citas periferisko nervu operacijas	ACW	A	C	W					
ACW99	Cita periferiska nerva operacija	ACW 99	A	C	W	 	9	9	ACW	99
AD	Autonoma nervu sistema 	AD	A	D						
ADA	Simpatisko nervu operacijas	ADA	A	D	A					
ADA10	Cervikala simpatektomija	ADA 10	A	D	A	 	1	0	ADA	10
ADA20	Torakala simpatektomija	ADA 20	A	D	A	 	2	0	ADA	20
ADA30	Lumbala simpatektomija	ADA 30	A	D	A	 	3	0	ADA	30
ADA99	Cita veida simpatisko nervu operacija	ADA 99	A	D	A	 	9	9	ADA	99
ADB	Klejotajnerva operacijas	ADB	A	D	B					
ADB00	Klejotajnerva stimulacijas ierices implantacija	ADB00	A	D	B	0	0			
ADW	Citas autonomas nervu sistemas operacijas	ADW	A	D	W					
ADW99	Cita autonomas nervu sistemas operacija	ADW99	A	D	W	9	9			
AE	Parejas nervu sistemas operacijas	AE	A	E						
AEA	Stimulacijas un injekcijas iericu ievadisanas operacijas nervu sistema	AEA	A	E	A					
AEA00	Nervu sistemas stimulacijas ierices impulsa generatora nomaina	AEA 00	A	E	A	 	0	0	AEA	00
AEA20	Nervu sistemas stimulacijas ierices impulsa generatora iznemsana	AEA 20	A	E	A	 	2	0	AEA	20
AEA23	Intrakraniala elektroda iznemsana	AEA 23	A	E	A	 	2	3	AEA	23
AEA24	Muguras smadzenu nervu stimulacijas elektroda iznemsana	AEA 24	A	E	A	 	2	4	AEA	24
AEA25	Klejotajnervu stimulacijas elektroda iznemsana	AEA 25	A	E	A	 	2	5	AEA	25
AEA27	Muguras smadzenu nervu stimulacijas elektroda nomaina	AEA 27	A	E	A	 	2	7	AEA	27
AEA30	Nervu sistema implantetas injekcijas ierices sukna nomaina 	AEA 30	A	E	A	 	3	0	AEA	30
AEA40	Nervu sistema implantetas injekcijas ierices sukna iznemsana 	AEA 40	A	E	A	 	4	0	AEA	40
AEA43	Intrakranialas injekcijas ierices katetra iznemsana	AEA 43	A	E	A	 	4	3	AEA	43
AEA44	Spinalas injekcijas ierices katetra iznemsana	AEA 44	A	E	A	 	4	4	AEA	44
AW	Reoperacijas nervu sistemas kirurgija 	AW	A	W						
AWA	Brucu malu paversanas (dehiscences) korekcija nervu sistemas kirurgija	AWA	A	W	A					
AWA00	Brucu malu paversanas (dehiscences) korekcija nervu sistemas kirurgija	AWA 00	A	W	A	 	0	0	AWA	00
AWB	Reoperacija nervu sistemas kirurgija virspusejas infekcijas del 	AWB	A	W	B					
AWB00	Reoperacija nervu sistemas kirurgija virspusejas infekcijas del 	AWB 00	A	W	B	 	0	0	AWB	00
AWC	Reoperacija nervu sistemas kirurgija dzilas infekcijas del 	AWC	A	W	C					
AWC00	Reoperacija nervu sistemas kirurgija dzilas infekcijas del	AWC 00	A	W	C	 	0	0	AWC	00
AWD	Reoperacija nervu sistemas kirurgija virspusejas asinosanas del 	AWD	A	W	D					
AWD00	Reoperacija nervu sistemas kirurgija virspusejas asinosanas del	AWD 00	A	W	D	 	0	0	AWD	00
AWE	Reoperacija nervu sistemas kirurgija dzilas asinosanas del	AWE	A	W	E					
AWE00	Reoperacija nervu sistemas kirurgija dzilas asinosanas del	AWE 00	A	W	E	 	0	0	AWE	00
AWW	Cita veida reoperacija nervu sistemas kirurgija	AWW	A	W	W					
AWW99	Cita veida reoperacija nervu sistemas kirurgija	AWW 99	A	W	W	 	9	9	AWW	99
B	Endokrina sistema	B	B							
BA	Vairogdziedzeris	BA	B	A						
BB	Epitelijkermenisi	BB	B	B						
BC	Virsnieres	BC	B	C						
BW	Reoperacijas endokrinaja kirurgija	BW	B	W						
BA	Vairogdziedzeris	BA	B	A						
BAA	Vairogdziedzeris	BAA	B	A	A					
BAA00	Vairogdziedzera biopsija	BAA 00	B	A	A	 	0	0	BAA	00
BAA05	Eksplorativa vairogdziedzera operacija	BAA 05	B	A	A	 	0	5	BAA	05
BAA10	Vairogdziedzera incizija	BAA 10	B	A	A	 	1	0	BAA	10
BAA20	Vairogdziedzera unilaterala daleja ekscizija	BAA 20	B	A	A	 	2	0	BAA	20
BAA25	Vairogdziedzera bilaterala daleja ekscizija	BAA 25	B	A	A	 	2	5	BAA	25
BAA30	Vairogdziedzera savienojuma (isthmus) ekscizija	BAA 30	B	A	A	 	3	0	BAA	30
BAA40	Vairogdziedzera unilaterala lobektomija	BAA 40	B	A	A	 	4	0	BAA	40
BAA50	Vairogdziedzera lobektomija un pretejas puses daivas rezekcija	BAA 50	B	A	A	 	5	0	BAA	50
BAA60	Totala tireoidektomija	BAA 60	B	A	A	 	6	0	BAA	60
BAA99	Cita veida vairogdziedzera operacija	BAA 99	B	A	A	 	9	9	BAA	99
BB	Epitelijkermenisi	BB	B	B						
BBA 	Epitelijkermenisi	BBA 	B	B	A	 				
BBA10	Epitelijkermenisu biopsija	BBA 10	B	B	A	 	1	0	BBA	10
BBA20	Eksplorativa epitelijkermenisu operacija 	BBA 20	B	B	A	 	2	0	BBA	20
BBA30	Epitelijkermenisu ekscizija	BBA 30	B	B	A	 	3	0	BBA	30
BBA40	Subtotala paratireoidektomija	BBA 40	B	B	A	 	4	0	BBA	40
BBA50	Totala paratireoidektomija	BBA 50	B	B	A	 	5	0	BBA	50
BBA70	Epitelijkermenisu implantacija vai transplantacija 	BBA 70	B	B	A	 	7	0	BBA	70
BBA99	Cita veida epitelijkermenisu operacija	BBA 99	B	B	A	 	9	9	BBA	99
BC	Virsnieres	BC	B	C						
BCA	Virsnieres	BCA	B	C	A					
BCA10	Virsnieres biopsija	BCA 10	B	C	A	 	1	0	BCA	10
BCA11	Laparoskopiska virsnieres biopsija	BCA 11	B	C	A	 	1	1	BCA	11
BCA15	Virsnieres incizija	BCA 15	B	C	A	 	1	5	BCA	15
BCA20	Virsnieres bojajuma ekscizija	BCA 20	B	C	A	 	2	0	BCA	20
BCA30	Unilaterala adrenalektomija	BCA 30	B	C	A	 	3	0	BCA	30
BCA31	Laparoskopiska unilaterala adrenalektomija	BCA 31	B	C	A	 	3	1	BCA	31
BCA40	Bilaterala adrenalektomija	BCA 40	B	C	A	 	4	0	BCA	40
BCA41	Laparoskopiska bilaterala adrenalektomija	BCA 41	B	C	A	 	4	1	BCA	41
BCA99	Cita veida virsnieres operacija	BCA 99	B	C	A	 	9	9	BCA	99
BD	Miega arterijas (karotidais) kermenitis	BD	B	D						
BDA	Miega arterijas (karotidais) kermenitis	BDA	B	D	A					
BDA10	Miega arterijas (karotida) kermenisa operacija	BDA 10	B	D	A	 	1	0	BDA	10
BW	Reoperacijas endokrinaja kirurgija	BW	B	W						
BWA	Bruces malu paversanas (dehiscences) korekcija endokrinaja kirurgija	BWA	B	W	A					
BWA00	Bruces malu paversanas (dehiscences) korekcija endokrinaja kirurgija	BWA00	B	W	A	0	0			
BWB	Reoperacija endokrinaja kirurgija virspusejas infekcijas del	BWB	B	W	B					
BWB00	Reoperacija endokrinaja kirurgija virspusejas infekcijas del	BWB00	B	W	B	0	0			
BWC	Reoperacija endokrinaja kirurgija dzilas infekcijas del	BWC	B	W	C					
BWC00 	Reoperacija endokrinaja kirurgija dzilas infekcijas del	BWC00 	B	W	C	0	0	 		
BWD	Reoperacija endokrinaja kirurgija virspusejas asinosanas del	BWD	B	W	D					
BWD00	Reoperacija endokrinaja kirurgija virspusejas asinosanas del	BWD00	B	W	D	0	0			
BWE	Reoperacija endokrinaja kirurgija dzilas asinosanas del	BWE	B	W	E					
BWE00	Reoperacija endokrinaja kirurgija dzilas asinosanas del	BWE00	B	W	E	0	0			
BWW	Cita veida reoperacijas endokrinaja kirurgija	BWW	B	W	W					
BWW99	Cita veida reoperacija endokrinaja kirurgija	BWW99	B	W	W	9	9			
C	Acs un tai piegulosas strukturas	C	C							
CA	Orbita	CA	C	A						
CAA	Orbitas punkcija, incizija un biopsija	CAA	C	A	A					
CAA00	Orbitas abscesa punkcija	CAA 00	C	A	A	 	0	0	CAA	00
CAA10	Eksplorativa priekseja orbitotomija	CAA 10	C	A	A	 	1	0	CAA	10
CAA20	Eksplorativa laterala orbitotomija	CAA 20	C	A	A	 	2	0	CAA	20
CAA30	Orbitas biopsija	CAA 30	C	A	A	 	3	0	CAA	30
CAB 	Orbitas bojajuma ekscizija 	CAB 	C	A	B	 				
CAB00	Priekseja orbitotomija ar bojajuma eksciziju	CAB 00	C	A	B	 	0	0	CAB	00
CAB10	Laterala orbitotomija ar bojajuma eksciziju	CAB 10	C	A	B	 	1	0	CAB	10
CAB40	Transkraniala orbitotomija ar bojajuma eksciziju	CAB 40	C	A	B	 	4	0	CAB	40
