Koodi 	S1
Selite	Sosiaalinen tutkimus sisältää edellä kuvatun arvion, mutta on sitä laajempi tai syvempi. Se tehdään osana moniammatillista työryhmätyötä, esimerkiksi osana B-lausuntoa tai muita kannanottoja varten, joilla on pitkäaikaiset vaikutukset potilaan tai hänen perheensä toimeentuloon, tai se edellyttää sitoutumista pitkäaikaisiin kuntoutussuunnitelmiin. Tutkimuksessa selvitetään potilaan voimavarat, muutosvalmius ja sosiaalisen tuen tarve sekä potilaan oma arvio tilanteesta, motivaatio ja valmius muutoksiin. Siinä arvioidaan kuntoutuksen tarve ja mahdollisuudet, uudelleen arvioinnin tarve ja seurataan edistymistä. Sosiaalinen tutkimus kytkee potilaan elämäntilanteen ja toimintamahdollisuudet yhteiskunnan todellisuuteen
Koodi 	S131
Nimike	Arvio sosiaalisen kuntoutuksen tarpeesta
Selite	Tehdään osana elämäntilanteen selvittelyä sosiaalisten tukiverkostojen ja palvelujen suunnittelua varten. Vrt. S241, S242. Arviossa voi riittää keskittyminen niihin ongelmiin, joissa tavoitellaan muutosta tai alueisiin, joissa halutaan luoda pysyvyyttä ja turvallisuutta. Esimerkiksi: nuorisopotilaiden, moniongelmaisten yksilöiden tai perheiden tilanteen tukemiseksi tehtävät, usein sosiaali- ja terveydenhuollon yhteistyönä laadittavat hoito-, kuntoutus- ja palvelusuunnitelmat.
Koodi 	S132
Nimike	Arvio työkyvystä ja/tai kuntoutuksen tarpeesta
Selite	Tehdään kuntoutussuunnitelmia varten, joita tarvitaan tiettyjä sosiaaliturvaetuja haettaessa. Arviossa voi riittää keskittyminen potilaan ja työelämän välisiin suhteisiin sekä kuntoutuksen ja ammatillisen kuntoutuksen tarpeen ja mahdollisuuksien selvittelyyn. Arvio työkyvystä ja kuntoutuksen tarpeesta edellyttää usein yhteistyöneuvotteluja (S242) työnantajan, työvoimatoimiston ja kuntoutuksen rahoittajan kanssa.
Koodi 	S140
Nimike	Sosiaalityöntekijän lausunto
Selite	Sosiaalinen arvio kirjataan sairauskertomukseen SOS-lehdelle. Sosiaalityöntekijä voi antaa omaan sosiaaliseen arvioonsa perustuvia lausuntoja tai yhteenvetoja eri asiayhteyksissä sosiaalitoimistoille, eläkelaitoksille, vakuutusyhtiöille, työvoimatoimistoille, asuntotoimistoille jne.
Koodi 	S190
Nimike	Muu sosiaalinen arvio
Selite	Muu sosiaalinen arvio voi liittyä erilaisiin asiayhteyksiin ja muotoutuu kysymyksen asettelun mukaisesti. Se voi olla laaja sosiaalinen tutkimus tai suppea, perusteellinen tiettyyn osa-alueeseen keskittyvä tutkimus. Esimerkkeinä sosiaalinen arvio huoltajuutta koskevia lausuntoja ja mielentilatutkimusta varten.
Koodi 	S2
Nimike	SOSIAALISEN TOIMINTAKYVYN TUKEMINEN
Selite	Tällä tarkoitetaan psyykkistä ja sosiaalista tukemista, tiedon ja välineiden antamista, potilaan avustamista sekä yhteistyön tekemistä potilaan omaisten ja viranomaisten kanssa, jotta potilaalla olisi mahdollisuus elämäntilanteensa hallintaan, tarvittavien ratkaisujen ja valintojen tekemiseen sekä arkielämässä selviytymiseen.
Koodi 	S210
Nimike	Psykososiaalinen työ
Selite	Sisältää sosiaalityöntekijän asiakkaan/potilaan elämäntilannetta jäsentävän ja tukea antavan (terapeuttisen) keskustelun sekä psykoterapian ja kuntouttavan valmennuksen.
Koodi 	S211
Nimike	Sosiaalityöntekijän keskustelu
Selite	Keskustelu perustuu vuorovaikutukseen ja siinä sovelletaan sosiaalityön menetelmiä. Keskustelussa jäsennetään asiakkaan elämäntilannetta. Siihen sisältyy sekä yksilön että perheen/läheisten kanssa käytävä keskustelu. Esimerkiksi: motivointi, vahvistaminen, kriisityö, potilaan tai omaisen tukeminen ja muu perhekeskeinen työ, verkostotyö, yllättävien onnettomuustilanteiden läpityöskenteleminen (debriefing, defusing), kasvatuksellinen keskustelu tms. Vrt. Viranomaisverkostot ovat yhteistyötä S240, S241, S242.
Koodi 	S212
Nimike	Psykoterapia
Selite	Psykoterapian tavoite on varsinaisen hoidon antaminen, mikä edellyttää antajalta erityistason tai vaativan (ylemmän) erityistason psykoterapiakoulutusta. Se sisältää sekä yksilö- että ryhmäpsykoterapian.
Koodi 	S213
Nimike	Psykososiaalinen valmennus
Selite	Psykososiaalinen valmennus on potilaan psyykkisten ja sosiaalisten edellytysten vahvistamista elämään sairauden tai vamman kanssa mahdollisimman täysipainoista elämää. Se voi valmentaa toimimaan myös vuorovaikutustilanteissa, perhe-, työ- ja muissa arkielämän yhteisöissä. Se voi tapahtua yksilöllisesti tai ryhmässä. Esimerkiksi: (varhais)kuntoutus-, sopeutumis- ja yhteisövalmennuskurssit tai kuntoutumista tukeva toiminta erilaisissa jälkipolikliinisissa, ensitieto- ja elämänhallintaryhmissä.
Koodi 	S219
Nimike	Muu psykososiaalinen työ
Selite	
Koodi 	S22
Nimike	Sosiaalista toimintakykyä tukeva ohjaus ja neuvonta
Selite	Potilaan tilanteeseen sovellettu tiedon antaminen sekä mahdollisuuksien ja ratkaisujen kartoittaminen. Neuvonta annetaan yleisneuvontana, yksittäisen asian yksilöllisenä neuvontana tai suuremman asiakokonaisuuden neuvontana. Sosiaalipoliittiset tavoitteet, lait ja sopimukset sekä sosiaaliturvan ja muiden etuisuuksien normitukset otetaan huomioon. Vrt. S3, jos kyseessä on suppeasti taloudellisen edun hakeminen ilman muuta sosiaalisen toimintakyvyn tukemisen tarvetta.
Koodi 	S221
Nimike	Yleisneuvonta
Selite	Yleisneuvonta liittyy esimerkiksi asumiseen, toimeentuloon, työhön, työttömyyteen, perheeseen, sosiaalisiin suhteisiin.
Koodi 	S222
Nimike	Sosiaaliturvaneuvonta
Selite	Sosiaaliturvaneuvonta on lakisääteiseen sosiaalivakuutukseen ja sosiaaliavustuksiin liittyvää neuvontaa ja ohjausta.
Koodi 	S223
Nimike	Sosiaalipalvelujen ohjaus ja neuvonta
Selite	Sosiaalipalvelujen neuvonta on sosiaalihuoltoon ja sosiaalipalveluun liittyvää neuvontaa ja ohjausta.
Koodi 	S224
Nimike	Kuntoutumista tukeva ohjaus ja neuvonta
Selite	Kuntoutujan kuntoutumiseksi ja kuntoutuksen edistämiseksi annettu tieto, ohjaus ja neuvonta tavoitteena toimintamahdollisuuksien lisääminen ja mahdollisimman itsenäiseen elämään tukeminen. Myös kuntoutujan perheen ja lähiyhteisön tukeminen kuntoutusprosessin turvaamiseksi. Esimerkiksi: tiedon antamista kuntoutusmahdollisuuksista ja -palveluista, sosiaaliturvasta ja taloudellista tuesta, (vrt. S314, jos kyse vain taloudesta),ohjausta palvelujen käyttöön sekä (työ)elämänhallintaa edistävä muu neuvonta.
Koodi 	S225
Nimike	Oikeusturvaneuvonta
Selite	Yksilön oikeusturvaan liittyvää neuvontaa, joka perustuu lainsäädäntöön sekä ohjaus asianmukaisten palvelujen käyttöön. Esimerkiksi avio/avoero- ja huoltajuuskysymyksissä, edunvalvojan, uskotun miehen, holhoojan hankkiminen potilaalle, testamenttiin ja perunkirjaan liittyvä neuvonta ja ohjaus, virka-apupyynnöt, virka-avun antaminen, rikoksen uhrin ohjaus ja neuvonta.
Koodi 	S226
Nimike	Vammaisten palveluihin liittyvä ohjaus ja neuvonta
Selite	Henkilökohtaisten palvelujen, tukitoimien, asumiseen ja elinympäristön hallintaan liittyvien muutostöiden neuvonta sekä ohjaus tarpeenmukaisiin erityispalveluihin.
Koodi 	S227
Nimike	Potilas- ja vapaaehtoisjärjestöjen toiminnasta tiedottaminen
Selite	Tiedon antaminen potilas- ja vapaaehtoisjärjestöjen toiminnasta sekä ohjaus niiden palvelujen ja materiaalisen avun piiriin (leipäjono, diakoniaraha-avustus).
Koodi 	S228
Nimike	Yksityisten sosiaali- ja terveyspalvelujen ohjaus ja neuvonta
Selite	Ohjaaminen yksityisen sektorin sosiaali- ja terveyspalveluihin tilanteessa, jossa asiakkaan/potilaan tulorajat ylittävät kunnallisiin palveluihin pääsemisen rajat tai hän itse on kiinnostunut kyseisistä palveluista.
Koodi 	S229
Nimike	Muu sosiaalista toimintakykyä tukeva ohjaus ja neuvonta
Selite	
Koodi 	S230
Nimike	Avustaminen
Selite	Avustaminen hakemusten ja valitusten teossa sekä muu välttämätön asioiden hoito silloin, kun se potilaalle itselleen on ylivoimaisen vaikeaa tai mahdotonta tai kun ei ole muita asian hoitajia.
Koodi 	S231
Nimike	Hakemukset, valitukset
Selite	Konkreettinen auttaminen hakemusten täyttämisessä, asioiden vireillepanossa sekä valitusten ja muutosvaatimusten teossa.
Koodi 	S239
Nimike	Muu avustaminen
Selite	Voi liittyä asunnon hankintaan, asuntohakemusten tekoon, pankkiasioiden tai laskujen maksuun tai muuhun välttämättömään asioiden konkreettiseen hoitoon potilaan elämäntilanteen järjestämiseksi.
Koodi 	S240
Nimike	Palvelujen koordinointi ja moniammatillinen yhteistyö
Selite	Potilaan itsenäisen ja omaehtoisen arkielämän tukemiseksi tehtävä palvelujen koordinointi ja moniammatillinen yhteistyö. Palvelujen järjestäjien ja tuottajien kanssa tehtävä yhteistyö sekä hoito- ja kuntoutussuunnittelutyöryhmiin osallistuminen.
Koodi 	S241
Nimike	Jatkohoidon ja sijoitusten koordinointi
Selite	Yhteistyö, neuvottelut tai työryhmiin osallistuminen, hoidon ja palveluiden jatkuvuuden turvaaminen, palveluiden koordinointi ja järjestelyt palvelujen tuottajien ja viranomaisten kanssa. Esimerkiksi vajaakuntoisen tai vanhuksen kotiuttaminen, päihdeongelmaisen avo- tai laitoshoidon koordinointi, lasten ja nuorten sijoitusten koordinointi ja järjestelyt, tukiasumisen, palveluasumisen ja pitkäaikaisen laitoshoidon koordinointi ja järjestely, kehitysvammaisten tukiasumisen järjestelyt.
Koodi 	S242
Nimike	Kuntoutukseen liittyvä yhteistyö
Selite	Moniammatillisiin hoito- ja kuntoutussuunnittelutyöryhmiin osallistuminen ja yhteistyö viranomaisten kanssa.
Koodi 	S249
Nimike	Muu ammatillinen yhteistyö
Selite	Muu kuin edellä kuvattu potilaan tilanteeseen liittyvä yhteistyö, verkostoituminen, verkostoneuvottelut sekä viranomaisten että epävirallisten yhteistyötahojen kanssa.
Koodi 	S250
Nimike	Potilaan oikeuksiin liittyvä tiedon antaminen, neuvonta ja yhteistyö
Selite	Tiedon antaminen ja neuvonta Suomen, EU-maiden ja muiden maiden kansalaisten oikeudesta Suomessa tapahtuvaan hoitoon, hoidon laajuuteen ja siihen liittyviin kustannuksiin. Neuvonta sisältää myös tietoa Suomessa asuvien oikeuksista hoitoon ulkomailla.
Koodi 	S290
Nimike	Muu sosiaalisen toimintakyvyn tukeminen
Selite	
Koodi 	S3
Nimike	TOIMEENTULON TURVAAMINEN
Selite	Toimeentulon turvaaminen on edellytysten luomista hoidon, toipumisen ja kuntoutuksen toteutumiselle. Välitön tavoite on potilaan välttämättömän taloudellisen toimeentulon turvaaminen, oikea-aikaisuus ja väliinputoamisen ehkäiseminen. Se on tiedottamista käytettävissä olevista potilaan tilanteeseen sovellettavista taloudellisista etuisuuksista. Neuvonta tapahtuu sosiaalipoliittisten tavoitteiden mukaisesti, lakeihin ja sopimuksiin perustuen, sosiaaliturvan ja muiden taloudellisten etujen normitusten mukaan.
Koodi 	S310
Nimike	Toimeentuloon liittyvä ohjaus ja neuvonta
Selite	Toimeentulon turvaaminen on taloudellisen avun hankkimista potilaalle osana sosiaaliturvaa, jolloin esimerkiksi sosiaalisen tilanteen yksilöllinen selvittely voi jäädä suppeaksi. Se sisältää taloudellisen ohjauksen ja neuvonnan silloin, kun toimeentuloon liittyviä asioita käsitellään yksittäisinä taloudellisina asioina irrallaan muusta sosiaalisen toimintakyvyn tukemisesta. Vrt. S2, S222, jos kyseessä on kokonaisuus, jonka tarkoituksena on sosiaalisen toimintakyvyn tukeminen.
Koodi 	S311
Nimike	Sosiaalivakuutukseen ja -avustukseen liittyvä ohjaus ja neuvonta osana sosiaaliturvaa
Selite	Tilanteen mukainen ohjaus ja neuvonta sairausvakuutus-, eläke- ja kuntoutusetuuksista ym.
Koodi 	S312
Nimike	Sosiaalihuoltoon ja -palveluihin liittyvä ohjaus ja neuvonta osana sosiaaliturvaa
Selite	Tarkoituksenmukainen ohjaus ja neuvonta viimesijaisen taloudellisen turvan saamiseen, esimerkiksi toimeentulotukeen ja sosiaalipalvelujen käyttöön.
Koodi 	S313
Nimike	Työsuhdeturvaan ja työttömyyteen liittyvä ohjaus ja neuvonta
Selite	Sairausajan palkkaturvaan ja työttömyyskorvauksiin ym. liittyvä neuvonta.
Koodi 	S314
Nimike	Kuntoutuksen rahoitukseen liittyvä ohjaus ja neuvonta
Selite	Kuntoutuksen rahoitukseen ja kuntoutusajan toimeentuloon liittyvä ohjaus ja neuvonta.
Koodi 	S315
Nimike	Potilas- ja lääkevahinkovakuutukseen liittyvä ohjaus ja neuvonta
Selite	Tiedon antaminen korvausperusteista ja ohjaus korvaushakemuksista.
Koodi 	S316
Nimike	Vakuutusturvaan liittyvä ohjaus ja neuvonta
Selite	Lakisääteisten liikenne-, tapaturma-, ammattitautivakuutusten korvausperusteiden ja mahdollisuuksien ohjaus ja neuvonta sekä vapaaehtoisiin vakuutuksiin liittyvä ohjaus ja neuvonta.
Koodi 	S319
Nimike	Muu toimeentulon turvaamiseen liittyvä ohjaus ja neuvonta
Selite	Asianmukaisten palvelujen neuvonta ja esimerkiksi sosiaalihuoltoa täydentävän vapaaehtoistoiminnan taloudellisen ja materiaalisen tuen piiriin ohjaaminen. Myös ulosotto-, vero- ja velkaneuvonta.
Koodi 	S320
Nimike	Toimeentulon turvaamiseen liittyvä yhteistyö
Selite	Viranomaisyhteistyö asiakkaalle/potilaalle kuuluvien etuisuuksien oikea-aikaisen ja viivytyksettömän ratkaisupäätöksen aikaansaamiseksi noudattaen lainmukaisia määräytymisperusteita ja normeja.
Koodi 	S321
Nimike	Viranomaisyhteistyö sosiaalietuuden saamiseksi
Selite	Yhteistyötä taloudellisen etuuden järjestymiseksi. Esimerkiksi: Kela, työeläkelaitokset, toimeentulotuki.
Koodi 	S322
Nimike	Asiakasmaksuharkinta, asiakasmaksupäätös
Selite	Asiakasmaksulain mukaiset selvitykset, harkinta ja päätökset ym.
Koodi 	S390
Nimike	Muu toimeentulon turvaaminen
Selite	Toimeentulon järjestäminen muulla tavoin.
Koodi 	S4
Nimike	ASIANTUNTIJA- JA KOULUTUSTEHTÄVÄT
Selite	Asiantuntijatyötä palvelujen ja (työ)yhteisöjen kehittämisessä sekä yhteiskunnallisessa vaikuttamisessa. Sosiaalityön asiantuntijuus perustuu (yliopisto)koulutukseen, ammattiin, asemaan, sekä paikallisten ja valtakunnallisten palvelujärjestelmien toiminnan ja kehittämissuunnitelmien tuntemukseen. Tässä tarkoitetut asiantuntijatehtävät eivät kohdennu rekisteröityyn asiakkaaseen/potilaaseen.
Koodi 	S410
Nimike	Asiantuntijatehtävät
Selite	
Koodi 	S411
Nimike	Asiantuntija omassa organisaatiossa
Selite	Asiantuntijana toimiminen omassa työyhteisössä. Konsultaatioiden antaminen kertaluonteisesti tai toistuvasti esimerkiksi tiimeissä tai työryhmissä. Epäsuoraa asiakastyötä, jota sosiaalityöntekijä tekee organisaation työryhmissä. Esimerkiksi: TYKY-työryhmät, työsuojelu. Ei koske potilaita, joista sosiaalityöntekijä tekee sosiaalisen arvion (S1).
Koodi 	S412
Nimike	Asiantuntija yhteistyöverkostoissa
Selite	Asiantuntijana toimiminen sosiaali- ja/tai terveydenhuollon työryhmissä ja asiakasyhteistyöryhmissä, joissa käsitellään yleisiä asioita, periaatteita tai asiakaspalvelua koskevia asioita. Jos asiakasyhteistyössä käsitellään sosiaalityöntekijän omia potilastapauksia, ne koodataan potilaskohtaisena yhteistyöneuvotteluna. Vrt. S24, S242.
Koodi 	S413
Nimike	Tiedotustoiminta
Selite	Organisaation sisäistä tiedottamista potilasryhmille ja henkilökunnalle sosiaaliturvasta, kuntoutusetuuksista, sosiaalipalvelujärjestelmistä sekä niiden muutoksista. Tiedotteiden ja esitteiden laatimista potilasryhmille. Vrt. S43 ulkoinen vaikuttaminen.
Koodi 	S414
Nimike	Yksilöimättömät asiakasryhmät
Selite	Asiakas/potilasryhmä, johon voi tulla ilmoittautumatta, jossa asiakkaita ei yksilöidä ja jossa sosiaalityöntekijä toimii alansa asiantuntijana yksin tai yhtenä työryhmän edustajana. Esimerkiksi: pahoinpideltyjen naisten ryhmät, alkoholiongelmaisten ryhmät.
Koodi 	S419
Nimike	Muut asiantuntijatehtävät
Selite	
Koodi 	S420
Nimike	Kouluttajatehtävät
Selite	
Koodi 	S421
Nimike	Kouluttajana toimiminen
Selite	Henkilöstöryhmien ja uusien työntekijöiden kouluttaminen ja perehdyttäminen omassa organisaatiossa tai asiantuntijana muissa organisaatioissa.
Koodi 	S422
Nimike	Työnohjaajana toimiminen
Selite	Yksilö-, ryhmä- tai hallinnollinen työnohjaus.
Koodi 	S423
Nimike	Opiskelijoiden ohjaus
Selite	Sosiaalityön opiskelijoiden työharjoittelun ohjaus tai käytännön opetus sekä muiden alojen opiskelijoiden tutustuttaminen sosiaalityön tehtäväalueeseen terveydenhuollossa.
Koodi 	S429
Nimike	Muut kouluttajatehtävät
Selite	
Koodi 	S430
Nimike	Yhteiskunnallinen vaikuttaminen
Selite	Paikallisella ja valtakunnallisella tasolla neuvotteleminen ja muu yhteistyö palautteen antamiseksi työssä kertyvän tiedon perustella sosiaaliturva- ja palvelujärjestelmien epäkohdista ja väliinputoamisista sekä aloitteiden teko tilanteiden korjaamiseksi.
Koodi 	S490
Nimike	Muut asiantuntija- ja koulutustehtävät
Selite	
Koodi 	S9
Nimike	HALLINTO JA KEHITTÄMINEN
Selite	Sosiaalityön henkilöstöresursseista, ammattitaidosta ja toimintaedellytyksistä huolehtiminen sekä laadunhallintaan ja kehittämistyöhön osallistuminen.
Koodi 	S910
Nimike	Toimialahallinto
Selite	Hallinnolliset tehtävät.
Koodi 	S911
Nimike	Henkilöstöhallinto
Selite	Henkilöstöresurssien suunnittelu ja kehittäminen.
Koodi 	S912
Nimike	Toiminnan ja talouden suunnittelu ja seuranta
Selite	Toimintasuunnitelmat ja -kertomukset, talousarvion vaatimat neuvottelut, sisäisten palvelujen osto/myyntineuvottelut, palvelujen tuotteistus, kustannuslaskenta ja hinnoittelu.
Koodi 	S913
Nimike	Tiedottaminen
Selite	Organisaation sisäinen hallinnollinen tiedottaminen henkilöstöhallintoon tai työnteon puitteisiin liittyvien lakien, säädösten ja palvelukäytäntöjen muutoksista, joilla on vaikutusta sosiaalityön tekemiseen.
Koodi 	S919
Nimike	Muu toimialahallinto
Selite	
Koodi 	S920
Nimike	Jatkuva ammatillinen kouluttautuminen
Selite	Jatkuvan ammatillisen tiedon ja taidon sekä muun työssä tarvittavan tiedon ja osaamisen ylläpitäminen ja kehittäminen.
Koodi 	S921
Nimike	Koulutus
Selite	Osallistuminen organisaation sisäiseen ja /tai ulkopuoliseen täydennyskoulutukseen kattaen teoreettiset, tiedolliset ja taidolliset koulutukset tai osallistuminen ammatillisiin ja tieteellisiin jatkokoulutuksiin.
Koodi 	S922
Nimike	Työnohjaus
Selite	Osallistuminen sosiaalityön, työyhteisön tai psykoterapian yksilö- tai ryhmätyönohjaukseen.
Koodi 	S929
Nimike	Muu ammatillinen kouluttautuminen
Selite	Muiden toimintatapoihin tutustuminen, vierailut, opintokäynnit, neuvottelut, konferenssit jne.
Koodi 	S930
Nimike	Tutkimus, kehittäminen ja laadunhallinta
Selite	Osallistuminen tutkimus- ja kehittämishankkeisiin, tietotuotantoon ja laatutyöhön.
Koodi 	S931
Nimike	Laadunhallinta
Selite	Osallistuminen moniammatillisten hoito-, palvelu- ja verkostoketjujen laadunhallintaprojekteihin. Sosiaalityön palvelujen laadun suunnittelu, varmistaminen ja jatkuva parantaminen. Osallistuminen organisaation laadunhallintamenetelmien kehittämiseen.
Koodi 	S932
Nimike	Tutkimus- ja kehittämisprojektit
Selite	Osallistuminen sosiaalityön tutkimus- ja kehittämishankkeisiin sekä terveydenhuollon muihin tutkimushankkeisiin.
Koodi 	S990
Nimike	Muu hallinto ja kehittäminen
Selite	
