Koodi 	F1
Selite	Manuaalisessa terapiassa on pääpaino on asiakkaan hermo-, lihas- ja niveltoimintojen tutkimisessa, niiden vaurioiden ja toimintahäiriöiden korjaamisessa sekä ennaltaehkäisyssä. Tutkimus- ja terapiamenetelminä käytetään pehmytkudoksen ja nivelen mobilisointia, nivelen manipulointia ja hermo- eli neuraalikudoksen mobilisointia. Terapian tavoitteena on vaikuttaa nivelten toimintaan, lievittää kipua ja normalisoida neuraalikudoksen ja lihaksen toimintaa. Manuaaliseen terapiaan yhdistetään usein asiakkaan oma harjoittelu. Kohtaa F230 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F231 - F235) ei haluta tarkemmin täsmentää.
Koodi 	F231
Nimike	Pehmytosakäsittely
Selite	Lihaksen ja siihen liittyvien rakenteiden käsittelyä. Sisältää neuraalikudoksen mobilisoinnin, klassisen hieronnan sekä erityiskäsittelyjä, kuten nestekiertoa edistävän käsittelyn.
Koodi 	F232
Nimike	Nivelen mobilisointi ja stabilointi
Selite	Mobilisoinnissa pyritään liikelaajuuksien lisäämiseen rauhallisin liikkein koko liikeradalla tai sen osalla. Liike tapahtuu kivun sallimissa rajoissa. Stabiloinnin tavoitteena on palauttaa esimerkiksi yliliikkuvan nivelen ja sitä ympäröivien kudosten optimaalinen toiminta.
Koodi 	F233
Nimike	Nivelen manipulointi
Selite	Niveleen kohdistuvaa käsittelyä, jossa niveltä nopeasti liikutetaan lyhyellä liikeradalla tavoitteena saattaa nivelen liike normaaliksi ja lievittää kipua.
Koodi 	F240
Nimike	Fysikaalinen terapia
Selite	Mekaniikan, lämmön, valon, sähkön ym. fysikaalisten vaikutusten hyväksikäyttöä terapiassa kivun lievittämiseksi, aineenvaihdunnan parantamiseksi sekä pehmytkudoksen venyvyyden ja rentouden lisäämiseksi ja ylläpitämiseksi. Voi sisältää myös muita kuin kohdissa F241 - F242 nimettyjä fysikaalisen terapian muotoja, kuten veto-, inhalaatio- ja painepussihoitoja, erilaisia valo- ja vesihoitoja sekä fysioterapeutin antaman akupunktiohoidon. Kohtaa F240 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F241 - F242) ei haluta tarkemmin määrittää.
Koodi 	F241
Nimike	Termiset hoidot
Selite	Sisältää pintalämpöhoidot (esim. lämpölamput ja -pakkaukset), syvälämpöhoidot (esim. UKW- tai ultraäänihoidot) sekä kylmähoidot (esim. kylmäpakkaukset).
Koodi 	F242
Nimike	Sähköhoidot
Selite	Sisältää muun muassa kivun lievitykseen sekä lihashermo- tai muiden kudosten aktivointiin tarkoitetut sähköhoidot.
Koodi 	F290
Nimike	Muu fysioterapian ohjaus- ja terapiakäytäntö
Selite	
Koodi 	F3
Nimike	ELINYMPÄRISTÖSSÄ JA TYÖSSÄ SELVIYTYMISTÄ TUKEVA FYSIOTERAPIA
Selite	
Koodi 	F310
Nimike	Liikkumis- ja toimintakykyä tukevat apuvälinepalvelut
Selite	Asiakkaan tukemista mahdollisimman itsenäiseen liikkumiseen ja selviytymiseen apuvälineiden avulla. Fysioterapiassa käytettyjä apuvälineitä ovat liikkumiskyvyn heikentymisen tai toimintakyvyn muiden puutteiden lieventämiseen tai korvaamiseen tarkoitetut välineet ja laitteet, kuten yksilöllisesti valmistetut tuet, kävelyn apuvälineet, pyörätuolit ym. Sisältää arviointia, neuvontaa, käytön ohjausta ja harjoittelua. Voi sisältää myös muita kuin kohdissa F311 - F314 määriteltyjä apuvälinepalveluja, kuten apuvälineen muutostöitä. Kohtaa F310 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F311 - F314) ei haluta tarkemmin määrittää.
Koodi 	F311
Nimike	Apuvälinetarpeen arviointi, suunnittelu, seuranta
Selite	Sisältää apuvälinetarpeen arvioinnin, johtopäätökset sekä suunnitelman tai suosituksen siitä, millaista apuvälinettä asiakas tarvitsee ja mihin tarkoitukseen. Sisältää myös seurannan siitä, miten suunnitelmat ovat toteutuneet ja vastasiko apuväline asiakkaan tarvetta.
Koodi 	F312
Nimike	Apuvälineen valinta ja hankinta
Selite	Sisältää apuvälineen valinta- ja hankintaprosessiin liittyvät tehtävät, mahdollisen sovituksen ja kokeilun sekä kokeilun perusteella tehdyn suosituksen. Sisältää myös lastojen, tukien ja muiden apuvälineiden valmistamisen ja siihen liittyvän sovituksen tarvittaessa yhteistyössä muiden asiantuntijoiden kanssa.
Koodi 	F313
Nimike	Apuvälineen lainaus, käytön ohjaus ja harjoittaminen
Selite	Sisältää apuvälineen luovuttamisen lyhyt- tai pitkäaikaiseen käyttöön sekä luovutukseen liittyvän rekisteröinnin ja tarvittavan käytön opastuksen tai käytön harjoittamisen.
Koodi 	F314
Nimike	Apuvälineen korjaus- ja huoltotehtävät
Selite	Sisältää pienet korjaus-, säätö- ja huoltotehtävät erityistilanteissa.
Koodi 	F320
Nimike	Asumista ja elinympäristössä selviytymistä tukevat palvelut
Selite	Asiakkaan tai kuntoutujan asunnossa, koulussa ja muussa elinympäristössä selviytymisen arviointia yhteistyössä asiakkaan sekä tarvittaessa omaisten ja lähiyhteisön kanssa. Arviointi voidaan tehdä yhdessä muiden alojen asiantuntijoiden kanssa. Kohtaa F320 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F321 - F323) ei haluta tarkemmin määrittää
Koodi 	F321
Nimike	Arvio elinympäristössä selviytymisestä
Selite	Sisältää arvion ja mahdollisen suosituksen asuin- ja elinympäristössä tarvittavista muutostöistä. Yhteistyötä tehdään tarpeen mukaan muiden asiantuntijoiden kanssa. Arvion pohjana on usein asiakkaan toimintakyvyn edellytysten arviointi (F121).
Koodi 	F322
Nimike	Elinympäristön muutostyöt
Selite	Sisältää tarvittavien yksinkertaisten muutostöiden tekemisen ja seurannan sekä osallistumisen asiantuntijana laajempien muutostöiden toteutukseen ja tuloksen arviointiin.
Koodi 	F323
Nimike	Ympäristön hallintaa tukevat palvelut
Selite	Sisältää ympäristönhallintalaitteiden ja muiden vaativan teknologian laitteiden hankintaan ja käyttöön liittyvää asiantuntijatyötä.
Koodi 	F330
Nimike	Työssä selviytymistä tukevat fysioterapiapalvelut
Selite	Työtekijään ja työhön liittyvien, työkykyä edistävien ja ylläpitävien tekijöiden arviointia sekä niihin vaikuttamista muun muassa työntekijän omia voimavaroja vahvistavien ja jaksamista lisäävien toimien ja/tai työoloja sekä työympäristöä korjaavien toimien avulla. Kohtaa F330 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F331 - F333) ei haluta tarkemmin määrittää
Koodi 	F331
Nimike	Arvio työssä selviytymisestä
Selite	Työntekijän työssä selviytymisen arviointia fysioterapeuttisen tutkimisen ja arvioinnin avulla (F120) sekä työolosuhteiden arviointia (esim. työpaikkakartoitus, ergonomiaselvitys) yhteistyössä muiden asiantuntijoiden kanssa.
Koodi 	F332
Nimike	Ennaltaehkäisevät ja korjaavat toimenpiteet
Selite	Työntekijän työssä selviytymistä ja työkykyä edistävää sekä työkyvyn alenemista ehkäisevää toimintaa mukaan lukien myös työpaikalla tapahtuvan korjaavan toiminnan yhteis-työssä muiden asiantuntijoiden kanssa.
Koodi 	F390
Nimike	Muut elinympäristössä ja työssä selviytymistä tukevat fysioterapiapalvelut
Selite	
Koodi 	F4
Nimike	ASIAKASTYÖHÖN LIITTYVÄ MUU FYSIOTERAPIA
Selite	
Koodi 	F410
Nimike	Tiedonhankinta
Selite	Asiakkaan asiakirjoihin perehtymistä, fysioterapian ja kuntoutuksen toteutuksen kannalta tarpeelliseen kirjallisuuteen tutustumista sekä yhteydenpitoa lähettävään lääkäriin, terveydenhoitajaan, fysioterapeuttiin tai muihin asiakkaan palveluverkoston jäseniin. Tiedonhankinta tapahtuu asiakkaan fysioterapian ja kuntoutuksen suunnittelua sekä arviointia varten.
Koodi 	F420
Nimike	Dokumentointi
Selite	Fysioterapiatietojen kirjaamista ja tallentamista erilaisiin asiakirjoihin tai muuta asiakasdokumenttien laatimista. Sisältää myös fysioterapian toteutuksen tai tutkimisen dokumentoinnin käyttäen hyväksi videointia, valokuvaamista tai muunlaista tietotekniikkaa. Tavoitteena on tallentaa tietoa asiakkaan tilanteesta fysioterapian suunnittelua, arviointia ja kehittämistä varten. Kohtaa F420 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F421 - F322) ei haluta tarkemmin määrittää.
Koodi 	F421
Nimike	Kirjaaminen potilas/asiakasasiakirjoihin
Selite	Asiakkaan tilan ja tilanteen sekä fysioterapian tavoitteiden ja toteutumisen päivittäistä, viikoittaista tai vastaavan tyyppistä kirjaamista ja tallentamista asiakkaan asiakirjoihin (sairaus- ja terveyskertomus, potilaskortti ym.).
Koodi 	F422
Nimike	Fysioterapiapalautteen tai lausunnon laatiminen
Selite	Erillisen palautteen tai lausunnon kirjoittaminen fysioterapian toteutumisesta lähettävälle taholle tai muun erillisen selvityksen laatiminen fysioterapian kulusta ja tuloksista. Voidaan myös laatia, usein pyynnöstä, erillinen lausunto, joka voi koskea asiakkaan toimintakykyä, selviytymistä elinympäristössä tai muuta yksittäistä ongelmaa.
Koodi 	F430
Nimike	Moniammatillinen yhteistyö
Selite	Eri alojen asiantuntijoiden sekä asiantuntijatahojen kanssa tehtävää yhteistyötä tavoitteena toteuttaa asiakkaan kannalta paras mahdollinen hoito, hoiva, kuntoutus tai muu palvelu. Yhteistyötä tehdään tiimeissä ja työryhmissä, palveluverkostoissa, palveluketjuissa sekä erilaisissa projekteissa. Sisältää myös videoneuvottelut ja muut tietotekniikkaa hyödyntävät yhteistyötavat. Eri asiantuntijoiden osaaminen voidaan yhdistää palveluja suunniteltaessa, niitä arvioitaessa ja niitä toteutettaessa. Kohtaa F430 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F431 - F324) ei haluta tarkemmin määrittää
Koodi 	F431
Nimike	Yhteistyö asiakkaan hoidossa
Selite	Osallistuminen yhteisen asiakkaan hoidon, hoivan tai muun palvelun suunnitteluun (esim. hoito- ja / tai palvelusuunnitelmaneuvottelut), arviointiin ja muuhun yhteistyöhön.
Koodi 	F432
Nimike	Kuntoutuksen suunnitteluun osallistuminen
Selite	Osallistuminen yhteisen asiakkaan asioita käsittelevän kuntoutustyöryhmän tai asiakasyhteistyöryhmän työskentelyyn sekä kuntoutussuunnitelman laatimiseen ja suunnitelman toteutumisen seurantaan.
Koodi 	F433
Nimike	Jatkofysioterapian järjestäminen
Selite	Yhteydenotot jatkohoidon toteuttavaan yksikköön, kollegaan tai muuhun tarvittavaan tahoon muun muassa saumattoman palveluketjun varmistamiseksi asiakkaalle.
Koodi 	F434
Nimike	Fysioterapia osana moniammatillista ohjausta tai terapiaa
Selite	Terapiajakso, ohjaus tai muu palvelu, joka toteutetaan yhdessä toista ammattialaa edustavan terapeutin tai yhdessä muiden ammattihenkilöiden kanssa. Fysioterapeutti voi myös suunnitella ja/tai vetää yhdessä toista alaa edustavan asiantuntijan kanssa tietyn kurssin tai ryhmän (esimerkiksi sopeutumisvalmennuskurssi).
Koodi 	F440
Nimike	Fysioterapeutin konsultaatio
Selite	Fysioterapeutin antamaa asiantuntija-apua kollegalle tai toisen ammattialan edustajalle tietyn, yksittäisen asiakkaan fysioterapiaan ja kuntoutukseen liittyvissä kysymyksissä.
Koodi 	F490
Nimike	Muu asiakastyöhön liittyvä fysioterapia
Selite	
Koodi 	F5
Nimike	ASIANTUNTIJA- JA KOULUTUSTEHTÄVÄT
Selite	
Koodi 	F510
Nimike	Asiantuntijana toimiminen
Selite	Oman alan asiantuntijana toimimista omassa organisaatiossa ja yhteistyöverkostossa. Sisältää myös fysioterapeutin konsultaation, joka ei koske yksittäistä asiakasta, sosiaali- ja terveyspoliittiseen keskusteluun osallistumisen fysioterapian ja kuntoutuksen näkökulmasta sekä vaikuttamisen epäkohtien korjaamiseksi. Sisältää niinikään asiantuntijana toimimisen oman organisaation hankkeissa sekä fysioterapian tai muiden alojen valtakunnallisissa projekteissa sekä kehittämisohjelmissa.
Koodi 	F520
Nimike	Koulutustehtävät
Selite	Kouluttajana ja työhön opastajana toimimista sekä muun henkilökunnan ohjaajana toimimista. Kohtaa F520 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F521 - F523) ei haluta tarkemmin määrittää
Koodi 	F521
Nimike	Kouluttajana toimiminen
Selite	Kertaluontoisten luentojen, koulutuspäivien tai muun koulutuksen suunnittelua, toteutusta ja arviointia. Koulutus voi kohdentua sosiaali- ja terveydenhuollon henkilöstölle, eri alojen opiskelijoille, järjestöille tai muille yhteistyökumppaneille.
Koodi 	F522
Nimike	Työn ohjaus ja opastus sekä perehdytystehtävät
Selite	Uusien työntekijöiden tai työhön palaavien työhön opastusta ja perehdyttämistä. Voi sisältää myös toimimisen ohjaajana kokemattomammille kollegoille tai kollegaryhmälle tavoitteena ammattitiedon ja -taidon syventäminen. Sisältää myös vierailuryhmien ym. opastuksen (katso myös F950).
Koodi 	F523
Nimike	Muun henkilökunnan ohjaus
Selite	Muulle henkilökunnalle annettavaa ohjausta asiakkaan liikkumisen avustamisessa, asentohoidossa sekä kuntoutumista edistävän työtavan omaksumisessa (katso myös F213).
Koodi 	F530
Nimike	Opiskelijoiden ohjaus
Selite	Sosiaali- ja terveydenhuollon sekä muiden alojen opiskelijoiden tai harjoittelijoiden ohjaamista ja opettamista. Kohtaa F530 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F531 - F532) ei haluta tarkemmin määrittää.
Koodi 	F531
Nimike	Fysioterapiaopiskelijoiden ohjaus
Selite	Sisältää fysioterapiaopiskelijoiden käytännön harjoittelun suunnittelun ja järjestämisen sekä opiskelijoiden ohjauksen ja arvioinnin.
Koodi 	F532
Nimike	Muiden opiskelijoiden ohjaus ja opastus
Selite	Sisältää muiden sosiaali- ja terveydenhuollon opiskelijoiden, harjoittelijoiden ja koululaisten opastuksen ja ohjauksen.
Koodi 	F540
Nimike	Kirjallisen aineiston tuottaminen
Selite	Fysioterapian asiantuntijuuteen perustuvaa toimintaa, joka sisältää eri tyyppistä kirjoitustyötä ja kirjallisen ja visuaalisen aineiston tuottamista. Kohtaa F540 voidaan käyttää omana toimenpideluokkanaan silloin, kun kohteita (F541 - F542) ei haluta tarkemmin määrittää
Koodi 	F541
Nimike	Fysioterapia-aineiston tuottaminen
Selite	Sisältää terveyttä edistävän, eri asiakasryhmille tai väestölle tarkoitetun fysioterapia-aineiston tuottamisen. Voidaan tuottaa myös yleisiä harjoittelu- tai muita ohjeita eri potilasryhmille tai muuta sellaista materiaalia, jota ei ole laadittu yksilöllisesti yksittäisen asiakkaan tarpeisiin (vrt F214).
Koodi 	F542
Nimike	Julkaisujen, artikkelien ja raporttien kirjoittaminen
Selite	Sisältää ammattilehtiin, julkaisuihin tai muuhun tarkoitukseen laadittavan kirjallisen aineiston tuottamisen. Sisältää myös tutkimusten ja selvitysten raportoinnin sekä muun julkistamisen, kuten posteriesityksen laatimisen.
Koodi 	F590
Nimike	Muut asiantuntija- ja koulutustehtävät
Selite	
Koodi 	F9
Nimike	HALLINTO JA KEHITTÄMINEN
Selite	
Koodi 	F910
Nimike	Hallinnolliset tehtävät
Selite	Fysioterapiayksikön toiminnan ja talouden suunnitteluun, organisointiin ja seurantaan sekä henkilöstöhallintoon liittyviä tehtäviä. Sisältää muun muassa henkilöstön työ- ja koulutussuunnitelmien, toimintasuunnitelman ja toimintakertomuksen laatimisen sekä tilastoinnin. Hallinnollisiin tehtäviin kuuluu myös esimerkiksi hankintoihin osallistuminen ja tarjouspyyntöjen laatiminen.
Koodi 	F920
Nimike	Kouluttautuminen
Selite	Osallistumista työpaikalla ja sen ulkopuolella tapahtuvaan täydennys- ja jatkokoulutukseen sekä työssä ja ammatissa kehittymiseen tähtäävään muuhun toimintaan.
Koodi 	F930
Nimike	Tutkimus- ja kehittämistyö
Selite	Osallistumista fysioterapiayksikön omiin sisäisiin tutkimus- ja/tai kehittämishankkeisiin tai muihin selvitystöihin tai niiden vetämiseen. Sisältää työyhteisön kehittämiseen liittyvän toiminnan. Myös oman tutkimustyön tai kehittämishankkeen toteuttaminen. (vrt. F510).
Koodi 	F940
Nimike	Laadunhallinta
Selite	Fysioterapiayksikön laadun jatkuvaa ja systemaattista parantamista sekä varmistamista. Sisältää muun muassa asiakaspalautteen hankkimisen ja hyödyntämisen, fysioterapian keskeisten palveluprosessien kuvaamisen ja arvioinnin sekä tarvittavien parannusten toteuttamisen, laatukriteerien laatimisen, itsearvioinnin, vertaisarvioinnin, sisäisen ja ulkoisen arvioinnin sekä niihin valmistautumisen ja fysioterapian toimintajärjestelmän dokumentoinnin / laatujärjestelmän luomisen.
Koodi 	F950
Nimike	Markkinointi ja tiedottaminen
Selite	Fysioterapian palveluvalikoiman ja palveluiden määrittämistä, kustannusten arviointia ja palvelujen hinnoittelua tavoitteena tarjolla olevien palvelujen markkinointi ja palveluista tiedottaminen. Sisältää muun muassa kirjallisten, audiovisuaalisten tai www -sivuille tarkoitettujen fysioterapiaesitteiden laatimisen, asiakas- ja sidosryhmäselvitysten tekemisen, palvelujen tuotteistamisen sekä yksikön palvelujen esittelemisen muulla tavoin (avoimet ovet, muut PR -tilaisuudet).
Koodi 	F990
Nimike	Muu hallinto ja kehittäminen
Selite	
