Koodi 	P1
Selite	Asiakkaan ohjaus, neuvonta tai tukeminen liittyen asiakkaan kommunikaatiohäiriöön. Ohjaus koskee kommunikointiin liittyviä asioita, esim. tuetaan asiakkaan toimivien tai terapiassa omaksuttujen taitojen siirtymistä jokapäiväiseen käyttöön. Ohjaus voi myös liittyä kuntoutuksen jatkotoimenpiteisiin.
Koodi 	P320
Nimike	Perheen, omaisten, yhteisön, henkilökunnan puheterapeuttinen ohjaus/neuvonta
Selite	Ohjaus/neuvontatilanteessa kerrotaan asiakkaan kommunikaatiohäiriön luonteesta ja sen seurauksista asiakkaan kommunikointiin. Ohjataan toimivien kommunikointimenetelmien käyttöä. Läheisiä ja toimintaympäristössä työskenteleviä henkilöitä ohjataan tarvittaessa ja mahdollisuuksien mukaan osallistumaan kuntoutukseen.
Koodi 	P330
Nimike	Puhelimessa annettu, hoitoon liittyvä puheterapeuttinen ohjaus/neuvonta
Selite	Sisältö kuten kohdissa 31-32.
Koodi 	P390
Nimike	Muu tai tarkemmin määrittämätön puheterapeuttinen ohjaus/neuvonta
Selite	
Koodi 	P4
Nimike	Puheterapian apuvälinepalvelut
Selite	Jos puheella kommunikointi ei ole mahdollista tai puhekommunikointi on erittäin vaikeaa, tarvitsee asiakas puhetta tukevia ja korvaavia kommunikointimenetelmiä. Menetelmien omaksuminen, kehittäminen ja rakentaminen tapahtuu terapiassa ja niiden käyttämiseen tarvitaan usein apuvälineitä. Tarvittaessa asiakkaalle valitaan, suunnitellaan, valmistetaan tai hankitaan puhetta tukevan tai korvaavan kommunikoinnin mahdollistava apuväline tai apuvälineitä.
Koodi 	P410
Nimike	Kommunikaatioapuvälinetarpeen arviointi
Selite	Puhetta tukevan tai korvaavan (ei esim. kuulolaite) kommunikaatiovälineen tarpeen arviointi, sovitus, kokeilu ja valinta.
Koodi 	P420
Nimike	Kommunikaatioapuvälineen suunnittelu/valmistaminen/hankinta
Selite	Koskee puhetta tukevaa tai korvaavaa kommunikaatioapuvälinettä.
Koodi 	P430
Nimike	Kommunikaatioapuvälineen käytön ohjaus ja seuranta
Selite	Puhetta tukevan tai korvaavan kommunikaatioapuvälineen käytön ohjaus niissä tapauksissa, joissa se ei suoraan liity terapiaan. Kommunikaatioapuvälineen käytön harjoittelu liittyy usein yksilöterapiaan, jossa rakennetaan puhetta tukeva tai korvaava kommunikointimenetelmä ja menetelmän käyttöön tarvitaan apuväline/apuvälineitä.
Koodi 	P490
Nimike	Muut tai tarkemmin määrittämättömät puheterapian apuvälinepalvelut
Selite	
Koodi 	P5
Nimike	Muu asiakkaaseen liittyvä puheterapeutin työ
Selite	Tutkimukseen ja terapiaan kuuluu huolellinen valmistautuminen ja suunnittelu. Lisäksi tutkimustuloksia ja terapiaa dokumentoidaan asiakaskohtaisesti seurantaa ja laadunvarmistusta varten.
Koodi 	P510
Nimike	Puheterapeuttisen tutkimuksen suunnittelu ja valmistelutyöt
Selite	Esitietojen hankkiminen, tutkimusmenetelmän, testien ym. materiaalin sekä tilojen valinta.
Koodi 	P520
Nimike	Puheterapian suunnittelu ja seuranta
Selite	Terapian ja toimenpiteiden suunnittelu, valmistelu ja seuranta valitun teorian ja meneillään olevan kuntoutusvaiheen mukaisesti.
Koodi 	P530
Nimike	Kuntoutusmateriaalin suunnittelu ja valmistaminen
Selite	Terapiamateriaalin valmistaminen.
Koodi 	P540
Nimike	Puheterapeuttisen tutkimuksen ja puheterapian dokumentointi
Selite	Tutkimuksen sekä terapian sisällön, toimenpiteiden, edistymisen jne. dokumentointi seurantaa varten.
Koodi 	P550
Nimike	Lausunnot ja palautteet
Selite	Puheterapeutin lausunnot tutkimustuloksista, terapiapalautteet ja muut lausunnot esim. liitteeksi kuntoutussuunnitelmaan, päiväkotihakemukseen, sopeutumisvalmennuskurssille jne.
Koodi 	P560
Nimike	Jatkokuntoutuksen suunnittelu ja järjestelyt
Selite	Jatkokuntoutuksen järjestäminen.
Koodi 	P590
Nimike	Muu tai tarkemmin määrittämätön asiakkaaseen liittyvä puheterapeutin työ
Selite	
Koodi 	P6
Nimike	Puheterapeuttinen konsultaatio
Selite	Konsultaatiossa puheterapeutti vastaa toisen asiantuntijan kysymykseen, joka liittyy puheterapiaan ja koskee tiettyä asiakasta.
Koodi 	P610
Nimike	Puheterapeuttinen konsultaatio asiakkaan kommunikaatiohäiriöön liittyvässä asiassa
Selite	Esimerkiksi päiväkodin henkilöstön, hoitohenkilökunnan tai kommunikaatioympäristössä työskentelevien ihmisten pyytämä konsultaatio.
Koodi 	P620
Nimike	Asiantuntijana toimiminen kuntoutuksen suunnittelussa
Selite	Päiväkodissa, koulussa, työryhmässä jne. toimiminen ja kuntoutuksen suunnitteluun osallistuminen.
Koodi 	P630
Nimike	Puheterapeuttinen konsultaatio puhevammaisten tulkkipalveluasioissa
Selite	
Koodi 	P690
Nimike	Muu tai tarkemmin määrittämätön puheterapeuttinen konsultaatio
Selite	
Koodi 	P7
Nimike	Puheterapeutin osuus moniammatillisessa yhteistyössä
Selite	Mikäli puhe- ja kommunikaatiohäiriö liittyy johonkin laajempaan sairauteen tai vammaan, asiakkaan kuntoutussuunnitelman tekeminen ja kuntoutus toteutetaan moniammatillisesti eli eri asiantuntijoiden kanssa yhteistyössä.
Koodi 	P710
Nimike	Puheterapeutin osuus kuntoutussuunnitelman laatimisessa tai kuntoutuspalaverissa
Selite	Kuntoutustyöryhmän työhön osallistuminen.
Koodi 	P720
Nimike	Puheterapeutin osuus yhteistyökokouksissa
Selite	
Koodi 	P730
Nimike	Puhelinneuvottelut
Selite	Yhteydenotot eri asiantuntijoihin ja yhteistyötahoihin asiakkaan tutkimuksista ja/tai kuntoutuksesta.
Koodi 	P790
Nimike	Muu tai tarkemmin määrittämätön moniammatillinen yhteistyö
Selite	
Koodi 	P8
Nimike	Puheterapeutin asiantuntijatehtävät
Selite	Puheterapeutti toimii oman alansa asiantuntijana, tiedottajana ja kouluttajana omassa organisaatiossaan ja sen ulkopuolella.
Koodi 	P810
Nimike	Puheterapeutin kouluttajatehtävät
Selite	Muun ammattihenkilökunnan kouluttaminen ja työnohjaus, opiskelijoiden ohjaus (logopedian ja muiden alojen opiskelijat)
Koodi 	P820
Nimike	Puheterapian ennaltaehkäisevä tehtävä
Selite	Tiedottamista, koulutusta ja perehdyttämistä sekä tiedotusmateriaalin tuottamista (esim. alueen päättäjät, terveydenhuollon henkilöstö). Toiminta tähtää puheterapeuttisten ongelmien ehkäisyyn.
Koodi 	P890
Nimike	Muut tai tarkemmin määrittämättömät puheterapeutin asiantuntijatehtävät
Selite	
Koodi 	P9
Nimike	Hallinto ja kehittäminen
Selite	Puheterapeutin tulee olla tietoinen organisaation hallinnosta ja toiminnan kehittämisestä. Joissakin organisaatioissa on vastaava/johtava puheterapeutti, jonka toimenkuvaan hallinnolliset tehtävät kuuluvat. Puheterapeutin on ylläpidettävä ammatillista osaamistaan muun muassa osallistumalla täydennyskoulutukseen. Puheterapeutin tehtäviin kuuluu myös erilaista hallinnollista- sekä kehittämistyötä.
Koodi 	P910
Nimike	Hallinnolliset tehtävät
Selite	Henkilöstöhallinto, toiminnan ja talouden suunnittelu sekä toiminnan koordinointi ja kehittäminen. Asiakaskäyntien, käyntityyppien, asiakastyön jne. tilastointi toimialakohtaisesti.
Koodi 	P920
Nimike	Jatkuva ammatillinen kouluttautuminen
Selite	Koulutus, työnohjaus, muu ammatillinen tiedonhankinta.
Koodi 	P930
Nimike	Tutkimus- ja kehittämistyö
Selite	Kehittämisprojektit, tutkimustyö jne.
Koodi 	P940
Nimike	Laadunhallinta
Selite	Puheterapeuttiseen toimintaan, työyhteisöön ja organisaatioon liittyvä laatutyöskentely.
Koodi 	P950
Nimike	Markkinointi
Selite	Puheterapiaan liittyvä markkinoinnin suunnittelu, toteutus ja seuranta.
Koodi 	P990
Nimike	Muu hallinto ja kehittäminen
Selite	
