Tunniste;Lyhenne;Nimi;Pitkä nimi;Ylempi koodi;Hierarkiataso;Voimassaolo alkaa;Voimassaolo päättyy;Muutospvm;Viim. tallentaja;Tila;Määritelmä;OID;Anm.;Exkluderar;Huom.;Inkluderar;Korvaava koodi;Lehtisolmu;Long_name;Långt_namn;Mukaan lukien;NCSP+;NCSP+ ala;NCSP ala;NCSP+ luku;NCSP luku;NCSP+ ryhmä;NCSP ryhmä;Note;Obs.;Pois lukien;Suun terveys (T/F);Taso;Vaativuus;Voimassa
AAD10;Kroonisen subduraalihemat poisto;Kroonisen subduraalihematooman poisto;Verihyytymän poisto kovan aivokalvon alta, krooninen subduraali;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Evacuation of chronic subdural haematoma;Utrymning av kroniskt subduralt hematom;;AASD10;;AAD;A;A;AA;AA;;;;F;C;;T
AAD12;Subduraalitilan dreneeraus;Subduraalitilan dreneeraus;Kovan aivokalvon alaisen nesteen kanavointi keuhkopussiin tai vatsaonteloon;AAD;3;1.1.1997;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Drainage of subdural fluid;Dränering av subdural vätska till pleura eller abdomen;;AASD12;;AAD;A;A;AA;AA;;;;F;C;;T
AAD15;Aivokudoksen hemat/ruhjeen poisto;Aivokudoksen hematoman/ruhjeen poisto;Aivokudoksen verihyytymän tai ruhjeen poisto;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Evacuation of traumatic intracerebral haematoma;Utrymning av hematom eller kontusionshärd i hjärnan;;AASD15;;AAD;A;A;AA;AA;;;;F;C;;T
AAD16;Kovan aivokalvon alaisen dreenin pois;Kovan aivokalvon alaisen dreenin poisto;Kovan aivokalvon alaisen laskuputken poisto;AAD;3;1.1.1997;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Removal of subdural drainage;Avlägsnande av subdural drän;;AASD16;;AAD;A;A;AA;AA;;;;F;C;;T
AAD30;Kallon lävistävän vamman revisio;Kallon lävistävän vamman revisio;Kallon lävistävän vamman tarkistamisleikkaus;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Revision of penetrating or perforating injury of skull;Revision av penetrerande/perforerande skallskada;;AASD30;;AAD;A;A;AA;AA;;;;F;C;;T
AAD40;Kallon painumismurtuman nosto;Kallon painumismurtuman nosto;Kallon painumismurtuman nosto;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Revision of fracture of skull;Elevation av impressionsfraktur;;AASD40;;AAD;A;A;AA;AA;;;;F;C;;T
AAD42;Frontobasaalisen murtuman hoito;Frontobasaalisen murtuman hoito;Frontobasaalisen murtuman hoito;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Treatment of frontobasal fracture of skull;Ingrepp för frontobasal fraktur;;AASD42;;AAD;A;A;AA;AA;;;;F;C;;T
AAD99;Muu aivo- tai kallovamman leikkaus;Muu aivo- tai kallovamman leikkaus;Muu aivo- tai kallovamman leikkaus;AAD;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation for head injury;Annat ingrepp för skallskada;;AASD99;;AAD;A;A;AA;AA;;;;F;C;;T
AAE;Kallonpohjakautta tehtävät leikk;Kallonpohjan kautta tehtävät leikkaukset;Kallonpohjan kautta tehtävät leikkaukset;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations by cranial base approach;Ingrepp via skallbasen;;AASE;;AAE;A;A;AA;AA;;;;F;A;;T
AAE00;Tutkimusleikk transsphenoidaalisesti;Tutkimusleikkaus transsphenoidaalisesti;Tutkimusleikkaus transsphenoidaalisesti;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Transsphenoidal exploration;Transsfenoidal exploration;;AASE00;;AAE;A;A;AA;AA;;;;F;C;;T
AAE05;Aivonesteavanteen tukkiminen nasoendoskooppisesti;Aivonesteavanteen tukkiminen nasoendoskooppisesti;Aivonesteavanteen tukkiminen nasoendoskooppisesti;AAE;3;1.1.2012;31.12.2030;5.7.2011;Lehtonen, Jari;1;;;;;;;;T;Nasoendoscopic closure of cerebrospinal fluid fistula;Nasoendoskopisk tillslutning av likvorfistel;;;;AAE;;A;;AA;;;;F;C;;T
AAE10;Kudoksen poisto transsfenoidaalisesti;Kudoksen poisto transsfenoidaalisesti;Kudoksen poistaminen transsfenoidaalisesti;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Transsphenoidal total or partial excision of intracranial lesion;Transsfenoidal exstirpation eller resektion;;AASE10;;AAE;A;A;AA;AA;;;;F;C;;T
AAE20;Kudoksen poisto transklivaalisesti;Kudoksen poisto transklivaalisesti;Kudoksen poistaminen transklivaalisesti, suun kautta;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Transoral total or partial excision of intracranial lesion;Transoral/transclival exstirpation eller resektion;;AASE20;;AAE;A;A;AA;AA;;;;F;C;;T
AAE25;Kudospoisto kallon sisältä transkervi;Kudoksen poist kallon sisältä transkervi;Kudoksen poistaminen kallon sisältä transkervikaalisesti, kaulan kautta;AAE;3;1.1.2000;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Transcervical total or partial excision of intracranial lesion;Transcervical exstirpation eller resektion;;AASE25;;AAE;A;A;AA;AA;;;;F;C;;T
AAE30;Kudospoisto translabyrintaarisesti;Kudoksen poisto translabyrintaarisesti;Kudoksen poistaminen translabyrintaarisesti;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Translabyrinthine total or partial excision of intracranial lesion;Translabyrintär exstirpation eller resektion;;AASE30;;AAE;A;A;AA;AA;;;;F;C;;T
AAE32;Akustikusneurpoisto translabyrinta;Akustikusneurinoomapoisto translabyrinta;Akustikusneurinooman poisto translabyrintaarisesti;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Translabyrinthine excision acoustic neurinome;Translabyrintär exstirpation av acusticusneurinom;;AASE32;;AAE;A;A;AA;AA;;;;F;C;;T
AAE34;Muu kuulo-/tasapainohermoleikkaus;Muu kuulo-/tasapainohermoleikkaus;Kuulo- tai tasapainohermoon kohdistuva muu leikkaus;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operations on acoustical nerv;Annan operation på nervus acusticus (vestibulocochlearis);;AASE34;;AAE;A;A;AA;AA;;;;F;C;;T
AAE40;Kudoksen poisto transtemporaali;Kudoksen poistaminen transtemporaalisest;Kudoksen poistaminen transtemporaalisesti;AAE;3;1.1.1997;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Transtemporal total or partial excision of intracranial lesion;Transtemporal exstipation eller resektion;;AASE40;;AAE;A;A;AA;AA;;;;F;C;;T
AAE50;Kudospoisto poskikaari/ohimoluutie;Kudoksen poisto poskikaari/ohimoluutietä;Kudoksen poistaminen poskikaaren ja ohimoluun läpi;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Zygomaticotemporal total or partial excision of intracranial lesion;Zygomaticotemporal exstirpation eller resektion;;AASE50;;AAE;A;A;AA;AA;;;;F;C;;T
AAE99;Muu kallonpohjan kautta teht leikk;Muu kallonpohjan kautta tehtävä leikkaus;Muu kallonpohjan kautta tehtävä leikkaus;AAE;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other operation by cranial base approach;Annan operation via skallbasen;;AASE99;;AAE;A;A;AA;AA;;;;F;C;;T
AAF;Aivonestekierron säätelytoimenpiteet;Aivonestekierron säätelytoimenpiteet;Aivonestekierron säätelytoimenpiteet;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Shunt operations on ventricles of brain or intracerebral cysts;Shuntoperationer på hjärnventriklar eller intracerebral cystor;;AASF;;AAF;A;A;AA;AA;;;;F;A;;T
AAF00;Aivokammioavanteen teko;Aivokammioavanteen teko;Aivokammioavanteen teko;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Ventriculostomy;Ventrikulostomi;;AASF00;;AAF;A;A;AA;AA;;;;F;C;;T
AAF05;Aivokammion kanavointi vatsaonteloon;Aivokammion kanavointi vatsaonteloon;Aivokammion kanavointi vatsaonteloon;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Ventriculoperitoneal shunt;Ventrikuloperitoneal shunt;;AASF05;;AAF;A;A;AA;AA;;;;F;C;;T
AAF10;Selkäydinkanavan lumboperitonsuntti;Selkäydinkanavan lumboperitoneaalisuntti;Selkäydinkanavan kanavointi vatsaonteloon;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Lumboperitoneal shunt;Lumboperitoneal liquorshunt;;AASF10;;AAF;A;A;AA;AA;;;;F;C;;T
AAF15;Aivokamm kanav sydämen eteiseen;Aivokammion kanavointi sydämen eteiseen;Aivokammion kanavointi sydämen eteiseen;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Ventriculoatrial shunt;Ventrikuloatrial shunt;;AASF15;;AAF;A;A;AA;AA;;;;F;C;;T
AAF20;Aivonesteyhdystien korjaaminen;Aivonesteyhdystien korjaaminen;Aivonesteyhdystien korjaaminen;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Revision of shunt of ventricle of brain;Revision av liquorshunt;;AASF20;;AAF;A;A;AA;AA;;;;F;C;;T
AAF25;Aivonesteyhdystien poisto;Aivonesteyhdystien poisto;Aivonesteyhdystien poisto;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Removal of shunt of ventricle of brain;Borttagande av liquorshunt;;AASF25;;AAF;A;A;AA;AA;;;;F;C;;T
AAF30;Injektiolaitteen asetus aivokammioon;Injektiolaitteen asetus aivokammioon;Injektiolaitteen asettaminen aivokammioon;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Implantation of intraventricular injection device;Applikation av intraventrikulär injektionsport;;AASF30;;AAF;A;A;AA;AA;;;;F;C;;T
AAF35;Intraventrikulaarihoidon reservuaarin as;Intraventrikulaarihoidon reservuaarin as;Aivokammioiden sisäisen lääkehoidon toteuttamiseen tarkoitetun ihonalaisen säiliön asettaminen;AAF;3;1.1.1999;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Implantation of reservoir for intraventricular therapy;Implantation av reservoir för intraventrikulär terapi;;AASF35;;AAF;A;A;AA;AA;;;;F;C;;T
AAF40;Aivokystan kanavointi vatsaonteloon;Aivokystan kanavointi vatsaonteloon;Kallonsisäisen kystan kanavointi vatsaonteloon;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Shunt of cyst of brain to peritoneum;Dränage av intravetrikulär cysta till bukhålan;;AASF40;;AAF;A;A;AA;AA;;;;F;C;;T
AAF45;Aivokystan avanteen teko;Aivokystan avanteen teko;Aivokystan avanteen teko;AAF;3;1.1.2000;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Fenestration of intracranial cyst;Fenestrering av intrakranial cysta;;AASF45;;AAF;A;A;AA;AA;;;;F;C;;T
AAF99;Muu aivonestekiertosäätelytoimenp;Muu aivonestekierron säätelytoimenpide;Muu aivonestekierron säätelytoimenpide;AAF;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other shunt operation on ventricle of brain or intracerebral cyst;Annat ingrepp för reglering av liquorflödet;;AASF99;;AAF;A;A;AA;AA;;;;F;C;;T
AAG;Stereotaktiset aivotilan toimenpiteet;Stereotaktiset aivotilan toimenpiteet;Stereotaktiset aivotilan toimenpiteet;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Stereotactic intracranial operations;Stereotaktiska intrakraniala operationer;;AASG;;AAG;A;A;AA;AA;;;;F;A;;T
AAG00;Biopsia stereotaktisen laitteen avulla;Biopsia stereotaktisen laitteen avulla;Koepalan otto stereotaktisen laitteen avulla;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Stereotactic intracranial biopsy;Stereotaktisk biopsi;;AASG00;;AAG;A;A;AA;AA;;;;F;C;;T
AAG10;Sterotakt tumake/hermoratatuhoam;Sterotaktinen tumake/hermoratatuhoaminen;Sterotaktinen tumakkeen tai hermoradan tuhoaminen;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Stereotactic intracranial destruction of nucleus or nerve tract;Stereotaktisk destruktion av nukleus eller nervbana;;AASG10;;AAG;A;A;AA;AA;;;;F;C;;T
AAG20;Stereotaktinen aivoelektrodiasetus;Stereotaktinen aivoelektrodiasetus;Stereotaktinen aivoelektrodien asettaminen;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Stereotactic intracranial implantation of electrodes;Stereotaktiskt inläggande av elektroder i hjärnan;;AASG20;;AAG;A;A;AA;AA;;;;F;C;;T
AAG30;Stereotaktinen säteilylähdeasetus;Stereotaktinen säteilylähdeasetus;Stereotaktinen säteilylähteen asettaminen aivoihin;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Stereotactic intracranial implantation of radioactive agent;Stereotaktisk implantation av strålkälla i hjärnan;;AASG30;;AAG;A;A;AA;AA;;;;F;C;;T
AAG40;Stt sikiöhermosolu/kudosaset aivoihin;Stt sikiöhermosolu/kudosasetus aivoihin;Stereotaktinen sikiön hermosolujen/kudoksen asettaminen aivoihin;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Stereotactic intracranial implantation of fetal tissue;Stereotaktisk implantation av fosternervceller/vävnad i hjärnan;;AASG40;;AAG;A;A;AA;AA;;;;F;C;;T
AAG50;Stereotaktinen sädehoito aivoihin;Stereotaktinen sädehoito aivoihin;Stereotaktinen sädehoito aivoihin;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Stereotactic intracranial radiotherapy;Stereotaktisk strålbehandling;;AASG50;;AAG;A;A;AA;AA;;;;F;C;;T
AAG99;Muu stereotakt aivojen toimenpide;Muu stereotaktinen aivojen toimenpide;Muu stereotaktinen aivojen toimenpide;AAG;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Other stereotactic intracranial operation;Annan stereotaktisk operation på centrala nervsystemet;;AASG99;;AAG;A;A;AA;AA;;;;F;C;;T
AAH;Aivohermojen leikkaukset;Aivohermojen leikkaukset;Aivohermojen leikkaukset;AA;2;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;F;Operations on cranial nerves;Operationer på kranialnerver;;AASH;;AAH;A;A;AA;AA;;;;F;A;;T
AAH10;Aivohermon katkaisu;Aivohermon katkaisu;Aivohermon katkaisu;AAH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Rhizotomy of cranial nerve;Neurotomi av kranialnerv;;AASH10;;AAH;A;A;AA;AA;;;;F;C;;T
AAH20;Aivohermon vapautus;Aivohermon vapautus;Aivohermon vapautus;AAH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Decompression of cranial nerve;Deliberation/dekompression av kranialnerv;;AASH20;;AAH;A;A;AA;AA;;;;F;C;;T
AAH30;Aivohermon polttaminen tai jäädytys;Aivohermon polttaminen tai jäädyttäminen;Aivohermon polttaminen tai jäädyttäminen;AAH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Thermal destruction of cranial nerve;Termodestruktion av kranialnerv;;AASH30;;AAH;A;A;AA;AA;;;;F;C;;T
AAH40;Glyseroliruiske aivohermoon;Glyseroliruiske aivohermoon;Aivohermon injektiohoito;AAH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Glycerol injection into cranial nerve;Injektion i kranialnerv;;AASH40;;AAH;A;A;AA;AA;;;;F;C;;T
AAH50;Aivohermon liittäminen tai siirre;Aivohermon liittäminen tai siirre;Aivohermon liittäminen tai siirre;AAH;3;1.1.1996;31.12.2030;12.1.2005;Stakes;1;;;;;;;;T;Cranial nerve anastomosis;Neurorafi av kranialnerv, eller reparation medels nervtransplantat;;AASH50;;AAH;A;A;AA;AA;;;;F;C;;T
