code;text
ACSC55;"Decompression and freeing of adhesions of peripheral nerve; tibial"
ACSC56;"Decompression and freeing of adhesions of peripheral nerve; sciatic"
ACSC57;"Decompression and freeing of adhesions of peripheral nerve; lumbar plexus"
ACSC58;"Decompression and freeing of adhesions of peripheral nerve; brachial plexus"
ACSC59;"Decompression and freeing of adhesions of peripheral nerve; other or unspecified"
ACSC91;"Other operation for impaired function of peripheral nerve; median"
ACSC92;"Other operation for impaired function of peripheral nerve; radial"
ACSC93;"Other operation for impaired function of peripheral nerve; ulnar"
ACSC94;"Other operation for impaired function of peripheral nerve; peroneal"
ACSC95;"Other operation for impaired function of peripheral nerve; tibial"
ACSC96;"Other operation for impaired function of peripheral nerve; sciatic"
ACSC97;"Other operation for impaired function of peripheral nerve; lumbar plexus"
ACSC98;"Other operation for impaired function of peripheral nerve; brachial plexus"
ACSC99;"Other operation for impaired function of peripheral nerve; other or unspecified"
ACSW99;Other operation on peripheral nerve
ACX000;Treatment of chronic pain with peripheral nerve block
ACX009;Treatment of chronic pain with other or unspecified local anesthesia
ACX020;Treatment of chronic pain with injection pump
ACX100;Transcutaneous electrical nerve stimulation
ACX120;Direct nerve stimulation
ACX140;Intracutaneous nerve stimulation
ACXX99;Other or unspecified treatment of pain
ADFD00;Functional tests of autonomous nervous system
ADS;Surgery of autonomous nervous system
ADSA10;Cervical sympathectomy
ADSA20;Thoracic sympathectomy
ADSA21;Thoracoscopic sympathectomy
ADSA30;Lumbal sympathectomy
ADSA31;Laparoscopic sympathectomy
ADSA99;Other operation on sympathetic nerve
ADSB00;Implantation of vagus nerve stimulating device
ADSW99;Other operation on autonomic nervous system
ADXA00;Adjustment of electronic stimulator of vagal nerve
ADXX00;Sympathetic block
ADXX02;Sympathetic block of ganglion stellatum
ADXX04;Sympathetic block of ganglion coeliacum
ADXX06;Sympathetic block on lumbal level
ADXX08;Sympathetic block on sacral level
ADXX09;Other sympathetic blockade
ADXX10;General sympathetic block
AES;Surgery for stimulation and injection devices in the nervous system
AESA00;Replacement of impulse generator of stimulation device in the nervous system
AESA02;Exchange of electrode to nervous system stimulation device
AESA20;Removal of impulse generator of stimulation device in the nervous system
AESA23;Removal of intracranial electrode
AESA24;Removal of spinal stimulation electrode
AESA25;Removal of vagal nerve stimulating electrode
AESA27;Replacement of spinal stimulation electrode
AESA29;Removal of electrode of stimulation device in the nervous system
AESA30;Replacement of implanted pump of injection device in the nervous system
AESA40;Removal of implanted pump of injection device in the nervous system
AESA43;Removal of catheter of intracranial injection device
AESA44;Removal of catheter of spinal injection device
AEX400;Electroconvulsive therapy (ECT)
AEX410;Botulinus toxin therapy
AEX412;Botulinus toxin therapy with EMG guidance
AWSA00;Repair of wound dehiscence in surgery of the nervous system
AWSB00;Reoperation for superficial infection in surgery of the nervous system
AWSC00;Reoperation for deep infection in surgery of the nervous system
AWSD00;Reoperation for superficial haemorrhage in surgery of the nervous system
AWSE00;Reoperation for deep haemorrhage in surgery of the nervous system
AWSW99;Other reoperation in surgery of the nervous system
AXDD1V;Head and neck CT examination for dose design of radiotherapy
AXDG1V;Head and neck MRI examination for dose design of radiotherapy
AXEW97;Diagnostic endoscopy in neurosurgery
AXFA00;Neurophysiological intraoperative monitoring, one method
AXFA02;Neurophysiological intraoperative monitoring, more than one method
AXFA10;Cerebral function monitoring with amplitude integrated EEG
AXFW99;Other diagnostic procedure in neurosurgery
AXFX00;Intraoperative electrophysiologic investigation
AXFX90;Written summary of neurophysiological examination
AXFX99;Other neurofysiological consultation
AXO000;Brachyterapy of central nervous system
AXO099;Radiotherapy of whole central nervous system
AXXA00;Acupuncture
AXXA10;Intramuscular stimulation for pain relief
AXXX90;Testing medication against pain
AXXX99;Other minor neurological procedure
AXYA00;Neuropathological examination of nervous system
BADD00;Thyroid and parathyroid CT
BADE1A;Thyroid ultrasonography
BADG00;Thyroid and parathyroid MRI examination
BAFB00;Calcitonin stimulation test
BAIA00;Thyroid gland isotope imaging and uptake
BAIB10;Perchlorate discharge test
BAIC00;Isotope imaging of secondary neoplasms of thyroid origin
BAO001;Preoperative radiotherapy of thyroid gland
BAO002;Radical radiotherapy of thyroid gland
BAO003;Adjuvant radiotherapy of thyroid gland
BAO004;Palliative radiotherapy of thyroid gland
BAO029;Radiotherapy of local residive tumor of thyroid gland
BAO049;Radiotherapy of metasthasis in thyroid gland
BAO090;Profylactic radiotherapy of thyroid gland
BAO099;Other radiotherapy of thyroid gland
BAOA00;Radioiodine therapy of thydoid tissue
BAOA10;I-131 dose capsel measurement
BAOA20;Thyroid radiation dose measurement during isotope therapy
BASA00;Biopsy of thyroid gland
BASA05;Exploration of thyroid gland
BASA10;Incision of thyroid gland
BASA20;Unilateral partial excision of thyroid gland
BASA25;Bilateral partial excision of thyroid gland
BASA30;Excision of thyroid isthmus
BASA40;Unilateral lobectomy of thyroid gland
BASA50;Lobectomy and resection of contralateral lobe of thyroid gland
BASA60;Total thyroidectomy
BASA70;Laserkoagulation of thyreoid gland
BASA99;Other operation on thyroid gland
BAXT4K;Sclerotherapy of thyroid
BAXX00;Puncture of thyroid gland
BAXX10;Needle biopsy of thyroid gland
BAXX20;Needle biopsy for cytology of thyroid gland
BAXX30;Percutaneous sclerosing of cyst of thyroid gland
BBDE1A;Parathyroid ultrasonography
BBIA00;Parathyroid gland isotope imaging
BBSA10;Biopsy of parathyroid gland
BBSA20;Exploration of parathyroid gland
BBSA30;Excision of parathyroid gland
BBSA40;Subtotal parathyroidectomy
BBSA42;Percutaneous subtotal paratyreoidectomy
BBSA50;Total parathyroidectomy
BBSA70;Implantation or transplantation of parathyroid gland
BBSA99;Other operation on parathyroid gland
BBXT2A;Biopsy of parathyroid gland with ultrasound quidance
BBXT3A;Needle biopsy for cytology of parathyroid gland with ultrasound quidance
BBXT4W;Select blood sampling from parathyroid gland with radiological guidance
BBXX00;Puncture of parathyroid gland
BBXX10;Needle biopsy of parathyroid gland
BCDD1A;Adrenal glands CT examination
BCDE1A;Adrenal gland ultrasonography
BCDG00;Adrenal MRI examination
BCFA00;Adrenal cortex stimulation test
BCFB00;Saline suppression test
BCFB10;Water deprivation test
BCIA00;Adrenal cortex isotope imaging
BCO001;Preoperative radiotherapy of adrenal gland
BCO002;Radical radiotherapy of adrenal gland
BCO003;Adjuvant radiotherapy of adrenal gland
BCO004;Palliative radiotherapy of adrenal gland
BCO029;Radiotherapy of local residive tumor of adrenal gland
BCO049;Radiotherapy of metasthasis in adrenal gland
BCO090;Profylactic radiotherapy of adrenal gland
BCO099;Other radiotherapy of adrenal gland
BCSA10;Biopsy of adrenal gland
BCSA11;Laparoscopic biopsy of adrenal gland
BCSA15;Incision of adrenal gland
BCSA20;Excision of lesion of adrenal gland
BCSA30;Unilateral adrenalectomy
BCSA31;Laparoscopic unilateral adrenalectomy
BCSA40;Bilateral adrenalectomy
BCSA41;Laparoscopic bilateral adrenalectomy
BCSA99;Other operation on adrenal gland
BCXA00;Heat coagulation of adrenal gland
BCXX00;Needle biopsy of adrenal gland
BCXX10;Needle biopsy for cytology of adrenal gland
BCXX20;Selective blood sample from adrenal gland
BDSA10;Operation on carotid body
BDX000;Mechanical stimulation of carotid body
BEFA00;Oral glucose tolerance test
BEFA02;Intravenous glucose tolerance test
BEFA10;Prolonged fasting test
BEFA12;Test for postprandial hypoglycemia
BEFA90;Longterm registration of blood glucose
BEFB00;Insulin test
BEFB10;Glucagon stimulation test
BEFC00;Subcutaneous continuous glucose monitoring
BEX900;Clinical examination of diabetes patient
BFFA00;Hypothalamic ACTH stimulation test
BFFA05;Hypothalamic ACTH suppression test
BFFA09;ACTH longterm registration
BFFA10;Gonadotrophin releasing hormone (GnRH) test
BFFA20;Growth hormone stimulation test
BFFA25;Growth hormone suppression test
BFFA29;Growth hormone longterm registration
BFFA30;Thyreotropin stimulation test
BFFA39;TSH longterm registration
BFFA90;Combined hypothalamic stimulation test
BGIA00;Chromaffine and adrenergic tissue isotope imaging (MIBG)
BGIB00;Chromaffine tissue SPECT
BGIC00;Somatostatin receptor isotope imaging
BGID00;Somatostatin receptor SPECT
BGOA00;Chromaffine tissue (MIBG) isotope therapy
BGOB00;Somatostatin isotope ablative therapy
BWSA00;Repair of wound dehiscence in endocrine surgery
BWSB00;Reoperation for superficial infection in endocrine surgery
BWSC00;Reoperation for deep infection in endocrine surgery
BWSD00;Reoperation for superficial haemorrhage in endocrine surgery
BWSE00;Reoperation for deep haemorrhage in endocrine surgery
