AA027	Innlegging av intracerebral trykkmåler
AAF35	Implantasjon av reservoar for intraventrikulær behandling
AAF40	Shunt av intrakraniell cyste til peritoneum
AAF99	Annen shuntoperasjon på hjerneventrikkel el intrakran cyste
AAG00	Stereotaktisk intrakraniell biopsi
AAG10	Stereotaktisk intrakran destruksjon av kjerne el nervebane
AAG20	Stereotaktisk intrakraniell implantasjon av elektrode
AAG30	Stereotaktisk intrakran implantasjon av radioaktiv substans
AAG40	Stereotaktisk intrakraniell implantasjon av fostervev
AAG50	Stereotaktisk intrakraniell strålebehandling
AAG99	Annet stereotaktisk intrakranielt inngrep
AAH10	Rhizotomi av hjernenerve
AAH20	Dekompresjon av hjernenerve
AAH30	Termisk destruksjon av hjernenerve
AAH40	Injeksjon i hjernenerve
AAH50	Anastomose av hjernenerve
AAH60	Mikrovaskulær dekompresjon av hjernenerve
AAH99	Annen operasjon på hjernenerve
AAJ00	Hemisfærektomi
AAJ10	Lobektomi for epilepsi
AAJ15	Hippocampektomi
AAJ20	Eksisjon av epileptisk fokus
AAJ25	Overskjæring av nervebane for epilepsi
AAJ30	Callosotomi for epilepsi
AAJ35	Hemidecortikasjon for epilepsi
AAJ99	Annen operasjon for epilepsi
AAK00	Kranieplastikk
AAK10	Duraplastikk
AAK20	Operasjon for kraniosynostose
AAK30	Kraniofacial rekonstruksjon ved medfødt misdannelse
AAK40	Lukking av cerebrospinal likvorfistel
AAK70	Benbiopsi av kranium
AAK75	Ekstirpasjon eller reseksjon av bentumor i kranium
AAK99	Annen operasjon på kranium eller dura
AAL00	Endovaskulær okklusjon av intrakranielt aneurisme
AAL10	Intrakraniell endovaskulær thrombolyse
AAL20	Endovaskulær okkl av intrakran arteriovenøs malformasjon
AAL30	Endovaskulær okklusjon av intrakraniell fistel
AAL40	Endovaskulær okklusjon av arterie til intrakraniell tumor
AAL99	Annet intrakranielt endovaskulært inngrep
AAM00	Punksjon og evakuering av intracerebral abscess
AAM10	Eksisjon av intracerebral abscess
AAM30	Evakuering av epiduralt eller subduralt empyem
AAM99	Annen operasjon for intrakraniell infeksjon
AAN00	Eksisjon og rekonstruksjon av encefalocele
AAN99	Annen operasjon for intrakraniell medfødt misdannelse
AAW01	Implantasjon av intrakraniell stimulator
AAW02	Implantasjon av intrakranielt injeksjonsutstyr
AAW99	Annen operasjon på kranium eller intrakraniell struktur
ABA00	Eksplorativ laminektomi
ABA10	Biopsi av lesjon i spinalkanalen
ABA99	Annen diagnostisk operasjon på ryggmarg eller nerverot
ABB00	Ekstirpasjon av lesjon i spinalkanalen
ABB10	Reseksjon av lesjon i spinalkanalen
ABB20	Drenasje av cyste i ryggmarg eller spinalkanal
ABB30	Destruksjon av lesjon i spinalkanalen
ABB40	Evakuering av spontant hematom i spinalkanalen
ABB50	Dekompr i spinalkanalen for lesjon i ryggmarg eller nerverot
ABB99	Annen operasjon for lesjon i spinalkanalen
ABC01	Perkutan endoskopisk diskektomi for cervikalt skiveprolaps
ABC04	Perkutan endoskopisk diskektomi for thorakalt skiveprolaps
ABC07	Perkutan endoskopisk diskektomi for lumbalt skiveprolaps
ABC10	Mikrokirurgisk ekstirpasjon av cervikalt skiveprolaps
ABC13	Mikrokirurgisk ekstirpasjon av thorakalt skiveprolaps
ABC16	Mikrokirurgisk ekstirpasjon av lumbalt skiveprolaps
ABC20	Diskektomi i cervikalcolumna
ABC23	Diskektomi i thorakalcolumna
ABC26	Diskektomi i lumbalcolumna
ABC30	Dekompr av nerverøtter for degen tilstand i cervikalcolumna
ABC33	Dekompr av nerverøtter for degen tilstand i thorakalcolumna
ABC36	Dekompr av nerverøtter for degen tilstand i lumbalcolumna
ABC40	Dekompr av cauda equina for degen tilstand i sacrum
ABC60	Dekompresjon av cervikal ryggmarg for degenerativ tilstand
ABC63	Dekompresjon av thoracal ryggmarg for degenerativ tilstand
ABC66	Dekompresjon av lumbal ryggmarg for degenerativ tilstand
ABC99	Annen dekompr ryggmarg el nerverot for degen lidelse columna
ABD10	Cordotomi
ABD20	Myelotomi
ABD30	Implantasjon av spinal stimulator
ABD40	Implantasjon av spinal injeksjonsutstyr
ABD50	Rhizotomi av spinalnerve for smerte eller funksjonsforst
ABD99	Annen op på ryggmarg el nerverot for smerte el funksj forst
ABE10	Operasjon for myelo- eller meningocele
ABE20	Løsning av tethered cord eller diastematomyeli
ABE30	Eksisjon av dermalsinus
ABE40	Operasjon for hydromyeli
ABE50	Occipitocervikal dekompresjon
ABE99	Annen operasjon for medfødt spinal misdannelse
ABW99	Annen operasjon på spinalkanal, ryggmarg eller nerverot
ACA11	Eksplorasjon av nervus medianus
ACA12	Eksplorasjon av nervus radialis
ACA13	Eksplorasjon av nervus ulnaris
ACA14	Eksplorasjon av nervus peroneus
ACA15	Eksplorasjon av nervus tibialis
ACA19	Eksplorasjon av annen eller uspesifisert nerve
ACA21	Biopsi av nervus medianus
ACA22	Biopsi av nervus radialis
ACA23	Biopsi av nervus ulnaris
ACA24	Biopsi av nervus peroneus
ACA25	Biopsi av nervus tibialis
ACA29	Biopsi av annen eller uspesifisert nerve
ACA91	Annen diagnostisk operasjon på nervus medianus
ACA92	Annen diagnostisk operasjon på nervus radialis
ACA93	Annen diagnostisk operasjon på nervus ulnaris
ACA94	Annen diagnostisk operasjon på nervus peroneus
ACA95	Annen diagnostisk operasjon på nervus tibialis
ACA99	Annen diagnostisk operasjon på annen el uspesifisert nerve
ACB11	Eksisjon av lesjon i nervus medianus
ACB12	Eksisjon av lesjon i nervus radialis
ACB13	Eksisjon av lesjon i nervus ulnaris
ACB14	Eksisjon av lesjon i nervus peroneus
ACB15	Eksisjon av lesjon i nervus tibialis
ACB19	Eksisjon av lesjon i annen eller uspesifisert perifer nerve
ACB21	Sutur av nervus medianus
ACB22	Sutur av nervus radialis
ACB23	Sutur av nervus ulnaris
ACB24	Sutur av nervus peroneus
ACB25	Sutur av nervus tibialis
ACB29	Sutur av annen eller uspesifisert nerve
ACB99	Annen operasjon for lesjon i perifer nerve
ACC11	Overskjæring av nervus medianus
ACC12	Overskjæring av nervus radialis
ACC13	Overskjæring av nervus ulnaris
ACC14	Overskjæring av nervus peroneus
ACC15	Overskjæring av nervus  tibialis
ACC19	Overskjæring av annen eller uspesifisert nerve
ACC21	Rekonstruksjon av nervus medianus
ACC22	Rekonstruksjon av nervus radialis
ACC23	Rekonstruksjon av nervus ulnaris
ACC24	Rekonstruksjon av nervus peroneus
ACC25	Rekonstruksjon av nervus tibialis
ACC29	Rekonstruksjon av annen eller uspesifisert nerve
ACC30	Rekonstruksjon av nervepleksus
ACC41	Transposisjon av nervus medianus
ACC42	Transposisjon av nervus radialis
ACC43	Transposisjon av nervus ulnaris
ACC44	Transposisjon av nervus peroneus
ACC45	Transposisjon av nervus tibialis
ACC49	Transposisjon av annen eller uspesifisert nerve
ACC51	Dekompresjon og adheranseløsning av nervus medianus
ACC52	Dekompresjon og adheranseløsning av nervus radialis
ACC53	Dekompresjon og adheranseløsning av nervus ulnaris
ACC54	Dekompresjon og adheranseløsning av nervus peroneus
ACC55	Dekompresjon og adheranseløsning av nervus tibialis
ACC59	Dekompr og adheranseløsning av annen el uspesifisert nerve
ACC91	Annen operasjon for funksjonsforstyrrelse i nervus medianus
ACC92	Annen operasjon for funksjonsforstyrrelse i nervus radialis
ACC93	Annen operasjon for funksjonsforstyrrelse i nervus ulnaris
ACC94	Annen operasjon for funksjonsforstyrrelse i nervus peroneus
ACC95	Annen operasjon for funksjonsforstyrrelse i nervus tibialis
ACC99	Annen op for funksjonsforst i annen el uspesifisert nerve
ACW99	Annen operasjon på perifer nerve
ADA10	Cervikal sympatektomi
ADA20	Thorakal sympatektomi
ADA30	Lumbal sympatektomi
ADA99	Annen operasjon på sympatisk nerve
ADW99	Annen operasjon på det autonome nervesystem
AWA00	Reoperasjon for sårruptur i nervesystemet
AWB00	Reop for overfladisk infeksjon etter inngr på nervesystemet
AWC00	Reoperasjon for dyp infeksjon i nervesystemet
AWD00	Reop for overfladisk blødning etter inngr på nervesystemet
AWE00	Reoperasjon for dyp blødning i nervesystemet
AWW99	Annen reoperasjon etter inngrep på nervesystemet
BAA00	Biopsi av thyreoidea
BAA05	Eksplorasjon av thyreoidea
BAA10	Incisjon av thyreoidea
BAA20	Unilateral reseksjon av thyreoidea
BAA25	Bilateral reseksjon av thyreoidea
BAA30	Eksisjon av isthmus thyreoideae
BAA40	Unilateral lobektomi av thyreoidea
BAA50	Lobektomi og reseksjon av kontralateral thyreoidealapp
BAA60	Total thyreoidektomi
BAA99	Annen operasjon på thyreoidea
BBA10	Biopsi av parathyreoidea
BBA20	Eksplorasjon av parathyreoidea
BBA30	Ekstirpasjon av lesjon i parathyreoidea
BBA40	Subtotal parathyreoidektomi
BBA50	Total parathyreoidektomi
BBA70	Implantasjon eller transplantasjon av parathyreoidea
BBA99	Annen operasjon på parathyreoidea
BCA10	Biopsi av binyre
BCA11	Laparoskopisk biopsi av binyre
BCA15	Incisjon av binyre
BCA20	Ekstirpasjon av lesjon i binyre
BCA30	Unilateral adrenalektomi
BCA31	Laparoskopisk unilateral adrenalektomi
BCA40	Bilateral adrenalektomi
BCA41	Laparoskopisk bilateral adrenalektomi
BCA99	Annen operasjon på binyre
BDA10	Operasjon på glomus caroticus
BWA00	Reoperasjon for sårruptur ved endokrin kirurgi
BWB00	Reoperasjon for overfladisk infeksjon ved endokrin kirurgi
BWC00	Reoperasjon for dyp infeksjon ved endokrin kirurgi
BWD00	Reoperasjon for overfladisk blødning ved endokrin kirurgi
BWE00	Reoperasjon for dyp blødning ved endokrin kirurgi
BWW99	Annen reoperasjon ved endokrin kirurgi
CAA00	Punksjon av abscess i orbita
CAA10	Eksplorativ fremre orbitotomi
CAA20	Eksplorativ lateral orbitotomi
CAA30	Biopsi fra orbita
CAB00	Fremre orbitotomi med ekstirpasjon av lesjon
CAB10	Lateral orbitotomi med ekstirpasjon av lesjon
CAB40	Transkranial orbitotomi med ekstirpasjon av lesjon
CAB50	Orbitotomi med fjernelse av fremmedlegeme
CAC00	Rekonstruksjon av orbitas benvegg
CAC10	Rekonstr av orbitas benvegg med bentransplantat eller skinne
CAC20	Dekompressiv lateral orbitotomi
CAC30	Dekompressiv orbitotomi til bihule
CAC40	Transkranial dekompr av orbitas tak eller canalis opticus
CAC42	Dekompresjon av orbita med coronal tilgang
CAC46	Kombinert dekompresjon av orbita
CAC50	Korreksjon av medfødt misdannelse av orbitas benvegg
CAD00	Eksenterasjon av orbita med transplantat eller lapp
CAE00	Fjernelse av implantat fra orbita
CAE10	Revisjon av konjunktivalhule
CAE20	Revisjon av konjunktivalhule med transplantat
CAW99	Annen operasjon på orbita
CBA00	Incisjon av øyelokk
CBA10	Biopsi av øyelokk
CBB00	Eksisjon av chalazion
CBB10	Eksisjon av løs hud i øyelokk
CBB15	Reseksjon av fetthernie i øyelokk
CBB20	Eksisjon av løs hud og reseksjon av fetthernie i øyelokk
CBB30	Ekstirpasjon av lesjon i øyelokk
CBB35	Kryokirurgi av lesjon i øyelokk
CBB40	Elektrokoagulasjon av lesjon i øyelokk
CBB50	Ekstirp av lesjon øyelokk & rekonstr m/transplantat el lapp
CBB99	Annet inngrep ved lokal forandring i øyelokk
CBC00	Sutur av øyelokk
CBC10	Fjernelse av fremmedlegeme fra øyelokk
CBC99	Annen operasjon for skade av øyelokk
CBD00	Rekonstruksjon av øyelokk med sutur
CBD10	Rekonstruksjon av øyelokk med transplantat eller lapp
CBD99	Annen rekonstruksjon av øyelokk
CBE00	Sutur av øyelokk for entropium
CBE10	Flytting og stramming av orbicularis oculi ved entropium
CBE20	Stramming av øyelokksretraktorer for entropium
CBE30	Horisontal stramming for entropium
CBE40	Kombinert korreksjon av entropium
CBE99	Annen operasjon for entropium
CBF00	Elektrokoagulasjon for ektropium
CBF10	Stramming av ligament i canthus for ektropium
CBF20	Reseksjon av tarsus for ektropium
CBF30	Reseksjon av tarsus og hud for ektropium
CBF40	Rekonstruksjon av øyelokk ved arrektropium
CBF99	Annen operasjon for ektropium
CBG00	Elektrolyseepilasjon av cilier
CBG10	Kryokirurgi for trichiasis
CBG20	Rekonstruksjon av øyelokkskant ved trichiasis
CBG99	Annen operasjon for trichiasis
CBH00	Canthotomi
CBH05	Canthopexi
CBH10	Rekonstruksjon av canthus
CBH20	Sentral tarsorafi
CBH30	Lateral eller medial tarsorafi
CBH40	Oppklipping av tarsorafi
CBH50	Rekonstruksjon ved epicanthus
CBH99	Annen operasjon på canthus
CBJ00	Løfting av øyelokk med sutur
CBJ10	Løfting av øyelokk med fasciestripe
CBJ20	Tarsomyektomi på øyelokk
CBJ30	Rekonstruksjon av levatoraponeurose i øyelokk
CBJ40	Reseksjon av levatormuskel i øyelokk
CBJ50	Operasjon for ptose av øyebryn
CBJ99	Annen operasjon for ptose i øyeregionen
CBK00	Myotomi ved øyelokksretraksjon
CBK10	Operasjon for lagofthalmus
CBK99	Annen operasjon for øyelokksretraksjon eller lagofthalmus
CBL00	Myektomi eller neurotomi for blefarospasme
CBL99	Annen operasjon for blefarospasme
CBW99	Annen operasjon på øyelokk
CCA00	Incisjon av tårekjertel
CCA10	Biopsi av tårekjertel
CCA20	Incisjon av tårepunkt eller kanalikkel
CCA30	Incisjon av tåresekk
CCA40	Biopsi av tåreveier
CCB00	Partiell dacryoadenektomi
CCB10	Total dacryoadenektomi
CCB99	Annen operasjon på tårekjertel
CCC00	Okklusjon av tårepunkt eller kanalikkel
CCC50	Dacryocystektomi
CCC99	Annen operasjon på tåreveier
CCD00	Lukking av tårefistel
CCD10	Sutur av tårekanalikkel
CCD20	Sutur og intubasjon av tårekanalikkel
CCD30	Rekonstruksjon av tårekanalikkel
CCD40	Perkutan dacryocystorhinostomi
CCD50	Dacryocystorhinostomi med intubasjon
CCD60	Transnasal dacryocystorhinostomi
CCD70	Conjunctivocystorhinostomi med intubasjon
CCD99	Annet rekonstruksjonsinngrep på tåreveier
CCW99	Annen operasjon på tåreapparatet
CDB00	Åpen fjernelse av intrabulbært fremmedlegeme
CDB10	Fjernelse av intrabulbært fremmedlegeme med magnet
CDB99	Annen fjernelse av intrabulbært fremmedlegeme
CDC00	Enukleasjon av øye
CDC10	Enukleasjon av øye med innlegging av protese
CDC20	Enukleasjon av øye med transplantat
CDC30	Eviscerasjon av øye
CDC40	Eviscerasjon av øye med innlegging av protese
CDC50	Eviscerasjon av øye med transplantat
CDW99	Annen operasjon på øyeeplet
CEA00	Biopsi av øyemuskel
CEB00	Myektomi av øyemuskel
CEB10	Partiell myotomi av øyemuskel
CEB20	Total myotomi av øyemuskel
CEB30	Tenotomi av øyemuskel
CEC00	Tilbakelegging av øyemuskel
CEC10	Tilbakelegging og reseksjon av øyemuskel
CEC20	Tilbakelegging og fremlegging av øyemuskler
CEC30	Reseksjon av øyemuskel
CEC40	Reseksjon og fremlegging av øyemuskel
CEC50	Fremlegging av øyemuskel
CEC60	Flytting av øyemuskel med justerbar sutur
CEC70	Flytting av øyemuskler ved nystagmus
CEC80	Partiell transposisjon av øyemuskel
CEC90	Total transposisjon av øyemuskel
CED00	Folding av øyemuskel
CEE00	Fiksasjonssutur i øyemuskel
CEE10	Fiksering av øyemuskel med ankersutur
CEF00	Løsning av fastloddet øyemuskel
CEF10	Sutur av skadet øyemuskel eller Tenons kapsel
CEW99	Annen operasjon på øyemuskel
CFA00	Incisjon av konjunktiva
CFA10	Peritomi av konjunktiva
CFA20	Biopsi av konjunktiva
CFB00	Sutur av konjunktiva
CFB10	Fjernelse av fremmedlegeme fra konjunktiva
CFC00	Ekstirpasjon av lesjon i konjunktiva
CFC10	Laserterapi av lesjon i konjunktiva
CFC20	Kryokirurgi av lesjon i konjunktiva
CFC30	Eksisjon av trachomfollikler
CFD00	Rekonstruksjon av konjunktiva uten transplantat
CFD10	Rekonstruksjon av konjunktiva med transplantat
CFW99	Annen operasjon på konjunktiva
CGA00	Biopsi av kornea
CGA10	Biopsi av sklera
CGB00	Keratotomi
CGB10	Sclerotomi
CGC10	Fjernelse av fremmedlegeme fra kornea
CGC20	Fjernelse av fremmedlegeme fra kornea med magnet
CGC30	Fjernelse av fremmedlegeme fra sklera
CGC40	Fjernelse av fremmedlegeme fra sklera med magnet
CGD00	Keratotomi for refraksjonsanomali
CGD10	Laserkeratoplastikk for refraksjonsanomali
CGD20	Keratomileuse
CGD99	Annen operasjon for refraksjonsanomali
CGE10	Keratektomi
CGE15	Laserterapi av kornea
CGE20	Termokauterisering av lesjon i kornea
CGE25	Kryokirurgi av kornea
CGE30	Sclerektomi
CGE35	Laserterapi av sklera
CGE40	Thermokauterisering av sklera
CGE50	Eksisjon av pterygium
CGE55	Eksisjon av pterygium med transplantasjon av konjunktiva
CGE99	Annen operasjon for lesjon i kornea eller sklera
CGF00	Lukking av sår i kornea med vevslim
CGF10	Sutur av sår i kornea
CGF20	Sutur av sår i kornea med dekning av konjunktiva
CGF25	Sutur av sår i kornea med fjernelse av prolabert uvealvev
CGF30	Dekning av kornea med konjunktiva
CGF40	Lukking av sår i sklera med vevslim
CGF45	Sutur av sår i sklera
CGF50	Sutur av sår i sklera med dekning av konjunktiva
CGF55	Sutur av sår i sklera med fjernelse av prolabert uvealvev
CGF99	Annen op på kornea eller sklera for perforerende skade
CGG00	Tatovering av kornea
CGG10	Termokauterisering av kornea
CGG20	Epikeratofaki eller keratofaki
CGG30	Lamellær korneatransplantasjon
CGG40	Gjennomgående autotransplantasjon av kornea
CGG45	Gjennomgående homotransplantasjon av kornea
CGG50	Implantasjon av keratoprotese
CGG60	Forsterkning av sklera med transplantat
CGG99	Annet rekonstruksjonsinngrep på kornea eller sklera
CGW99	Annen operasjon på kornea eller sklera
CHA10	Biopsi av iris
CHA20	Biopsi av corpus ciliare
CHB00	Lasersynekiolyse
CHB10	Kammerpunksjon med irrigasjon
CHB15	Kammerpunksjon med erstatning av kammervann
CHB20	Goniopunktur
CHB30	Goniotomi
CHB40	Goniosynekiolyse
CHB50	Trabekulotomi
CHB60	Fremre synekiolyse
CHB65	Bakre synekiolyse
CHB99	Annen operasjon på fremre kammer eller kammervinkelen
CHC00	Iridotomi
CHC05	Laseriridotomi
CHC10	Basal iridektomi
CHC20	Sektoriridektomi
CHC30	Sentral iridektomi
CHD00	Lasertrabekuloplastikk
CHD10	Trabekulektomi
CHD15	Trabekulektomi og iridektomi
CHD20	Trepanasjon av sklera
CHD25	Trepanasjon av sklera med iridektomi
CHD30	Lasertrabekulektomi
CHD40	Iridencleise
CHD50	Implantasjon av kateter til fremre kammer
CHD99	Annen filtrasjonsoperasjon
CHE00	Pupillotomi
CHE05	Laserpupillotomi
CHE10	Ekstirpasjon av lesjon i iris
CHE20	Laserterapi av lesjon i iris
CHE99	Annen operasjon for lesjon i iris
CHF00	Ekstirpasjon av lesjon i corpus ciliare
CHF05	Transskleral laserkoagulasjon av corpus ciliare
CHF10	Transpupillær laserkoagulasjon av corpus ciliare
CHF15	Kryokirurgi av corpus ciliare
CHF20	Elektrokoagulasjon av corpus ciliare
CHF30	Cyclodialyse
CHF99	Annen operasjon på corpus ciliare
CHW99	Annen op fremre kammer, kammervinkel, iris el corp ciliare
CJB00	Discisjon av sekundær katarakt
CJB10	Laserdiscisjon av sekundær katarakt
CJB20	Skylling og polering av sekundær katarakt
CJB30	Eksisjon av sekundær katarakt
CJB99	Annen operasjon for sekundær katarakt
CJC00	Intrakapsulær kataraktekstraksjon
CJC05	Intrakapsulær kataraktekstraksjon m/iridektomi el iridotomi
CJC10	Intrakaps kataraktekstr m/impl av kunstig linse i camera ant
CJC15	Intrkaps ktrktxtr m/impl linse cam ant & iridekt/iridotomi
CJC20	Intrakaps kataraktekstr m/impl kunstig linse i camera post
CJC25	Intrkaps ktrktxtr m/impl linse cam post & iridekt/iridotomi
CJC99	Annen intrakapsulær kataraktoperasjon
CJD00	Ekstrakapsulær kataraktekstraksjon
CJD05	Ekstrakaps kataraktekstr med iridektomi eller iridotomi
CJD10	Ekstrakaps kataraktekstr m/impl kunstig linse i camera ant
CJD15	Xtrakps ktrktxtr m/impl linse i cam ant & iridekt/iridotomi
CJD20	Ekstrakaps kataraktekstr m/impl kunstig linse i camera post
CJD25	Ekskaps katekstr m/impl linse i cam post & iridekt/iridotomi
CJD30	Pars plana lensektomi
CJD99	Annen ekstrakapsulær kataraktoperasjon
CJE00	Fakoemulsifikasjon
CJE05	Fakoemulsifikasjon med iridektomi eller iridotomi
CJE10	Fakoemuls med implantasjon av kunstig linse i fremre kammer
CJE15	Fakoemuls m/impl kunstig linse i cam ant & iridekt/iridotomi
CJE20	Fakoemuls med implantasjon av kunstig linse i bakre kammer
CJE25	Fakoemuls m/impl kunst linse i cam post & iridekt/iridotomi
CJE99	Annen ekstrakapsulær kataraktoperasjon med emulsifikasjon
CJF00	Sekundær implantasjon av kunstig linse i fremre kammer
CJF10	Sekundær implantasjon av kunstig linse i bakre kammer
CJF20	Fjernelse av kunstig linse
CJF30	Reposisjon av kunstig linse
CJF40	Utskiftning av kunstig linse i fremre kammer
CJF45	Utskift av kunstig linse i fremre kammer m/iridekt/iridotomi
CJF50	Utskiftning av kunstig linse i bakre kammer
CJF55	Utskift av kunstig linse i bakre kammer m/iridekt/iridotomi
CJF99	Annen operasjon ved kunstig linse
CJG00	Ekstraksjon av luksert linse
CJG05	Ekstraksjon av luksert linse med iridektomi eller iridotomi
CJG10	Ekstr av luksert linse m/impl av kunstig linse i camera ant
CJG15	Xtr lux linse m/impl linse i camera ant & iridekt/iridotomi
CJG20	Ekstr av luksert linse m/impl av kunstig linse i camera post
CJG25	Xtr lux linse m/impl linse i camera post & iridekt/iridotomi
CJG99	Annen operasjon ved linseluksasjon
CJW99	Annen operasjon på linse
CKA00	Biopsi av chorioidea
CKA10	Biopsi av corpus vitreum
CKA20	Biopsi av retina
CKB00	Punksjon og aspirasjon av corpus vitreum
CKB10	Punksjon, aspirasjon av corpus vitreum og inj av substitutt
CKB99	Annen operasjon ved chorioidealløsning
CKC00	Fotoruptur av corpus vitreum
CKC10	Lokal fotokoagulasjon av retina
CKC15	Panretinal fotokoagulasjon
CKC20	Cryopexi av tilliggende retina
CKC30	Cryopexi av avløst retina
CKC40	Elektrokoagulasjon av retina
CKC50	Transskleral laserterapi av retina
CKC60	Lokal innbukking av sklera med plombe
CKC65	Fjernelse av plombe fra sklera
CKC70	Sirkulær innbukking av sklera
CKC75	Fjernelse av cerclage fra sklera
CKC99	Annen ekstraokulær operasjon på corpus vitreum eller retina
CKD00	Dekompressiv punktur av corpus vitreum
CKD05	Injeksjon av medikament i corpus vitreum
CKD10	Insufflasjon av corpus vitreum
CKD15	Injeksjon av substitutt i corpus vitreum
CKD20	Fjernelse av corpus vitreum-substitutt
CKD25	Ekstern drenasje av subretinal væske
CKD30	Intern drenasje av subretinal væske
CKD40	Endofotokoagulasjon av retina
CKD45	Endokryokirurgi av retina
CKD50	Endodiatermi av retina
CKD60	Fremre vitrektomi
CKD65	Pars plana eller pars plicata vitrektomi
CKD70	Eksisjon av preretinal eller epiretinal membran
CKD75	Retinotomi
CKD80	Retinektomi
CKD85	Fjernelse av subretinal membran eller streng
CKD90	Fjernelse av subretinal blødning
CKD99	Annen intraokulær operasjon på corpus vitreum eller retina
CKE00	Ekstirpasjon av lesjon i chorioidea
CKE10	Transpupillær fotokoagulasjon av lesjon i chorioidea
CKE15	Endofotokoagulasjon av lesjon i chorioidea
CKE20	Kryokirurgi av lesjon i chorioidea
CKE30	Ekstirpasjon av lesjon i retina
CKE40	Transpupillær fotokoagulasjon av lesjon i retina
CKE45	Endofotokoagulasjon av lesjon i retina
CKE50	Kryokirurgi av lesjon i retina
CKE60	Brachyterapi av chorioidea og retina
CKE65	Fjernelse av brachyterapeutisk plate fra øye
CKE99	Annen operasjon for lesjon i chorioidea eller retina
CKW99	Annen operasjon på chorioidea, corpus vitreum eller retina
CWA00	Reoperasjon for sårruptur i øye eller øyeregion
CWB00	Reoperasjon for overfladisk infeksjon i øye eller øyeregion
CWC00	Reoperasjon for dyp infeksjon i øye eller øyeregion
CWD00	Reoperasjon for overfladisk blødning i øye eller øyeregion
CWE00	Reoperasjon for dyp blødning i øye eller øyeregion
CWF00	Reop for insuffisiens av anastomose el sutur i øye el øyereg
CWW99	Annen reoperasjon på øye eller øyeregion
DAA00	Incisjon av aurikkel
DAB00	Eksisjon av lesjon av aurikkel
DAB10	Reseksjon av aurikkel
DAB20	Eksisjon av aurikkelfistel
DAD00	Sutur av aurikkel
DAD10	Rekonstruksjon av aurikkel
DAD20	Benforankring av aurikkelprotese
DAD30	Aurikkelplastikk
DAW99	Annet inngrep på aurikkel
DB000	Incisjon i øregang
DBB00	Eksisjon av lesjon i øregang
DBD00	Sutur av øregang
DBD10	Rekonstruksjon av øregang
DBD20	Øregangsplastikk
DBD30	Korreksjon av øregangsatresi
DBW99	Annen operasjon på øregang
DCA00	Biopsi av trommehinne eller mellomøre
DCA10	Paracentesis av trommehinne
DCA20	Innlegging av ventilasjonsrør gjennom trommehinne
DCA30	Eksplorasjon av mellomøre
DCB00	Eksisjon av lesjon i mellomøre
DCB10	Adheranseløsning i mellomøre
DCB20	Reseksjon av mellomøre
DCB30	Eksisjon av mellomøre
DCC00	Fjernelse av fremmedlegeme fra mellomøre
DCD00	Myringoplastikk
DCD10	Tympanoplastikk
DCW00	Fjernelse av ventilasjonsrør fra trommehinne
DCW99	Annen operasjon på trommehinne eller mellomøre
DDA00	Stapedotomi
DDA10	Eksplorasjon av ørebenskjeden
DDB00	Stapedektomi
DDC00	Fjernelse av ørebensprotese
