7408	codes in current filter							
Code	Text	1.	2.	3.	4.	5.	6.	7.
ACB97	Annen operasjon for lesjon i plexus lumbalis	A	C	B	9	7		
ACB98	Annen operasjon for lesjon i plexus brachialis	A	C	B	9	8		
ACB99	Annen operasjon for lesjon i annen perifer nerve	A	C	B	9	9		
ACC11	Overskjæring av nervus medianus	A	C	C	1	1		
ACC12	Overskjæring av nervus radialis	A	C	C	1	2		
ACC13	Overskjæring av nervus ulnaris	A	C	C	1	3		
ACC14	Overskjæring av nervus peroneus	A	C	C	1	4		
ACC15	Overskjæring av nervus tibialis	A	C	C	1	5		
ACC16	Overskjæring av nervus ischiadicus	A	C	C	1	6		
ACC17	Overskjæring i plexus lumbalis	A	C	C	1	7		
ACC18	Overskjæring i plexus brachialis	A	C	C	1	8		
ACC19	Overskjæring av annen eller uspesifisert nerve	A	C	C	1	9		
ACC21	Rekonstruksjon av nervus medianus	A	C	C	2	1		
ACC22	Rekonstruksjon av nervus radialis	A	C	C	2	2		
ACC23	Rekonstruksjon av nervus ulnaris	A	C	C	2	3		
ACC24	Rekonstruksjon av nervus peroneus	A	C	C	2	4		
ACC25	Rekonstruksjon av nervus tibialis	A	C	C	2	5		
ACC26	Rekonstruksjon av nervus ischiadicus	A	C	C	2	6		
ACC27	Rekonstruksjon av plexus lumbalis	A	C	C	2	7		
ACC28	Rekonstruksjon av plexus brachialis	A	C	C	2	8		
ACC29	Rekonstruksjon av annen eller uspesifisert nerve	A	C	C	2	9		
ACC41	Transposisjon av nervus medianus	A	C	C	4	1		
ACC42	Transposisjon av nervus radialis	A	C	C	4	2		
ACC43	Transposisjon av nervus ulnaris	A	C	C	4	3		
ACC44	Transposisjon av nervus peroneus	A	C	C	4	4		
ACC45	Transposisjon av nervus tibialis	A	C	C	4	5		
ACC46	Transposisjon av nervus ischiadicus	A	C	C	4	6		
ACC47	Transposisjon i plexus lumbalis	A	C	C	4	7		
ACC48	Transposisjon i plexus brachialis	A	C	C	4	8		
ACC49	Transposisjon av annen eller uspesifisert nerve	A	C	C	4	9		
ACC51	Dekompresjon og adheranseløsning av nervus medianus	A	C	C	5	1		
ACC52	Dekompresjon og adheranseløsning av nervus radialis	A	C	C	5	2		
ACC53	Dekompresjon og adheranseløsning av nervus ulnaris	A	C	C	5	3		
ACC54	Dekompresjon og adheranseløsning av nervus peroneus	A	C	C	5	4		
ACC55	Dekompresjon og adheranseløsning av nervus tibialis	A	C	C	5	5		
ACC56	Dekompresjon og adheranseløsning av nervus ischiadicus	A	C	C	5	6		
ACC57	Dekompresjon og adheranseløsning i plexus lumbalis	A	C	C	5	7		
ACC58	Dekompresjon og adheranseløsning i plexus brachialis	A	C	C	5	8		
ACC59	Dekompresjon og adheranseløsning av annen eller uspesifisert nerve	A	C	C	5	9		
ACC91	Annen operasjon for funksjonsforstyrrelse i nervus medianus	A	C	C	9	1		
ACC92	Annen operasjon for funksjonsforstyrrelse i nervus radialis	A	C	C	9	2		
ACC93	Annen operasjon for funksjonsforstyrrelse i nervus ulnaris	A	C	C	9	3		
ACC94	Annen operasjon for funksjonsforstyrrelse i nervus peroneus	A	C	C	9	4		
ACC95	Annen operasjon for funksjonsforstyrrelse i nervus tibialis	A	C	C	9	5		
ACC96	Annen operasjon for funksjonsforstyrrelse i nervus ischiadicus	A	C	C	9	6		
ACC97	Annen operasjon for funksjonsforstyrrelse i plexus lumbalis	A	C	C	9	7		
ACC98	Annen operasjon for funksjonsforstyrrelse i plexus brachialis	A	C	C	9	8		
ACC99	Annen operasjon for funksjonsforstyrrelse i annen eller uspesifisert nerve	A	C	C	9	9		
ACW99	Annen operasjon på perifer nerve	A	C	W	9	9		
ADA10	Cervikal sympatektomi	A	D	A	1	0		
ADA20	Torakal sympatektomi	A	D	A	2	0		
ADA30	Lumbal sympatektomi	A	D	A	3	0		
ADA99	Annen operasjon på sympatisk nerve	A	D	A	9	9		
ADB00	Implantasjon av vagusstimulator	A	D	B	0	0		
ADW99	Annen operasjon på det autonome nervesystem	A	D	W	9	9		
AEA00	Utskifting av impulsgenerator til stimulator i nervesystemet	A	E	A	0	0		
AEA20	Fjerning av impulsgenerator til stimulator i nervesystemet	A	E	A	2	0		
AEA23	Fjerning av intrakraniell elektrode	A	E	A	2	3		
AEA24	Fjerning av intraspinal elektrode	A	E	A	2	4		
AEA25	Fjerning av vagusstimulatorelektrode	A	E	A	2	5		
AEA30	Utskifting av implantert pumpe til injeksjonskateter i nervesystemet	A	E	A	3	0		
AEA40	Fjerning av implantert pumpe til injeksjonskateter i nervesystemet	A	E	A	4	0		
AEA43	Fjerning av intrakranielt injeksjonskateter	A	E	A	4	3		
AEA44	Fjerning av intraspinalt injeksjonskateter	A	E	A	4	4		
AWA00	Reoperasjon for sårruptur i nervesystemet	A	W	A	0	0		
AWB00	Reoperasjon for overfladisk infeksjon i nervesystemet	A	W	B	0	0		
AWC00	Reoperasjon for dyp infeksjon i nervesystemet	A	W	C	0	0		
AWD00	Reoperasjon for overfladisk blødning i nervesystemet	A	W	D	0	0		
AWE00	Reoperasjon for dyp blødning i nervesystemet	A	W	E	0	0		
AWW99	Annen reoperasjon på nervesystemet	A	W	W	9	9		
BAA00	Biopsi av tyreoidea	B	A	A	0	0		
BAA05	Eksplorasjon av tyreoidea	B	A	A	0	5		
BAA10	Incisjon av tyreoidea	B	A	A	1	0		
BAA20	Unilateral reseksjon av tyreoidea	B	A	A	2	0		
BAA25	Bilateral reseksjon av tyreoidea	B	A	A	2	5		
BAA30	Eksisjon av isthmus thyreoideae	B	A	A	3	0		
BAA40	Unilateral lobektomi av tyreoidea	B	A	A	4	0		
BAA50	Lobektomi og reseksjon av kontralateral tyreoidealapp	B	A	A	5	0		
BAA60	Total tyreoidektomi	B	A	A	6	0		
BAA99	Annen operasjon på tyreoidea	B	A	A	9	9		
BBA10	Biopsi av paratyreoidea	B	B	A	1	0		
BBA20	Eksplorasjon av paratyreoidea	B	B	A	2	0		
BBA30	Ekstirpasjon av lesjon i paratyreoidea	B	B	A	3	0		
BBA40	Subtotal paratyreoidektomi	B	B	A	4	0		
BBA50	Total paratyreoidektomi	B	B	A	5	0		
BBA70	Implantasjon eller transplantasjon av paratyreoidea	B	B	A	7	0		
BBA99	Annen operasjon på paratyreoidea	B	B	A	9	9		
BCA10	Biopsi av binyre	B	C	A	1	0		
BCA11	Laparoskopisk biopsi av binyre	B	C	A	1	1		
BCA15	Incisjon av binyre	B	C	A	1	5		
BCA20	Ekstirpasjon av lesjon i binyre	B	C	A	2	0		
BCA30	Unilateral adrenalektomi	B	C	A	3	0		
BCA31	Laparoskopisk unilateral adrenalektomi	B	C	A	3	1		
BCA40	Bilateral adrenalektomi	B	C	A	4	0		
BCA41	Laparoskopisk bilateral adrenalektomi	B	C	A	4	1		
BCA99	Annen operasjon på binyre	B	C	A	9	9		
BDA10	Operasjon på glomus caroticum	B	D	A	1	0		
BWA00	Reoperasjon for sårruptur ved endokrin kirurgi	B	W	A	0	0		
BWB00	Reoperasjon for overfladisk infeksjon ved endokrin kirurgi	B	W	B	0	0		
BWC00	Reoperasjon for dyp infeksjon ved endokrin kirurgi	B	W	C	0	0		
BWD00	Reoperasjon for overfladisk blødning ved endokrin kirurgi	B	W	D	0	0		
BWE00	Reoperasjon for dyp blødning ved endokrin kirurgi	B	W	E	0	0		
BWW99	Annen reoperasjon ved endokrin kirurgi	B	W	W	9	9		
CAA00	Punksjon av abscess i orbita	C	A	A	0	0		
CAA10	Eksplorativ fremre orbitotomi	C	A	A	1	0		
CAA20	Eksplorativ lateral orbitotomi	C	A	A	2	0		
CAA30	Biopsi fra orbita	C	A	A	3	0		
CAB00	Fremre orbitotomi med ekstirpasjon av lesjon	C	A	B	0	0		
CAB10	Lateral orbitotomi med ekstirpasjon av lesjon	C	A	B	1	0		
CAB40	Transkraniell orbitotomi med ekstirpasjon av lesjon	C	A	B	4	0		
CAB50	Orbitotomi med fjerning av fremmedlegeme	C	A	B	5	0		
CAC00	Rekonstruksjon av orbitas beinvegg	C	A	C	0	0		
CAC10	Rekonstruksjon av orbitas beinvegg med beintransplantat eller skinne	C	A	C	1	0		
CAC20	Dekompressiv lateral orbitotomi	C	A	C	2	0		
CAC30	Dekompressiv orbitotomi til bihule	C	A	C	3	0		
CAC40	Transkraniell dekompresjon av orbitatak eller canalis opticus	C	A	C	4	0		
CAC42	Dekompresjon av orbita med koronal tilgang	C	A	C	4	2		
CAC44	Kombinert dekompresjon av orbita	C	A	C	4	4		
CAC50	Korreksjon av medfødt misdannelse av orbitas beinvegg	C	A	C	5	0		
CAD00	Eksenterasjon av orbita med transplantat eller lapp	C	A	D	0	0		
CAE00	Fjerning av implantat fra orbita	C	A	E	0	0		
CAE10	Revisjon av konjunktivalhule	C	A	E	1	0		
CAE20	Revisjon av konjunktivalhule med transplantat	C	A	E	2	0		
CAW99	Annen operasjon på orbita	C	A	W	9	9		
CBA00	Incisjon av øyelokk	C	B	A	0	0		
CBA10	Biopsi av øyelokk	C	B	A	1	0		
CBB00	Eksisjon av chalazion	C	B	B	0	0		
CBB10	Eksisjon av løs hud i øyelokk	C	B	B	1	0		
CBB15	Reseksjon av fetthernie i øyelokk	C	B	B	1	5		
CBB20	Eksisjon av løs hud og reseksjon av fetthernie i øyelokk	C	B	B	2	0		
CBB30	Ekstirpasjon av lesjon i øyelokk	C	B	B	3	0		
CBB35	Kryokirurgi av lesjon i øyelokk	C	B	B	3	5		
CBB40	Elektrokoagulasjon av lesjon i øyelokk	C	B	B	4	0		
CBB50	Ekstirpasjon av lesjon i øyelokk og rekonstruksjon med transplantat eller lapp	C	B	B	5	0		
CBB99	Annet inngrep ved lokal forandring i øyelokk	C	B	B	9	9		
CBC00	Sutur av øyelokk	C	B	C	0	0		
CBC10	Fjerning av fremmedlegeme fra øyelokk	C	B	C	1	0		
CBC99	Annen operasjon for skade av øyelokk	C	B	C	9	9		
CBD00	Rekonstruksjon av øyelokk med sutur	C	B	D	0	0		
CBD10	Rekonstruksjon av øyelokk med transplantat eller lapp	C	B	D	1	0		
CBD99	Annen rekonstruksjon av øyelokk	C	B	D	9	9		
CBE00	Sutur av øyelokk for entropion	C	B	E	0	0		
CBE10	Flytting og stramming av orbicularis oculi ved entropion	C	B	E	1	0		
CBE20	Stramming av øyelokksretraktorer for entropion	C	B	E	2	0		
CBE30	Horisontal stramming for entropion	C	B	E	3	0		
CBE40	Kombinert korreksjon av entropion	C	B	E	4	0		
CBE99	Annen operasjon for entropion	C	B	E	9	9		
CBF00	Elektrokoagulasjon for ektropion	C	B	F	0	0		
CBF10	Stramming av ligament i canthus for ektropion	C	B	F	1	0		
CBF20	Reseksjon av tarsus for ektropion	C	B	F	2	0		
CBF30	Reseksjon av tarsus og hud for ektropion	C	B	F	3	0		
CBF40	Rekonstruksjon av øyelokk ved arrektropion	C	B	F	4	0		
CBF99	Annen operasjon for ektropion	C	B	F	9	9		
CBG00	Elektrolyseepilasjon av cilier	C	B	G	0	0		
CBG10	Kryokirurgi for trichiasis	C	B	G	1	0		
CBG20	Rekonstruksjon av øyelokkskant ved trichiasis	C	B	G	2	0		
CBG99	Annen operasjon for trichiasis	C	B	G	9	9		
CBH00	Canthotomi	C	B	H	0	0		
CBH05	Canthopeksi	C	B	H	0	5		
CBH10	Rekonstruksjon av canthus	C	B	H	1	0		
CBH20	Sentral tarsorafi	C	B	H	2	0		
CBH30	Lateral eller medial tarsorafi	C	B	H	3	0		
CBH40	Oppklipping av tarsorafi	C	B	H	4	0		
CBH50	Rekonstruksjon ved epicanthus	C	B	H	5	0		
CBH99	Annen operasjon på canthus	C	B	H	9	9		
CBJ00	Løfting av øyelokk med sutur	C	B	J	0	0		
CBJ10	Løfting av øyelokk med fasciestripe	C	B	J	1	0		
CBJ20	Tarsomyektomi på øyelokk	C	B	J	2	0		
CBJ30	Rekonstruksjon av levatoraponevrose i øyelokk	C	B	J	3	0		
CBJ40	Reseksjon av levatormuskel i øyelokk	C	B	J	4	0		
CBJ50	Operasjon for ptose av øyebryn	C	B	J	5	0		
CBJ99	Annen operasjon for ptose i øyeregionen	C	B	J	9	9		
CBK00	Myotomi ved øyelokksretraksjon	C	B	K	0	0		
CBK10	Operasjon for lagoftalmus	C	B	K	1	0		
CBK99	Annen operasjon for øyelokksretraksjon eller lagoftalmus	C	B	K	9	9		
CBL00	Myektomi eller nevrotomi for blefarospasme	C	B	L	0	0		
CBL99	Annen operasjon for blefarospasme	C	B	L	9	9		
CBW99	Annen operasjon på øyelokk	C	B	W	9	9		
CCA00	Incisjon av tårekjertel	C	C	A	0	0		
CCA10	Biopsi av tårekjertel	C	C	A	1	0		
CCA20	Incisjon av tårepunkt eller tårekanalikkel	C	C	A	2	0		
CCA30	Incisjon av tåresekk	C	C	A	3	0		
CCA40	Biopsi av tåreveier	C	C	A	4	0		
CCB00	Partiell dacryoadenektomi	C	C	B	0	0		
CCB10	Total dacryoadenektomi	C	C	B	1	0		
CCB99	Annen operasjon på tårekjertel	C	C	B	9	9		
CCC00	Okklusjon av tårepunkt eller tårekanalikkel	C	C	C	0	0		
CCC50	Dacryocystektomi	C	C	C	5	0		
CCC99	Annen operasjon på tåreveier	C	C	C	9	9		
CCD00	Lukking av tårefistel	C	C	D	0	0		
CCD10	Sutur av tårekanalikkel	C	C	D	1	0		
CCD20	Sutur og intubasjon av tårekanalikkel	C	C	D	2	0		
CCD30	Rekonstruksjon av tårekanalikkel	C	C	D	3	0		
CCD40	Perkutan dacryocystorhinostomi	C	C	D	4	0		
CCD50	Dacryocystorhinostomi med intubasjon	C	C	D	5	0		
CCD60	Transnasal dacryocystorhinostomi	C	C	D	6	0		
CCD70	Conjunctivocystorhinostomi med intubasjon	C	C	D	7	0		
CCD99	Annet rekonstruksjonsinngrep på tåreveier	C	C	D	9	9		
CCW99	Annen operasjon på tåreapparatet	C	C	W	9	9		
CDB00	Åpen fjerning av intrabulbært fremmedlegeme	C	D	B	0	0		
CDB10	Fjerning av intrabulbært fremmedlegeme med magnet	C	D	B	1	0		
CDB99	Annen fjerning av intrabulbært fremmedlegeme	C	D	B	9	9		
CDC00	Enukleasjon av øye	C	D	C	0	0		
CDC10	Enukleasjon av øye med innlegging av protese	C	D	C	1	0		
