AA0 27	Innlegging av intracerebral trykkmåler
ABB 20	Drenasje av cyste i ryggmarg eller spinalkanal
ABB 30	Destruksjon av lesjon i spinalkanalen
ABB 40	Evakuering av spontant hematom i spinalkanalen
ABB 50	Dekompresjon i spinalkanalen for lesjon i ryggmarg eller nerverot
ABB 99	Annen operasjon for lesjon i spinalkanalen
ABC 01	Perkutan endoskopisk diskektomi for cervikalt skiveprolaps
ABC 04	Perkutan endoskopisk diskektomi for torakalt skiveprolaps
ABC 07	Perkutan endoskopisk diskektomi for lumbalt skiveprolaps
ABC 10	Mikrokirurgisk ekstirpasjon av cervikalt skiveprolaps
ABC 13	Mikrokirurgisk ekstirpasjon av torakalt skiveprolaps
ABC 16	Mikrokirurgisk ekstirpasjon av lumbalt skiveprolaps
ABC 20	Diskektomi i cervikalkolumna
ABC 23	Diskektomi i torakalkolumna
ABC 26	Diskektomi i lumbalkolumna
ABC 30	Dekompresjon av nerverøtter for degenerativ tilstand i cervikalkolumna
ABC 33	Dekompresjon av nerverøtter for degenerativ tilstand i torakalkolumna
ABC 36	Dekompresjon av nerverøtter for degenerativ tilstand i lumbalkolumna
ABC 40	Dekompresjon av cauda equina for degenerativ tilstand i sacrum
ABC 60	Dekompresjon av cervikalmarg for degenerativ tilstand
ABC 63	Dekompresjon av torakalmarg for degenerativ tilstand
ABC 66	Dekompresjon av lumbalmarg for degenerativ tilstand
ABC 99	Annen dekompresjon av ryggmarg eller nerverot for degenerativ lidelse i kolumna
ABD 10	Chordotomi
ABD 20	Myelotomi
ABD 30	Implantasjon av spinal stimulator
ABD 40	Implantasjon av spinalt injeksjonsutstyr
ABD 50	Rhizotomi av spinalnerve for smerte eller funksjonsforstyrrelse
ABD 99	Annen operasjon på ryggmarg eller nerverot for smerte eller funksjonsforstyrrelse
ABE 10	Operasjon for myelo- eller meningocele
ABE 20	Løsning av tethered cord eller diastematomyeli
ABE 30	Eksisjon av dermalsinus
ABE 40	Operasjon for hydromyeli
ABE 50	Oksipitocervikal dekompresjon
ABE 99	Annen operasjon for medfødt spinal misdannelse
ABW 99	Annen operasjon på spinalkanal, ryggmarg eller nerverot
ACA 11	Eksplorasjon av nervus medianus
ACA 12	Eksplorasjon av nervus radialis
ACA 13	Eksplorasjon av nervus ulnaris
ACA 14	Eksplorasjon av nervus peroneus
ACA 15	Eksplorasjon av nervus tibialis
ACA 19	Eksplorasjon av annen eller uspesifisert nerve
ACA 21	Biopsi av nervus medianus
ACA 22	Biopsi av nervus radialis
ACA 23	Biopsi av nervus ulnaris
ACA 24	Biopsi av nervus peroneus
ACA 25	Biopsi av nervus tibialis
ACA 29	Biopsi av annen eller uspesifisert nerve
ACA 91	Annen diagnostisk operasjon på nervus medianus
ACA 92	Annen diagnostisk operasjon på nervus radialis
ACA 93	Annen diagnostisk operasjon på nervus ulnaris
ACA 94	Annen diagnostisk operasjon på nervus peroneus
ACA 95	Annen diagnostisk operasjon på nervus tibialis
ACA 99	Annen diagnostisk operasjon på annen el uspesifisert nerve
ACB 11	Eksisjon av lesjon i nervus medianus
ACB 12	Eksisjon av lesjon i nervus radialis
ACB 13	Eksisjon av lesjon i nervus ulnaris
ACB 14	Eksisjon av lesjon i nervus peroneus
ACB 15	Eksisjon av lesjon i nervus tibialis
ACB 19	Eksisjon av lesjon i annen eller uspesifisert perifer nerve
ACB 21	Sutur av nervus medianus
ACB 22	Sutur av nervus radialis
ACB 23	Sutur av nervus ulnaris
ACB 24	Sutur av nervus peroneus
ACB 25	Sutur av nervus tibialis
ACB 29	Sutur av annen eller uspesifisert nerve
ACB 99	Annen operasjon for lesjon i perifer nerve
ACC 11	Overskjæring av nervus medianus
ACC 12	Overskjæring av nervus radialis
ACC 13	Overskjæring av nervus ulnaris
ACC 14	Overskjæring av nervus peroneus
ACC 15	Overskjæring av nervus tibialis
ACC 19	Overskjæring av annen eller uspesifisert nerve
ACC 21	Rekonstruksjon av nervus medianus
ACC 22	Rekonstruksjon av nervus radialis
ACC 23	Rekonstruksjon av nervus ulnaris
ACC 24	Rekonstruksjon av nervus peroneus
ACC 25	Rekonstruksjon av nervus tibialis
ACC 29	Rekonstruksjon av annen eller uspesifisert nerve
ACC 30	Rekonstruksjon av nervepleksus
ACC 41	Transposisjon av nervus medianus
ACC 42	Transposisjon av nervus radialis
ACC 43	Transposisjon av nervus ulnaris
ACC 44	Transposisjon av nervus peroneus
ACC 45	Transposisjon av nervus tibialis
ACC 49	Transposisjon av annen eller uspesifisert nerve
ACC 51	Dekompresjon og adheranseløsning av nervus medianus
ACC 52	Dekompresjon og adheranseløsning av nervus radialis
ACC 53	Dekompresjon og adheranseløsning av nervus ulnaris
ACC 54	Dekompresjon og adheranseløsning av nervus peroneus
ACC 55	Dekompresjon og adheranseløsning av nervus tibialis
ACC 59	Dekompresjon og adheranseløsning av annen eller uspesifisert nerve
ACC 91	Annen operasjon for funksjonsforstyrrelse i nervus medianus
ACC 92	Annen operasjon for funksjonsforstyrrelse i nervus radialis
ACC 93	Annen operasjon for funksjonsforstyrrelse i nervus ulnaris
ACC 94	Annen operasjon for funksjonsforstyrrelse i nervus peroneus
ACC 95	Annen operasjon for funksjonsforstyrrelse i nervus tibialis
ACC 99	Annen operasjon for funksjonsforstyrrelse i annen eller uspesifisert nerve
ACW 99	Annen operasjon på perifer nerve
ADA 10	Cervikal sympatektomi
ADA 20	Torakal sympatektomi
ADA 30	Lumbal sympatektomi
ADA 99	Annen operasjon på sympatisk nerve
ADW 99	Annen operasjon på det autonome nervesystem
AWA 00	Reoperasjon for sårruptur i nervesystemet
AWB 00	Reoperasjon for overfladisk infeksjon i nervesystemet
AWC 00	Reoperasjon for dyp infeksjon i nervesystemet
AWD 00	Reoperasjon for overfladisk blødning i nervesystemet
AWE 00	Reoperasjon for dyp blødning i nervesystemet
AWW 99	Annen reoperasjon på nervesystemet
BAA 00	Biopsi av tyreoidea
BAA 05	Eksplorasjon av tyreoidea
BAA 10	Incisjon av tyreoidea
BAA 20	Unilateral reseksjon av tyreoidea
BAA 25	Bilateral reseksjon av tyreoidea
BAA 30	Eksisjon av isthmus thyreoideae
BAA 40	Unilateral lobektomi av tyreoidea
BAA 50	Lobektomi og reseksjon av kontralateral tyreoidealapp
BAA 60	Total tyreoidektomi
BAA 99	Annen operasjon på tyreoidea
BBA 10	Biopsi av paratyreoidea
BBA 20	Eksplorasjon av paratyreoidea
BBA 30	Ekstirpasjon av lesjon i paratyreoidea
BBA 40	Subtotal paratyreoidektomi
BBA 50	Total paratyreoidektomi
BBA 70	Implantasjon eller transplantasjon av paratyreoidea
BBA 99	Annen operasjon på paratyreoidea
BCA 10	Biopsi av binyre
BCA 11	Laparoskopisk biopsi av binyre
BCA 15	Incisjon av binyre
BCA 20	Ekstirpasjon av lesjon i binyre
BCA 30	Unilateral adrenalektomi
BCA 31	Laparoskopisk unilateral adrenalektomi
BCA 40	Bilateral adrenalektomi
BCA 41	Laparoskopisk bilateral adrenalektomi
BCA 99	Annen operasjon på binyre
BDA 10	Operasjon på glomus caroticum
BWA 00	Reoperasjon for sårruptur ved endokrin kirurgi
BWB 00	Reoperasjon for overfladisk infeksjon ved endokrin kirurgi
BWC 00	Reoperasjon for dyp infeksjon ved endokrin kirurgi
BWD 00	Reoperasjon for overfladisk blødning ved endokrin kirurgi
BWE 00	Reoperasjon for dyp blødning ved endokrin kirurgi
BWW 99	Annen reoperasjon ved endokrin kirurgi
CAA 00	Punksjon av abscess i orbita
CAA 10	Eksplorativ fremre orbitotomi
CAA 20	Eksplorativ lateral orbitotomi
CAA 30	Biopsi fra orbita
CAB 00	Fremre orbitotomi med ekstirpasjon av lesjon
CAB 10	Lateral orbitotomi med ekstirpasjon av lesjon
CAB 40	Transkraniell orbitotomi med ekstirpasjon av lesjon
CAB 50	Orbitotomi med fjerning av fremmedlegeme
CAC 00	Rekonstruksjon av orbitas beinvegg
CAC 10	Rekonstruksjon av orbitas beinvegg med beintransplantat eller skinne
CAC 20	Dekompressiv lateral orbitotomi
CAC 30	Dekompressiv orbitotomi til bihule
CAC 40	Transkraniell dekompresjon av orbitatak eller canalis opticus
CAC 42	Dekompresjon av orbita med koronal tilgang
CAC 46	Kombinert dekompresjon av orbita
CAC 50	Korreksjon av medfødt misdannelse av orbitas beinvegg
CAD 00	Eksenterasjon av orbita med transplantat eller lapp
CAE 00	Fjerning av implantat fra orbita
CAE 10	Revisjon av konjunktivalhule
CAE 20	Revisjon av konjunktivalhule med transplantat
CAW 99	Annen operasjon på orbita
CBA 00	Incisjon av øyelokk
CBA 10	Biopsi av øyelokk
CBB 00	Eksisjon av chalazion
CBB 10	Eksisjon av løs hud i øyelokk
CBB 15	Reseksjon av fetthernie i øyelokk
CBB 20	Eksisjon av løs hud og reseksjon av fetthernie i øyelokk
CBB 30	Ekstirpasjon av lesjon i øyelokk
CBB 35	Kryokirurgi av lesjon i øyelokk
CBB 40	Elektrokoagulasjon av lesjon i øyelokk
CBB 50	Ekstirpasjon av lesjon i øyelokk og rekonstruksjon med transplantat eller lapp
CBB 99	Annet inngrep ved lokal forandring i øyelokk
CBC 00	Sutur av øyelokk
CBC 10	Fjerning av fremmedlegeme fra øyelokk
CBC 99	Annen operasjon for skade av øyelokk
CBD 00	Rekonstruksjon av øyelokk med sutur
CBD 10	Rekonstruksjon av øyelokk med transplantat eller lapp
CBD 99	Annen rekonstruksjon av øyelokk
CBE 00	Sutur av øyelokk for entropion
CBE 10	Flytting og stramming av orbicularis oculi ved entropion
CBE 20	Stramming av øyelokksretraktorer for entropion
CBE 30	Horisontal stramming for entropion
CBE 40	Kombinert korreksjon av entropion
CBE 99	Annen operasjon for entropion
CBF 00	Elektrokoagulasjon for ektropion
CBF 10	Stramming av ligament i canthus for ektropion
CBF 20	Reseksjon av tarsus for ektropion
CBF 30	Reseksjon av tarsus og hud for ektropion
CBF 40	Rekonstruksjon av øyelokk ved arrektropion
CBF 99	Annen operasjon for ektropion
CBG 00	Elektrolyseepilasjon av cilier
CBG 10	Kryokirurgi for trichiasis
CBG 20	Rekonstruksjon av øyelokkskant ved trichiasis
CBG 99	Annen operasjon for trichiasis
CBH 00	Canthotomi
CBH 05	Canthopeksi
CBH 10	Rekonstruksjon av canthus
CBH 20	Sentral tarsorafi
CBH 30	Lateral eller medial tarsorafi
CBH 40	Oppklipping av tarsorafi
CBH 50	Rekonstruksjon ved epicanthus
CBH 99	Annen operasjon på canthus
CBJ 00	Løfting av øyelokk med sutur
CBJ 10	Løfting av øyelokk med fasciestripe
CBJ 20	Tarsomyektomi på øyelokk
CBJ 30	Rekonstruksjon av levatoraponevrose i øyelokk
CBJ 40	Reseksjon av levatormuskel i øyelokk
CBJ 50	Operasjon for ptose av øyebryn
CBJ 99	Annen operasjon for ptose i øyeregionen
CBK 00	Myotomi ved øyelokksretraksjon
CBK 10	Operasjon for lagoftalmus
CBK 99	Annen operasjon for øyelokksretraksjon eller lagoftalmus
CBL 00	Myektomi eller nevrotomi for blefarospasme
CBL 99	Annen operasjon for blefarospasme
CBW 99	Annen operasjon på øyelokk
CCA 00	Incisjon av tårekjertel
CCA 10	Biopsi av tårekjertel
CCA 20	Incisjon av tårepunkt eller tårekanalikkel
CCA 30	Incisjon av tåresekk
CCA 40	Biopsi av tåreveier
CCB 00	Partiell dacryoadenektomi
CCB 10	Total dacryoadenektomi
CCB 99	Annen operasjon på tårekjertel
CCC 00	Okklusjon av tårepunkt eller tårekanalikkel
CCC 50	Dacryocystektomi
CCC 99	Annen operasjon på tåreveier
CCD 00	Lukking av tårefistel
CCD 10	Sutur av tårekanalikkel
CCD 20	Sutur og intubasjon av tårekanalikkel
CCD 30	Rekonstruksjon av tårekanalikkel
CCD 40	Perkutan dacryocystorhinostomi
CCD 50	Dacryocystorhinostomi med intubasjon
CCD 60	Transnasal dacryocystorhinostomi
CCD 70	Conjunctivocystorhinostomi med intubasjon
CCD 99	Annet rekonstruksjonsinngrep på tåreveier
CCW 99	Annen operasjon på tåreapparatet
CDB 00	Åpen fjerning av intrabulbært fremmedlegeme
CDB 10	Fjerning av intrabulbært fremmedlegeme med magnet
CDB 99	Annen fjerning av intrabulbært fremmedlegeme
CDC 00	Enukleasjon av øye
CDC 10	Enukleasjon av øye med innlegging av protese
CDC 20	Enukleasjon av øye med transplantat
CDC 30	Eviscerasjon av øye
CDC 40	Eviscerasjon av øye med innlegging av protese
CDC 50	Eviscerasjon av øye med transplantat
CDW 99	Annen operasjon på øyeeplet
CEA 00	Biopsi av øyemuskel
CEB 00	Myektomi av øyemuskel
CEB 10	Partiell myotomi av øyemuskel
CEB 20	Total myotomi av øyemuskel
CEB 30	Tenotomi av øyemuskel
CEC 00	Tilbakelegging av øyemuskel
CEC 10	Tilbakelegging og reseksjon av øyemuskel
CEC 20	Tilbakelegging og fremlegging av øyemuskler
CEC 30	Reseksjon av øyemuskel
CEC 40	Reseksjon og fremlegging av øyemuskel
CEC 50	Fremlegging av øyemuskel
CEC 60	Flytting av øyemuskel med justerbar sutur
CEC 70	Flytting av øyemuskler ved nystagmus
CEC 80	Partiell transposisjon av øyemuskel
CEC 90	Total transposisjon av øyemuskel
CED 00	Folding av øyemuskel
CEE 00	Fiksasjonssutur i øyemuskel
CEE 10	Fiksasjon av øyemuskel med ankersutur
CEF 00	Løsning av fastloddet øyemuskel
CEF 10	Sutur av skadet øyemuskel eller Tenons kapsel
CEW 99	Annen operasjon på øyemuskel
CFA 00	Incisjon av conjunctiva
CFA 10	Peritomi av conjunctiva
CFA 20	Biopsi av conjunctiva
CFB 00	Sutur av conjunctiva
CFB 10	Fjerning av fremmedlegeme fra conjunctiva
CFC 00	Ekstirpasjon av lesjon i conjunctiva
CFC 10	Laserterapi av lesjon i conjunctiva
CFC 20	Kryokirurgi av lesjon i conjunctiva
CFC 30	Eksisjon av trakomfollikler
CFD 00	Rekonstruksjon av conjunctiva uten transplantat
CFD 10	Rekonstruksjon av conjunctiva med transplantat
CFW 99	Annen operasjon på conjunctiva
CGA 00	Biopsi av cornea
CGA 10	Biopsi av sclera
CGB 00	Keratotomi
CGB 10	Sklerotomi
CGC 10	Fjerning av fremmedlegeme fra cornea
CGC 20	Fjerning av fremmedlegeme fra cornea med magnet
CGC 30	Fjerning av fremmedlegeme fra sclera
CGC 40	Fjerning av fremmedlegeme fra sclera med magnet
CGD 00	Keratotomi for refraksjonsanomali
CGD 10	Laserkeratoplastikk for refraksjonsanomali
CGD 20	Keratomileuse
CGD 99	Annen operasjon for refraksjonsanomali
CGE 10	Keratektomi
CGE 15	Laserterapi av cornea
CGE 20	Termokauterisering av lesjon i cornea
CGE 25	Kryokirurgi av cornea
CGE 30	Sklerektomi
CGE 35	Laserterapi av sclera
CGE 40	Termokauterisering av sclera
CGE 50	Eksisjon av pterygium
CGE 55	Eksisjon av pterygium med transplantasjon av conjunctiva
CGE 99	Annen operasjon for lesjon i cornea eller sclera
CGF 00	Lukking av sår i cornea med vevslim
CGF 10	Sutur av sår i cornea
CGF 20	Sutur av sår i cornea med dekking av conjunctiva
CGF 25	Sutur av sår i cornea med fjerning av prolabert uvealvev
CGF 30	Dekking av cornea med conjunctiva
CGF 40	Lukking av sår i sclera med vevslim
CGF 45	Sutur av sår i sclera
CGF 50	Sutur av sår i sclera med dekking av conjunctiva
CGF 55	Sutur av sår i sclera med fjerning av prolabert uvealvev
CGF 99	Annen operasjon på cornea eller sclera for perforerende skade
CGG 00	Tatovering av cornea
CGG 10	Termokauterisering av cornea
CGG 20	Epikeratofaki eller keratofaki
CGG 30	Lamellær corneatransplantasjon
CGG 40	Gjennomgående autotransplantasjon av cornea
CGG 45	Gjennomgående homotransplantasjon av cornea
CGG 50	Implantasjon av keratoprotese
CGG 60	Forsterkning av sclera med transplantat
CGG 99	Annet rekonstruksjonsinngrep på cornea eller sclera
CGW 99	Annen operasjon på cornea eller sclera
CHA 10	Biopsi av iris
CHA 20	Biopsi av corpus ciliare
CHB 00	Lasersynekiolyse
CHB 10	Kammerpunksjon med irrigasjon
CHB 15	Kammerpunksjon med erstatning av kammervann
CHB 20	Goniopunktur
CHB 30	Goniotomi
CHB 40	Goniosynekiolyse
CHB 50	Trabekulotomi
CHB 60	Fremre synekiolyse
CHB 65	Bakre synekiolyse
CHB 99	Annen operasjon på fremre kammer eller kammervinkelen
CHC 00	Iridotomi
CHC 05	Laseriridotomi
CHC 10	Basal iridektomi
CHC 20	Sektoriridektomi
CHC 30	Sentral iridektomi
CHD 00	Lasertrabekuloplastikk
CHD 10	Trabekulektomi
CHD 15	Trabekulektomi og iridektomi
CHD 20	Trepanasjon av sclera
CHD 25	Trepanasjon av sclera med iridektomi
CHD 30	Lasertrabekulektomi
CHD 40	Iridencleise
CHD 50	Implantasjon av kateter til fremre kammer
CHD 99	Annen filtrasjonsoperasjon
CHE 00	Pupillotomi
CHE 05	Laserpupillotomi
CHE 10	Ekstirpasjon av lesjon i iris
CHE 20	Laserterapi av lesjon i iris
CHE 99	Annen operasjon for lesjon i iris
CHF 00	Ekstirpasjon av lesjon i corpus ciliare
CHF 05	Transskleral laserkoagulasjon av corpus ciliare
CHF 10	Transpupillær laserkoagulasjon av corpus ciliare
CHF 15	Kryokirurgi av corpus ciliare
CHF 20	Elektrokoagulasjon av corpus ciliare
CHF 30	Cyclodialyse
CHF 99	Annen operasjon på corpus ciliare
CHW 99	Annen operasjon på fremre kammer, kammervinkelen, iris eller corpus ciliare
CJB 00	Discisjon av sekundær katarakt
CJB 10	Laserdiscisjon av sekundær katarakt
CJB 20	Skylling og polering av sekundær katarakt
CJB 30	Eksisjon av sekundær katarakt
CJB 99	Annen operasjon for sekundær katarakt
CJC 00	Intrakapsulær kataraktekstraksjon
CJC 05	Intrakapsulær kataraktekstraksjon med iridektomi eller iridotomi
CJC 10	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer
CJC 15	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJC 20	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer
CJC 25	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJC 99	Annen intrakapsulær kataraktoperasjon
CJD 00	Ekstrakapsulær kataraktekstraksjon
CJD 05	Ekstrakapsulær kataraktekstraksjon med iridektomi eller iridotomi
CJD 10	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer
CJD 15	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJD 20	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer
CJD 25	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJD 30	Pars plana-lensektomi
CJD 99	Annen ekstrakapsulær kataraktoperasjon
CJE 00	Fakoemulsifikasjon
CJE 05	Fakoemulsifikasjon med iridektomi eller iridotomi
CJE 10	Fakoemulsifikasjon med implantasjon av kunstig linse i fremre kammer
CJE 15	Fakoemulsifikasjon med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJE 20	Fakoemulsifikasjon med implantasjon av kunstig linse i bakre kammer
CJE 25	Fakoemulsifikasjon med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJE 99	Annen ekstrakapsulær kataraktoperasjon med emulsifikasjon
CJF 00	Sekundær implantasjon av kunstig linse i fremre kammer
CJF 10	Sekundær implantasjon av kunstig linse i bakre kammer
CJF 20	Fjerning av kunstig linse
CJF 30	Reposisjon av kunstig linse
CJF 40	Utskifting av kunstig linse i fremre kammer
CJF 45	Utskifting av kunstig linse i fremre kammer med iridektomi eller iridotomi
CJF 50	Utskifting av kunstig linse i bakre kammer
CJF 55	Utskifting av kunstig linse i bakre kammer med iridektomi eller iridotomi
CJF 99	Annen operasjon ved kunstig linse
CJG 00	Ekstraksjon av luksert linse
CJG 05	Ekstraksjon av luksert linse med iridektomi eller iridotomi
CJG 10	Ekstraksjon av luksert linse med implantasjon av kunstig linse i fremre kammer
CJG 15	Ekstraksjon av luksert linse med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJG 20	Ekstraksjon av luksert linse med implantasjon av kunstig linse i bakre kammer
CJG 25	Ekstraksjon av luksert linse med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJG 99	Annen operasjon ved linseluksasjon
CJW 99	Annen operasjon på linse
CKA 00	Biopsi av choroidea
CKA 10	Biopsi av corpus vitreum
CKA 20	Biopsi av retina
CKB 00	Punksjon og aspirasjon av corpus vitreum
CKB 10	Punksjon, aspirasjon av corpus vitreum og injeksjon av substitutt
CKB 99	Annen operasjon ved chorioidalløsning
CKC 00	Fotoruptur av corpus vitreum
CKC 10	Lokal fotokoagulasjon av retina
CKC 15	Panretinal fotokoagulasjon
CKC 20	Cryopeksi av tilliggende retina
CKC 30	Cryopeksi av avløst retina
CKC 40	Elektrokoagulasjon av retina
CKC 50	Transskleral laserterapi av retina
CKC 60	Lokal innbukning av sclera med plombe
CKC 65	Fjerning av plombe fra sclera
CKC 70	Sirkulær innbukning av sclera
CKC 75	Fjerning av cerclage fra sclera
CKC 99	Annen ekstraokulær operasjon på corpus vitreum eller retina
CKD 00	Dekompressiv punktur av corpus vitreum
CKD 05	Injeksjon av medikament i corpus vitreum
CKD 10	Insufflasjon av corpus vitreum
CKD 15	Injeksjon av substitutt i corpus vitreum
CKD 20	Fjerning av corpus vitreum-substitutt
CKD 25	Ekstern drenasje av subretinal væske
CKD 30	Intern drenasje av subretinal væske
CKD 40	Endofotokoagulasjon av retina
CKD 45	Endokryokirurgi av retina
CKD 50	Endodiatermi av retina
CKD 60	Fremre vitrektomi
CKD 65	Pars plana- eller pars plicata-vitrektomi
CKD 70	Eksisjon av preretinal eller epiretinal membran
CKD 75	Retinotomi
CKD 80	Retinektomi
CKD 85	Fjerning av subretinal membran eller streng
CKD 90	Fjerning av subretinal blødning
CKD 99	Annen intraokulær operasjon på corpus vitreum eller retina
CKE 00	Ekstirpasjon av lesjon i choroidea
CKE 10	Transpupillær fotokoagulasjon av lesjon i choroidea
CKE 15	Endofotokoagulasjon av lesjon i choroidea
CKE 20	Kryokirurgi av lesjon i choroidea
CKE 30	Ekstirpasjon av lesjon i retina
CKE 40	Transpupillær fotokoagulasjon av lesjon i retina
CKE 45	Endofotokoagulasjon av lesjon i retina
CKE 50	Kryokirurgi av lesjon i retina
CKE 60	Brakyterapi av choroidea og retina
CKE 65	Fjerning av brakyterapeutisk plate fra øye
CKE 99	Annen operasjon for lesjon i choroidea eller retina
CKW 99	Annen operasjon på choroidea, corpus vitreum eller retina
