Code Type;Year;Code;Code Text;Change from 2012 to 2013?
NCMP;2013;AXAA00;"	Peroperativ overvÜking med elektromyografi (EMG)";
NCMP;2013;AXDP00;"	Videofrenzelundersõkelse";
NCMP;2013;AXFE00;"	Elektromyografi (EMG), visuell vurdering";
NCMP;2013;AXFE02;"	Elektromyografi  (EMG), kvantitativ";
NCMP;2013;AXFE05;"	Single fibre elektromyografi  (SFEMG)";
NCMP;2013;AXFE10;"	Makro elektromyografi (EMG)";
NCMP;2013;AXFE15;"	Elektromyografiveiledet injeksjon";
NCMP;2013;AXFE25;"	Elektronystagmografi med eller uten kalorisk prõve";
NCMP;2013;AXFX00;"	Diagnostisk legemiddeltest";
NCMP;2013;AXFX02;"	Kvalitativ test av luktesans etter standardisert skjema";NEW
NCMP;2013;AXFX09;"	Kvantitative sensoriske tester IKA";
NCMP;2013;BCFX00;"	Funksjonstest ved synacthenstimulering";
NCMP;2013;BCFX05;"	Funksjonstest ved metopironstimulering";
NCMP;2013;BCFX10;"	Funksjonstest ved insulinstimulering";
NCMP;2013;BCFX15;"	Funksjonstest ved suppresjon med dexamethason, kortvarig";
NCMP;2013;BCFX20;"	Funksjonstest ved suppresjon med dexamethason, langvarig";
NCMP;2013;BCFX25;"	Funksjonstest med saltvannsbelastning";
NCMP;2013;BCGC00;"	Binyre venekateterisering";
NCMP;2013;BEFX30;"	Tõrsteprõve med osmolaritetsmÜling i serum og urin";
NCMP;2013;BEFX35;"	Tõrsteprõve med utvidet urinanalyse";
NCMP;2013;BEFX40;"	Funksjonstest ved GnRH-stimulering";
NCMP;2013;BEFX45;"	Funksjonstest ved GHRH-stimulering";
NCMP;2013;BEFX51;"	Funksjonstest av veksthormonfrigjõring fra hypofysen etter stimulering";
NCMP;2013;BEFX55;"	Funksjonstest med TRH-stimulering";
NCMP;2013;BEFX60;"	Funksjonstest ved CRH-stimulering";
NCMP;2013;BEFX65;"	Funksjonstest ved stimulering med kombinasjoner av aktiveringshormoner";
NCMP;2013;BEFX70;"	Funksjonstest ved suppresjon av veksthormon med glukose";
NCMP;2013;BEFX75;"	Funksjonstest ved suppresjon av veksthormon med oktreotid eller bromocriptin";
NCMP;2013;BGFX00;"	Funksjonstest med glucagonstimulering av C-peptid";
NCMP;2013;BGFX05;"	Registrering av blodsukker med subkutan sensor";
NCMP;2013;BGFX10;"	Fasteprõve over lang tid med mÜling av glukose m.m.";
NCMP;2013;BGFX15;"	Funksjonstest med peroral glukosebelastning";
NCMP;2013;BXFX10;"	Tyreoideafunksjonstest ved pentagastrinstimulering";
NCMP;2013;BXFX15;"	Funksjonstest ved kalsiuminfusjon";
NCMP;2013;BXFX89;"	Spesifisert hormonprofil IKA";
NCMP;2013;CCFX00;"	Diagnostisk irrigasjon av tÜreveiene";
NCMP;2013;CCFX05;"	Undersõkelse av tÜreproduksjon";
NCMP;2013;CDDP20;"	Fotoangiografi av õye";
NCMP;2013;CDFM05;"	Trykkurve, õye, langtidsregistrering";
NCMP;2013;CDFX10;"	AkselengdemÜling av õyeglobus";
NCMP;2013;CEFE00;"	Elektromyografi (EMG) av õyemuskler";
NCMP;2013;CEFX00;"	Utredning av skjeling";
NCMP;2013;CGFT00;"	Ultralyd biomikroskopi av hornhinne";
NCMP;2013;CGFX05;"	Keratometri";
NCMP;2013;CGFX06;"	Utvidet keratometri med C-scan";
NCMP;2013;CGFX15;"	MÜling av korneatykkelse (pachymetri)";
NCMP;2013;CGGX00;"	Corneaskylling med skyllelinse";
NCMP;2013;CHDP00;"	Fotografisk registrering av iris med intravenõst kontrastmiddel";
NCMP;2013;CHFX05;"	Provokasjonstest ved trangvinkelglaukom";
NCMP;2013;CKDP10;"	Fundusfotografi";
NCMP;2013;CKFF00;"	MÜling av blodstrõm i õyets bakre segment";
NCMP;2013;CKFX00;"	Retinaundersõkelse av premature/nyfõdte";
NCMP;2013;CKFX16;"	Undersõkelse av õyenbunnsstruktur med lysbõlgebasert teknikk";
NCMP;2013;CXDE00;"	Ultralydundersõkelse av õye";
NCMP;2013;CXDP00;"	Fotografisk opptak av õyets ytre deler";
NCMP;2013;CXFX00;"	Perimetri";
NCMP;2013;CXFX05;"	Kontrastsynundersõkelse";
NCMP;2013;CXFX12;"	Utvidet fargesanstest med anomaloskop";
NCMP;2013;CXFX15;"	Mõrkesynsundersõkelse";
NCMP;2013;CXFX20;"	MÜling av akkomodasjonsbredde";
NCMP;2013;CXFX25;"	Nevrooftalmologisk undersõkelse";
NCMP;2013;CXGC00;"	Tilpasning av synshjelpemiddel";
NCMP;2013;CXGC05;"	Tilpasning av õyeprotese";
NCMP;2013;DBFT00;"	Otomikroskopi";
NCMP;2013;DBGX00;"	Instrumentell fjerning av õrevoks";
NCMP;2013;DBGX20;"	Avstõping av õregang";
NCMP;2013;DFFE86;"	Elektrocochleografi";
NCMP;2013;DFFX00;"	Promontorialtest ved utredning for cochleaimplantat";
NCMP;2013;DFFX05;"	Stabilometri";
NCMP;2013;DFFX10;"	Otonevrologisk utredning av svimmelhet";
NCMP;2013;DFFX87;"	Registrering av otoakustiske emisjoner";
NCMP;2013;DFGT00;"	Utprõving av hõrselhjelpemiddel ved õresus";
NCMP;2013;DFGX00;"	Undersõkelse og behandling i rotasjonsstol";NEW
NCMP;2013;DFGX05;"	Behandlingsmanõvre ved vertigo";
NCMP;2013;DFGX10;"	Medikamentell destruksjon av labyrinten";
NCMP;2013;DFGX15;"	Samtaleterapi ved õresus, ""Tinnitus Retraining Therapy""";
NCMP;2013;DFGX25;"	Analyse av õresus med frekvensbestemmelse m.m.";
NCMP;2013;DGFX00;"	Tubosonometri";
NCMP;2013;DHFM00;"	Rhinomanometri";
NCMP;2013;DHFX00;"	Nasal bõrsteprõve ved mistenkt primër ciliedyskinesi";
NCMP;2013;DHFX05;"	Akustisk rhinometri";
NCMP;2013;DHGX00;"	Fjerning av fremmedlegeme i nese";
NCMP;2013;DQDP00;"	Hõyhastighetsfilming av stemmebÜnd";
NCMP;2013;DQDP05;"	Stroboskopi av stemmebÜnd";
NCMP;2013;DQDP10;"	Videostroboskopi av stemmebÜnd";
NCMP;2013;DQDP15;"	Kontinuerlig fleksibel laryngoskopi under belastning";
NCMP;2013;DXDA00;"	Digital volumtomografi av ansiktsstrukturer";
NCMP;2013;DXDE00;"	Ultralydundersõkelse av bihuler";
NCMP;2013;DXDE10;"	Ultralydundersõkelse av strupe og hals m.m.";
NCMP;2013;DXFX10;"	Toneaudiogram med luft- og/eller beinledning";
NCMP;2013;DXFX11;"	Tympanometri";
NCMP;2013;DXFX12;"	Akustisk impedansmÜling, utvidet";
NCMP;2013;DXFX15;"	Taleaudiogram";
NCMP;2013;DXFX17;"	Rentoneaudiometri, spesialprõver";
NCMP;2013;DXFX18;"	Taleaudiometri i fritt felt";
NCMP;2013;DXFX20;"	Barneaudiologisk test med uformelle prõver";
NCMP;2013;DXFX25;"	Barneaudiologisk test med observasjons- og lekeaudiometri";
NCMP;2013;DXGT00;"	Tilpasning og utprõving av nytt hõreapparat";
NCMP;2013;DXGT05;"	Kontroll av hõreapparat";
NCMP;2013;DXGT10;"	Utskifting eller oppgradering av taleprosessor for cochleaimplantat";
NCMP;2013;DXGX20;"	Rengjõring av radikaloperert õre";
NCMP;2013;DXGX25;"	Rengjõring av annen operasjonskavitet (bihuler e.a.)";
NCMP;2013;EBGC00;"	Tilpasning av bittskinne";
NCMP;2013;EHDA00;"	Videofluoroskopi av velopharynxfunksjon under tale";
NCMP;2013;ELFC00;"	SalivvolumsmÜling";
NCMP;2013;EXDA00;"	Fluoroskopi av orofaryngeal svelging";
NCMP;2013;EXDA05;"	Digital volumtomografi av tenner og kjeve";
NCMP;2013;EXFX00;"	Undersõkelse av svelge-, spise- og drikkefunksjon";
NCMP;2013;FAFM00;"	Invasiv mÜling av sentralt venetrykk";
NCMP;2013;FBGC00;"	Innlegging eller bytte av kateter i lungearterie";
NCMP;2013;FDGM00;"	Medikamentell lukning av ductus arteriosus";
NCMP;2013;FDGM05;"	Medikamentell Üpning av ductus arteriosus";
NCMP;2013;FHGX00;"	Perkutan ablasjon av ventrikkelseptum ved etanolinjeksjon i koronarkar";
NCMP;2013;FJDB01;"	Angiokardiografi ved hõyre hjertekateterisering";
NCMP;2013;FJFX01;"	MÜling av trykk og flow i lille kretslõp ved hjertekateterisering";
NCMP;2013;FNDE00;"	Perkutan transluminal intrakoronar ultralydundersõkelse uten Doppler";
NCMP;2013;FNDE05;"	Perkutan transluminal intrakoronar ultralydundersõkelse med Doppler";
NCMP;2013;FNFM00;"	Intrakoronar trykkregistrering med medikamentinjeksjon";
NCMP;2013;FNOB00;"	Perkutan intrakoronar brakyterapi";
NCMP;2013;FPFE13;"	Vektor-EKG";
NCMP;2013;FPFE14;"	Senpotensial-EKG";
NCMP;2013;FPFE15;"	Holter-EKG";
NCMP;2013;FPFE17;"	Transõsofageal EKG";
NCMP;2013;FPFE18;"	EKG-registrering med isoprenalinprovokasjon";
NCMP;2013;FPFE19;"	EKG-registrering med isvannprovokasjon";
NCMP;2013;FPFE23;"	Elektrofysiologisk undersõkelse av hjertet med rask stimulering mot arytmi";
NCMP;2013;FPFE25;"	Ikke-invasiv elektrofysiogisk hjerteundersõkelse med transõsofageal stimulering";
NCMP;2013;FPFE30;"	Langtids EKG med hendelsesregistrering";
NCMP;2013;FPFE35;"	Invasiv elektrofysiologisk undersõkelse av hjertet";
NCMP;2013;FPFE40;"	Invasiv elektrofysiologisk undersõkelse med 3-D bildebasert signalanalyse";
NCMP;2013;FPFE45;"	Avlesning av langtids EKG-registrator med implanterte elektroder";
NCMP;2013;FPFE50;"	Arbeids-EKG";
NCMP;2013;FPFE55;"	Arbeids-EKG med spirometri og O2-opptak";
NCMP;2013;FPGC00;"	Implantasjon av elektrode(r) for langtids EKG-registrering";
NCMP;2013;FPGC05;"	Innlegging eller bytte av transvenõs pacemaker med atrie-, ventrikkel- og koronarveneelektrode (biventrikulër pacemaker)";
NCMP;2013;FPGC10;"	Innlegging eller bytte av transvenõs defibrillator med atrie-, ventrikkel- og koronarveneelektrode";
NCMP;2013;FPGT00;"	Kontroll, omprogrammering av en-kammer pacemaker eller defibrillator";
NCMP;2013;FPGT05;"	Kontroll, omprogrammering av to-kammer pacemaker/defibrillator";
NCMP;2013;FPGT10;"	Kontroll, omprogrammering av biventrikulër pacemaker/defibrillator";
NCMP;2013;FPGT25;"	Testing av implantert defibrillator med provokasjon av ventrikkelflimmer";
NCMP;2013;FPGX00;"	Rask atrie- eller ventrikkelstimulering ved implantert elektrode";
NCMP;2013;FPGX05;"	Rask atriestimulering ved transõsofageal elektrode";
NCMP;2013;FPGX10;"	Invasiv elektrofysiologisk behandling av arytmi med rask atrie/ventrikkelstimulering (""overdrive pacing"")";
NCMP;2013;FPGX24;"	Elektrokonvertering av hjertearytmi";
NCMP;2013;FYAA04;"	OvervÜking med Swan-Ganz kateter";
NCMP;2013;FYAB81;"	èpen hjertekompresjon";
NCMP;2013;FYDB11;"	Angiokardiografi ved venstre hjertekateterisering";
NCMP;2013;FYDB12;"	Koronar angiografi ved venstre hjertekateterisering";
NCMP;2013;FYDB13;"	Koronar angiografi med undersõkelse av koronar bypass ved venstre hjertekateterisering";
NCMP;2013;FYDB14;"	Tilleggsundersõkelse av perifere karomrÜder under angiografi ved venstre hjertekateterisering";
NCMP;2013;FYDE06;"	Farmakologisk stressekkokardiografi";NEW
NCMP;2013;FYDE07;"	Ergometrisk stressekkokardiografi";NEW
NCMP;2013;FYDE31;"	Fullstendig ekkokardiografi";NEW
NCMP;2013;FYDE32;"	Transõsofageal ekkokardiografi";
NCMP;2013;FYDE33;"	Enkel ekkokardiografi";NEW
NCMP;2013;FYDE40;"	Transtorakal ekkokardiografisk overvÜkning ved perkutan hjerteintervensjon";NEW
NCMP;2013;FYDE41;"	Transõsofageal ekkokardiografisk overvÜkning ved hjerteoperasjon eller perkutan hjerteintervensjon";NEW
NCMP;2013;FYFF00;"	Hjertets minuttvolum mÜlt ved termodilusjonsmetoder";
NCMP;2013;FYFX00;"	Vippetest";
NCMP;2013;FYFX05;"	Fysisk belastningstest (6 min gange eller tilsvarende)";
NCMP;2013;FYFX10;"	Ortostatisk blodtrykksmÜling";
NCMP;2013;GAGT00;"	Kontroll/innstilling av diafragmastimulator";
NCMP;2013;GAGX00;"	Skylling av pleuraempyem";
NCMP;2013;GAGX05;"	Pleurolyse med fibrinolytika";
NCMP;2013;GBGC00;"	Innlegging eller bytte av trakeostomitube";
NCMP;2013;GBGC05;"	Fiberendoskopisk trakeal intubasjon";
NCMP;2013;GBGC10;"	Endotrakeal intubasjon";
NCMP;2013;GBGM00;"	Bruk av surfactant ved initial gjenoppliving umiddelbart etter fõdsel";
NCMP;2013;GBGM05;"	Bruk av surfactant senere i nyfõdtperioden";
NCMP;2013;GBGX10;"	Rensuging med sensorisk stimulans av nyfõdte";
NCMP;2013;GCFF05;"	Peak expiratory flow (PEF)-mÜling med anstrengelsesprovokasjon";
NCMP;2013;GCFF10;"	Peak expiratory flow (PEF), langtidsobservasjon med automatisk logging";
NCMP;2013;GCGS00;"	Indusert sputumprõve etter inhalasjon av hyperosmolër NaCl";
NCMP;2013;GCGS05;"	Bronkioalveolër lavage med uthenting av vevsprõve/hvite blodlegemer";
NCMP;2013;GCGX00;"	Bronkialtoalett";
NCMP;2013;GDFC00;"	Spirometri";
NCMP;2013;GDFC05;"	Spirometri med inhalasjon av hurtigvirkende bronkieutvidende legemiddel";
NCMP;2013;GDFC10;"	Spirometri med inhalasjon av langsomtvirkende bronkieutvidende legemiddel";
NCMP;2013;GDFC20;"	Spirometri med oscillometri for mÜling av perifer luftveismotstand";
NCMP;2013;GDFC25;"	Spirometri med medikamentell provokasjon";
NCMP;2013;GDFC30;"	Spirometri med fysisk belastning";
NCMP;2013;GDFC35;"	MÜling av funksjonell residualkapasitet med SF6- eller He-inhalasjon";
NCMP;2013;GDFM00;"	MÜling av maksimale respiratoriske trykk og ""sniff""-test";
NCMP;2013;GDFM05;"	MÜling av transdiafragmale trykk ved voluntër ventilasjon";
NCMP;2013;GDFX00;"	Pletysmografi";
NCMP;2013;GDFX05;"	Pletysmografi med mÜling av luftveisresistens/-konduktans I";
NCMP;2013;GDFX10;"	Pletysmografi med mÜling av luftveisresistens/-konduktans II";
NCMP;2013;GDFX15;"	MÜling av gassutvekslingsevne ved karbonmonoksiddiffusjon";
NCMP;2013;GDFX20;"	MÜling av nitrogenmonoksid i ekspirasjonsluft";
NCMP;2013;GDFX25;"	Nitrogenutvasking etter O2-inhalasjon";
NCMP;2013;GDFX30;"	MÜling av lungeelastisitet";
NCMP;2013;GDFX35;"	""Single-breath"" okklusjonstest for mÜling av luftveisresistens og compliance";
NCMP;2013;GDFX40;"	""Single-breath"" med nitrogentest";
NCMP;2013;GEGX00;"	Magnetisk frenikusstimulering";
NCMP;2013;GFPE05;"	Embolisering av arteriovenõs malformasjon i lunge";
NCMP;2013;GXAV01;"	Respiratorbehandling INA";
NCMP;2013;GXAV10;"	Behandling med kontinuerlig positivt luftveistrykk";
NCMP;2013;GXAV20;"	Behandling med bifasisk positivt luftveistrykk";
NCMP;2013;GXAV22;"	Behandling med bifasisk positivt og negativt luftveistrykk";
NCMP;2013;GXAV24;"	Respiratorbehandling med hõyfrekvensventilasjon";
NCMP;2013;GXAV25;"	Behandling med spesielle inhalasjonsgasser";
NCMP;2013;GXAV28;"	Manuell luftveisventilasjon";
NCMP;2013;GXAV35;"	Oppstart av behandling med hjemmerespirator";
NCMP;2013;GXDE00;"	Ultralydundersõkelse av pleura";
NCMP;2013;GXDE02;"	Transõsofageal ultralydundersõkelse";
NCMP;2013;GXFX00;"	Hõydesimuleringstest";
NCMP;2013;GXFX10;"	Langtidsregistrering av oksygenmetning";
NCMP;2013;GXFX15;"	Transkutan oksymetri med CO2-mÜling i endetidevolum";
NCMP;2013;GXFX20;"	Transkutan noninvasiv monitorering av pO2 og pCO2";
NCMP;2013;HADE00;"	Ultralydundersõkelse av mamma";
NCMP;2013;IAAA00;"	Systematisk intervju om psykisk helse og rusmiddelbruk";NEW
NCMP;2013;IAAB00;"	Strukturert kartlegging av psykiske symptomer ved bruk av standardiserte verktõy";NEW
NCMP;2013;IAAC00;"	Utvidet og strukturert kartlegging av psykiske lidelser, atferds- eller personlighetsforstyrrelser ved bruk av standardiserte verktõy";NEW
NCMP;2013;IAAD00;"	Strukturert kartlegging av bruk/misbruk/avhengighet av rusmidler, medikamenter og/eller spill ved bruk av standardiserte verktõy";NEW
NCMP;2013;IAAE00;"	Strukturert kartlegging av kriminalitet ";NEW
NCMP;2013;IAAF00;"	Strukturert kartlegging av voldsrisiko";NEW
NCMP;2013;IAAG00;"	Voldsrisikovurdering";NEW
NCMP;2013;IAAH00;"	Systematisk kartlegging av risikofaktorer for selvmord";NEW
NCMP;2013;IAAI00;"	Vurdering av selvmordsfare";NEW
NCMP;2013;IAAJ00;"	Strukturert kartlegging av kognitive funksjoner ";NEW
NCMP;2013;IAAK00;"	Fullstendig nevropsykologisk utredning utfõrt og tolket av nevropsykolog	";NEW
NCMP;2013;IABA00;"	Systematisk kartlegging av somatisk helsetilstand";NEW
NCMP;2013;IABB00;"	Psykosomatisk vurdering utfõrt av fysioterapeut";NEW
NCMP;2013;IABC00;"	Strukturert kartlegging av abstinensutvikling";NEW
NCMP;2013;IACA00;"	Strukturert kartlegging av mindreÜrige barns situasjon";NEW
NCMP;2013;IACB00;"	Strukturert kartlegging av livskvalitet";NEW
NCMP;2013;IBAA00;"	Behandlingsplan";NEW
NCMP;2013;IBBA00;"	Psykodynamisk terapi";NEW
NCMP;2013;IBBB00;"	Kognitiv terapi";NEW
NCMP;2013;IBBC00;"	Motiverende intervju/endringsfokusert rÜdgivning";NEW
NCMP;2013;IBBD00;"	Psykoterapi med annen tilnërming";NEW
NCMP;2013;IBCA00;"	Oppstart av psykofarmakologisk behandling";NEW
NCMP;2013;IBCB00;"	Vurdering av effekt/bivirkning av psykofarmakologisk behandling";NEW
NCMP;2013;IBCC00;"	Omlegging av psykofarmakologisk behandling";NEW
NCMP;2013;IBCD00;"	Depotinjisering av langtidsvirkende psykofarmaka";NEW
NCMP;2013;IBCE00;"	Substitusjonsbehandling med opioider";NEW
NCMP;2013;IBCF00;"	Gjennomfõring av tvangsmedisinering med psykofarmaka";NEW
NCMP;2013;IBDA00;"	Tilbakefallsforebygging (rus)";NEW
NCMP;2013;IBDA10;"	Tilbakefallsforebygging (psykisk)";NEW
NCMP;2013;IBDA20;"	Tilbakefallsforebygging (kriminalitet)";NEW
NCMP;2013;IBDA30;"	Tilbakefallsforebygging (spill)";NEW
NCMP;2013;IBDB00;"	Overdoseforebygging";NEW
NCMP;2013;IBDC00;"	Psykoedukativ behandling";NEW
NCMP;2013;IBDD00;"	Samtale med barn under 18 Ür om foreldres helsetilstand";NEW
NCMP;2013;IBDE00;"	Informasjon til og samarbeid med pÜrõrende eller andre nërstÜende personer vedrõrende en enkelt pasient";NEW
NCMP;2013;IBEA00;"	Psykosomatisk fysioterapi";NEW
NCMP;2013;IBEB00;"	Unilateral elektrodeplassering";NEW
NCMP;2013;IBEB10;"	Bilateral elektrodeplassering";NEW
NCMP;2013;IBEC00;"	Avrusning";NEW
NCMP;2013;ICAA00;"	Evaluering av behandlingsplan";NEW
NCMP;2013;IDAA00;"	Ansvarsgruppemõte ";NEW
NCMP;2013;JAGD30;"	Kronisk peritonealdialyse";
NCMP;2013;JAGD31;"	Kronisk peritonealdialyse med automatisert nattlig bytte";
NCMP;2013;JAGD32;"	Akutt peritonealdialyse";
NCMP;2013;JAGD40;"	Peritoneal ekvilibreringstest ved dialyse";
NCMP;2013;JAGD50;"	Oppstart av hjemmedialyse";
NCMP;2013;JCFE20;"	Elektromyografi (EMG) i õsofagus";
NCMP;2013;JCFM00;"	ùsofagusmanometri med provokasjonstest (ballong o.a.)";
NCMP;2013;JCFM89;"	ùsofagusmanometri INA";
NCMP;2013;JCFX10;"	pH-mÜling i õsofagus";
NCMP;2013;JDFX00;"	Urea utventilasjonstest for diagnostikk av Helicobacter pylori";
NCMP;2013;JDFX10;"	MÜling av magetõmmingshastighet for vëske";
NCMP;2013;JDFX11;"	MÜling av magetõmmingshastighet for fast fõde";
NCMP;2013;JDGX00;"	Ventrikkelskylling";
NCMP;2013;JFDE00;"	Ultralydundersõkelse gjennom intestinalt stoma";
NCMP;2013;JFFX20;"	Laktosemalabsorpsjonstest";
NCMP;2013;JFFX21;"	Fruktosemalabsorpsjonstest";
NCMP;2013;JFFX30;"	Triolein pusteprõve for diagnostikk av fettmalabsorpsjon";
NCMP;2013;JFFX40;"	Hydrogengassanalyse av ekspirasjonsluft for diagnostikk av bakteriell overvekst i tarm";
NCMP;2013;JFGX00;"	Instillasjon av oppslemmet fëces i tarm";
NCMP;2013;JGDE12;"	Transrektal endoskopisk ultralydundersõkelse";
NCMP;2013;JGGX05;"	Antegrad tarmskylling gjennom appendicostomi";
NCMP;2013;JGGX10;"	Utprõving og stell/vedlikehold av inkontinenshjelpemiddel";
NCMP;2013;JHDE00;"	Transanal ultralydundersõkelse";
NCMP;2013;JHFE20;"	Elektromyografi (EMG) av analsfinkter";
NCMP;2013;JHFM10;"	Anorektal manometri";
NCMP;2013;JHGX00;"	Sakral nervestimulering ved inkontinens";
NCMP;2013;JJFX00;"	Leverfunksjonstest med methacetinbelastning og analyse av ekspirasjonsluft";
NCMP;2013;JJGD00;"	Leverdialyse";
NCMP;2013;JJGS05;"	Transjugular leverbiopsi";
NCMP;2013;JJPE05;"	Embolisering av a. hepatica";
NCMP;2013;JKDB13;"	Perkutan transhepatisk kolangiografi";
NCMP;2013;JKFM02;"	Endoskopisk manometri av gallegang";
NCMP;2013;JLFM02;"	Endoskopisk manometri av pankreasgang";
NCMP;2013;JMPE05;"	Embolisering av a. lienalis";
NCMP;2013;JXDE00;"	Ultralydundersõkelse av bukorganer";
NCMP;2013;JXDE02;"	Undersõkelse av bukorganer med elastografi";
NCMP;2013;JXDE10;"	Funksjonsundersõkelse av bukorganer med ultralyd";
NCMP;2013;JXFM00;"	TrykkmÜling i gastrointestinaltraktus";
NCMP;2013;KADE87;"	Ultralydundersõkelse av nyre";
NCMP;2013;KAFF00;"	FlowmÜling ved dialyse";
NCMP;2013;KAFM00;"	Urodynamisk undersõkelse av nyrebekken";
NCMP;2013;KAFX00;"	Glomerulër filtrasjonsrate ved IohexolmÜling";
NCMP;2013;KAFX10;"	Tubulër konsentrasjonsevne";
NCMP;2013;KAGD40;"	Hemodialyse, kronisk";
NCMP;2013;KAGD46;"	Hemofiltrasjon";
NCMP;2013;KAGD47;"	Hemodialyse, akutt";
NCMP;2013;KAGD48;"	Plasmautskifting";
NCMP;2013;KAPE05;"	Embolisering av a. renalis";
