AAA00	Eksplorativ kraniotomi
ACA14	Eksplorasjon av nervus peroneus
ACA15	Eksplorasjon av nervus tibialis
ACA16	Eksplorasjon av nervus ischiadicus
ACA17	Eksplorasjon av plexus lumbalis
ACA18	Eksplorasjon av plexus brachialis
ACA19	Eksplorasjon av annen eller uspesifisert nerve
ACA21	Biopsi av nervus medianus
ACA22	Biopsi av nervus radialis
ACA23	Biopsi av nervus ulnaris
ACA24	Biopsi av nervus peroneus
ACA25	Biopsi av nervus tibialis
ACA26	Biopsi av nervus ischiadicus
ACA27	Biopsi av plexus lumbalis
ACA28	Biopsi av plexus brachialis
ACA29	Biopsi av annen eller uspesifisert nerve
ACA91	Annen diagnostisk operasjon på nervus medianus
ACA92	Annen diagnostisk operasjon på nervus radialis
ACA93	Annen diagnostisk operasjon på nervus ulnaris
ACA94	Annen diagnostisk operasjon på nervus peroneus
ACA95	Annen diagnostisk operasjon på nervus tibialis
ACA96	Annen diagnostisk operasjon på nervus ischiadicus
ACA97	Annen diagnostisk operasjon på plexus lumbalis
ACA98	Annen diagnostisk operasjon på plexus brachialis
ACA99	Annen diagnostisk operasjon på annen el uspesifisert nerve
ACB11	Eksisjon av lesjon i nervus medianus
ACB12	Eksisjon av lesjon i nervus radialis
ACB13	Eksisjon av lesjon i nervus ulnaris
ACB14	Eksisjon av lesjon i nervus peroneus
ACB15	Eksisjon av lesjon i nervus tibialis
ACB16	Eksisjon av lesjon i nervus ischiadicus
ACB17	Eksisjon av lesjon i plexus lumbalis
ACB18	Eksisjon av lesjon i plexus brachialis
ACB19	Eksisjon av lesjon i annen eller uspesifisert perifer nerve
ACB21	Sutur av nervus medianus
ACB22	Sutur av nervus radialis
ACB23	Sutur av nervus ulnaris
ACB24	Sutur av nervus peroneus
ACB25	Sutur av nervus tibialis
ACB26	Sutur av nervus ischiadicus
ACB27	Sutur av plexus lumbalis
ACB28	Sutur av plexus brachialis
ACB29	Sutur av annen eller uspesifisert nerve
ACB91	Annen operasjon for lesjon i nervus medianus
ACB92	Annen operasjon for lesjon i nervus radialis
ACB93	Annen operasjon for lesjon i nervus ulnaris
ACB94	Annen operasjon for lesjon i nervus peroneus
ACB95	Annen operasjon for lesjon i nervus tibialis
ACB96	Annen operasjon for lesjon i nervus ischiadicus
ACB97	Annen operasjon for lesjon i plexus lumbalis
ACB98	Annen operasjon for lesjon i plexus brachialis
ACB99	Annen operasjon for lesjon i annen perifer nerve
ACC11	Overskjæring av nervus medianus
ACC12	Overskjæring av nervus radialis
ACC13	Overskjæring av nervus ulnaris
ACC14	Overskjæring av nervus peroneus
ACC15	Overskjæring av nervus tibialis
ACC16	Overskjæring av nervus ischiadicus
ACC17	Overskjæring i plexus lumbalis
ACC18	Overskjæring i plexus brachialis
ACC19	Overskjæring av annen eller uspesifisert nerve
ACC21	Rekonstruksjon av nervus medianus
ACC22	Rekonstruksjon av nervus radialis
ACC23	Rekonstruksjon av nervus ulnaris
ACC24	Rekonstruksjon av nervus peroneus
ACC25	Rekonstruksjon av nervus tibialis
ACC26	Rekonstruksjon av nervus ischiadicus
ACC27	Rekonstruksjon av plexus lumbalis
ACC28	Rekonstruksjon av plexus brachialis
ACC29	Rekonstruksjon av annen eller uspesifisert nerve
ACC41	Transposisjon av nervus medianus
ACC42	Transposisjon av nervus radialis
ACC43	Transposisjon av nervus ulnaris
ACC44	Transposisjon av nervus peroneus
ACC45	Transposisjon av nervus tibialis
ACC46	Transposisjon av nervus ischiadicus
ACC47	Transposisjon i plexus lumbalis
ACC48	Transposisjon i plexus brachialis
ACC49	Transposisjon av annen eller uspesifisert nerve
ACC51	Dekompresjon og adheranseløsning av nervus medianus
ACC52	Dekompresjon og adheranseløsning av nervus radialis
ACC53	Dekompresjon og adheranseløsning av nervus ulnaris
ACC54	Dekompresjon og adheranseløsning av nervus peroneus
ACC55	Dekompresjon og adheranseløsning av nervus tibialis
ACC56	Dekompresjon og adheranseløsning av nervus ischiadicus
ACC57	Dekompresjon og adheranseløsning i plexus lumbalis
ACC58	Dekompresjon og adheranseløsning i plexus brachialis
ACC59	Dekompresjon og adheranseløsning av annen eller uspesifisert nerve
ACC91	Annen operasjon for funksjonsforstyrrelse i nervus medianus
ACC92	Annen operasjon for funksjonsforstyrrelse i nervus radialis
ACC93	Annen operasjon for funksjonsforstyrrelse i nervus ulnaris
ACC94	Annen operasjon for funksjonsforstyrrelse i nervus peroneus
ACC95	Annen operasjon for funksjonsforstyrrelse i nervus tibialis
ACC96	Annen operasjon for funksjonsforstyrrelse i nervus ischiadicus
ACC97	Annen operasjon for funksjonsforstyrrelse i plexus lumbalis
ACC98	Annen operasjon for funksjonsforstyrrelse i plexus brachialis
ACC99	Annen operasjon for funksjonsforstyrrelse i annen eller uspesifisert nerve
ACW99	Annen operasjon på perifer nerve
ADA10	Cervikal sympatektomi
ADA20	Torakal sympatektomi
ADA30	Lumbal sympatektomi
ADA99	Annen operasjon på sympatisk nerve
ADB00	Implantasjon av vagusstimulator
ADW99	Annen operasjon på det autonome nervesystem
AEA00	Utskifting av impulsgenerator til stimulator i nervesystemet
AEA20	Fjerning av impulsgenerator til stimulator i nervesystemet
AEA23	Fjerning av intrakraniell elektrode
AEA24	Fjerning av intraspinal elektrode
AEA25	Fjerning av vagusstimulatorelektrode
AEA30	Utskifting av implantert pumpe til injeksjonskateter i nervesystemet
AEA40	Fjerning av implantert pumpe til injeksjonskateter i nervesystemet
AEA43	Fjerning av intrakranielt injeksjonskateter
AEA44	Fjerning av intraspinalt injeksjonskateter
AWA00	Reoperasjon for sårruptur i nervesystemet
AWB00	Reoperasjon for overfladisk infeksjon i nervesystemet
AWC00	Reoperasjon for dyp infeksjon i nervesystemet
AWD00	Reoperasjon for overfladisk blødning i nervesystemet
AWE00	Reoperasjon for dyp blødning i nervesystemet
AWW99	Annen reoperasjon på nervesystemet
BAA00	Biopsi av tyreoidea
BAA05	Eksplorasjon av tyreoidea
BAA10	Incisjon av tyreoidea
BAA20	Unilateral reseksjon av tyreoidea
BAA25	Bilateral reseksjon av tyreoidea
BAA30	Eksisjon av isthmus thyreoideae
BAA40	Unilateral lobektomi av tyreoidea
BAA50	Lobektomi og reseksjon av kontralateral tyreoidealapp
BAA60	Total tyreoidektomi
BAA99	Annen operasjon på tyreoidea
BBA10	Biopsi av paratyreoidea
BBA20	Eksplorasjon av paratyreoidea
BBA30	Ekstirpasjon av lesjon i paratyreoidea
BBA40	Subtotal paratyreoidektomi
BBA50	Total paratyreoidektomi
BBA70	Implantasjon eller transplantasjon av paratyreoidea
BBA99	Annen operasjon på paratyreoidea
BCA10	Biopsi av binyre
BCA11	Laparoskopisk biopsi av binyre
BCA15	Incisjon av binyre
BCA20	Ekstirpasjon av lesjon i binyre
BCA30	Unilateral adrenalektomi
BCA31	Laparoskopisk unilateral adrenalektomi
BCA40	Bilateral adrenalektomi
BCA41	Laparoskopisk bilateral adrenalektomi
BCA99	Annen operasjon på binyre
BDA10	Operasjon på glomus caroticum
BWA00	Reoperasjon for sårruptur ved endokrin kirurgi
BWB00	Reoperasjon for overfladisk infeksjon ved endokrin kirurgi
BWC00	Reoperasjon for dyp infeksjon ved endokrin kirurgi
BWD00	Reoperasjon for overfladisk blødning ved endokrin kirurgi
BWE00	Reoperasjon for dyp blødning ved endokrin kirurgi
BWW99	Annen reoperasjon ved endokrin kirurgi
CAA00	Punksjon av abscess i orbita
CAA10	Eksplorativ fremre orbitotomi
CAA20	Eksplorativ lateral orbitotomi
CAA30	Biopsi fra orbita
CAB00	Fremre orbitotomi med ekstirpasjon av lesjon
CAB10	Lateral orbitotomi med ekstirpasjon av lesjon
CAB40	Transkraniell orbitotomi med ekstirpasjon av lesjon
CAB50	Orbitotomi med fjerning av fremmedlegeme
CAC00	Rekonstruksjon av orbitas beinvegg
CAC10	Rekonstruksjon av orbitas beinvegg med beintransplantat eller skinne
CAC20	Dekompressiv lateral orbitotomi
CAC30	Dekompressiv orbitotomi til bihule
CAC40	Transkraniell dekompresjon av orbitatak eller canalis opticus
CAC42	Dekompresjon av orbita med koronal tilgang
CAC44	Kombinert dekompresjon av orbita
CAC50	Korreksjon av medfødt misdannelse av orbitas beinvegg
CAD00	Eksenterasjon av orbita med transplantat eller lapp
CAE00	Fjerning av implantat fra orbita
CAE10	Revisjon av konjunktivalhule
CAE20	Revisjon av konjunktivalhule med transplantat
CAW99	Annen operasjon på orbita
CBA00	Incisjon av øyelokk
CBA10	Biopsi av øyelokk
CBB00	Eksisjon av chalazion
CBB10	Eksisjon av løs hud i øyelokk
CBB15	Reseksjon av fetthernie i øyelokk
CBB20	Eksisjon av løs hud og reseksjon av fetthernie i øyelokk
CBB30	Ekstirpasjon av lesjon i øyelokk
CBB35	Kryokirurgi av lesjon i øyelokk
CBB40	Elektrokoagulasjon av lesjon i øyelokk
CBB50	Ekstirpasjon av lesjon i øyelokk og rekonstruksjon med transplantat eller lapp
CBB99	Annet inngrep ved lokal forandring i øyelokk
CBC00	Sutur av øyelokk
CBC10	Fjerning av fremmedlegeme fra øyelokk
CBC99	Annen operasjon for skade av øyelokk
CBD00	Rekonstruksjon av øyelokk med sutur
CBD10	Rekonstruksjon av øyelokk med transplantat eller lapp
CBD99	Annen rekonstruksjon av øyelokk
CBE00	Sutur av øyelokk for entropion
CBE10	Flytting og stramming av orbicularis oculi ved entropion
CBE20	Stramming av øyelokksretraktorer for entropion
CBE30	Horisontal stramming for entropion
CBE40	Kombinert korreksjon av entropion
CBE99	Annen operasjon for entropion
CBF00	Elektrokoagulasjon for ektropion
CBF10	Stramming av ligament i canthus for ektropion
CBF20	Reseksjon av tarsus for ektropion
CBF30	Reseksjon av tarsus og hud for ektropion
CBF40	Rekonstruksjon av øyelokk ved arrektropion
CBF99	Annen operasjon for ektropion
CBG00	Elektrolyseepilasjon av cilier
CBG10	Kryokirurgi for trichiasis
CBG20	Rekonstruksjon av øyelokkskant ved trichiasis
CBG99	Annen operasjon for trichiasis
CBH00	Canthotomi
CBH05	Canthopeksi
CBH10	Rekonstruksjon av canthus
CBH20	Sentral tarsorafi
CBH30	Lateral eller medial tarsorafi
CBH40	Oppklipping av tarsorafi
CBH50	Rekonstruksjon ved epicanthus
CBH99	Annen operasjon på canthus
CBJ00	Løfting av øyelokk med sutur
CBJ10	Løfting av øyelokk med fasciestripe
CBJ20	Tarsomyektomi på øyelokk
CBJ30	Rekonstruksjon av levatoraponevrose i øyelokk
CBJ40	Reseksjon av levatormuskel i øyelokk
CBJ50	Operasjon for ptose av øyebryn
CBJ99	Annen operasjon for ptose i øyeregionen
CBK00	Myotomi ved øyelokksretraksjon
CBK10	Operasjon for lagoftalmus
CBK99	Annen operasjon for øyelokksretraksjon eller lagoftalmus
CBL00	Myektomi eller nevrotomi for blefarospasme
CBL99	Annen operasjon for blefarospasme
CBW99	Annen operasjon på øyelokk
CCA00	Incisjon av tårekjertel
CCA10	Biopsi av tårekjertel
CCA20	Incisjon av tårepunkt eller tårekanalikkel
CCA30	Incisjon av tåresekk
CCA40	Biopsi av tåreveier
CCB00	Partiell dacryoadenektomi
CCB10	Total dacryoadenektomi
CCB99	Annen operasjon på tårekjertel
CCC00	Okklusjon av tårepunkt eller tårekanalikkel
CCC50	Dacryocystektomi
CCC99	Annen operasjon på tåreveier
CCD00	Lukking av tårefistel
CCD10	Sutur av tårekanalikkel
CCD20	Sutur og intubasjon av tårekanalikkel
CCD30	Rekonstruksjon av tårekanalikkel
CCD40	Perkutan dacryocystorhinostomi
CCD50	Dacryocystorhinostomi med intubasjon
CCD60	Transnasal dacryocystorhinostomi
CCD70	Conjunctivocystorhinostomi med intubasjon
CCD99	Annet rekonstruksjonsinngrep på tåreveier
CCW99	Annen operasjon på tåreapparatet
CDB00	Åpen fjerning av intrabulbært fremmedlegeme
CDB10	Fjerning av intrabulbært fremmedlegeme med magnet
CDB99	Annen fjerning av intrabulbært fremmedlegeme
CDC00	Enukleasjon av øye
CDC10	Enukleasjon av øye med innlegging av protese
CDC20	Enukleasjon av øye med transplantat
CDC30	Eviscerasjon av øye
CDC40	Eviscerasjon av øye med innlegging av protese
CDC50	Eviscerasjon av øye med transplantat
CDW99	Annen operasjon på øyeeplet
CEA00	Biopsi av øyemuskel
CEB00	Myektomi av øyemuskel
CEB10	Partiell myotomi av øyemuskel
CEB20	Total myotomi av øyemuskel
CEB30	Tenotomi av øyemuskel
CEC00	Tilbakelegging av øyemuskel
CEC10	Tilbakelegging og reseksjon av øyemuskel
CEC20	Tilbakelegging og fremlegging av øyemuskler
CEC30	Reseksjon av øyemuskel
CEC40	Reseksjon og fremlegging av øyemuskel
CEC50	Fremlegging av øyemuskel
CEC60	Flytting av øyemuskel med justerbar sutur
CEC70	Flytting av øyemuskler ved nystagmus
CEC80	Partiell transposisjon av øyemuskel
CEC90	Total transposisjon av øyemuskel
CED00	Folding av øyemuskel
CEE00	Fiksasjonssutur i øyemuskel
CEE10	Fiksasjon av øyemuskel med ankersutur
CEF00	Løsning av fastloddet øyemuskel
CEF10	Sutur av skadet øyemuskel eller Tenons kapsel
CEW99	Annen operasjon på øyemuskel
CFA00	Incisjon av conjunctiva
CFA10	Peritomi av conjunctiva
CFA20	Biopsi av conjunctiva
CFB00	Sutur av conjunctiva
CFB10	Fjerning av fremmedlegeme fra conjunctiva
CFC00	Ekstirpasjon av lesjon i conjunctiva
CFC10	Laserterapi av lesjon i conjunctiva
CFC20	Kryokirurgi av lesjon i conjunctiva
CFC30	Eksisjon av trakomfollikler
CFD00	Rekonstruksjon av conjunctiva uten transplantat
CFD10	Rekonstruksjon av conjunctiva med transplantat
CFW99	Annen operasjon på conjunctiva
CGA00	Biopsi av cornea
CGA10	Biopsi av sclera
CGB00	Keratotomi
CGB10	Sklerotomi
CGC10	Fjerning av fremmedlegeme fra cornea
CGC20	Fjerning av fremmedlegeme fra cornea med magnet
CGC30	Fjerning av fremmedlegeme fra sclera
CGC40	Fjerning av fremmedlegeme fra sclera med magnet
CGD00	Keratotomi for refraksjonsanomali
CGD10	Laserkeratoplastikk for refraksjonsanomali
CGD20	Keratomileuse
CGD40	Implantasjon av intracorneale ringsegmenter
CGD99	Annen operasjon for refraksjonsanomali
CGE10	Keratektomi
CGE15	Laserterapi av cornea
CGE20	Termokauterisering av lesjon i cornea
CGE25	Kryokirurgi av cornea
CGE30	Sklerektomi
CGE35	Laserterapi av sclera
CGE40	Termokauterisering av lesjon i sclera
CGE50	Eksisjon av pterygium
CGE55	Eksisjon av pterygium med transplantasjon av conjunctiva
CGE99	Annen operasjon for lesjon i cornea eller sclera
CGF00	Lukking av sår i cornea med vevslim
CGF10	Sutur av sår i cornea
CGF20	Sutur av sår i cornea med dekking av conjunctiva
CGF25	Sutur av sår i cornea med fjerning av prolabert uvealvev
CGF30	Dekking av cornea med conjunctiva
CGF40	Lukking av sår i sclera med vevslim
CGF45	Sutur av sår i sclera
CGF50	Sutur av sår i sclera med dekking av conjunctiva
CGF55	Sutur av sår i sclera med fjerning av prolabert uvealvev
CGF99	Annen operasjon på cornea eller sclera for perforerende skade
CGG00	Tatovering av cornea
CGG10	Korreksjon av keratokonus ved termokauterisering
CGG20	Epikeratofaki eller keratofaki
CGG30	Lamellær corneatransplantasjon
CGG40	Gjennomgående autotransplantasjon av cornea
CGG45	Gjennomgående homotransplantasjon av cornea
CGG50	Implantasjon av keratoprotese
CGG60	Forsterkning av sclera med transplantat
CGG99	Annet rekonstruksjonsinngrep på cornea eller sclera
CGW99	Annen operasjon på cornea eller sclera
CHA10	Biopsi av iris
CHA20	Biopsi av corpus ciliare
CHB00	Lasersynekiolyse
CHB10	Kammerpunksjon med irrigasjon
CHB15	Kammerpunksjon med erstatning av kammervann
CHB20	Goniopunktur
CHB30	Goniotomi
CHB40	Goniosynekiolyse
CHB50	Trabekulotomi
CHB60	Fremre synekiolyse
CHB65	Bakre synekiolyse
CHB99	Annen operasjon på fremre kammer eller kammervinkelen
CHC00	Iridotomi
CHC05	Laseriridotomi
CHC10	Basal iridektomi
CHC20	Sektoriridektomi
CHC30	Sentral iridektomi
CHD00	Lasertrabekuloplastikk
CHD10	Trabekulektomi
CHD15	Trabekulektomi og iridektomi
CHD20	Trepanasjon av sclera
CHD25	Trepanasjon av sclera med iridektomi
CHD30	Lasertrabekulektomi
CHD40	Iridencleise
CHD50	Implantasjon av kateter til fremre kammer
CHD60	Dyp sclerektomi uten implantat
CHD65	Dyp sclerektomi med implantat
CHD99	Annen filtrasjonsoperasjon
CHE00	Pupillotomi
CHE05	Laserpupillotomi
CHE10	Ekstirpasjon av lesjon i iris
CHE20	Laserterapi av lesjon i iris
CHE99	Annen operasjon for lesjon i iris
CHF00	Ekstirpasjon av lesjon i corpus ciliare
CHF05	Transskleral laserkoagulasjon av corpus ciliare
CHF10	Transpupillær laserkoagulasjon av corpus ciliare
CHF15	Kryokirurgi av corpus ciliare
CHF20	Elektrokoagulasjon av corpus ciliare
CHF30	Cyclodialyse
CHF99	Annen operasjon på corpus ciliare
CHW99	Annen operasjon på fremre kammer, kammervinkelen, iris eller corpus ciliare
CJA00	Implantasjon av intraokulær kontaktlinse i fremre kammer
CJA10	Implantasjon av intraokulær kontaktlinse i bakre kammer
CJB00	Discisjon av sekundær katarakt
CJB10	Laserdiscisjon av sekundær katarakt
CJB20	Skylling og polering av sekundær katarakt
CJB30	Eksisjon av sekundær katarakt
CJB99	Annen operasjon for sekundær katarakt
CJC00	Intrakapsulær kataraktekstraksjon
CJC05	Intrakapsulær kataraktekstraksjon med iridektomi eller iridotomi
CJC10	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer
CJC15	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJC20	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer
CJC25	Intrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJC99	Annen intrakapsulær kataraktoperasjon
CJD00	Ekstrakapsulær kataraktekstraksjon
CJD05	Ekstrakapsulær kataraktekstraksjon med iridektomi eller iridotomi
CJD10	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer
CJD15	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJD20	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer
CJD25	Ekstrakapsulær kataraktekstraksjon med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJD30	Pars plana-lensektomi
CJD99	Annen ekstrakapsulær kataraktoperasjon
CJE00	Fakoemulsifikasjon
CJE05	Fakoemulsifikasjon med iridektomi eller iridotomi
CJE10	Fakoemulsifikasjon med implantasjon av kunstig linse i fremre kammer
CJE15	Fakoemulsifikasjon med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJE20	Fakoemulsifikasjon med implantasjon av kunstig linse i bakre kammer
CJE25	Fakoemulsifikasjon med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJE99	Annen ekstrakapsulær kataraktoperasjon med emulsifikasjon
CJF00	Sekundær implantasjon av kunstig linse i fremre kammer
CJF10	Sekundær implantasjon av kunstig linse i bakre kammer
CJF20	Fjerning av kunstig linse
CJF30	Reposisjon av kunstig linse
CJF40	Utskifting av kunstig linse i fremre kammer
CJF45	Utskifting av kunstig linse i fremre kammer med iridektomi eller iridotomi
CJF50	Utskifting av kunstig linse i bakre kammer
CJF55	Utskifting av kunstig linse i bakre kammer med iridektomi eller iridotomi
CJF99	Annen operasjon ved kunstig linse
CJG00	Ekstraksjon av luksert linse
CJG05	Ekstraksjon av luksert linse med iridektomi eller iridotomi
CJG10	Ekstraksjon av luksert linse med implantasjon av kunstig linse i fremre kammer
CJG15	Ekstraksjon av luksert linse med implantasjon av kunstig linse i fremre kammer og iridektomi eller iridotomi
CJG20	Ekstraksjon av luksert linse med implantasjon av kunstig linse i bakre kammer
CJG25	Ekstraksjon av luksert linse med implantasjon av kunstig linse i bakre kammer og iridektomi eller iridotomi
CJG99	Annen operasjon ved linseluksasjon
CJW99	Annen operasjon på linse
CKA00	Biopsi av choroidea
CKA10	Biopsi av corpus vitreum
CKA20	Biopsi av retina
CKB00	Punksjon og aspirasjon av corpus vitreum
CKB10	Punksjon, aspirasjon av corpus vitreum og injeksjon av substitutt
CKB99	Annen operasjon ved chorioidalløsning
CKC00	Fotoruptur av corpus vitreum
CKC10	Lokal fotokoagulasjon av retina
CKC15	Panretinal fotokoagulasjon
CKC20	Cryopeksi av tilliggende retina
CKC30	Cryopeksi av avløst retina
CKC40	Elektrokoagulasjon av retina
